participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Aayush,numerical,2,0,60.0,336.46,60.0,336.0,0.14
Aayush,numerical,2,1,61.5,331.7,60.0,329.0,2.19
Aayush,numerical,2,2,63.0,326.48,62.0,324.0,1.61
Aayush,numerical,2,3,64.5,320.91,64.0,320.0,0.71
Aayush,numerical,2,4,66.0,315.1,66.0,315.0,0.03
Aayush,numerical,2,5,67.5,309.16,67.0,309.0,0.52
Aayush,numerical,2,6,69.0,303.19,68.0,303.0,1.02
Aayush,numerical,2,7,70.5,297.29,70.0,298.0,0.31
Aayush,numerical,2,8,72.0,291.54,72.0,292.0,0.12
Aayush,numerical,2,9,73.5,286.02,72.0,285.0,1.72
Aayush,numerical,2,10,75.0,280.79,75.0,279.0,0.53
Aayush,numerical,2,11,76.5,275.91,76.0,273.0,1.39
Aayush,numerical,2,12,78.0,271.41,80.0,266.0,0.04
Aayush,numerical,2,13,79.5,267.32,82.0,260.0,0.64
Aayush,numerical,2,14,81.0,263.66,84.0,255.0,1.35
Aayush,numerical,2,15,82.5,260.42,87.0,251.0,1.3
Aayush,numerical,2,16,84.0,257.59,90.0,247.0,1.91
Aayush,numerical,2,17,85.5,255.15,94.0,244.0,1.45
Aayush,numerical,2,18,87.0,253.04,97.0,239.0,2.57
Aayush,numerical,2,19,88.5,251.22,99.0,235.0,3.0
Aayush,numerical,2,20,90.0,249.64,102.0,231.0,2.01
Aayush,numerical,2,21,91.5,248.21,104.0,226.0,1.9
Aayush,numerical,2,22,93.0,246.86,107.0,222.0,0.26
Aayush,numerical,2,23,94.5,245.52,109.0,218.0,0.58
Aayush,numerical,2,24,96.0,244.09,110.0,212.0,0.09
Aayush,numerical,2,25,97.5,242.49,111.0,206.0,0.26
Aayush,numerical,2,26,99.0,240.63,113.0,201.0,0.69
Aayush,numerical,2,27,100.5,238.42,114.0,196.0,0.73
Aayush,numerical,2,28,102.0,235.79,114.0,189.0,0.51
Aayush,numerical,2,29,103.5,232.64,115.0,182.0,0.69
Aayush,numerical,2,30,105.0,228.93,116.0,175.0,0.8
Aayush,numerical,2,31,106.5,224.58,117.0,170.0,0.56
Aayush,numerical,2,32,108.0,219.54,118.0,164.0,0.45
Aayush,numerical,2,33,109.5,213.79,118.0,157.0,1.42
Aayush,numerical,2,34,111.0,207.29,121.0,152.0,0.86
Aayush,numerical,2,35,112.5,200.02,119.0,149.0,1.52
Aayush,numerical,2,36,114.0,192.01,120.0,142.0,1.45
Aayush,numerical,2,37,115.5,183.26,122.0,137.0,0.11
Aayush,numerical,2,38,117.0,173.8,122.0,130.0,1.0
Aayush,numerical,2,39,118.5,163.68,122.0,124.0,1.75
Aayush,numerical,2,40,120.0,152.97,124.0,118.0,0.51
Aayush,numerical,2,41,121.5,141.74,124.0,111.0,1.36
Aayush,numerical,2,42,123.0,130.09,125.0,105.0,1.1
Aayush,numerical,2,43,124.5,118.1,125.0,99.0,1.83
Aayush,numerical,2,44,126.0,105.89,127.0,93.0,0.57
Aayush,numerical,2,45,127.5,93.59,128.0,87.0,0.3
Aayush,numerical,2,46,129.0,81.32,130.0,81.0,0.95
Aayush,numerical,2,47,130.5,69.22,130.0,75.0,0.21
Aayush,numerical,2,48,132.0,57.42,130.0,68.0,0.65
Aayush,numerical,2,49,133.5,46.06,130.0,61.0,1.53
Aayush,numerical,2,50,135.0,42.0,132.0,55.0,0.32
Aayush,numerical,2,51,136.5,42.0,133.0,48.0,0.24
Aayush,numerical,2,52,138.0,42.0,134.0,43.0,0.59
Aayush,numerical,2,53,139.5,42.0,139.0,41.0,1.0
Aayush,numerical,2,54,141.0,42.0,146.0,41.0,1.0
Aayush,numerical,2,55,142.5,42.0,153.0,41.0,1.0
Aayush,numerical,2,56,144.0,42.0,159.0,41.0,1.0
Aayush,numerical,2,57,145.5,42.0,162.0,45.0,0.58
Aayush,numerical,2,58,147.0,42.0,162.0,52.0,0.56
Aayush,numerical,2,59,148.5,42.0,163.0,58.0,0.24
Aayush,numerical,2,60,150.0,42.0,165.0,63.0,1.21
Aayush,numerical,2,61,151.5,42.0,165.0,70.0,0.47
Aayush,numerical,2,62,153.0,42.0,166.0,76.0,0.84
Aayush,numerical,2,63,154.5,42.0,166.0,85.0,0.06
Aayush,numerical,2,64,156.0,42.0,167.0,90.0,0.44
Aayush,numerical,2,65,157.5,42.0,168.0,96.0,0.86
Aayush,numerical,2,66,159.0,42.0,168.0,103.0,0.18
Aayush,numerical,2,67,160.5,42.0,168.0,110.0,0.48
Aayush,numerical,2,68,162.0,47.02,168.0,117.0,1.13
Aayush,numerical,2,69,163.5,60.3,169.0,123.0,0.69
Aayush,numerical,2,70,165.0,74.47,170.0,129.0,0.25
Aayush,numerical,2,71,166.5,89.39,171.0,135.0,0.2
Aayush,numerical,2,72,168.0,104.91,172.0,140.0,0.74
Aayush,numerical,2,73,169.5,120.89,172.0,147.0,0.1
Aayush,numerical,2,74,171.0,137.17,172.0,154.0,0.54
Aayush,numerical,2,75,172.5,153.58,172.0,161.0,1.17
Aayush,numerical,2,76,174.0,169.97,172.0,167.0,1.72
Aayush,numerical,2,77,175.5,186.19,173.0,173.0,1.27
Aayush,numerical,2,78,177.0,202.09,174.0,179.0,0.83
Aayush,numerical,2,79,178.5,217.52,175.0,186.0,0.48
Aayush,numerical,2,80,180.0,232.35,176.0,191.0,0.05
Aayush,numerical,2,81,181.5,246.45,176.0,198.0,0.61
Aayush,numerical,2,82,183.0,259.72,176.0,205.0,1.28
Aayush,numerical,2,83,184.5,272.05,178.0,211.0,0.13
Aayush,numerical,2,84,186.0,283.37,179.0,216.0,0.64
Aayush,numerical,2,85,187.5,293.6,179.0,223.0,0.05
Aayush,numerical,2,86,189.0,302.7,179.0,230.0,0.76
Aayush,numerical,2,87,190.5,310.62,179.0,237.0,1.49
Aayush,numerical,2,88,192.0,317.35,179.0,243.0,2.12
Aayush,numerical,2,89,193.5,322.89,181.0,249.0,0.78
Aayush,numerical,2,90,195.0,327.24,181.0,256.0,1.57
Aayush,numerical,2,91,196.5,330.45,182.0,262.0,1.27
Aayush,numerical,2,92,198.0,332.55,183.0,268.0,1.0
Aayush,numerical,2,93,199.5,333.6,184.0,275.0,0.88
Aayush,numerical,2,94,201.0,333.68,184.0,282.0,1.8
Aayush,numerical,2,95,202.5,332.85,184.0,289.0,2.8
Aayush,numerical,2,96,204.0,331.22,186.0,293.0,1.4
Aayush,numerical,2,97,205.5,328.88,186.0,300.0,2.52
Aayush,numerical,2,98,207.0,325.93,188.0,306.0,1.6
Aayush,numerical,2,99,208.5,322.47,190.0,311.0,0.57
Aayush,numerical,2,100,210.0,318.62,191.0,317.0,0.9
Aayush,numerical,2,101,211.5,314.48,192.0,322.0,1.22
Aayush,numerical,2,102,213.0,310.15,194.0,327.0,0.87
Aayush,numerical,2,103,214.5,305.73,197.0,332.0,0.49
Aayush,numerical,2,104,216.0,301.33,203.0,333.0,0.47
Aayush,numerical,2,105,217.5,297.02,205.0,329.0,0.36
Aayush,numerical,2,106,219.0,292.88,208.0,325.0,0.55
