participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Aayush,spatial-color,3,0,60.0,336.46,60.0,335.0,0.44
Aayush,spatial-color,3,1,61.5,331.7,61.0,329.0,1.23
Aayush,spatial-color,3,2,63.0,326.48,63.0,323.0,0.91
Aayush,spatial-color,3,3,64.5,320.91,64.0,318.0,1.21
Aayush,spatial-color,3,4,66.0,315.1,66.0,312.0,0.76
Aayush,spatial-color,3,5,67.5,309.16,68.0,305.0,0.53
Aayush,spatial-color,3,6,69.0,303.19,70.0,299.0,0.06
Aayush,spatial-color,3,7,70.5,297.29,72.0,294.0,0.62
Aayush,spatial-color,3,8,72.0,291.54,73.0,288.0,0.04
Aayush,spatial-color,3,9,73.5,286.02,74.0,282.0,0.63
Aayush,spatial-color,3,10,75.0,280.79,76.0,275.0,0.76
Aayush,spatial-color,3,11,76.5,275.91,77.0,268.0,2.11
Aayush,spatial-color,3,12,78.0,271.41,80.0,264.0,0.8
Aayush,spatial-color,3,13,79.5,267.32,82.0,259.0,1.11
Aayush,spatial-color,3,14,81.0,263.66,86.0,254.0,0.26
Aayush,spatial-color,3,15,82.5,260.42,90.0,250.0,0.25
Aayush,spatial-color,3,16,84.0,257.59,93.0,247.0,0.1
Aayush,spatial-color,3,17,85.5,255.15,96.0,242.0,1.43
Aayush,spatial-color,3,18,87.0,253.04,100.0,238.0,0.64
Aayush,spatial-color,3,19,88.5,251.22,103.0,233.0,0.3
Aayush,spatial-color,3,20,90.0,249.64,105.0,228.0,0.3
Aayush,spatial-color,3,21,91.5,248.21,108.0,224.0,1.27
Aayush,spatial-color,3,22,93.0,246.86,108.0,217.0,0.64
Aayush,spatial-color,3,23,94.5,245.52,110.0,211.0,0.14
Aayush,spatial-color,3,24,96.0,244.09,112.0,206.0,0.72
Aayush,spatial-color,3,25,97.5,242.49,113.0,201.0,0.69
Aayush,spatial-color,3,26,99.0,240.63,114.0,195.0,0.55
Aayush,spatial-color,3,27,100.5,238.42,114.0,188.0,0.68
Aayush,spatial-color,3,28,102.0,235.79,116.0,182.0,0.3
Aayush,spatial-color,3,29,103.5,232.64,116.0,175.0,0.8
Aayush,spatial-color,3,30,105.0,228.93,118.0,171.0,0.58
Aayush,spatial-color,3,31,106.5,224.58,119.0,164.0,0.54
Aayush,spatial-color,3,32,108.0,219.54,119.0,157.0,0.43
Aayush,spatial-color,3,33,109.5,213.79,120.0,151.0,0.26
Aayush,spatial-color,3,34,111.0,207.29,120.0,145.0,1.06
Aayush,spatial-color,3,35,112.5,200.02,122.0,140.0,0.27
Aayush,spatial-color,3,36,114.0,192.01,122.0,133.0,0.62
Aayush,spatial-color,3,37,115.5,183.26,123.0,127.0,0.38
Aayush,spatial-color,3,38,117.0,173.8,124.0,121.0,0.14
