participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Derek Chen,spatial-color,6,0,60.0,336.46,59.0,336.0,1.09
Derek Chen,spatial-color,6,1,61.5,331.7,65.0,328.0,2.34
Derek Chen,spatial-color,6,2,63.0,326.48,66.0,323.0,1.99
Derek Chen,spatial-color,6,3,64.5,320.91,67.0,316.0,1.19
Derek Chen,spatial-color,6,4,66.0,315.1,68.0,309.0,0.44
Derek Chen,spatial-color,6,5,67.5,309.16,68.0,303.0,1.02
Derek Chen,spatial-color,6,6,69.0,303.19,70.0,298.0,0.31
Derek Chen,spatial-color,6,7,70.5,297.29,71.0,293.0,0.6
Derek Chen,spatial-color,6,8,72.0,291.54,73.0,288.0,0.04
Derek Chen,spatial-color,6,9,73.5,286.02,75.0,283.0,0.61
Derek Chen,spatial-color,6,10,75.0,280.79,76.0,277.0,0.16
Derek Chen,spatial-color,6,11,76.5,275.91,79.0,271.0,0.8
Derek Chen,spatial-color,6,12,78.0,271.41,81.0,264.0,0.13
Derek Chen,spatial-color,6,13,79.5,267.32,83.0,258.0,0.69
Derek Chen,spatial-color,6,14,81.0,263.66,85.0,253.0,1.65
Derek Chen,spatial-color,6,15,82.5,260.42,88.0,250.0,1.2
Derek Chen,spatial-color,6,16,84.0,257.59,93.0,246.0,0.64
Derek Chen,spatial-color,6,17,85.5,255.15,96.0,243.0,0.75
Derek Chen,spatial-color,6,18,87.0,253.04,102.0,239.0,1.59
Derek Chen,spatial-color,6,19,88.5,251.22,103.0,233.0,0.3
Derek Chen,spatial-color,6,20,90.0,249.64,106.0,225.0,0.34
Derek Chen,spatial-color,6,21,91.5,248.21,108.0,221.0,0.42
Derek Chen,spatial-color,6,22,93.0,246.86,109.0,215.0,0.18
Derek Chen,spatial-color,6,23,94.5,245.52,110.0,209.0,0.59
Derek Chen,spatial-color,6,24,96.0,244.09,111.0,203.0,0.87
Derek Chen,spatial-color,6,25,97.5,242.49,112.0,197.0,1.05
Derek Chen,spatial-color,6,26,99.0,240.63,113.0,190.0,1.32
Derek Chen,spatial-color,6,27,100.5,238.42,114.0,183.0,1.52
Derek Chen,spatial-color,6,28,102.0,235.79,115.0,177.0,1.47
Derek Chen,spatial-color,6,29,103.5,232.64,116.0,171.0,1.4
Derek Chen,spatial-color,6,30,105.0,228.93,117.0,164.0,1.44
Derek Chen,spatial-color,6,31,106.5,224.58,119.0,157.0,0.43
Derek Chen,spatial-color,6,32,108.0,219.54,120.0,151.0,0.26
Derek Chen,spatial-color,6,33,109.5,213.79,120.0,143.0,1.32
Derek Chen,spatial-color,6,34,111.0,207.29,122.0,134.0,0.49
Derek Chen,spatial-color,6,35,112.5,200.02,122.0,125.0,1.62
Derek Chen,spatial-color,6,36,114.0,192.01,122.0,118.0,2.49
Derek Chen,spatial-color,6,37,115.5,183.26,124.0,111.0,1.36
Derek Chen,spatial-color,6,38,117.0,173.8,125.0,104.0,1.22
Derek Chen,spatial-color,6,39,118.5,163.68,126.0,98.0,0.96
Derek Chen,spatial-color,6,40,120.0,152.97,126.0,90.0,1.93
Derek Chen,spatial-color,6,41,121.5,141.74,126.0,84.0,2.65
Derek Chen,spatial-color,6,42,123.0,130.09,128.0,77.0,1.52
Derek Chen,spatial-color,6,43,124.5,118.1,130.0,70.0,0.4
Derek Chen,spatial-color,6,44,126.0,105.89,131.0,64.0,0.16
Derek Chen,spatial-color,6,45,127.5,93.59,132.0,58.0,0.07
Derek Chen,spatial-color,6,46,129.0,81.32,133.0,50.0,0.02
Derek Chen,spatial-color,6,47,130.5,69.22,134.0,44.0,0.24
Derek Chen,spatial-color,6,48,132.0,57.42,137.0,39.0,3.0
Derek Chen,spatial-color,6,49,133.5,46.06,141.0,41.0,1.0
Derek Chen,spatial-color,6,50,135.0,42.0,147.0,42.0,0.0
Derek Chen,spatial-color,6,51,136.5,42.0,152.0,42.0,0.0
Derek Chen,spatial-color,6,52,138.0,42.0,158.0,41.0,1.0
Derek Chen,spatial-color,6,53,139.5,42.0,162.0,44.0,0.86
Derek Chen,spatial-color,6,54,141.0,42.0,163.0,49.0,0.77
Derek Chen,spatial-color,6,55,142.5,42.0,164.0,55.0,1.09
Derek Chen,spatial-color,6,56,144.0,42.0,164.0,61.0,0.42
Derek Chen,spatial-color,6,57,145.5,42.0,164.0,68.0,0.31
Derek Chen,spatial-color,6,58,147.0,42.0,164.0,74.0,0.95
Derek Chen,spatial-color,6,59,148.5,42.0,165.0,79.0,0.45
Derek Chen,spatial-color,6,60,150.0,42.0,166.0,85.0,0.06
Derek Chen,spatial-color,6,61,151.5,42.0,166.0,91.0,0.65
Derek Chen,spatial-color,6,62,153.0,42.0,166.0,97.0,1.23
Derek Chen,spatial-color,6,63,154.5,42.0,166.0,103.0,1.81
Derek Chen,spatial-color,6,64,156.0,42.0,166.0,109.0,2.37
Derek Chen,spatial-color,6,65,157.5,42.0,167.0,115.0,1.94
Derek Chen,spatial-color,6,66,159.0,42.0,169.0,119.0,0.32
Derek Chen,spatial-color,6,67,160.5,42.0,170.0,124.0,0.21
Derek Chen,spatial-color,6,68,162.0,47.02,170.0,131.0,0.43
Derek Chen,spatial-color,6,69,163.5,60.3,170.0,137.0,0.98
Derek Chen,spatial-color,6,70,165.0,74.47,172.0,145.0,0.28
Derek Chen,spatial-color,6,71,166.5,89.39,173.0,151.0,0.73
Derek Chen,spatial-color,6,72,168.0,104.91,173.0,158.0,0.1
Derek Chen,spatial-color,6,73,169.5,120.89,173.0,165.0,0.54
Derek Chen,spatial-color,6,74,171.0,137.17,173.0,171.0,1.09
Derek Chen,spatial-color,6,75,172.5,153.58,174.0,177.0,0.65
Derek Chen,spatial-color,6,76,174.0,169.97,176.0,182.0,0.88
Derek Chen,spatial-color,6,77,175.5,186.19,176.0,189.0,0.23
Derek Chen,spatial-color,6,78,177.0,202.09,176.0,196.0,0.42
Derek Chen,spatial-color,6,79,178.5,217.52,176.0,202.0,0.99
Derek Chen,spatial-color,6,80,180.0,232.35,177.0,207.0,0.48
Derek Chen,spatial-color,6,81,181.5,246.45,179.0,214.0,0.84
Derek Chen,spatial-color,6,82,183.0,259.72,180.0,220.0,1.24
Derek Chen,spatial-color,6,83,184.5,272.05,182.0,225.0,2.73
Derek Chen,spatial-color,6,84,186.0,283.37,182.0,232.0,2.02
Derek Chen,spatial-color,6,85,187.5,293.6,182.0,238.0,1.39
Derek Chen,spatial-color,6,86,189.0,302.7,182.0,244.0,0.76
Derek Chen,spatial-color,6,87,190.5,310.62,182.0,250.0,0.1
Derek Chen,spatial-color,6,88,192.0,317.35,182.0,257.0,0.69
Derek Chen,spatial-color,6,89,193.5,322.89,183.0,263.0,0.4
Derek Chen,spatial-color,6,90,195.0,327.24,184.0,268.0,0.01
Derek Chen,spatial-color,6,91,196.5,330.45,185.0,273.0,0.37
Derek Chen,spatial-color,6,92,198.0,332.55,185.0,279.0,0.42
Derek Chen,spatial-color,6,93,199.5,333.6,185.0,285.0,1.23
Derek Chen,spatial-color,6,94,201.0,333.68,186.0,290.0,0.96
Derek Chen,spatial-color,6,95,202.5,332.85,188.0,297.0,0.06
Derek Chen,spatial-color,6,96,204.0,331.22,189.0,303.0,0.06
Derek Chen,spatial-color,6,97,205.5,328.88,190.0,308.0,0.0
Derek Chen,spatial-color,6,98,207.0,325.93,190.0,313.0,1.01
Derek Chen,spatial-color,6,99,208.5,322.47,192.0,319.0,0.43
Derek Chen,spatial-color,6,100,210.0,318.62,193.0,325.0,1.16
Derek Chen,spatial-color,6,101,211.5,314.48,194.0,330.0,2.07
Derek Chen,spatial-color,6,102,213.0,310.15,198.0,333.0,0.37
Derek Chen,spatial-color,6,103,214.5,305.73,202.0,335.0,1.64
Derek Chen,spatial-color,6,104,216.0,301.33,205.0,331.0,0.72
Derek Chen,spatial-color,6,105,217.5,297.02,207.0,326.0,0.03
Derek Chen,spatial-color,6,106,219.0,292.88,209.0,321.0,0.07
Derek Chen,spatial-color,6,107,220.5,288.98,211.0,317.0,0.39
Derek Chen,spatial-color,6,108,222.0,285.37,213.0,312.0,0.61
Derek Chen,spatial-color,6,109,223.5,282.1,215.0,305.0,0.24
Derek Chen,spatial-color,6,110,225.0,279.19,217.0,300.0,0.51
Derek Chen,spatial-color,6,111,226.5,276.66,218.0,295.0,0.22
Derek Chen,spatial-color,6,112,228.0,274.52,220.0,291.0,0.26
Derek Chen,spatial-color,6,113,229.5,272.75,223.0,284.0,0.34
Derek Chen,spatial-color,6,114,231.0,271.33,225.0,279.0,0.1
Derek Chen,spatial-color,6,115,232.5,270.23,228.0,275.0,0.27
Derek Chen,spatial-color,6,116,234.0,269.38,232.0,271.0,0.32
Derek Chen,spatial-color,6,117,235.5,268.75,237.0,269.0,0.71
Derek Chen,spatial-color,6,118,237.0,268.25,241.0,267.0,0.03
Derek Chen,spatial-color,6,119,238.5,267.81,244.0,264.0,1.04
Derek Chen,spatial-color,6,120,240.0,267.35,247.0,261.0,0.75
Derek Chen,spatial-color,6,121,241.5,266.78,250.0,257.0,0.06
Derek Chen,spatial-color,6,122,243.0,266.01,252.0,252.0,0.11
Derek Chen,spatial-color,6,123,244.5,264.96,254.0,247.0,0.26
Derek Chen,spatial-color,6,124,246.0,263.52,256.0,240.0,0.37
Derek Chen,spatial-color,6,125,247.5,261.62,258.0,233.0,0.76
Derek Chen,spatial-color,6,126,249.0,259.18,260.0,228.0,1.7
Derek Chen,spatial-color,6,127,250.5,256.1,261.0,223.0,1.74
Derek Chen,spatial-color,6,128,252.0,252.34,262.0,216.0,1.52
Derek Chen,spatial-color,6,129,253.5,247.83,262.0,210.0,0.54
Derek Chen,spatial-color,6,130,255.0,242.52,263.0,204.0,0.59
Derek Chen,spatial-color,6,131,256.5,236.39,263.0,197.0,0.43
Derek Chen,spatial-color,6,132,258.0,229.4,264.0,191.0,0.28
Derek Chen,spatial-color,6,133,259.5,221.57,265.0,185.0,0.1
Derek Chen,spatial-color,6,134,261.0,212.88,266.0,179.0,0.1
Derek Chen,spatial-color,6,135,262.5,203.38,266.0,173.0,0.66
Derek Chen,spatial-color,6,136,264.0,193.09,268.0,169.0,0.82
Derek Chen,spatial-color,6,137,265.5,182.08,269.0,162.0,0.96
Derek Chen,spatial-color,6,138,267.0,170.41,269.0,155.0,0.13
Derek Chen,spatial-color,6,139,268.5,158.17,269.0,147.0,0.81
