participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Ines,no-feedback,1,0,60.0,336.46,60.0,335.0,0.44
Ines,no-feedback,1,1,61.5,331.7,61.0,329.0,1.23
Ines,no-feedback,1,2,63.0,326.48,63.0,326.0,0.13
Ines,no-feedback,1,3,64.5,320.91,64.0,319.0,0.96
Ines,no-feedback,1,4,66.0,315.1,64.0,313.0,2.45
Ines,no-feedback,1,5,67.5,309.16,65.0,309.0,2.46
Ines,no-feedback,1,6,69.0,303.19,67.0,302.0,2.23
Ines,no-feedback,1,7,70.5,297.29,68.0,296.0,2.75
Ines,no-feedback,1,8,72.0,291.54,70.0,293.0,1.57
Ines,no-feedback,1,9,73.5,286.02,72.0,289.0,0.67
Ines,no-feedback,1,10,75.0,280.79,72.0,282.0,2.55
Ines,no-feedback,1,11,76.5,275.91,75.0,277.0,1.11
Ines,no-feedback,1,12,78.0,271.41,76.0,272.0,1.71
Ines,no-feedback,1,13,79.5,267.32,78.0,268.0,1.17
Ines,no-feedback,1,14,81.0,263.66,80.0,262.0,1.61
Ines,no-feedback,1,15,82.5,260.42,81.0,258.0,2.46
Ines,no-feedback,1,16,84.0,257.59,84.0,252.0,3.05
Ines,no-feedback,1,17,85.5,255.15,87.0,248.0,3.3
Ines,no-feedback,1,18,87.0,253.04,90.0,243.0,4.88
Ines,no-feedback,1,19,88.5,251.22,95.0,241.0,2.85
Ines,no-feedback,1,20,90.0,249.64,99.0,239.0,0.92
Ines,no-feedback,1,21,91.5,248.21,102.0,235.0,0.34
Ines,no-feedback,1,22,93.0,246.86,104.0,231.0,0.15
Ines,no-feedback,1,23,94.5,245.52,107.0,227.0,1.26
Ines,no-feedback,1,24,96.0,244.09,107.0,222.0,0.26
Ines,no-feedback,1,25,97.5,242.49,108.0,216.0,0.89
Ines,no-feedback,1,26,99.0,240.63,110.0,211.0,0.14
Ines,no-feedback,1,27,100.5,238.42,111.0,206.0,0.26
Ines,no-feedback,1,28,102.0,235.79,111.0,200.0,1.47
Ines,no-feedback,1,29,103.5,232.64,111.0,193.0,2.77
Ines,no-feedback,1,30,105.0,228.93,111.0,188.0,3.63
Ines,no-feedback,1,31,106.5,224.58,112.0,182.0,3.65
Ines,no-feedback,1,32,108.0,219.54,114.0,177.0,2.46
Ines,no-feedback,1,33,109.5,213.79,116.0,173.0,1.11
Ines,no-feedback,1,34,111.0,207.29,117.0,167.0,1.0
Ines,no-feedback,1,35,112.5,200.02,118.0,162.0,0.73
Ines,no-feedback,1,36,114.0,192.01,119.0,157.0,0.43
Ines,no-feedback,1,37,115.5,183.26,119.0,151.0,1.25
Ines,no-feedback,1,38,117.0,173.8,120.0,146.0,0.92
Ines,no-feedback,1,39,118.5,163.68,120.0,140.0,1.71
Ines,no-feedback,1,40,120.0,152.97,121.0,136.0,1.23
Ines,no-feedback,1,41,121.5,141.74,122.0,130.0,1.0
Ines,no-feedback,1,42,123.0,130.09,123.0,125.0,0.63
Ines,no-feedback,1,43,124.5,118.1,123.0,120.0,1.25
Ines,no-feedback,1,44,126.0,105.89,124.0,114.0,1.0
Ines,no-feedback,1,45,127.5,93.59,126.0,108.0,0.26
Ines,no-feedback,1,46,129.0,81.32,126.0,103.0,0.35
Ines,no-feedback,1,47,130.5,69.22,126.0,97.0,1.08
Ines,no-feedback,1,48,132.0,57.42,127.0,91.0,0.81
Ines,no-feedback,1,49,133.5,46.06,128.0,87.0,0.3
Ines,no-feedback,1,50,135.0,42.0,129.0,80.0,0.16
Ines,no-feedback,1,51,136.5,42.0,130.0,73.0,0.03
Ines,no-feedback,1,52,138.0,42.0,130.0,67.0,0.78
Ines,no-feedback,1,53,139.5,42.0,130.0,61.0,1.53
Ines,no-feedback,1,54,141.0,42.0,131.0,55.0,1.31
Ines,no-feedback,1,55,142.5,42.0,131.0,49.0,2.09
Ines,no-feedback,1,56,144.0,42.0,132.0,44.0,2.12
Ines,no-feedback,1,57,145.5,42.0,135.0,41.0,1.0
Ines,no-feedback,1,58,147.0,42.0,141.0,41.0,1.0
Ines,no-feedback,1,59,148.5,42.0,146.0,41.0,1.0
Ines,no-feedback,1,60,150.0,42.0,153.0,41.0,1.0
Ines,no-feedback,1,61,151.5,42.0,159.0,41.0,1.0
Ines,no-feedback,1,62,153.0,42.0,162.0,43.0,1.15
Ines,no-feedback,1,63,154.5,42.0,162.0,49.0,0.22
Ines,no-feedback,1,64,156.0,42.0,163.0,54.0,0.21
Ines,no-feedback,1,65,157.5,42.0,164.0,59.0,0.64
Ines,no-feedback,1,66,159.0,42.0,165.0,66.0,0.89
Ines,no-feedback,1,67,160.5,42.0,165.0,72.0,0.26
Ines,no-feedback,1,68,162.0,47.02,166.0,77.0,0.74
Ines,no-feedback,1,69,163.5,60.3,166.0,83.0,0.14
Ines,no-feedback,1,70,165.0,74.47,166.0,91.0,0.65
Ines,no-feedback,1,71,166.5,89.39,167.0,95.0,0.04
Ines,no-feedback,1,72,168.0,104.91,168.0,100.0,0.47
Ines,no-feedback,1,73,169.5,120.89,168.0,106.0,0.1
Ines,no-feedback,1,74,171.0,137.17,169.0,114.0,0.15
Ines,no-feedback,1,75,172.5,153.58,170.0,122.0,0.4
Ines,no-feedback,1,76,174.0,169.97,170.0,130.0,0.34
Ines,no-feedback,1,77,175.5,186.19,170.0,137.0,0.98
Ines,no-feedback,1,78,177.0,202.09,171.0,142.0,0.44
Ines,no-feedback,1,79,178.5,217.52,172.0,148.0,0.01
Ines,no-feedback,1,80,180.0,232.35,172.0,154.0,0.54
Ines,no-feedback,1,81,181.5,246.45,172.0,159.0,0.99
Ines,no-feedback,1,82,183.0,259.72,173.0,166.0,0.63
Ines,no-feedback,1,83,184.5,272.05,173.0,173.0,1.27
Ines,no-feedback,1,84,186.0,283.37,174.0,179.0,0.83
Ines,no-feedback,1,85,187.5,293.6,174.0,185.0,1.38
Ines,no-feedback,1,86,189.0,302.7,177.0,193.0,0.85
Ines,no-feedback,1,87,190.5,310.62,178.0,200.0,1.19
Ines,no-feedback,1,88,192.0,317.35,180.0,206.0,2.61
Ines,no-feedback,1,89,193.5,322.89,181.0,212.0,3.02
Ines,no-feedback,1,90,195.0,327.24,181.0,219.0,2.34
Ines,no-feedback,1,91,196.5,330.45,181.0,227.0,1.53
Ines,no-feedback,1,92,198.0,332.55,181.0,234.0,0.82
Ines,no-feedback,1,93,199.5,333.6,182.0,239.0,1.29
Ines,no-feedback,1,94,201.0,333.68,184.0,246.0,2.53
Ines,no-feedback,1,95,202.5,332.85,185.0,253.0,2.74
Ines,no-feedback,1,96,204.0,331.22,185.0,259.0,2.07
Ines,no-feedback,1,97,205.5,328.88,185.0,264.0,1.47
Ines,no-feedback,1,98,207.0,325.93,185.0,270.0,0.74
Ines,no-feedback,1,99,208.5,322.47,185.0,276.0,0.02
Ines,no-feedback,1,100,210.0,318.62,185.0,281.0,0.68
Ines,no-feedback,1,101,211.5,314.48,186.0,288.0,0.67
Ines,no-feedback,1,102,213.0,310.15,187.0,294.0,0.56
Ines,no-feedback,1,103,214.5,305.73,188.0,298.0,0.22
Ines,no-feedback,1,104,216.0,301.33,188.0,304.0,1.22
Ines,no-feedback,1,105,217.5,297.02,189.0,309.0,1.17
Ines,no-feedback,1,106,219.0,292.88,190.0,314.0,1.22
Ines,no-feedback,1,107,220.5,288.98,192.0,320.0,0.69
Ines,no-feedback,1,108,222.0,285.37,194.0,324.0,0.11
Ines,no-feedback,1,109,223.5,282.1,196.0,327.0,1.01
Ines,no-feedback,1,110,225.0,279.19,199.0,331.0,1.71
Ines,no-feedback,1,111,226.5,276.66,207.0,331.0,2.41
Ines,no-feedback,1,112,228.0,274.52,212.0,331.0,6.76
Ines,no-feedback,1,113,229.5,272.75,209.0,327.0,2.27
Ines,no-feedback,1,114,231.0,271.33,208.0,322.0,0.64
Ines,no-feedback,1,115,232.5,270.23,209.0,317.0,1.49
Ines,no-feedback,1,116,234.0,269.38,212.0,312.0,0.34
Ines,no-feedback,1,117,235.5,268.75,213.0,306.0,1.33
Ines,no-feedback,1,118,237.0,268.25,216.0,300.0,0.44
Ines,no-feedback,1,119,238.5,267.81,217.0,295.0,1.16
Ines,no-feedback,1,120,240.0,267.35,218.0,289.0,2.33
Ines,no-feedback,1,121,241.5,266.78,220.0,284.0,2.39
Ines,no-feedback,1,122,243.0,266.01,222.0,280.0,2.29
Ines,no-feedback,1,123,244.5,264.96,226.0,275.0,1.36
Ines,no-feedback,1,124,246.0,263.52,229.0,271.0,1.62
Ines,no-feedback,1,125,247.5,261.62,232.0,268.0,2.19
Ines,no-feedback,1,126,249.0,259.18,236.0,266.0,2.45
Ines,no-feedback,1,127,250.5,256.1,242.0,265.0,1.36
