participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Michael,no-feedback,2,0,60.0,336.46,60.0,337.0,0.54
Michael,no-feedback,2,1,61.5,331.7,61.0,332.0,0.39
Michael,no-feedback,2,2,63.0,326.48,67.0,310.0,0.28
Michael,no-feedback,2,3,64.5,320.91,69.0,307.0,0.93
Michael,no-feedback,2,4,66.0,315.1,70.0,303.0,0.92
Michael,no-feedback,2,5,67.5,309.16,74.0,293.0,2.3
Michael,no-feedback,2,6,69.0,303.19,77.0,283.0,2.53
Michael,no-feedback,2,7,70.5,297.29,80.0,277.0,3.67
Michael,no-feedback,2,8,72.0,291.54,82.0,273.0,4.3
Michael,no-feedback,2,9,73.5,286.02,84.0,268.0,4.42
Michael,no-feedback,2,10,75.0,280.79,87.0,259.0,3.29
Michael,no-feedback,2,11,76.5,275.91,92.0,248.0,0.18
Michael,no-feedback,2,12,78.0,271.41,96.0,241.0,2.1
Michael,no-feedback,2,13,79.5,267.32,100.0,230.0,4.24
Michael,no-feedback,2,14,81.0,263.66,106.0,218.0,2.32
Michael,no-feedback,2,15,82.5,260.42,111.0,209.0,0.39
Michael,no-feedback,2,16,84.0,257.59,114.0,201.0,1.67
Michael,no-feedback,2,17,85.5,255.15,116.0,193.0,2.15
Michael,no-feedback,2,18,87.0,253.04,118.0,184.0,2.59
Michael,no-feedback,2,19,88.5,251.22,120.0,175.0,3.15
Michael,no-feedback,2,20,90.0,249.64,122.0,162.0,3.23
Michael,no-feedback,2,21,91.5,248.21,122.0,150.0,1.59
Michael,no-feedback,2,22,93.0,246.86,123.0,139.0,1.14
Michael,no-feedback,2,23,94.5,245.52,124.0,130.0,0.98
Michael,no-feedback,2,24,96.0,244.09,125.0,121.0,0.86
Michael,no-feedback,2,25,97.5,242.49,127.0,116.0,2.23
Michael,no-feedback,2,26,99.0,240.63,127.0,107.0,1.13
Michael,no-feedback,2,27,100.5,238.42,128.0,96.0,0.79
Michael,no-feedback,2,28,102.0,235.79,132.0,84.0,3.3
Michael,no-feedback,2,29,103.5,232.64,132.0,78.0,2.57
Michael,no-feedback,2,30,105.0,228.93,132.0,73.0,1.95
Michael,no-feedback,2,31,106.5,224.58,132.0,65.0,0.96
