participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Michael,numerical,3,0,60.0,336.46,61.0,336.0,0.81
Michael,numerical,3,1,61.5,331.7,64.0,325.0,0.58
Michael,numerical,3,2,63.0,326.48,65.0,320.0,0.26
Michael,numerical,3,3,64.5,320.91,66.0,314.0,0.27
Michael,numerical,3,4,66.0,315.1,67.0,307.0,1.01
Michael,numerical,3,5,67.5,309.16,68.0,301.0,1.51
Michael,numerical,3,6,69.0,303.19,70.0,294.0,1.31
Michael,numerical,3,7,70.5,297.29,72.0,289.0,0.67
Michael,numerical,3,8,72.0,291.54,74.0,284.0,0.08
Michael,numerical,3,9,73.5,286.02,75.0,279.0,0.53
Michael,numerical,3,10,75.0,280.79,77.0,275.0,0.19
Michael,numerical,3,11,76.5,275.91,80.0,271.0,1.74
Michael,numerical,3,12,78.0,271.41,80.0,265.0,0.42
Michael,numerical,3,13,79.5,267.32,83.0,259.0,0.22
Michael,numerical,3,14,81.0,263.66,85.0,255.0,0.5
Michael,numerical,3,15,82.5,260.42,88.0,251.0,0.53
Michael,numerical,3,16,84.0,257.59,90.0,248.0,1.18
Michael,numerical,3,17,85.5,255.15,92.0,244.0,2.8
Michael,numerical,3,18,87.0,253.04,95.0,239.0,4.14
Michael,numerical,3,19,88.5,251.22,97.0,233.0,5.71
Michael,numerical,3,20,90.0,249.64,100.0,229.0,4.61
Michael,numerical,3,21,91.5,248.21,104.0,224.0,2.55
Michael,numerical,3,22,93.0,246.86,107.0,220.0,0.83
Michael,numerical,3,23,94.5,245.52,108.0,216.0,0.89
Michael,numerical,3,24,96.0,244.09,110.0,210.0,0.36
Michael,numerical,3,25,97.5,242.49,112.0,205.0,0.52
Michael,numerical,3,26,99.0,240.63,113.0,201.0,0.69
Michael,numerical,3,27,100.5,238.42,114.0,195.0,0.55
Michael,numerical,3,28,102.0,235.79,113.0,187.0,1.83
Michael,numerical,3,29,103.5,232.64,114.0,180.0,1.99
Michael,numerical,3,30,105.0,228.93,115.0,175.0,1.79
Michael,numerical,3,31,106.5,224.58,118.0,163.0,0.59
Michael,numerical,3,32,108.0,219.54,118.0,156.0,1.56
Michael,numerical,3,33,109.5,213.79,119.0,151.0,1.25
Michael,numerical,3,34,111.0,207.29,121.0,144.0,0.2
Michael,numerical,3,35,112.5,200.02,123.0,137.0,0.88
Michael,numerical,3,36,114.0,192.01,124.0,130.0,0.98
Michael,numerical,3,37,115.5,183.26,126.0,123.0,2.1
Michael,numerical,3,38,117.0,173.8,126.0,117.0,1.35
Michael,numerical,3,39,118.5,163.68,127.0,113.0,1.86
Michael,numerical,3,40,120.0,152.97,127.0,107.0,1.13
Michael,numerical,3,41,121.5,141.74,127.0,101.0,0.4
Michael,numerical,3,42,123.0,130.09,128.0,96.0,0.79
Michael,numerical,3,43,124.5,118.1,128.0,89.0,0.06
Michael,numerical,3,44,126.0,105.89,129.0,85.0,0.45
Michael,numerical,3,45,127.5,93.59,130.0,79.0,0.71
Michael,numerical,3,46,129.0,81.32,130.0,73.0,0.03
Michael,numerical,3,47,130.5,69.22,130.0,67.0,0.78
Michael,numerical,3,48,132.0,57.42,132.0,63.0,0.7
Michael,numerical,3,49,133.5,46.06,132.0,57.0,0.05
Michael,numerical,3,50,135.0,42.0,132.0,51.0,0.84
Michael,numerical,3,51,136.5,42.0,134.0,46.0,0.45
Michael,numerical,3,52,138.0,42.0,136.0,40.0,2.0
Michael,numerical,3,53,139.5,42.0,138.0,37.0,5.0
Michael,numerical,3,54,141.0,42.0,144.0,37.0,5.0
Michael,numerical,3,55,142.5,42.0,149.0,35.0,7.0
Michael,numerical,3,56,144.0,42.0,155.0,37.0,5.0
Michael,numerical,3,57,145.5,42.0,159.0,38.0,4.0
Michael,numerical,3,58,147.0,42.0,164.0,42.0,3.35
Michael,numerical,3,59,148.5,42.0,165.0,46.0,3.17
Michael,numerical,3,60,150.0,42.0,165.0,51.0,2.53
Michael,numerical,3,61,151.5,42.0,165.0,57.0,1.86
Michael,numerical,3,62,153.0,42.0,166.0,61.0,2.41
Michael,numerical,3,63,154.5,42.0,168.0,66.0,3.87
Michael,numerical,3,64,156.0,42.0,168.0,71.0,3.35
Michael,numerical,3,65,157.5,42.0,169.0,78.0,3.63
Michael,numerical,3,66,159.0,42.0,169.0,84.0,3.03
Michael,numerical,3,67,160.5,42.0,169.0,91.0,2.33
Michael,numerical,3,68,162.0,47.02,169.0,98.0,1.66
Michael,numerical,3,69,163.5,60.3,170.0,104.0,2.08
Michael,numerical,3,70,165.0,74.47,171.0,109.0,2.61
Michael,numerical,3,71,166.5,89.39,172.0,113.0,3.23
Michael,numerical,3,72,168.0,104.91,173.0,121.0,3.48
Michael,numerical,3,73,169.5,120.89,174.0,128.0,3.83
Michael,numerical,3,74,171.0,137.17,174.0,137.0,3.0
Michael,numerical,3,75,172.5,153.58,174.0,143.0,2.46
Michael,numerical,3,76,174.0,169.97,174.0,151.0,1.73
Michael,numerical,3,77,175.5,186.19,174.0,161.0,0.82
Michael,numerical,3,78,177.0,202.09,174.0,167.0,0.27
Michael,numerical,3,79,178.5,217.52,174.0,174.0,0.37
Michael,numerical,3,80,180.0,232.35,175.0,178.0,0.26
Michael,numerical,3,81,181.5,246.45,176.0,183.0,0.79
Michael,numerical,3,82,183.0,259.72,177.0,189.0,1.23
Michael,numerical,3,83,184.5,272.05,177.0,195.0,0.67
Michael,numerical,3,84,186.0,283.37,178.0,201.0,1.1
Michael,numerical,3,85,187.5,293.6,179.0,206.0,1.61
Michael,numerical,3,86,189.0,302.7,180.0,213.0,1.93
Michael,numerical,3,87,190.5,310.62,181.0,217.0,2.54
Michael,numerical,3,88,192.0,317.35,181.0,225.0,1.73
Michael,numerical,3,89,193.5,322.89,181.0,230.0,1.23
Michael,numerical,3,90,195.0,327.24,181.0,237.0,0.5
Michael,numerical,3,91,196.5,330.45,181.0,242.0,0.03
Michael,numerical,3,92,198.0,332.55,182.0,248.0,0.32
Michael,numerical,3,93,199.5,333.6,184.0,253.0,1.75
Michael,numerical,3,94,201.0,333.68,185.0,258.0,2.18
Michael,numerical,3,95,202.5,332.85,186.0,265.0,2.34
Michael,numerical,3,96,204.0,331.22,186.0,273.0,1.36
Michael,numerical,3,97,205.5,328.88,186.0,280.0,0.44
Michael,numerical,3,98,207.0,325.93,186.0,286.0,0.38
Michael,numerical,3,99,208.5,322.47,188.0,293.0,0.58
Michael,numerical,3,100,210.0,318.62,188.0,298.0,0.22
Michael,numerical,3,101,211.5,314.48,190.0,304.0,0.74
Michael,numerical,3,102,213.0,310.15,192.0,313.0,0.95
Michael,numerical,3,103,214.5,305.73,192.0,319.0,0.43
Michael,numerical,3,104,216.0,301.33,195.0,323.0,1.38
Michael,numerical,3,105,217.5,297.02,198.0,327.0,2.82
Michael,numerical,3,106,219.0,292.88,201.0,331.0,2.35
Michael,numerical,3,107,220.5,288.98,204.0,331.0,0.12
Michael,numerical,3,108,222.0,285.37,206.0,325.0,1.29
Michael,numerical,3,109,223.5,282.1,209.0,321.0,0.07
Michael,numerical,3,110,225.0,279.19,212.0,315.0,0.65
Michael,numerical,3,111,226.5,276.66,216.0,309.0,2.47
Michael,numerical,3,112,228.0,274.52,218.0,303.0,2.43
Michael,numerical,3,113,229.5,272.75,218.0,296.0,0.12
Michael,numerical,3,114,231.0,271.33,220.0,293.0,0.98
Michael,numerical,3,115,232.5,270.23,224.0,286.0,2.08
Michael,numerical,3,116,234.0,269.38,226.0,283.0,2.64
Michael,numerical,3,117,235.5,268.75,228.0,279.0,2.48
Michael,numerical,3,118,237.0,268.25,231.0,273.0,1.21
Michael,numerical,3,119,238.5,267.81,235.0,270.0,0.96
Michael,numerical,3,120,240.0,267.35,238.0,266.0,1.88
Michael,numerical,3,121,241.5,266.78,241.0,263.0,3.59
