participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Michael,spatial-color,6,0,60.0,336.46,60.0,336.0,0.14
Michael,spatial-color,6,1,61.5,331.7,62.0,328.0,0.54
Michael,spatial-color,6,2,63.0,326.48,65.0,320.0,0.26
Michael,spatial-color,6,3,64.5,320.91,67.0,313.0,0.45
Michael,spatial-color,6,4,66.0,315.1,68.0,309.0,0.44
Michael,spatial-color,6,5,67.5,309.16,68.0,304.0,0.77
Michael,spatial-color,6,6,69.0,303.19,69.0,299.0,1.03
Michael,spatial-color,6,7,70.5,297.29,70.0,293.0,1.57
Michael,spatial-color,6,8,72.0,291.54,72.0,291.0,0.14
Michael,spatial-color,6,9,73.5,286.02,74.0,285.0,0.2
Michael,spatial-color,6,10,75.0,280.79,76.0,279.0,0.43
Michael,spatial-color,6,11,76.5,275.91,78.0,273.0,0.5
Michael,spatial-color,6,12,78.0,271.41,80.0,269.0,1.05
Michael,spatial-color,6,13,79.5,267.32,82.0,264.0,1.05
Michael,spatial-color,6,14,81.0,263.66,82.0,258.0,1.58
Michael,spatial-color,6,15,82.5,260.42,86.0,253.0,0.84
Michael,spatial-color,6,16,84.0,257.59,89.0,250.0,0.48
Michael,spatial-color,6,17,85.5,255.15,93.0,246.0,0.64
Michael,spatial-color,6,18,87.0,253.04,96.0,243.0,0.75
Michael,spatial-color,6,19,88.5,251.22,99.0,240.0,0.35
Michael,spatial-color,6,20,90.0,249.64,103.0,235.0,0.56
Michael,spatial-color,6,21,91.5,248.21,106.0,229.0,0.97
Michael,spatial-color,6,22,93.0,246.86,109.0,223.0,1.95
Michael,spatial-color,6,23,94.5,245.52,110.0,219.0,1.8
Michael,spatial-color,6,24,96.0,244.09,113.0,211.0,2.78
Michael,spatial-color,6,25,97.5,242.49,114.0,203.0,2.07
Michael,spatial-color,6,26,99.0,240.63,116.0,194.0,2.33
Michael,spatial-color,6,27,100.5,238.42,116.0,188.0,1.29
Michael,spatial-color,6,28,102.0,235.79,118.0,181.0,2.12
Michael,spatial-color,6,29,103.5,232.64,118.0,173.0,0.87
Michael,spatial-color,6,30,105.0,228.93,120.0,165.0,1.68
Michael,spatial-color,6,31,106.5,224.58,120.0,157.0,0.56
Michael,spatial-color,6,32,108.0,219.54,121.0,148.0,0.33
Michael,spatial-color,6,33,109.5,213.79,123.0,139.0,1.14
Michael,spatial-color,6,34,111.0,207.29,126.0,123.0,2.1
Michael,spatial-color,6,35,112.5,200.02,126.0,112.0,0.74
Michael,spatial-color,6,36,114.0,192.01,126.0,104.0,0.23
Michael,spatial-color,6,37,115.5,183.26,126.0,93.0,1.56
Michael,spatial-color,6,38,117.0,173.8,127.0,85.0,1.54
Michael,spatial-color,6,39,118.5,163.68,128.0,71.0,2.26
Michael,spatial-color,6,40,120.0,152.97,131.0,63.0,0.29
Michael,spatial-color,6,41,121.5,141.74,133.0,58.0,1.07
Michael,spatial-color,6,42,123.0,130.09,136.0,53.0,3.39
Michael,spatial-color,6,43,124.5,118.1,136.0,48.0,2.73
Michael,spatial-color,6,44,126.0,105.89,137.0,43.0,1.0
Michael,spatial-color,6,45,127.5,93.59,141.0,41.0,1.0
Michael,spatial-color,6,46,129.0,81.32,147.0,41.0,1.0
Michael,spatial-color,6,47,130.5,69.22,152.0,41.0,1.0
Michael,spatial-color,6,48,132.0,57.42,156.0,41.0,1.0
Michael,spatial-color,6,49,133.5,46.06,159.0,43.0,1.0
Michael,spatial-color,6,50,135.0,42.0,159.0,48.0,3.09
Michael,spatial-color,6,51,136.5,42.0,162.0,51.0,0.45
Michael,spatial-color,6,52,138.0,42.0,165.0,55.0,2.08
Michael,spatial-color,6,53,139.5,42.0,166.0,59.0,2.63
Michael,spatial-color,6,54,141.0,42.0,168.0,65.0,3.98
Michael,spatial-color,6,55,142.5,42.0,169.0,72.0,4.24
Michael,spatial-color,6,56,144.0,42.0,170.0,79.0,4.52
Michael,spatial-color,6,57,145.5,42.0,170.0,85.0,3.92
Michael,spatial-color,6,58,147.0,42.0,170.0,89.0,3.52
Michael,spatial-color,6,59,148.5,42.0,170.0,95.0,2.94
Michael,spatial-color,6,60,150.0,42.0,170.0,101.0,2.37
Michael,spatial-color,6,61,151.5,42.0,170.0,106.0,1.89
Michael,spatial-color,6,62,153.0,42.0,170.0,111.0,1.42
Michael,spatial-color,6,63,154.5,42.0,170.0,115.0,1.05
Michael,spatial-color,6,64,156.0,42.0,170.0,120.0,0.58
Michael,spatial-color,6,65,157.5,42.0,170.0,125.0,0.12
