participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Nareen,no-feedback,7,0,60.0,336.46,59.0,337.0,1.14
Nareen,no-feedback,7,1,61.5,331.7,63.0,324.0,0.65
Nareen,no-feedback,7,2,63.0,326.48,70.0,303.0,0.92
Nareen,no-feedback,7,3,64.5,320.91,71.0,297.0,0.41
Nareen,no-feedback,7,4,66.0,315.1,72.0,295.0,0.87
Nareen,no-feedback,7,5,67.5,309.16,72.0,291.0,0.14
Nareen,no-feedback,7,6,69.0,303.19,73.0,288.0,0.04
Nareen,no-feedback,7,7,70.5,297.29,74.0,281.0,0.9
Nareen,no-feedback,7,8,72.0,291.54,75.0,275.0,1.71
Nareen,no-feedback,7,9,73.5,286.02,76.0,271.0,2.03
Nareen,no-feedback,7,10,75.0,280.79,78.0,266.0,1.89
Nareen,no-feedback,7,11,76.5,275.91,79.0,263.0,2.1
Nareen,no-feedback,7,12,78.0,271.41,82.0,259.0,1.11
Nareen,no-feedback,7,13,79.5,267.32,87.0,254.0,0.56
Nareen,no-feedback,7,14,81.0,263.66,89.0,253.0,1.52
Nareen,no-feedback,7,15,82.5,260.42,92.0,250.0,1.64
Nareen,no-feedback,7,16,84.0,257.59,96.0,245.0,0.66
Nareen,no-feedback,7,17,85.5,255.15,99.0,241.0,0.23
Nareen,no-feedback,7,18,87.0,253.04,102.0,238.0,1.09
Nareen,no-feedback,7,19,88.5,251.22,104.0,235.0,1.47
Nareen,no-feedback,7,20,90.0,249.64,104.0,230.0,0.53
Nareen,no-feedback,7,21,91.5,248.21,104.0,225.0,2.23
Nareen,no-feedback,7,22,93.0,246.86,104.0,222.0,3.13
Nareen,no-feedback,7,23,94.5,245.52,106.0,211.0,4.04
Nareen,no-feedback,7,24,96.0,244.09,107.0,199.0,5.59
Nareen,no-feedback,7,25,97.5,242.49,108.0,194.0,5.53
Nareen,no-feedback,7,26,99.0,240.63,110.0,189.0,4.45
Nareen,no-feedback,7,27,100.5,238.42,111.0,184.0,4.31
Nareen,no-feedback,7,28,102.0,235.79,113.0,177.0,3.45
Nareen,no-feedback,7,29,103.5,232.64,114.0,173.0,3.08
Nareen,no-feedback,7,30,105.0,228.93,114.0,169.0,3.67
Nareen,no-feedback,7,31,106.5,224.58,117.0,162.0,1.72
Nareen,no-feedback,7,32,108.0,219.54,118.0,154.0,1.84
Nareen,no-feedback,7,33,109.5,213.79,119.0,147.0,1.78
Nareen,no-feedback,7,34,111.0,207.29,120.0,139.0,1.84
Nareen,no-feedback,7,35,112.5,200.02,123.0,127.0,0.38
Nareen,no-feedback,7,36,114.0,192.01,124.0,119.0,0.38
Nareen,no-feedback,7,37,115.5,183.26,124.0,114.0,1.0
Nareen,no-feedback,7,38,117.0,173.8,125.0,107.0,0.86
Nareen,no-feedback,7,39,118.5,163.68,125.0,104.0,1.22
Nareen,no-feedback,7,40,120.0,152.97,126.0,99.0,0.83
Nareen,no-feedback,7,41,121.5,141.74,128.0,91.0,0.18
Nareen,no-feedback,7,42,123.0,130.09,129.0,84.0,0.32
Nareen,no-feedback,7,43,124.5,118.1,130.0,79.0,0.71
Nareen,no-feedback,7,44,126.0,105.89,130.0,69.0,0.52
Nareen,no-feedback,7,45,127.5,93.59,130.0,58.0,1.91
Nareen,no-feedback,7,46,129.0,81.32,130.0,51.0,2.82
Nareen,no-feedback,7,47,130.5,69.22,131.0,48.0,2.22
Nareen,no-feedback,7,48,132.0,57.42,134.0,43.0,0.59
Nareen,no-feedback,7,49,133.5,46.06,136.0,39.0,3.0
Nareen,no-feedback,7,50,135.0,42.0,140.0,39.0,3.0
Nareen,no-feedback,7,51,136.5,42.0,143.0,39.0,3.0
Nareen,no-feedback,7,52,138.0,42.0,146.0,39.0,3.0
Nareen,no-feedback,7,53,139.5,42.0,149.0,40.0,2.0
Nareen,no-feedback,7,54,141.0,42.0,153.0,40.0,2.0
Nareen,no-feedback,7,55,142.5,42.0,156.0,40.0,2.0
Nareen,no-feedback,7,56,144.0,42.0,160.0,42.0,0.0
Nareen,no-feedback,7,57,145.5,42.0,162.0,44.0,0.86
Nareen,no-feedback,7,58,147.0,42.0,164.0,46.0,2.21
Nareen,no-feedback,7,59,148.5,42.0,165.0,54.0,2.2
Nareen,no-feedback,7,60,150.0,42.0,166.0,63.0,2.2
Nareen,no-feedback,7,61,151.5,42.0,166.0,69.0,1.57
Nareen,no-feedback,7,62,153.0,42.0,166.0,75.0,0.94
Nareen,no-feedback,7,63,154.5,42.0,167.0,81.0,1.34
Nareen,no-feedback,7,64,156.0,42.0,169.0,87.0,2.73
Nareen,no-feedback,7,65,157.5,42.0,170.0,92.0,3.23
Nareen,no-feedback,7,66,159.0,42.0,170.0,97.0,2.75
Nareen,no-feedback,7,67,160.5,42.0,170.0,103.0,2.17
Nareen,no-feedback,7,68,162.0,47.02,170.0,107.0,1.8
Nareen,no-feedback,7,69,163.5,60.3,170.0,112.0,1.33
Nareen,no-feedback,7,70,165.0,74.47,170.0,117.0,0.86
Nareen,no-feedback,7,71,166.5,89.39,168.0,123.0,1.69
Nareen,no-feedback,7,72,168.0,104.91,167.0,124.0,2.77
Nareen,no-feedback,7,73,169.5,120.89,168.0,130.0,2.33
Nareen,no-feedback,7,74,171.0,137.17,168.0,136.0,2.88
Nareen,no-feedback,7,75,172.5,153.58,168.0,141.0,3.34
Nareen,no-feedback,7,76,174.0,169.97,169.0,146.0,2.8
Nareen,no-feedback,7,77,175.5,186.19,170.0,152.0,2.35
Nareen,no-feedback,7,78,177.0,202.09,170.0,161.0,3.17
Nareen,no-feedback,7,79,178.5,217.52,170.0,165.0,3.53
Nareen,no-feedback,7,80,180.0,232.35,172.0,169.0,1.9
Nareen,no-feedback,7,81,181.5,246.45,172.0,173.0,2.27
Nareen,no-feedback,7,82,183.0,259.72,174.0,179.0,0.83
Nareen,no-feedback,7,83,184.5,272.05,174.0,185.0,1.38
Nareen,no-feedback,7,84,186.0,283.37,174.0,190.0,1.85
Nareen,no-feedback,7,85,187.5,293.6,175.0,197.0,1.51
Nareen,no-feedback,7,86,189.0,302.7,176.0,203.0,1.08
Nareen,no-feedback,7,87,190.5,310.62,177.0,208.0,0.57
Nareen,no-feedback,7,88,192.0,317.35,178.0,213.0,0.06
Nareen,no-feedback,7,89,193.5,322.89,178.0,219.0,0.65
Nareen,no-feedback,7,90,195.0,327.24,178.0,224.0,1.15
Nareen,no-feedback,7,91,196.5,330.45,178.0,228.0,1.55
Nareen,no-feedback,7,92,198.0,332.55,178.0,233.0,2.06
Nareen,no-feedback,7,93,199.5,333.6,178.0,239.0,2.69
Nareen,no-feedback,7,94,201.0,333.68,179.0,244.0,2.23
Nareen,no-feedback,7,95,202.5,332.85,180.0,249.0,1.78
Nareen,no-feedback,7,96,204.0,331.22,181.0,255.0,1.46
Nareen,no-feedback,7,97,205.5,328.88,182.0,261.0,1.15
Nareen,no-feedback,7,98,207.0,325.93,183.0,267.0,0.88
Nareen,no-feedback,7,99,208.5,322.47,184.0,272.0,0.49
Nareen,no-feedback,7,100,210.0,318.62,186.0,278.0,0.71
Nareen,no-feedback,7,101,211.5,314.48,186.0,283.0,0.05
Nareen,no-feedback,7,102,213.0,310.15,186.0,288.0,0.67
Nareen,no-feedback,7,103,214.5,305.73,187.0,293.0,0.41
Nareen,no-feedback,7,104,216.0,301.33,188.0,296.0,0.1
Nareen,no-feedback,7,105,217.5,297.02,188.0,300.0,0.55
Nareen,no-feedback,7,106,219.0,292.88,189.0,304.0,0.24
Nareen,no-feedback,7,107,220.5,288.98,191.0,311.0,0.41
Nareen,no-feedback,7,108,222.0,285.37,192.0,315.0,0.51
Nareen,no-feedback,7,109,223.5,282.1,193.0,318.0,0.79
Nareen,no-feedback,7,110,225.0,279.19,195.0,321.0,1.94
Nareen,no-feedback,7,111,226.5,276.66,196.0,324.0,2.0
Nareen,no-feedback,7,112,228.0,274.52,199.0,326.0,4.15
Nareen,no-feedback,7,113,229.5,272.75,200.0,329.0,3.69
Nareen,no-feedback,7,114,231.0,271.33,204.0,328.0,1.74
Nareen,no-feedback,7,115,232.5,270.23,206.0,325.0,1.29
Nareen,no-feedback,7,116,234.0,269.38,208.0,321.0,1.0
Nareen,no-feedback,7,117,235.5,268.75,208.0,318.0,2.09
Nareen,no-feedback,7,118,237.0,268.25,210.0,314.0,1.57
Nareen,no-feedback,7,119,238.5,267.81,211.0,310.0,1.94
Nareen,no-feedback,7,120,240.0,267.35,215.0,305.0,0.24
Nareen,no-feedback,7,121,241.5,266.78,218.0,297.0,0.46
Nareen,no-feedback,7,122,243.0,266.01,220.0,294.0,1.32
Nareen,no-feedback,7,123,244.5,264.96,221.0,290.0,0.83
Nareen,no-feedback,7,124,246.0,263.52,223.0,287.0,1.55
Nareen,no-feedback,7,125,247.5,261.62,225.0,283.0,1.74
Nareen,no-feedback,7,126,249.0,259.18,227.0,279.0,1.62
Nareen,no-feedback,7,127,250.5,256.1,228.0,276.0,0.85
Nareen,no-feedback,7,128,252.0,252.34,232.0,271.0,0.32
Nareen,no-feedback,7,129,253.5,247.83,234.0,267.0,2.2
Nareen,no-feedback,7,130,255.0,242.52,236.0,263.0,5.32
Nareen,no-feedback,7,131,256.5,236.39,240.0,260.0,6.64
Nareen,no-feedback,7,132,258.0,229.4,246.0,255.0,4.53
Nareen,no-feedback,7,133,259.5,221.57,249.0,252.0,2.91
Nareen,no-feedback,7,134,261.0,212.88,253.0,248.0,0.42
Nareen,no-feedback,7,135,262.5,203.38,256.0,246.0,1.91
Nareen,no-feedback,7,136,264.0,193.09,256.0,241.0,0.61
Nareen,no-feedback,7,137,265.5,182.08,256.0,237.0,0.34
Nareen,no-feedback,7,138,267.0,170.41,258.0,229.0,0.08
Nareen,no-feedback,7,139,268.5,158.17,259.0,219.0,0.93
Nareen,no-feedback,7,140,270.0,145.45,260.0,214.0,0.8
