participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Nareen,numerical,8,0,60.0,336.46,58.0,336.0,2.05
Nareen,numerical,8,1,61.5,331.7,60.0,329.0,2.19
Nareen,numerical,8,2,63.0,326.48,63.0,319.0,1.93
Nareen,numerical,8,3,64.5,320.91,65.0,313.0,1.48
Nareen,numerical,8,4,66.0,315.1,66.0,308.0,1.74
Nareen,numerical,8,5,67.5,309.16,66.0,303.0,2.96
Nareen,numerical,8,6,69.0,303.19,68.0,297.0,2.49
Nareen,numerical,8,7,70.5,297.29,69.0,292.0,2.79
Nareen,numerical,8,8,72.0,291.54,71.0,285.0,2.68
Nareen,numerical,8,9,73.5,286.02,74.0,279.0,1.48
Nareen,numerical,8,10,75.0,280.79,76.0,274.0,1.08
Nareen,numerical,8,11,76.5,275.91,78.0,268.0,1.17
Nareen,numerical,8,12,78.0,271.41,80.0,263.0,1.19
Nareen,numerical,8,13,79.5,267.32,83.0,257.0,1.16
Nareen,numerical,8,14,81.0,263.66,86.0,254.0,0.26
Nareen,numerical,8,15,82.5,260.42,89.0,251.0,0.21
Nareen,numerical,8,16,84.0,257.59,93.0,250.0,2.33
Nareen,numerical,8,17,85.5,255.15,97.0,247.0,2.79
Nareen,numerical,8,18,87.0,253.04,100.0,242.0,1.64
Nareen,numerical,8,19,88.5,251.22,100.0,238.0,0.64
Nareen,numerical,8,20,90.0,249.64,104.0,226.0,1.9
Nareen,numerical,8,21,91.5,248.21,108.0,218.0,0.39
Nareen,numerical,8,22,93.0,246.86,111.0,212.0,1.06
Nareen,numerical,8,23,94.5,245.52,112.0,205.0,0.52
Nareen,numerical,8,24,96.0,244.09,113.0,196.0,0.25
Nareen,numerical,8,25,97.5,242.49,114.0,189.0,0.51
Nareen,numerical,8,26,99.0,240.63,116.0,183.0,0.45
Nareen,numerical,8,27,100.5,238.42,117.0,179.0,0.81
Nareen,numerical,8,28,102.0,235.79,117.0,174.0,0.03
Nareen,numerical,8,29,103.5,232.64,117.0,169.0,0.7
Nareen,numerical,8,30,105.0,228.93,118.0,163.0,0.59
Nareen,numerical,8,31,106.5,224.58,119.0,158.0,0.29
Nareen,numerical,8,32,108.0,219.54,119.0,141.0,2.57
Nareen,numerical,8,33,109.5,213.79,119.0,133.0,3.6
Nareen,numerical,8,34,111.0,207.29,119.0,127.0,4.35
Nareen,numerical,8,35,112.5,200.02,122.0,119.0,2.37
Nareen,numerical,8,36,114.0,192.01,123.0,108.0,2.72
Nareen,numerical,8,37,115.5,183.26,125.0,100.0,1.71
Nareen,numerical,8,38,117.0,173.8,128.0,92.0,0.3
Nareen,numerical,8,39,118.5,163.68,132.0,83.0,3.18
Nareen,numerical,8,40,120.0,152.97,132.0,77.0,2.45
Nareen,numerical,8,41,121.5,141.74,132.0,71.0,1.71
Nareen,numerical,8,42,123.0,130.09,132.0,65.0,0.96
Nareen,numerical,8,43,124.5,118.1,132.0,59.0,0.2
Nareen,numerical,8,44,126.0,105.89,134.0,53.0,1.4
Nareen,numerical,8,45,127.5,93.59,136.0,48.0,2.73
Nareen,numerical,8,46,129.0,81.32,137.0,44.0,2.0
Nareen,numerical,8,47,130.5,69.22,138.0,40.0,2.0
Nareen,numerical,8,48,132.0,57.42,141.0,37.0,5.0
Nareen,numerical,8,49,133.5,46.06,147.0,38.0,4.0
Nareen,numerical,8,50,135.0,42.0,152.0,39.0,3.0
Nareen,numerical,8,51,136.5,42.0,158.0,40.0,2.0
Nareen,numerical,8,52,138.0,42.0,162.0,42.0,1.44
Nareen,numerical,8,53,139.5,42.0,159.0,47.0,2.87
Nareen,numerical,8,54,141.0,42.0,159.0,53.0,3.65
Nareen,numerical,8,55,142.5,42.0,159.0,59.0,4.33
Nareen,numerical,8,56,144.0,42.0,162.0,65.0,1.99
Nareen,numerical,8,57,145.5,42.0,165.0,71.0,0.36
Nareen,numerical,8,58,147.0,42.0,168.0,77.0,2.73
Nareen,numerical,8,59,148.5,42.0,169.0,85.0,2.93
Nareen,numerical,8,60,150.0,42.0,169.0,90.0,2.43
Nareen,numerical,8,61,151.5,42.0,169.0,95.0,1.95
Nareen,numerical,8,62,153.0,42.0,169.0,100.0,1.47
Nareen,numerical,8,63,154.5,42.0,170.0,105.0,1.98
Nareen,numerical,8,64,156.0,42.0,170.0,112.0,1.33
Nareen,numerical,8,65,157.5,42.0,171.0,116.0,1.95
Nareen,numerical,8,66,159.0,42.0,172.0,121.0,2.48
Nareen,numerical,8,67,160.5,42.0,172.0,125.0,2.11
Nareen,numerical,8,68,162.0,47.02,172.0,130.0,1.65
Nareen,numerical,8,69,163.5,60.3,173.0,135.0,2.19
Nareen,numerical,8,70,165.0,74.47,173.0,141.0,1.64
Nareen,numerical,8,71,166.5,89.39,173.0,147.0,1.1
Nareen,numerical,8,72,168.0,104.91,173.0,152.0,0.64
Nareen,numerical,8,73,169.5,120.89,173.0,158.0,0.1
Nareen,numerical,8,74,171.0,137.17,173.0,165.0,0.54
Nareen,numerical,8,75,172.5,153.58,173.0,172.0,1.18
Nareen,numerical,8,76,174.0,169.97,174.0,179.0,0.83
Nareen,numerical,8,77,175.5,186.19,174.0,178.0,0.74
Nareen,numerical,8,78,177.0,202.09,175.0,189.0,0.76
Nareen,numerical,8,79,178.5,217.52,176.0,200.0,0.8
Nareen,numerical,8,80,180.0,232.35,176.0,207.0,1.47
Nareen,numerical,8,81,181.5,246.45,176.0,213.0,2.05
Nareen,numerical,8,82,183.0,259.72,176.0,221.0,2.84
Nareen,numerical,8,83,184.5,272.05,178.0,230.0,1.75
Nareen,numerical,8,84,186.0,283.37,179.0,237.0,1.49
Nareen,numerical,8,85,187.5,293.6,179.0,244.0,2.23
Nareen,numerical,8,86,189.0,302.7,180.0,250.0,1.89
Nareen,numerical,8,87,190.5,310.62,181.0,255.0,1.46
Nareen,numerical,8,88,192.0,317.35,183.0,261.0,0.15
Nareen,numerical,8,89,193.5,322.89,185.0,269.0,0.87
Nareen,numerical,8,90,195.0,327.24,186.0,276.0,0.97
Nareen,numerical,8,91,196.5,330.45,186.0,282.0,0.18
Nareen,numerical,8,92,198.0,332.55,187.0,287.0,0.46
Nareen,numerical,8,93,199.5,333.6,188.0,293.0,0.58
Nareen,numerical,8,94,201.0,333.68,189.0,297.0,0.93
Nareen,numerical,8,95,202.5,332.85,190.0,302.0,1.1
Nareen,numerical,8,96,204.0,331.22,191.0,308.0,0.98
Nareen,numerical,8,97,205.5,328.88,192.0,314.0,0.73
Nareen,numerical,8,98,207.0,325.93,194.0,318.0,1.76
Nareen,numerical,8,99,208.5,322.47,198.0,322.0,4.54
Nareen,numerical,8,100,210.0,318.62,200.0,326.0,5.06
Nareen,numerical,8,101,211.5,314.48,203.0,329.0,2.04
Nareen,numerical,8,102,213.0,310.15,207.0,327.0,0.49
Nareen,numerical,8,103,214.5,305.73,210.0,324.0,1.98
Nareen,numerical,8,104,216.0,301.33,211.0,319.0,1.07
Nareen,numerical,8,105,217.5,297.02,211.0,314.0,0.63
Nareen,numerical,8,106,219.0,292.88,211.0,309.0,2.26
Nareen,numerical,8,107,220.5,288.98,212.0,303.0,3.25
Nareen,numerical,8,108,222.0,285.37,216.0,299.0,0.77
Nareen,numerical,8,109,223.5,282.1,222.0,293.0,2.84
Nareen,numerical,8,110,225.0,279.19,226.0,291.0,5.86
Nareen,numerical,8,111,226.5,276.66,228.0,288.0,6.55
Nareen,numerical,8,112,228.0,274.52,230.0,284.0,6.65
Nareen,numerical,8,113,229.5,272.75,233.0,280.0,7.24
Nareen,numerical,8,114,231.0,271.33,237.0,274.0,5.42
Nareen,numerical,8,115,232.5,270.23,240.0,269.0,1.58
Nareen,numerical,8,116,234.0,269.38,245.0,264.0,0.35
Nareen,numerical,8,117,235.5,268.75,249.0,260.0,0.43
Nareen,numerical,8,118,237.0,268.25,252.0,257.0,1.74
Nareen,numerical,8,119,238.5,267.81,253.0,252.0,0.84
Nareen,numerical,8,120,240.0,267.35,254.0,246.0,0.02
Nareen,numerical,8,121,241.5,266.78,256.0,236.0,0.57
Nareen,numerical,8,122,243.0,266.01,258.0,228.0,0.26
Nareen,numerical,8,123,244.5,264.96,258.0,222.0,1.39
Nareen,numerical,8,124,246.0,263.52,262.0,211.0,0.69
Nareen,numerical,8,125,247.5,261.62,263.0,203.0,0.44
Nareen,numerical,8,126,249.0,259.18,264.0,197.0,0.56
Nareen,numerical,8,127,250.5,256.1,265.0,191.0,0.71
Nareen,numerical,8,128,252.0,252.34,266.0,183.0,0.62
Nareen,numerical,8,129,253.5,247.83,266.0,173.0,0.66
Nareen,numerical,8,130,255.0,242.52,267.0,167.0,0.41
Nareen,numerical,8,131,256.5,236.39,268.0,161.0,0.15
Nareen,numerical,8,132,258.0,229.4,270.0,155.0,1.12
Nareen,numerical,8,133,259.5,221.57,270.0,149.0,0.42
Nareen,numerical,8,134,261.0,212.88,270.0,144.0,0.16
Nareen,numerical,8,135,262.5,203.38,270.0,138.0,0.85
Nareen,numerical,8,136,264.0,193.09,270.0,132.0,1.53
Nareen,numerical,8,137,265.5,182.08,271.0,127.0,1.1
Nareen,numerical,8,138,267.0,170.41,271.0,121.0,1.77
Nareen,numerical,8,139,268.5,158.17,275.0,103.0,0.21
Nareen,numerical,8,140,270.0,145.45,277.0,93.0,1.09
Nareen,numerical,8,141,271.5,132.35,278.0,85.0,1.19
Nareen,numerical,8,142,273.0,119.01,278.0,76.0,0.18
Nareen,numerical,8,143,274.5,105.55,278.0,71.0,0.4
Nareen,numerical,8,144,276.0,92.09,278.0,65.0,1.09
Nareen,numerical,8,145,277.5,78.79,279.0,60.0,0.69
Nareen,numerical,8,146,279.0,65.78,280.0,56.0,0.17
Nareen,numerical,8,147,280.5,53.21,281.0,52.0,0.33
Nareen,numerical,8,148,282.0,42.0,282.0,47.0,0.66
Nareen,numerical,8,149,283.5,42.0,284.0,42.0,0.0
Nareen,numerical,8,150,285.0,42.0,290.0,41.0,1.0
Nareen,numerical,8,151,286.5,42.0,295.0,39.0,3.0
Nareen,numerical,8,152,288.0,42.0,301.0,39.0,3.0
Nareen,numerical,8,153,289.5,42.0,306.0,39.0,3.0
Nareen,numerical,8,154,291.0,42.0,309.0,42.0,0.0
Nareen,numerical,8,155,292.5,42.0,310.0,46.0,0.23
Nareen,numerical,8,156,294.0,42.0,310.0,51.0,0.96
Nareen,numerical,8,157,295.5,42.0,310.0,56.0,1.52
Nareen,numerical,8,158,297.0,42.0,310.0,61.0,2.07
Nareen,numerical,8,159,298.5,42.0,312.0,67.0,0.72
Nareen,numerical,8,160,300.0,42.0,313.0,71.0,0.14
Nareen,numerical,8,161,301.5,42.0,313.0,75.0,0.56
Nareen,numerical,8,162,303.0,42.0,315.0,85.0,0.42
Nareen,numerical,8,163,304.5,42.0,316.0,93.0,0.62
Nareen,numerical,8,164,306.0,42.0,316.0,100.0,0.06
Nareen,numerical,8,165,307.5,42.0,316.0,106.0,0.64
Nareen,numerical,8,166,309.0,42.0,319.0,115.0,1.48
Nareen,numerical,8,167,310.5,46.82,322.0,127.0,3.33
Nareen,numerical,8,168,312.0,60.21,324.0,137.0,4.37
Nareen,numerical,8,169,313.5,74.37,324.0,145.0,3.62
