participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Nareen,spatial-color,9,0,60.0,336.46,60.0,337.0,0.54
Nareen,spatial-color,9,1,61.5,331.7,60.0,331.0,1.64
Nareen,spatial-color,9,2,63.0,326.48,60.0,323.0,3.8
Nareen,spatial-color,9,3,64.5,320.91,63.0,319.0,1.93
Nareen,spatial-color,9,4,66.0,315.1,64.0,314.0,2.21
Nareen,spatial-color,9,5,67.5,309.16,66.0,309.0,1.49
Nareen,spatial-color,9,6,69.0,303.19,68.0,304.0,0.77
Nareen,spatial-color,9,7,70.5,297.29,70.0,296.0,0.81
Nareen,spatial-color,9,8,72.0,291.54,72.0,291.0,0.14
Nareen,spatial-color,9,9,73.5,286.02,72.0,285.0,1.72
Nareen,spatial-color,9,10,75.0,280.79,74.0,280.0,1.19
Nareen,spatial-color,9,11,76.5,275.91,76.0,274.0,1.08
Nareen,spatial-color,9,12,78.0,271.41,78.0,269.0,0.83
Nareen,spatial-color,9,13,79.5,267.32,79.0,264.0,1.72
Nareen,spatial-color,9,14,81.0,263.66,80.0,259.0,2.88
Nareen,spatial-color,9,15,82.5,260.42,83.0,255.0,2.21
Nareen,spatial-color,9,16,84.0,257.59,86.0,249.0,3.34
Nareen,spatial-color,9,17,85.5,255.15,88.0,245.0,4.74
Nareen,spatial-color,9,18,87.0,253.04,93.0,239.0,5.67
Nareen,spatial-color,9,19,88.5,251.22,97.0,236.0,4.24
Nareen,spatial-color,9,20,90.0,249.64,102.0,232.0,1.63
Nareen,spatial-color,9,21,91.5,248.21,105.0,224.0,1.6
Nareen,spatial-color,9,22,93.0,246.86,106.0,220.0,1.79
Nareen,spatial-color,9,23,94.5,245.52,108.0,213.0,1.64
Nareen,spatial-color,9,24,96.0,244.09,109.0,209.0,1.56
Nareen,spatial-color,9,25,97.5,242.49,110.0,205.0,1.44
Nareen,spatial-color,9,26,99.0,240.63,111.0,200.0,1.47
Nareen,spatial-color,9,27,100.5,238.42,111.0,194.0,2.58
Nareen,spatial-color,9,28,102.0,235.79,113.0,187.0,1.83
Nareen,spatial-color,9,29,103.5,232.64,114.0,181.0,1.83
Nareen,spatial-color,9,30,105.0,228.93,115.0,176.0,1.63
Nareen,spatial-color,9,31,106.5,224.58,115.0,172.0,2.24
Nareen,spatial-color,9,32,108.0,219.54,116.0,165.0,2.28
Nareen,spatial-color,9,33,109.5,213.79,117.0,158.0,2.27
Nareen,spatial-color,9,34,111.0,207.29,120.0,153.0,0.0
Nareen,spatial-color,9,35,112.5,200.02,121.0,147.0,0.2
Nareen,spatial-color,9,36,114.0,192.01,121.0,141.0,0.59
Nareen,spatial-color,9,37,115.5,183.26,122.0,135.0,0.36
Nareen,spatial-color,9,38,117.0,173.8,122.0,129.0,1.13
Nareen,spatial-color,9,39,118.5,163.68,124.0,121.0,0.14
Nareen,spatial-color,9,40,120.0,152.97,124.0,114.0,1.0
Nareen,spatial-color,9,41,121.5,141.74,125.0,111.0,0.37
Nareen,spatial-color,9,42,123.0,130.09,126.0,105.0,0.11
Nareen,spatial-color,9,43,124.5,118.1,126.0,98.0,0.96
Nareen,spatial-color,9,44,126.0,105.89,127.0,90.0,0.93
Nareen,spatial-color,9,45,127.5,93.59,128.0,87.0,0.3
Nareen,spatial-color,9,46,129.0,81.32,129.0,81.0,0.04
Nareen,spatial-color,9,47,130.5,69.22,131.0,74.0,1.08
Nareen,spatial-color,9,48,132.0,57.42,133.0,65.0,1.95
Nareen,spatial-color,9,49,133.5,46.06,133.0,60.0,1.32
Nareen,spatial-color,9,50,135.0,42.0,133.0,56.0,0.81
Nareen,spatial-color,9,51,136.5,42.0,133.0,51.0,0.15
Nareen,spatial-color,9,52,138.0,42.0,134.0,46.0,0.45
Nareen,spatial-color,9,53,139.5,42.0,136.0,41.0,1.0
Nareen,spatial-color,9,54,141.0,42.0,139.0,39.0,3.0
Nareen,spatial-color,9,55,142.5,42.0,141.0,37.0,5.0
Nareen,spatial-color,9,56,144.0,42.0,145.0,36.0,6.0
Nareen,spatial-color,9,57,145.5,42.0,150.0,36.0,6.0
Nareen,spatial-color,9,58,147.0,42.0,153.0,39.0,3.0
Nareen,spatial-color,9,59,148.5,42.0,156.0,41.0,1.0
Nareen,spatial-color,9,60,150.0,42.0,159.0,43.0,1.0
Nareen,spatial-color,9,61,151.5,42.0,158.0,48.0,4.09
Nareen,spatial-color,9,62,153.0,42.0,158.0,53.0,4.65
Nareen,spatial-color,9,63,154.5,42.0,161.0,55.0,1.89
Nareen,spatial-color,9,64,156.0,42.0,164.0,57.0,0.87
Nareen,spatial-color,9,65,157.5,42.0,164.0,62.0,0.32
Nareen,spatial-color,9,66,159.0,42.0,164.0,67.0,0.21
Nareen,spatial-color,9,67,160.5,42.0,166.0,71.0,1.36
Nareen,spatial-color,9,68,162.0,47.02,167.0,75.0,1.94
Nareen,spatial-color,9,69,163.5,60.3,168.0,79.0,2.53
Nareen,spatial-color,9,70,165.0,74.47,168.0,84.0,2.03
Nareen,spatial-color,9,71,166.5,89.39,168.0,89.0,1.53
Nareen,spatial-color,9,72,168.0,104.91,169.0,94.0,2.04
Nareen,spatial-color,9,73,169.5,120.89,169.0,98.0,1.66
Nareen,spatial-color,9,74,171.0,137.17,170.0,103.0,2.17
Nareen,spatial-color,9,75,172.5,153.58,170.0,108.0,1.7
Nareen,spatial-color,9,76,174.0,169.97,170.0,113.0,1.24
Nareen,spatial-color,9,77,175.5,186.19,170.0,118.0,0.77
Nareen,spatial-color,9,78,177.0,202.09,170.0,122.0,0.4
Nareen,spatial-color,9,79,178.5,217.52,170.0,128.0,0.15
Nareen,spatial-color,9,80,180.0,232.35,171.0,133.0,0.38
Nareen,spatial-color,9,81,181.5,246.45,172.0,139.0,0.83
Nareen,spatial-color,9,82,183.0,259.72,172.0,144.0,0.37
Nareen,spatial-color,9,83,184.5,272.05,172.0,148.0,0.01
Nareen,spatial-color,9,84,186.0,283.37,172.0,154.0,0.54
Nareen,spatial-color,9,85,187.5,293.6,172.0,161.0,1.17
Nareen,spatial-color,9,86,189.0,302.7,172.0,167.0,1.72
Nareen,spatial-color,9,87,190.5,310.62,174.0,171.0,0.09
Nareen,spatial-color,9,88,192.0,317.35,174.0,177.0,0.65
Nareen,spatial-color,9,89,193.5,322.89,174.0,186.0,1.48
Nareen,spatial-color,9,90,195.0,327.24,174.0,196.0,2.41
Nareen,spatial-color,9,91,196.5,330.45,176.0,205.0,1.28
Nareen,spatial-color,9,92,198.0,332.55,177.0,210.0,0.77
Nareen,spatial-color,9,93,199.5,333.6,179.0,218.0,0.45
Nareen,spatial-color,9,94,201.0,333.68,179.0,224.0,0.15
Nareen,spatial-color,9,95,202.5,332.85,179.0,231.0,0.86
Nareen,spatial-color,9,96,204.0,331.22,179.0,236.0,1.38
Nareen,spatial-color,9,97,205.5,328.88,180.0,240.0,0.81
Nareen,spatial-color,9,98,207.0,325.93,182.0,249.0,0.21
Nareen,spatial-color,9,99,208.5,322.47,184.0,257.0,1.3
Nareen,spatial-color,9,100,210.0,318.62,184.0,260.0,0.96
Nareen,spatial-color,9,101,211.5,314.48,183.0,269.0,1.12
Nareen,spatial-color,9,102,213.0,310.15,183.0,275.0,1.87
Nareen,spatial-color,9,103,214.5,305.73,183.0,281.0,2.66
Nareen,spatial-color,9,104,216.0,301.33,184.0,287.0,2.51
Nareen,spatial-color,9,105,217.5,297.02,184.0,292.0,3.23
Nareen,spatial-color,9,106,219.0,292.88,184.0,297.0,4.01
Nareen,spatial-color,9,107,220.5,288.98,185.0,301.0,3.67
Nareen,spatial-color,9,108,222.0,285.37,188.0,305.0,1.41
Nareen,spatial-color,9,109,223.5,282.1,191.0,308.0,0.98
Nareen,spatial-color,9,110,225.0,279.19,193.0,312.0,2.14
Nareen,spatial-color,9,111,226.5,276.66,193.0,316.0,1.27
Nareen,spatial-color,9,112,228.0,274.52,193.0,322.0,0.25
Nareen,spatial-color,9,113,229.5,272.75,193.0,327.0,1.81
Nareen,spatial-color,9,114,231.0,271.33,195.0,331.0,1.59
Nareen,spatial-color,9,115,232.5,270.23,198.0,334.0,1.19
Nareen,spatial-color,9,116,234.0,269.38,202.0,334.0,0.76
Nareen,spatial-color,9,117,235.5,268.75,206.0,332.0,2.1
Nareen,spatial-color,9,118,237.0,268.25,208.0,328.0,1.83
