participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Rahi,no-feedback,10,0,60.0,336.46,58.0,335.0,2.35
Rahi,no-feedback,10,1,61.5,331.7,61.0,329.0,1.23
Rahi,no-feedback,10,2,63.0,326.48,62.0,325.0,1.35
Rahi,no-feedback,10,3,64.5,320.91,63.0,321.0,1.43
Rahi,no-feedback,10,4,66.0,315.1,66.0,317.0,0.47
Rahi,no-feedback,10,5,67.5,309.16,67.0,313.0,0.45
Rahi,no-feedback,10,6,69.0,303.19,69.0,309.0,1.41
Rahi,no-feedback,10,7,70.5,297.29,71.0,305.0,2.38
Rahi,no-feedback,10,8,72.0,291.54,74.0,299.0,3.81
Rahi,no-feedback,10,9,73.5,286.02,76.0,292.0,3.98
Rahi,no-feedback,10,10,75.0,280.79,79.0,283.0,4.45
Rahi,no-feedback,10,11,76.5,275.91,82.0,278.0,5.87
Rahi,no-feedback,10,12,78.0,271.41,84.0,270.0,5.15
Rahi,no-feedback,10,13,79.5,267.32,87.0,264.0,5.59
Rahi,no-feedback,10,14,81.0,263.66,91.0,255.0,4.33
Rahi,no-feedback,10,15,82.5,260.42,94.0,247.0,0.77
Rahi,no-feedback,10,16,84.0,257.59,97.0,241.0,1.33
Rahi,no-feedback,10,17,85.5,255.15,100.0,235.0,2.13
Rahi,no-feedback,10,18,87.0,253.04,102.0,229.0,2.76
Rahi,no-feedback,10,19,88.5,251.22,105.0,223.0,1.89
Rahi,no-feedback,10,20,90.0,249.64,107.0,217.0,1.61
Rahi,no-feedback,10,21,91.5,248.21,110.0,211.0,0.14
Rahi,no-feedback,10,22,93.0,246.86,111.0,206.0,0.26
Rahi,no-feedback,10,23,94.5,245.52,112.0,201.0,0.29
Rahi,no-feedback,10,24,96.0,244.09,112.0,206.0,0.72
Rahi,no-feedback,10,25,97.5,242.49,112.0,203.0,0.11
Rahi,no-feedback,10,26,99.0,240.63,115.0,195.0,1.53
Rahi,no-feedback,10,27,100.5,238.42,116.0,189.0,1.46
Rahi,no-feedback,10,28,102.0,235.79,116.0,183.0,0.45
Rahi,no-feedback,10,29,103.5,232.64,117.0,179.0,0.81
Rahi,no-feedback,10,30,105.0,228.93,117.0,173.0,0.12
Rahi,no-feedback,10,31,106.5,224.58,117.0,167.0,1.0
Rahi,no-feedback,10,32,108.0,219.54,117.0,162.0,1.72
Rahi,no-feedback,10,33,109.5,213.79,117.0,156.0,2.55
Rahi,no-feedback,10,34,111.0,207.29,118.0,151.0,2.24
Rahi,no-feedback,10,35,112.5,200.02,118.0,142.0,3.44
Rahi,no-feedback,10,36,114.0,192.01,120.0,134.0,2.48
Rahi,no-feedback,10,37,115.5,183.26,122.0,121.0,2.12
Rahi,no-feedback,10,38,117.0,173.8,124.0,111.0,1.36
Rahi,no-feedback,10,39,118.5,163.68,124.0,113.0,1.12
Rahi,no-feedback,10,40,120.0,152.97,124.0,104.0,2.21
Rahi,no-feedback,10,41,121.5,141.74,126.0,95.0,1.32
Rahi,no-feedback,10,42,123.0,130.09,128.0,85.0,0.55
Rahi,no-feedback,10,43,124.5,118.1,128.0,77.0,1.52
Rahi,no-feedback,10,44,126.0,105.89,128.0,69.0,2.51
Rahi,no-feedback,10,45,127.5,93.59,128.0,61.0,3.52
Rahi,no-feedback,10,46,129.0,81.32,129.0,55.0,3.29
Rahi,no-feedback,10,47,130.5,69.22,132.0,48.0,1.23
Rahi,no-feedback,10,48,132.0,57.42,135.0,43.0,0.35
Rahi,no-feedback,10,49,133.5,46.06,139.0,38.0,4.0
Rahi,no-feedback,10,50,135.0,42.0,143.0,35.0,7.0
Rahi,no-feedback,10,51,136.5,42.0,147.0,35.0,7.0
Rahi,no-feedback,10,52,138.0,42.0,150.0,36.0,6.0
Rahi,no-feedback,10,53,139.5,42.0,152.0,38.0,4.0
Rahi,no-feedback,10,54,141.0,42.0,155.0,43.0,1.0
Rahi,no-feedback,10,55,142.5,42.0,156.0,46.0,4.0
Rahi,no-feedback,10,56,144.0,42.0,158.0,48.0,4.09
Rahi,no-feedback,10,57,145.5,42.0,158.0,51.0,4.42
Rahi,no-feedback,10,58,147.0,42.0,159.0,54.0,3.76
Rahi,no-feedback,10,59,148.5,42.0,160.0,57.0,3.11
Rahi,no-feedback,10,60,150.0,42.0,162.0,63.0,1.78
Rahi,no-feedback,10,61,151.5,42.0,163.0,67.0,1.2
Rahi,no-feedback,10,62,153.0,42.0,163.0,71.0,1.62
Rahi,no-feedback,10,63,154.5,42.0,164.0,77.0,1.25
Rahi,no-feedback,10,64,156.0,42.0,165.0,81.0,0.65
Rahi,no-feedback,10,65,157.5,42.0,165.0,87.0,1.25
Rahi,no-feedback,10,66,159.0,42.0,165.0,91.0,1.65
Rahi,no-feedback,10,67,160.5,42.0,166.0,97.0,1.23
Rahi,no-feedback,10,68,162.0,47.02,166.0,102.0,1.71
Rahi,no-feedback,10,69,163.5,60.3,167.0,105.0,1.0
Rahi,no-feedback,10,70,165.0,74.47,167.0,110.0,1.47
Rahi,no-feedback,10,71,166.5,89.39,167.0,114.0,1.84
Rahi,no-feedback,10,72,168.0,104.91,167.0,119.0,2.31
Rahi,no-feedback,10,73,169.5,120.89,167.0,126.0,2.96
Rahi,no-feedback,10,74,171.0,137.17,168.0,136.0,2.88
Rahi,no-feedback,10,75,172.5,153.58,168.0,143.0,3.52
Rahi,no-feedback,10,76,174.0,169.97,168.0,147.0,3.88
Rahi,no-feedback,10,77,175.5,186.19,168.0,153.0,4.43
Rahi,no-feedback,10,78,177.0,202.09,169.0,159.0,3.98
Rahi,no-feedback,10,79,178.5,217.52,168.0,161.0,5.16
Rahi,no-feedback,10,80,180.0,232.35,167.0,158.0,5.88
Rahi,no-feedback,10,81,181.5,246.45,167.0,155.0,5.61
Rahi,no-feedback,10,82,183.0,259.72,168.0,157.0,4.79
Rahi,no-feedback,10,83,184.5,272.05,174.0,178.0,0.74
Rahi,no-feedback,10,84,186.0,283.37,179.0,197.0,2.47
Rahi,no-feedback,10,85,187.5,293.6,179.0,205.0,1.71
Rahi,no-feedback,10,86,189.0,302.7,179.0,213.0,0.93
Rahi,no-feedback,10,87,190.5,310.62,179.0,220.0,0.25
Rahi,no-feedback,10,88,192.0,317.35,179.0,230.0,0.76
Rahi,no-feedback,10,89,193.5,322.89,179.0,237.0,1.49
Rahi,no-feedback,10,90,195.0,327.24,179.0,243.0,2.12
Rahi,no-feedback,10,91,196.5,330.45,180.0,251.0,2.0
Rahi,no-feedback,10,92,198.0,332.55,182.0,261.0,1.15
Rahi,no-feedback,10,93,199.5,333.6,184.0,277.0,1.15
Rahi,no-feedback,10,94,201.0,333.68,186.0,287.0,0.53
Rahi,no-feedback,10,95,202.5,332.85,189.0,295.0,1.25
Rahi,no-feedback,10,96,204.0,331.22,190.0,303.0,0.93
Rahi,no-feedback,10,97,205.5,328.88,193.0,313.0,1.92
Rahi,no-feedback,10,98,207.0,325.93,195.0,320.0,2.2
Rahi,no-feedback,10,99,208.5,322.47,196.0,325.0,1.68
Rahi,no-feedback,10,100,210.0,318.62,197.0,329.0,1.07
Rahi,no-feedback,10,101,211.5,314.48,198.0,331.0,0.9
Rahi,no-feedback,10,102,213.0,310.15,200.0,333.0,0.63
Rahi,no-feedback,10,103,214.5,305.73,203.0,332.0,0.21
Rahi,no-feedback,10,104,216.0,301.33,206.0,329.0,0.5
Rahi,no-feedback,10,105,217.5,297.02,206.0,323.0,2.08
Rahi,no-feedback,10,106,219.0,292.88,206.0,317.0,4.31
Rahi,no-feedback,10,107,220.5,288.98,206.0,311.0,6.34
Rahi,no-feedback,10,108,222.0,285.37,207.0,309.0,6.05
Rahi,no-feedback,10,109,223.5,282.1,209.0,305.0,5.44
Rahi,no-feedback,10,110,225.0,279.19,210.0,303.0,5.14
Rahi,no-feedback,10,111,226.5,276.66,213.0,299.0,3.6
Rahi,no-feedback,10,112,228.0,274.52,216.0,294.0,2.44
Rahi,no-feedback,10,113,229.5,272.75,218.0,290.0,1.97
Rahi,no-feedback,10,114,231.0,271.33,223.0,284.0,0.34
Rahi,no-feedback,10,115,232.5,270.23,227.0,279.0,1.62
Rahi,no-feedback,10,116,234.0,269.38,233.0,272.0,1.72
Rahi,no-feedback,10,117,235.5,268.75,236.0,269.0,0.4
Rahi,no-feedback,10,118,237.0,268.25,240.0,265.0,2.2
Rahi,no-feedback,10,119,238.5,267.81,246.0,263.0,0.32
Rahi,no-feedback,10,120,240.0,267.35,249.0,261.0,0.95
Rahi,no-feedback,10,121,241.5,266.78,255.0,257.0,4.51
Rahi,no-feedback,10,122,243.0,266.01,255.0,256.0,4.14
Rahi,no-feedback,10,123,244.5,264.96,256.0,248.0,2.45
Rahi,no-feedback,10,124,246.0,263.52,256.0,241.0,0.61
Rahi,no-feedback,10,125,247.5,261.62,257.0,234.0,0.01
Rahi,no-feedback,10,126,249.0,259.18,258.0,225.0,0.83
Rahi,no-feedback,10,127,250.5,256.1,260.0,219.0,0.06
Rahi,no-feedback,10,128,252.0,252.34,261.0,206.0,1.07
Rahi,no-feedback,10,129,253.5,247.83,261.0,195.0,2.69
Rahi,no-feedback,10,130,255.0,242.52,262.0,183.0,3.34
Rahi,no-feedback,10,131,256.5,236.39,264.0,172.0,2.77
Rahi,no-feedback,10,132,258.0,229.4,265.0,160.0,3.25
Rahi,no-feedback,10,133,259.5,221.57,266.0,153.0,3.09
Rahi,no-feedback,10,134,261.0,212.88,266.0,152.0,3.2
Rahi,no-feedback,10,135,262.5,203.38,267.0,145.0,3.03
Rahi,no-feedback,10,136,264.0,193.09,267.0,134.0,4.28
Rahi,no-feedback,10,137,265.5,182.08,270.0,122.0,2.65
Rahi,no-feedback,10,138,267.0,170.41,271.0,112.0,2.76
Rahi,no-feedback,10,139,268.5,158.17,272.0,99.0,3.21
Rahi,no-feedback,10,140,270.0,145.45,274.0,90.0,2.22
Rahi,no-feedback,10,141,271.5,132.35,275.0,77.0,2.69
Rahi,no-feedback,10,142,273.0,119.01,278.0,62.0,1.44
Rahi,no-feedback,10,143,274.5,105.55,280.0,51.0,0.79
Rahi,no-feedback,10,144,276.0,92.09,280.0,44.0,1.72
Rahi,no-feedback,10,145,277.5,78.79,280.0,39.0,3.61
Rahi,no-feedback,10,146,279.0,65.78,281.0,37.0,5.1
Rahi,no-feedback,10,147,280.5,53.21,284.0,37.0,5.0
Rahi,no-feedback,10,148,282.0,42.0,287.0,38.0,4.0
Rahi,no-feedback,10,149,283.5,42.0,290.0,39.0,3.0
Rahi,no-feedback,10,150,285.0,42.0,292.0,41.0,1.0
Rahi,no-feedback,10,151,286.5,42.0,296.0,42.0,0.0
Rahi,no-feedback,10,152,288.0,42.0,301.0,43.0,1.0
Rahi,no-feedback,10,153,289.5,42.0,306.0,43.0,1.0
Rahi,no-feedback,10,154,291.0,42.0,309.0,43.0,0.3
Rahi,no-feedback,10,155,292.5,42.0,312.0,43.0,2.57
Rahi,no-feedback,10,156,294.0,42.0,314.0,47.0,3.46
Rahi,no-feedback,10,157,295.5,42.0,314.0,50.0,3.12
Rahi,no-feedback,10,158,297.0,42.0,314.0,53.0,2.79
Rahi,no-feedback,10,159,298.5,42.0,314.0,57.0,2.34
Rahi,no-feedback,10,160,300.0,42.0,314.0,62.0,1.8
Rahi,no-feedback,10,161,301.5,42.0,314.0,67.0,1.27
Rahi,no-feedback,10,162,303.0,42.0,314.0,71.0,0.85
Rahi,no-feedback,10,163,304.5,42.0,314.0,75.0,0.43
Rahi,no-feedback,10,164,306.0,42.0,314.0,80.0,0.07
Rahi,no-feedback,10,165,307.5,42.0,314.0,85.0,0.57
Rahi,no-feedback,10,166,309.0,42.0,314.0,90.0,1.08
Rahi,no-feedback,10,167,310.5,46.82,314.0,96.0,1.66
Rahi,no-feedback,10,168,312.0,60.21,314.0,101.0,2.15
Rahi,no-feedback,10,169,313.5,74.37,314.0,109.0,2.92
Rahi,no-feedback,10,170,315.0,89.18,314.0,115.0,3.5
Rahi,no-feedback,10,171,316.5,104.47,316.0,123.0,2.27
Rahi,no-feedback,10,172,318.0,120.09,317.0,129.0,1.84
Rahi,no-feedback,10,173,319.5,135.88,318.0,133.0,1.22
Rahi,no-feedback,10,174,321.0,151.69,318.0,139.0,1.79
Rahi,no-feedback,10,175,322.5,167.38,318.0,143.0,2.17
Rahi,no-feedback,10,176,324.0,182.79,318.0,149.0,2.73
Rahi,no-feedback,10,177,325.5,197.78,318.0,155.0,3.3
Rahi,no-feedback,10,178,327.0,212.23,319.0,160.0,2.78
Rahi,no-feedback,10,179,328.5,226.01,318.0,156.0,3.4
Rahi,no-feedback,10,180,330.0,239.02,316.0,155.0,5.29
Rahi,no-feedback,10,181,331.5,251.17,319.0,163.0,3.07
Rahi,no-feedback,10,182,333.0,262.37,321.0,170.0,1.75
Rahi,no-feedback,10,183,334.5,272.57,324.0,179.0,0.37
Rahi,no-feedback,10,184,336.0,281.7,324.0,185.0,0.22
Rahi,no-feedback,10,185,337.5,289.76,324.0,193.0,1.02
Rahi,no-feedback,10,186,339.0,296.7,324.0,201.0,1.82
Rahi,no-feedback,10,187,340.5,302.55,325.0,207.0,1.45
Rahi,no-feedback,10,188,342.0,307.31,327.0,215.0,0.3
Rahi,no-feedback,10,189,343.5,311.02,328.0,220.0,0.15
Rahi,no-feedback,10,190,345.0,313.71,328.0,225.0,0.39
Rahi,no-feedback,10,191,346.5,315.46,328.0,231.0,1.07
Rahi,no-feedback,10,192,348.0,316.32,328.0,239.0,1.98
Rahi,no-feedback,10,193,349.5,316.38,329.0,247.0,1.97
Rahi,no-feedback,10,194,351.0,315.72,330.0,253.0,1.73
Rahi,no-feedback,10,195,352.5,314.45,332.0,261.0,0.81
Rahi,no-feedback,10,196,354.0,312.65,333.0,267.0,0.67
Rahi,no-feedback,10,197,355.5,310.43,333.0,274.0,1.71
Rahi,no-feedback,10,198,357.0,307.89,333.0,278.0,2.36
Rahi,no-feedback,10,199,358.5,305.13,334.0,284.0,2.39
Rahi,no-feedback,10,200,360.0,302.25,334.0,289.0,3.3
Rahi,no-feedback,10,201,361.5,299.34,335.0,294.0,3.34
Rahi,no-feedback,10,202,363.0,296.49,336.0,300.0,3.72
Rahi,no-feedback,10,203,364.5,293.77,337.0,304.0,3.77
Rahi,no-feedback,10,204,366.0,291.25,338.0,310.0,4.72
Rahi,no-feedback,10,205,367.5,288.99,340.0,313.0,4.02
Rahi,no-feedback,10,206,369.0,287.03,342.0,316.0,3.77
