participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Rahi,numerical,12,0,60.0,336.46,59.0,336.0,1.09
Rahi,numerical,12,1,61.5,331.7,60.0,331.0,1.64
Rahi,numerical,12,2,63.0,326.48,61.0,327.0,1.78
Rahi,numerical,12,3,64.5,320.91,63.0,323.0,0.91
Rahi,numerical,12,4,66.0,315.1,65.0,318.0,0.24
Rahi,numerical,12,5,67.5,309.16,66.0,313.0,0.52
Rahi,numerical,12,6,69.0,303.19,67.0,306.0,1.26
Rahi,numerical,12,7,70.5,297.29,68.0,301.0,1.51
Rahi,numerical,12,8,72.0,291.54,69.0,295.0,2.03
Rahi,numerical,12,9,73.5,286.02,70.0,290.0,2.33
Rahi,numerical,12,10,75.0,280.79,71.0,285.0,2.68
Rahi,numerical,12,11,76.5,275.91,73.0,280.0,2.14
Rahi,numerical,12,12,78.0,271.41,75.0,276.0,1.41
Rahi,numerical,12,13,79.5,267.32,77.0,271.0,1.08
Rahi,numerical,12,14,81.0,263.66,80.0,265.0,0.42
Rahi,numerical,12,15,82.5,260.42,82.0,260.0,0.64
Rahi,numerical,12,16,84.0,257.59,84.0,257.0,0.31
Rahi,numerical,12,17,85.5,255.15,86.0,252.0,1.43
Rahi,numerical,12,18,87.0,253.04,89.0,248.0,1.87
Rahi,numerical,12,19,88.5,251.22,93.0,244.0,2.13
Rahi,numerical,12,20,90.0,249.64,96.0,240.0,2.73
Rahi,numerical,12,21,91.5,248.21,98.0,236.0,3.37
Rahi,numerical,12,22,93.0,246.86,102.0,231.0,2.01
Rahi,numerical,12,23,94.5,245.52,105.0,226.0,0.95
Rahi,numerical,12,24,96.0,244.09,106.0,222.0,1.22
Rahi,numerical,12,25,97.5,242.49,110.0,208.0,0.81
Rahi,numerical,12,26,99.0,240.63,112.0,200.0,0.49
Rahi,numerical,12,27,100.5,238.42,113.0,192.0,0.98
Rahi,numerical,12,28,102.0,235.79,114.0,183.0,1.52
Rahi,numerical,12,29,103.5,232.64,115.0,173.0,2.1
Rahi,numerical,12,30,105.0,228.93,116.0,165.0,2.28
Rahi,numerical,12,31,106.5,224.58,118.0,153.0,1.98
Rahi,numerical,12,32,108.0,219.54,120.0,141.0,1.58
Rahi,numerical,12,33,109.5,213.79,121.0,131.0,1.87
Rahi,numerical,12,34,111.0,207.29,122.0,120.0,2.24
Rahi,numerical,12,35,112.5,200.02,123.0,113.0,2.11
Rahi,numerical,12,36,114.0,192.01,124.0,107.0,1.85
Rahi,numerical,12,37,115.5,183.26,125.0,101.0,1.59
Rahi,numerical,12,38,117.0,173.8,126.0,97.0,1.08
Rahi,numerical,12,39,118.5,163.68,128.0,92.0,0.3
Rahi,numerical,12,40,120.0,152.97,130.0,87.0,1.68
Rahi,numerical,12,41,121.5,141.74,130.0,82.0,1.07
Rahi,numerical,12,42,123.0,130.09,130.0,75.0,0.21
Rahi,numerical,12,43,124.5,118.1,130.0,67.0,0.78
Rahi,numerical,12,44,126.0,105.89,130.0,61.0,1.53
Rahi,numerical,12,45,127.5,93.59,133.0,48.0,0.24
Rahi,numerical,12,46,129.0,81.32,134.0,42.0,0.94
Rahi,numerical,12,47,130.5,69.22,134.0,37.0,5.1
Rahi,numerical,12,48,132.0,57.42,138.0,37.0,5.0
Rahi,numerical,12,49,133.5,46.06,142.0,39.0,3.0
Rahi,numerical,12,50,135.0,42.0,147.0,40.0,2.0
Rahi,numerical,12,51,136.5,42.0,153.0,40.0,2.0
Rahi,numerical,12,52,138.0,42.0,159.0,40.0,2.0
Rahi,numerical,12,53,139.5,42.0,160.0,45.0,1.34
Rahi,numerical,12,54,141.0,42.0,161.0,51.0,1.44
Rahi,numerical,12,55,142.5,42.0,162.0,56.0,1.01
Rahi,numerical,12,56,144.0,42.0,163.0,62.0,0.68
Rahi,numerical,12,57,145.5,42.0,164.0,68.0,0.31
Rahi,numerical,12,58,147.0,42.0,164.0,73.0,0.84
Rahi,numerical,12,59,148.5,42.0,165.0,81.0,0.65
Rahi,numerical,12,60,150.0,42.0,165.0,89.0,1.45
Rahi,numerical,12,61,151.5,42.0,166.0,96.0,1.13
Rahi,numerical,12,62,153.0,42.0,166.0,107.0,2.19
Rahi,numerical,12,63,154.5,42.0,166.0,117.0,3.12
Rahi,numerical,12,64,156.0,42.0,166.0,129.0,4.23
Rahi,numerical,12,65,157.5,42.0,166.0,140.0,5.24
Rahi,numerical,12,66,159.0,42.0,166.0,151.0,6.24
Rahi,numerical,12,67,160.5,42.0,166.0,165.0,7.51
Rahi,numerical,12,68,162.0,47.02,168.0,179.0,6.81
Rahi,numerical,12,69,163.5,60.3,172.0,194.0,4.22
Rahi,numerical,12,70,165.0,74.47,176.0,208.0,1.57
