participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Rahi,spatial-color,13,0,60.0,336.46,60.0,335.0,0.44
Rahi,spatial-color,13,1,61.5,331.7,61.0,331.0,0.68
Rahi,spatial-color,13,2,63.0,326.48,62.0,327.0,0.82
Rahi,spatial-color,13,3,64.5,320.91,63.0,323.0,0.91
Rahi,spatial-color,13,4,66.0,315.1,65.0,320.0,0.26
Rahi,spatial-color,13,5,67.5,309.16,66.0,316.0,0.22
Rahi,spatial-color,13,6,69.0,303.19,68.0,312.0,1.18
Rahi,spatial-color,13,7,70.5,297.29,69.0,307.0,0.93
Rahi,spatial-color,13,8,72.0,291.54,70.0,303.0,0.92
Rahi,spatial-color,13,9,73.5,286.02,70.0,298.0,0.31
Rahi,spatial-color,13,10,75.0,280.79,71.0,294.0,0.35
Rahi,spatial-color,13,11,76.5,275.91,72.0,289.0,0.67
Rahi,spatial-color,13,12,78.0,271.41,73.0,285.0,0.76
Rahi,spatial-color,13,13,79.5,267.32,74.0,279.0,1.48
Rahi,spatial-color,13,14,81.0,263.66,76.0,275.0,0.76
Rahi,spatial-color,13,15,82.5,260.42,77.0,269.0,1.77
Rahi,spatial-color,13,16,84.0,257.59,78.0,265.0,2.27
Rahi,spatial-color,13,17,85.5,255.15,80.0,261.0,2.03
Rahi,spatial-color,13,18,87.0,253.04,82.0,257.0,2.04
Rahi,spatial-color,13,19,88.5,251.22,86.0,254.0,0.26
Rahi,spatial-color,13,20,90.0,249.64,89.0,249.0,1.16
Rahi,spatial-color,13,21,91.5,248.21,92.0,246.0,1.31
Rahi,spatial-color,13,22,93.0,246.86,94.0,243.0,2.17
Rahi,spatial-color,13,23,94.5,245.52,97.0,241.0,1.33
Rahi,spatial-color,13,24,96.0,244.09,100.0,238.0,0.64
Rahi,spatial-color,13,25,97.5,242.49,103.0,233.0,0.3
Rahi,spatial-color,13,26,99.0,240.63,106.0,230.0,1.33
Rahi,spatial-color,13,27,100.5,238.42,107.0,225.0,0.61
Rahi,spatial-color,13,28,102.0,235.79,108.0,219.0,0.14
Rahi,spatial-color,13,29,103.5,232.64,109.0,213.0,0.66
Rahi,spatial-color,13,30,105.0,228.93,110.0,206.0,1.24
Rahi,spatial-color,13,31,106.5,224.58,111.0,201.0,1.27
Rahi,spatial-color,13,32,108.0,219.54,113.0,197.0,0.06
Rahi,spatial-color,13,33,109.5,213.79,115.0,191.0,0.82
Rahi,spatial-color,13,34,111.0,207.29,116.0,185.0,0.79
Rahi,spatial-color,13,35,112.5,200.02,116.0,180.0,0.02
Rahi,spatial-color,13,36,114.0,192.01,117.0,174.0,0.03
Rahi,spatial-color,13,37,115.5,183.26,118.0,167.0,0.01
Rahi,spatial-color,13,38,117.0,173.8,119.0,162.0,0.26
Rahi,spatial-color,13,39,118.5,163.68,120.0,157.0,0.56
Rahi,spatial-color,13,40,120.0,152.97,120.0,151.0,0.26
Rahi,spatial-color,13,41,121.5,141.74,120.0,147.0,0.79
Rahi,spatial-color,13,42,123.0,130.09,120.0,137.0,2.09
Rahi,spatial-color,13,43,124.5,118.1,121.0,133.0,1.61
Rahi,spatial-color,13,44,126.0,105.89,122.0,128.0,1.25
Rahi,spatial-color,13,45,127.5,93.59,122.0,121.0,2.12
Rahi,spatial-color,13,46,129.0,81.32,123.0,117.0,1.62
Rahi,spatial-color,13,47,130.5,69.22,124.0,113.0,1.12
Rahi,spatial-color,13,48,132.0,57.42,126.0,109.0,0.38
Rahi,spatial-color,13,49,133.5,46.06,126.0,104.0,0.23
Rahi,spatial-color,13,50,135.0,42.0,128.0,99.0,1.15
Rahi,spatial-color,13,51,136.5,42.0,129.0,95.0,1.66
Rahi,spatial-color,13,52,138.0,42.0,130.0,91.0,2.17
Rahi,spatial-color,13,53,139.5,42.0,130.0,86.0,1.56
Rahi,spatial-color,13,54,141.0,42.0,130.0,81.0,0.95
Rahi,spatial-color,13,55,142.5,42.0,130.0,74.0,0.09
Rahi,spatial-color,13,56,144.0,42.0,132.0,69.0,1.46
Rahi,spatial-color,13,57,145.5,42.0,134.0,64.0,2.81
Rahi,spatial-color,13,58,147.0,42.0,134.0,59.0,2.18
Rahi,spatial-color,13,59,148.5,42.0,134.0,53.0,1.4
Rahi,spatial-color,13,60,150.0,42.0,134.0,47.0,0.62
Rahi,spatial-color,13,61,151.5,42.0,136.0,44.0,1.63
Rahi,spatial-color,13,62,153.0,42.0,138.0,41.0,1.0
Rahi,spatial-color,13,63,154.5,42.0,142.0,43.0,1.0
Rahi,spatial-color,13,64,156.0,42.0,147.0,43.0,1.0
Rahi,spatial-color,13,65,157.5,42.0,152.0,43.0,1.0
Rahi,spatial-color,13,66,159.0,42.0,157.0,43.0,1.0
Rahi,spatial-color,13,67,160.5,42.0,162.0,42.0,1.44
Rahi,spatial-color,13,68,162.0,47.02,164.0,43.0,3.07
Rahi,spatial-color,13,69,163.5,60.3,164.0,47.0,1.99
Rahi,spatial-color,13,70,165.0,74.47,164.0,52.0,1.43
Rahi,spatial-color,13,71,166.5,89.39,164.0,58.0,0.75
Rahi,spatial-color,13,72,168.0,104.91,164.0,63.0,0.21
Rahi,spatial-color,13,73,169.5,120.89,164.0,68.0,0.31
Rahi,spatial-color,13,74,171.0,137.17,165.0,73.0,0.15
Rahi,spatial-color,13,75,172.5,153.58,165.0,80.0,0.55
Rahi,spatial-color,13,76,174.0,169.97,166.0,86.0,0.16
Rahi,spatial-color,13,77,175.5,186.19,167.0,91.0,0.34
Rahi,spatial-color,13,78,177.0,202.09,167.0,95.0,0.04
Rahi,spatial-color,13,79,178.5,217.52,168.0,101.0,0.38
Rahi,spatial-color,13,80,180.0,232.35,168.0,108.0,0.29
Rahi,spatial-color,13,81,181.5,246.45,169.0,113.0,0.24
Rahi,spatial-color,13,82,183.0,259.72,169.0,118.0,0.23
