participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Ricky,no-feedback,12,0,60.0,336.46,58.0,335.0,2.35
Ricky,no-feedback,12,1,61.5,331.7,60.0,329.0,2.19
Ricky,no-feedback,12,2,63.0,326.48,62.0,324.0,1.61
Ricky,no-feedback,12,3,64.5,320.91,64.0,319.0,0.96
Ricky,no-feedback,12,4,66.0,315.1,64.0,315.0,1.96
Ricky,no-feedback,12,5,67.5,309.16,65.0,317.0,0.49
Ricky,no-feedback,12,6,69.0,303.19,66.0,311.0,1.0
Ricky,no-feedback,12,7,70.5,297.29,68.0,306.0,0.29
Ricky,no-feedback,12,8,72.0,291.54,70.0,302.0,0.67
Ricky,no-feedback,12,9,73.5,286.02,72.0,295.0,0.87
Ricky,no-feedback,12,10,75.0,280.79,72.0,291.0,0.14
Ricky,no-feedback,12,11,76.5,275.91,73.0,285.0,0.76
Ricky,no-feedback,12,12,78.0,271.41,74.0,281.0,0.9
Ricky,no-feedback,12,13,79.5,267.32,74.0,276.0,2.36
Ricky,no-feedback,12,14,81.0,263.66,75.0,272.0,2.66
Ricky,no-feedback,12,15,82.5,260.42,76.0,267.0,3.4
Ricky,no-feedback,12,16,84.0,257.59,78.0,263.0,3.03
Ricky,no-feedback,12,17,85.5,255.15,80.0,258.0,3.34
Ricky,no-feedback,12,18,87.0,253.04,82.0,255.0,3.06
Ricky,no-feedback,12,19,88.5,251.22,84.0,251.0,3.63
Ricky,no-feedback,12,20,90.0,249.64,86.0,249.0,3.34
Ricky,no-feedback,12,21,91.5,248.21,89.0,245.0,4.06
Ricky,no-feedback,12,22,93.0,246.86,90.0,242.0,5.63
Ricky,no-feedback,12,23,94.5,245.52,93.0,239.0,5.67
Ricky,no-feedback,12,24,96.0,244.09,95.0,237.0,5.35
Ricky,no-feedback,12,25,97.5,242.49,98.0,233.0,4.81
Ricky,no-feedback,12,26,99.0,240.63,100.0,230.0,4.24
Ricky,no-feedback,12,27,100.5,238.42,103.0,226.0,2.85
Ricky,no-feedback,12,28,102.0,235.79,104.0,222.0,3.13
Ricky,no-feedback,12,29,103.5,232.64,108.0,217.0,0.64
Ricky,no-feedback,12,30,105.0,228.93,111.0,211.0,0.83
Ricky,no-feedback,12,31,106.5,224.58,116.0,203.0,4.03
Ricky,no-feedback,12,32,108.0,219.54,118.0,192.0,3.94
Ricky,no-feedback,12,33,109.5,213.79,120.0,177.0,3.46
Ricky,no-feedback,12,34,111.0,207.29,120.0,171.0,2.56
Ricky,no-feedback,12,35,112.5,200.02,121.0,165.0,2.67
Ricky,no-feedback,12,36,114.0,192.01,122.0,159.0,2.82
Ricky,no-feedback,12,37,115.5,183.26,124.0,149.0,3.44
Ricky,no-feedback,12,38,117.0,173.8,124.0,144.0,2.78
Ricky,no-feedback,12,39,118.5,163.68,124.0,138.0,2.0
Ricky,no-feedback,12,40,120.0,152.97,124.0,134.0,1.49
Ricky,no-feedback,12,41,121.5,141.74,124.0,129.0,0.86
Ricky,no-feedback,12,42,123.0,130.09,124.0,125.0,0.36
Ricky,no-feedback,12,43,124.5,118.1,125.0,119.0,0.61
Ricky,no-feedback,12,44,126.0,105.89,126.0,115.0,1.11
Ricky,no-feedback,12,45,127.5,93.59,128.0,110.0,2.49
Ricky,no-feedback,12,46,129.0,81.32,128.0,105.0,1.88
Ricky,no-feedback,12,47,130.5,69.22,128.0,100.0,1.27
Ricky,no-feedback,12,48,132.0,57.42,129.0,97.0,1.9
Ricky,no-feedback,12,49,133.5,46.06,129.0,92.0,1.3
Ricky,no-feedback,12,50,135.0,42.0,130.0,89.0,1.92
Ricky,no-feedback,12,51,136.5,42.0,130.0,84.0,1.32
Ricky,no-feedback,12,52,138.0,42.0,131.0,81.0,1.94
Ricky,no-feedback,12,53,139.5,42.0,132.0,75.0,2.2
Ricky,no-feedback,12,54,141.0,42.0,132.0,71.0,1.71
Ricky,no-feedback,12,55,142.5,42.0,133.0,66.0,2.07
Ricky,no-feedback,12,56,144.0,42.0,133.0,62.0,1.57
Ricky,no-feedback,12,57,145.5,42.0,133.0,56.0,0.81
Ricky,no-feedback,12,58,147.0,42.0,134.0,53.0,1.4
Ricky,no-feedback,12,59,148.5,42.0,134.0,48.0,0.75
Ricky,no-feedback,12,60,150.0,42.0,135.0,44.0,0.69
Ricky,no-feedback,12,61,151.5,42.0,138.0,42.0,0.0
Ricky,no-feedback,12,62,153.0,42.0,141.0,43.0,1.0
Ricky,no-feedback,12,63,154.5,42.0,147.0,43.0,1.0
Ricky,no-feedback,12,64,156.0,42.0,151.0,43.0,1.0
Ricky,no-feedback,12,65,157.5,42.0,156.0,42.0,0.0
Ricky,no-feedback,12,66,159.0,42.0,160.0,42.0,0.0
Ricky,no-feedback,12,67,160.5,42.0,163.0,44.0,1.82
Ricky,no-feedback,12,68,162.0,47.02,163.0,48.0,0.88
Ricky,no-feedback,12,69,163.5,60.3,162.0,53.0,0.67
Ricky,no-feedback,12,70,165.0,74.47,162.0,58.0,1.23
Ricky,no-feedback,12,71,166.5,89.39,162.0,63.0,1.78
Ricky,no-feedback,12,72,168.0,104.91,162.0,67.0,2.2
Ricky,no-feedback,12,73,169.5,120.89,162.0,73.0,2.83
Ricky,no-feedback,12,74,171.0,137.17,162.0,81.0,3.64
Ricky,no-feedback,12,75,172.5,153.58,163.0,89.0,3.44
Ricky,no-feedback,12,76,174.0,169.97,164.0,96.0,3.12
Ricky,no-feedback,12,77,175.5,186.19,164.0,102.0,3.7
Ricky,no-feedback,12,78,177.0,202.09,164.0,107.0,4.18
Ricky,no-feedback,12,79,178.5,217.52,166.0,115.0,2.93
Ricky,no-feedback,12,80,180.0,232.35,166.0,120.0,3.4
Ricky,no-feedback,12,81,181.5,246.45,167.0,126.0,2.96
Ricky,no-feedback,12,82,183.0,259.72,168.0,132.0,2.51
