participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Ricky,numerical,13,0,60.0,336.46,60.0,337.0,0.54
Ricky,numerical,13,1,61.5,331.7,60.0,331.0,1.64
Ricky,numerical,13,2,63.0,326.48,59.0,326.0,3.98
Ricky,numerical,13,3,64.5,320.91,59.0,319.0,5.8
Ricky,numerical,13,4,66.0,315.1,60.0,311.0,6.82
Ricky,numerical,13,5,67.5,309.16,62.0,308.0,5.62
Ricky,numerical,13,6,69.0,303.19,65.0,303.0,3.93
Ricky,numerical,13,7,70.5,297.29,68.0,297.0,2.49
Ricky,numerical,13,8,72.0,291.54,69.0,293.0,2.53
Ricky,numerical,13,9,73.5,286.02,72.0,289.0,0.67
Ricky,numerical,13,10,75.0,280.79,74.0,285.0,0.2
Ricky,numerical,13,11,76.5,275.91,75.0,281.0,0.06
Ricky,numerical,13,12,78.0,271.41,76.0,273.0,1.39
Ricky,numerical,13,13,79.5,267.32,78.0,267.0,1.52
Ricky,numerical,13,14,81.0,263.66,82.0,261.0,0.21
Ricky,numerical,13,15,82.5,260.42,85.0,256.0,0.02
Ricky,numerical,13,16,84.0,257.59,88.0,252.0,0.11
Ricky,numerical,13,17,85.5,255.15,90.0,249.0,0.46
Ricky,numerical,13,18,87.0,253.04,93.0,245.0,1.39
Ricky,numerical,13,19,88.5,251.22,96.0,239.0,3.36
Ricky,numerical,13,20,90.0,249.64,99.0,235.0,3.0
Ricky,numerical,13,21,91.5,248.21,102.0,228.0,3.13
Ricky,numerical,13,22,93.0,246.86,105.0,223.0,1.89
Ricky,numerical,13,23,94.5,245.52,107.0,219.0,1.11
Ricky,numerical,13,24,96.0,244.09,110.0,212.0,0.09
Ricky,numerical,13,25,97.5,242.49,113.0,205.0,1.5
Ricky,numerical,13,26,99.0,240.63,114.0,201.0,1.67
Ricky,numerical,13,27,100.5,238.42,114.0,193.0,0.18
Ricky,numerical,13,28,102.0,235.79,115.0,186.0,0.03
Ricky,numerical,13,29,103.5,232.64,116.0,181.0,0.14
Ricky,numerical,13,30,105.0,228.93,116.0,174.0,0.96
Ricky,numerical,13,31,106.5,224.58,118.0,167.0,0.01
Ricky,numerical,13,32,108.0,219.54,119.0,154.0,0.85
Ricky,numerical,13,33,109.5,213.79,120.0,139.0,1.84
Ricky,numerical,13,34,111.0,207.29,121.0,133.0,1.61
Ricky,numerical,13,35,112.5,200.02,122.0,127.0,1.38
Ricky,numerical,13,36,114.0,192.01,123.0,120.0,1.25
Ricky,numerical,13,37,115.5,183.26,124.0,115.0,0.87
Ricky,numerical,13,38,117.0,173.8,124.0,110.0,1.48
Ricky,numerical,13,39,118.5,163.68,125.0,105.0,1.1
Ricky,numerical,13,40,120.0,152.97,126.0,99.0,0.83
Ricky,numerical,13,41,121.5,141.74,126.0,93.0,1.56
Ricky,numerical,13,42,123.0,130.09,126.0,87.0,2.29
Ricky,numerical,13,43,124.5,118.1,127.0,83.0,1.78
Ricky,numerical,13,44,126.0,105.89,128.0,78.0,1.4
Ricky,numerical,13,45,127.5,93.59,129.0,73.0,1.02
Ricky,numerical,13,46,129.0,81.32,130.0,68.0,0.65
Ricky,numerical,13,47,130.5,69.22,131.0,63.0,0.29
Ricky,numerical,13,48,132.0,57.42,132.0,58.0,0.07
Ricky,numerical,13,49,133.5,46.06,132.0,53.0,0.58
Ricky,numerical,13,50,135.0,42.0,132.0,47.0,1.36
Ricky,numerical,13,51,136.5,42.0,135.0,43.0,0.35
Ricky,numerical,13,52,138.0,42.0,140.0,43.0,1.0
Ricky,numerical,13,53,139.5,42.0,146.0,42.0,0.0
Ricky,numerical,13,54,141.0,42.0,152.0,42.0,0.0
Ricky,numerical,13,55,142.5,42.0,157.0,42.0,0.0
Ricky,numerical,13,56,144.0,42.0,161.0,46.0,0.67
Ricky,numerical,13,57,145.5,42.0,163.0,51.0,0.55
Ricky,numerical,13,58,147.0,42.0,164.0,55.0,1.09
Ricky,numerical,13,59,148.5,42.0,164.0,61.0,0.42
Ricky,numerical,13,60,150.0,42.0,165.0,66.0,0.89
Ricky,numerical,13,61,151.5,42.0,167.0,69.0,2.56
Ricky,numerical,13,62,153.0,42.0,168.0,75.0,2.93
Ricky,numerical,13,63,154.5,42.0,169.0,80.0,3.43
Ricky,numerical,13,64,156.0,42.0,169.0,85.0,2.93
Ricky,numerical,13,65,157.5,42.0,170.0,90.0,3.42
Ricky,numerical,13,66,159.0,42.0,170.0,96.0,2.85
Ricky,numerical,13,67,160.5,42.0,170.0,101.0,2.37
Ricky,numerical,13,68,162.0,47.02,171.0,108.0,2.7
Ricky,numerical,13,69,163.5,60.3,171.0,115.0,2.04
Ricky,numerical,13,70,165.0,74.47,171.0,120.0,1.58
Ricky,numerical,13,71,166.5,89.39,172.0,125.0,2.11
Ricky,numerical,13,72,168.0,104.91,172.0,131.0,1.56
Ricky,numerical,13,73,169.5,120.89,172.0,136.0,1.1
Ricky,numerical,13,74,171.0,137.17,172.0,143.0,0.47
Ricky,numerical,13,75,172.5,153.58,172.0,149.0,0.08
Ricky,numerical,13,76,174.0,169.97,172.0,155.0,0.63
Ricky,numerical,13,77,175.5,186.19,174.0,161.0,0.82
Ricky,numerical,13,78,177.0,202.09,175.0,168.0,1.18
Ricky,numerical,13,79,178.5,217.52,175.0,173.0,0.72
Ricky,numerical,13,80,180.0,232.35,176.0,178.0,1.25
Ricky,numerical,13,81,181.5,246.45,176.0,185.0,0.61
Ricky,numerical,13,82,183.0,259.72,176.0,192.0,0.05
Ricky,numerical,13,83,184.5,272.05,177.0,199.0,0.29
Ricky,numerical,13,84,186.0,283.37,177.0,205.0,0.28
Ricky,numerical,13,85,187.5,293.6,177.0,210.0,0.77
Ricky,numerical,13,86,189.0,302.7,177.0,216.0,1.35
Ricky,numerical,13,87,190.5,310.62,178.0,224.0,1.15
Ricky,numerical,13,88,192.0,317.35,179.0,231.0,0.86
Ricky,numerical,13,89,193.5,322.89,180.0,239.0,0.7
Ricky,numerical,13,90,195.0,327.24,181.0,246.0,0.45
Ricky,numerical,13,91,196.5,330.45,182.0,251.0,0.01
Ricky,numerical,13,92,198.0,332.55,182.0,257.0,0.69
Ricky,numerical,13,93,199.5,333.6,182.0,269.0,2.11
Ricky,numerical,13,94,201.0,333.68,182.0,275.0,2.87
Ricky,numerical,13,95,202.5,332.85,182.0,281.0,3.65
Ricky,numerical,13,96,204.0,331.22,182.0,289.0,4.77
Ricky,numerical,13,97,205.5,328.88,185.0,293.0,2.39
Ricky,numerical,13,98,207.0,325.93,186.0,299.0,2.36
Ricky,numerical,13,99,208.5,322.47,186.0,306.0,3.56
Ricky,numerical,13,100,210.0,318.62,187.0,311.0,3.51
Ricky,numerical,13,101,211.5,314.48,189.0,316.0,2.63
Ricky,numerical,13,102,213.0,310.15,191.0,321.0,1.92
Ricky,numerical,13,103,214.5,305.73,193.0,325.0,1.16
Ricky,numerical,13,104,216.0,301.33,194.0,330.0,2.07
Ricky,numerical,13,105,217.5,297.02,196.0,335.0,3.16
Ricky,numerical,13,106,219.0,292.88,200.0,336.0,2.37
Ricky,numerical,13,107,220.5,288.98,204.0,332.0,0.53
Ricky,numerical,13,108,222.0,285.37,206.0,326.0,0.86
Ricky,numerical,13,109,223.5,282.1,207.0,321.0,1.93
Ricky,numerical,13,110,225.0,279.19,208.0,316.0,2.77
Ricky,numerical,13,111,226.5,276.66,210.0,312.0,2.23
Ricky,numerical,13,112,228.0,274.52,212.0,308.0,1.64
Ricky,numerical,13,113,229.5,272.75,213.0,303.0,2.3
Ricky,numerical,13,114,231.0,271.33,215.0,298.0,2.04
Ricky,numerical,13,115,232.5,270.23,217.0,294.0,1.5
Ricky,numerical,13,116,234.0,269.38,220.0,290.0,0.1
Ricky,numerical,13,117,235.5,268.75,223.0,285.0,0.76
Ricky,numerical,13,118,237.0,268.25,225.0,281.0,0.83
Ricky,numerical,13,119,238.5,267.81,226.0,276.0,0.79
Ricky,numerical,13,120,240.0,267.35,229.0,272.0,0.89
Ricky,numerical,13,121,241.5,266.78,232.0,269.0,1.32
Ricky,numerical,13,122,243.0,266.01,234.0,265.0,4.04
Ricky,numerical,13,123,244.5,264.96,238.0,261.0,6.65
Ricky,numerical,13,124,246.0,263.52,243.0,259.0,5.16
Ricky,numerical,13,125,247.5,261.62,247.0,256.0,3.19
Ricky,numerical,13,126,249.0,259.18,251.0,252.0,1.05
Ricky,numerical,13,127,250.5,256.1,254.0,248.0,0.53
Ricky,numerical,13,128,252.0,252.34,256.0,243.0,1.09
Ricky,numerical,13,129,253.5,247.83,258.0,236.0,1.39
Ricky,numerical,13,130,255.0,242.52,261.0,224.0,1.93
Ricky,numerical,13,131,256.5,236.39,261.0,205.0,1.23
Ricky,numerical,13,132,258.0,229.4,261.0,197.0,2.4
Ricky,numerical,13,133,259.5,221.57,263.0,189.0,1.54
Ricky,numerical,13,134,261.0,212.88,264.0,180.0,1.75
Ricky,numerical,13,135,262.5,203.38,265.0,174.0,1.53
Ricky,numerical,13,136,264.0,193.09,265.0,167.0,2.4
Ricky,numerical,13,137,265.5,182.08,266.0,160.0,2.26
Ricky,numerical,13,138,267.0,170.41,266.0,155.0,2.85
Ricky,numerical,13,139,268.5,158.17,268.0,147.0,1.8
Ricky,numerical,13,140,270.0,145.45,268.0,141.0,2.49
Ricky,numerical,13,141,271.5,132.35,269.0,137.0,1.95
Ricky,numerical,13,142,273.0,119.01,269.0,130.0,2.75
Ricky,numerical,13,143,274.5,105.55,270.0,123.0,2.54
Ricky,numerical,13,144,276.0,92.09,270.0,118.0,3.09
Ricky,numerical,13,145,277.5,78.79,271.0,113.0,2.65
Ricky,numerical,13,146,279.0,65.78,271.0,107.0,3.32
Ricky,numerical,13,147,280.5,53.21,272.0,102.0,2.88
Ricky,numerical,13,148,282.0,42.0,274.0,93.0,1.89
Ricky,numerical,13,149,283.5,42.0,275.0,87.0,1.56
Ricky,numerical,13,150,285.0,42.0,276.0,81.0,1.24
Ricky,numerical,13,151,286.5,42.0,277.0,75.0,0.93
Ricky,numerical,13,152,288.0,42.0,280.0,68.0,1.25
Ricky,numerical,13,153,289.5,42.0,280.0,62.0,0.54
Ricky,numerical,13,154,291.0,42.0,281.0,57.0,0.95
Ricky,numerical,13,155,292.5,42.0,281.0,50.0,0.07
Ricky,numerical,13,156,294.0,42.0,282.0,45.0,0.4
Ricky,numerical,13,157,295.5,42.0,282.0,41.0,1.0
Ricky,numerical,13,158,297.0,42.0,287.0,40.0,2.0
Ricky,numerical,13,159,298.5,42.0,292.0,40.0,2.0
Ricky,numerical,13,160,300.0,42.0,298.0,40.0,2.0
Ricky,numerical,13,161,301.5,42.0,304.0,40.0,2.0
Ricky,numerical,13,162,303.0,42.0,308.0,41.0,1.0
Ricky,numerical,13,163,304.5,42.0,309.0,46.0,1.19
Ricky,numerical,13,164,306.0,42.0,308.0,51.0,2.95
Ricky,numerical,13,165,307.5,42.0,309.0,56.0,2.51
Ricky,numerical,13,166,309.0,42.0,311.0,62.0,1.18
Ricky,numerical,13,167,310.5,46.82,312.0,67.0,0.72
Ricky,numerical,13,168,312.0,60.21,313.0,72.0,0.25
Ricky,numerical,13,169,313.5,74.37,314.0,79.0,0.03
Ricky,numerical,13,170,315.0,89.18,314.0,85.0,0.57
Ricky,numerical,13,171,316.5,104.47,314.0,91.0,1.17
Ricky,numerical,13,172,318.0,120.09,314.0,97.0,1.76
Ricky,numerical,13,173,319.5,135.88,315.0,102.0,1.25
Ricky,numerical,13,174,321.0,151.69,316.0,106.0,0.64
Ricky,numerical,13,175,322.5,167.38,316.0,113.0,1.31
Ricky,numerical,13,176,324.0,182.79,317.0,119.0,0.89
Ricky,numerical,13,177,325.5,197.78,318.0,125.0,0.46
Ricky,numerical,13,178,327.0,212.23,318.0,132.0,1.13
Ricky,numerical,13,179,328.5,226.01,318.0,138.0,1.69
Ricky,numerical,13,180,330.0,239.02,319.0,143.0,1.17
Ricky,numerical,13,181,331.5,251.17,320.0,148.0,0.65
Ricky,numerical,13,182,333.0,262.37,320.0,154.0,1.22
Ricky,numerical,13,183,334.5,272.57,320.0,159.0,1.69
Ricky,numerical,13,184,336.0,281.7,320.0,165.0,2.26
Ricky,numerical,13,185,337.5,289.76,322.0,171.0,0.85
Ricky,numerical,13,186,339.0,296.7,322.0,176.0,1.33
Ricky,numerical,13,187,340.5,302.55,323.0,182.0,0.92
Ricky,numerical,13,188,342.0,307.31,323.0,189.0,1.61
Ricky,numerical,13,189,343.5,311.02,323.0,195.0,2.21
Ricky,numerical,13,190,345.0,313.71,323.0,203.0,3.03
Ricky,numerical,13,191,346.5,315.46,323.0,212.0,3.96
Ricky,numerical,13,192,348.0,316.32,322.0,211.0,4.85
Ricky,numerical,13,193,349.5,316.38,326.0,219.0,1.73
Ricky,numerical,13,194,351.0,315.72,329.0,226.0,0.5
Ricky,numerical,13,195,352.5,314.45,331.0,231.0,1.91
Ricky,numerical,13,196,354.0,312.65,332.0,236.0,2.33
Ricky,numerical,13,197,355.5,310.43,332.0,242.0,1.62
Ricky,numerical,13,198,357.0,307.89,332.0,247.0,1.01
Ricky,numerical,13,199,358.5,305.13,334.0,252.0,2.37
Ricky,numerical,13,200,360.0,302.25,334.0,258.0,1.57
Ricky,numerical,13,201,361.5,299.34,334.0,263.0,0.9
Ricky,numerical,13,202,363.0,296.49,334.0,269.0,0.02
Ricky,numerical,13,203,364.5,293.77,334.0,274.0,0.73
Ricky,numerical,13,204,366.0,291.25,334.0,280.0,1.7
Ricky,numerical,13,205,367.5,288.99,334.0,286.0,2.75
Ricky,numerical,13,206,369.0,287.03,335.0,291.0,2.71
Ricky,numerical,13,207,370.5,285.41,337.0,297.0,2.02
Ricky,numerical,13,208,372.0,284.14,338.0,302.0,2.28
Ricky,numerical,13,209,373.5,283.24,339.0,307.0,2.77
Ricky,numerical,13,210,375.0,282.69,342.0,310.0,1.01
Ricky,numerical,13,211,376.5,282.47,346.0,312.0,1.71
Ricky,numerical,13,212,378.0,282.55,352.0,314.0,0.67
Ricky,numerical,13,213,379.5,282.88,357.0,313.0,2.68
Ricky,numerical,13,214,381.0,283.41,359.0,309.0,2.29
Ricky,numerical,13,215,382.5,284.07,361.0,306.0,2.62
Ricky,numerical,13,216,384.0,284.78,364.0,301.0,2.98
Ricky,numerical,13,217,385.5,285.46,366.0,297.0,2.88
Ricky,numerical,13,218,387.0,286.02,370.0,293.0,4.3
Ricky,numerical,13,219,388.5,286.37,373.0,289.0,4.27
Ricky,numerical,13,220,390.0,286.41,377.0,287.0,4.5
Ricky,numerical,13,221,391.5,286.06,382.0,287.0,2.87
Ricky,numerical,13,222,393.0,285.21,388.0,287.0,0.73
Ricky,numerical,13,223,394.5,283.79,394.0,285.0,0.54
Ricky,numerical,13,224,396.0,281.7,397.0,282.0,1.03
Ricky,numerical,13,225,397.5,278.87,400.0,277.0,1.6
Ricky,numerical,13,226,399.0,275.24,404.0,270.0,3.17
Ricky,numerical,13,227,400.5,270.75,406.0,264.0,3.58
Ricky,numerical,13,228,402.0,265.35,409.0,254.0,4.37
Ricky,numerical,13,229,403.5,259.03,409.0,245.0,2.72
Ricky,numerical,13,230,405.0,251.75,409.0,239.0,1.74
Ricky,numerical,13,231,406.5,243.52,409.0,232.0,0.64
Ricky,numerical,13,232,408.0,234.36,409.0,226.0,0.24
Ricky,numerical,13,233,409.5,224.29,409.0,221.0,0.94
Ricky,numerical,13,234,411.0,213.36,414.0,201.0,1.41
Ricky,numerical,13,235,412.5,201.63,416.0,193.0,2.44
Ricky,numerical,13,236,414.0,189.18,416.0,188.0,1.85
Ricky,numerical,13,237,415.5,176.09,416.0,181.0,1.06
Ricky,numerical,13,238,417.0,162.47,416.0,175.0,0.38
Ricky,numerical,13,239,418.5,148.44,417.0,169.0,0.71
Ricky,numerical,13,240,420.0,134.12,418.0,164.0,1.16
Ricky,numerical,13,241,421.5,119.64,418.0,157.0,0.41
Ricky,numerical,13,242,423.0,105.14,418.0,152.0,0.12
Ricky,numerical,13,243,424.5,90.78,418.0,145.0,0.86
Ricky,numerical,13,244,426.0,76.69,420.0,139.0,0.51
Ricky,numerical,13,245,427.5,63.02,420.0,134.0,0.01
Ricky,numerical,13,246,429.0,49.93,420.0,128.0,0.63
Ricky,numerical,13,247,430.5,42.0,420.0,121.0,1.35
Ricky,numerical,13,248,432.0,42.0,420.0,116.0,1.87
Ricky,numerical,13,249,433.5,42.0,420.0,110.0,2.48
Ricky,numerical,13,250,435.0,42.0,422.0,104.0,1.11
Ricky,numerical,13,251,436.5,42.0,422.0,99.0,1.63
Ricky,numerical,13,252,438.0,42.0,423.0,93.0,1.26
Ricky,numerical,13,253,439.5,42.0,424.0,88.0,0.79
Ricky,numerical,13,254,441.0,42.0,424.0,83.0,1.32
Ricky,numerical,13,255,442.5,42.0,424.0,77.0,1.96
Ricky,numerical,13,256,444.0,42.0,425.0,71.0,1.61
Ricky,numerical,13,257,445.5,42.0,426.0,67.0,1.06
Ricky,numerical,13,258,447.0,42.0,428.0,62.0,0.38
Ricky,numerical,13,259,448.5,42.0,428.0,56.0,0.3
Ricky,numerical,13,260,450.0,42.0,429.0,51.0,0.12
Ricky,numerical,13,261,451.5,42.0,431.0,47.0,1.42
Ricky,numerical,13,262,453.0,42.0,434.0,44.0,2.0
Ricky,numerical,13,263,454.5,42.0,440.0,44.0,2.0
Ricky,numerical,13,264,456.0,42.0,446.0,44.0,2.0
Ricky,numerical,13,265,457.5,42.0,452.0,44.0,2.0
Ricky,numerical,13,266,459.0,48.13,457.0,44.0,0.96
Ricky,numerical,13,267,460.5,61.4,458.0,43.0,0.25
Ricky,numerical,13,268,462.0,75.32,457.0,49.0,2.08
Ricky,numerical,13,269,463.5,89.75,457.0,54.0,2.65
Ricky,numerical,13,270,465.0,104.54,459.0,61.0,1.45
Ricky,numerical,13,271,466.5,119.53,462.0,67.0,0.89
Ricky,numerical,13,272,468.0,134.58,463.0,74.0,1.14
Ricky,numerical,13,273,469.5,149.54,463.0,80.0,0.51
Ricky,numerical,13,274,471.0,164.26,464.0,86.0,0.88
Ricky,numerical,13,275,472.5,178.63,464.0,92.0,0.27
Ricky,numerical,13,276,474.0,192.5,464.0,98.0,0.34
Ricky,numerical,13,277,475.5,205.76,465.0,105.0,0.05
Ricky,numerical,13,278,477.0,218.32,466.0,110.0,0.45
Ricky,numerical,13,279,478.5,230.08,467.0,115.0,0.95
Ricky,numerical,13,280,480.0,240.98,467.0,123.0,0.15
Ricky,numerical,13,281,481.5,250.94,468.0,129.0,0.55
Ricky,numerical,13,282,483.0,259.94,469.0,134.0,1.05
Ricky,numerical,13,283,484.5,267.94,470.0,138.0,1.65
Ricky,numerical,13,284,486.0,274.93,471.0,143.0,2.14
Ricky,numerical,13,285,487.5,280.91,471.0,149.0,1.55
Ricky,numerical,13,286,489.0,285.9,471.0,155.0,0.94
Ricky,numerical,13,287,490.5,289.95,471.0,161.0,0.33
Ricky,numerical,13,288,492.0,293.09,474.0,165.0,2.91
Ricky,numerical,13,289,493.5,295.38,474.0,175.0,1.87
Ricky,numerical,13,290,495.0,296.89,476.0,181.0,3.22
Ricky,numerical,13,291,496.5,297.71,477.0,186.0,3.68
Ricky,numerical,13,292,498.0,297.91,477.0,192.0,3.04
Ricky,numerical,13,293,499.5,297.59,478.0,199.0,3.24
Ricky,numerical,13,294,501.0,296.85,478.0,206.0,2.45
Ricky,numerical,13,295,502.5,295.77,478.0,212.0,1.74
Ricky,numerical,13,296,504.0,294.47,478.0,219.0,0.91
