participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
Ricky,spatial-color,14,0,60.0,336.46,59.0,335.0,1.39
Ricky,spatial-color,14,1,61.5,331.7,64.0,327.0,1.1
Ricky,spatial-color,14,2,63.0,326.48,67.0,317.0,1.44
Ricky,spatial-color,14,3,64.5,320.91,68.0,312.0,1.18
Ricky,spatial-color,14,4,66.0,315.1,68.0,307.0,0.04
Ricky,spatial-color,14,5,67.5,309.16,69.0,300.0,0.79
Ricky,spatial-color,14,6,69.0,303.19,70.0,296.0,0.81
Ricky,spatial-color,14,7,70.5,297.29,72.0,290.0,0.4
Ricky,spatial-color,14,8,72.0,291.54,73.0,286.0,0.49
Ricky,spatial-color,14,9,73.5,286.02,74.0,281.0,0.9
Ricky,spatial-color,14,10,75.0,280.79,76.0,275.0,0.76
Ricky,spatial-color,14,11,76.5,275.91,76.0,270.0,2.36
Ricky,spatial-color,14,12,78.0,271.41,77.0,263.0,3.95
Ricky,spatial-color,14,13,79.5,267.32,79.0,258.0,4.23
Ricky,spatial-color,14,14,81.0,263.66,82.0,252.0,4.68
Ricky,spatial-color,14,15,82.5,260.42,86.0,249.0,3.34
Ricky,spatial-color,14,16,84.0,257.59,88.0,246.0,4.01
Ricky,spatial-color,14,17,85.5,255.15,92.0,242.0,4.27
Ricky,spatial-color,14,18,87.0,253.04,95.0,239.0,4.14
Ricky,spatial-color,14,19,88.5,251.22,98.0,237.0,2.87
Ricky,spatial-color,14,20,90.0,249.64,101.0,235.0,1.24
Ricky,spatial-color,14,21,91.5,248.21,106.0,228.0,0.64
Ricky,spatial-color,14,22,93.0,246.86,108.0,223.0,0.99
Ricky,spatial-color,14,23,94.5,245.52,108.0,216.0,0.89
Ricky,spatial-color,14,24,96.0,244.09,109.0,210.0,1.34
Ricky,spatial-color,14,25,97.5,242.49,111.0,205.0,0.46
Ricky,spatial-color,14,26,99.0,240.63,112.0,197.0,1.05
Ricky,spatial-color,14,27,100.5,238.42,113.0,193.0,0.8
Ricky,spatial-color,14,28,102.0,235.79,113.0,188.0,1.66
Ricky,spatial-color,14,29,103.5,232.64,114.0,181.0,1.83
Ricky,spatial-color,14,30,105.0,228.93,116.0,177.0,0.49
Ricky,spatial-color,14,31,106.5,224.58,117.0,171.0,0.41
Ricky,spatial-color,14,32,108.0,219.54,117.0,165.0,1.29
Ricky,spatial-color,14,33,109.5,213.79,118.0,159.0,1.14
Ricky,spatial-color,14,34,111.0,207.29,120.0,153.0,0.0
Ricky,spatial-color,14,35,112.5,200.02,120.0,148.0,0.66
Ricky,spatial-color,14,36,114.0,192.01,120.0,143.0,1.32
Ricky,spatial-color,14,37,115.5,183.26,120.0,137.0,2.09
Ricky,spatial-color,14,38,117.0,173.8,121.0,132.0,1.74
Ricky,spatial-color,14,39,118.5,163.68,123.0,125.0,0.63
Ricky,spatial-color,14,40,120.0,152.97,124.0,121.0,0.14
Ricky,spatial-color,14,41,121.5,141.74,125.0,116.0,0.24
Ricky,spatial-color,14,42,123.0,130.09,127.0,110.0,1.49
Ricky,spatial-color,14,43,124.5,118.1,128.0,103.0,1.63
Ricky,spatial-color,14,44,126.0,105.89,128.0,97.0,0.91
Ricky,spatial-color,14,45,127.5,93.59,128.0,90.0,0.06
Ricky,spatial-color,14,46,129.0,81.32,129.0,85.0,0.45
Ricky,spatial-color,14,47,130.5,69.22,130.0,78.0,0.58
Ricky,spatial-color,14,48,132.0,57.42,130.0,73.0,0.03
Ricky,spatial-color,14,49,133.5,46.06,131.0,68.0,0.34
Ricky,spatial-color,14,50,135.0,42.0,132.0,63.0,0.7
Ricky,spatial-color,14,51,136.5,42.0,132.0,58.0,0.07
Ricky,spatial-color,14,52,138.0,42.0,132.0,53.0,0.58
Ricky,spatial-color,14,53,139.5,42.0,134.0,48.0,0.75
Ricky,spatial-color,14,54,141.0,42.0,135.0,44.0,0.69
Ricky,spatial-color,14,55,142.5,42.0,138.0,41.0,1.0
Ricky,spatial-color,14,56,144.0,42.0,144.0,41.0,1.0
Ricky,spatial-color,14,57,145.5,42.0,149.0,41.0,1.0
Ricky,spatial-color,14,58,147.0,42.0,155.0,41.0,1.0
Ricky,spatial-color,14,59,148.5,42.0,160.0,41.0,1.0
Ricky,spatial-color,14,60,150.0,42.0,162.0,44.0,0.86
Ricky,spatial-color,14,61,151.5,42.0,162.0,50.0,0.33
Ricky,spatial-color,14,62,153.0,42.0,164.0,55.0,1.09
Ricky,spatial-color,14,63,154.5,42.0,164.0,60.0,0.53
Ricky,spatial-color,14,64,156.0,42.0,164.0,67.0,0.21
Ricky,spatial-color,14,65,157.5,42.0,165.0,73.0,0.15
Ricky,spatial-color,14,66,159.0,42.0,166.0,79.0,0.54
Ricky,spatial-color,14,67,160.5,42.0,166.0,84.0,0.04
Ricky,spatial-color,14,68,162.0,47.02,166.0,89.0,0.46
Ricky,spatial-color,14,69,163.5,60.3,167.0,95.0,0.04
Ricky,spatial-color,14,70,165.0,74.47,168.0,100.0,0.47
Ricky,spatial-color,14,71,166.5,89.39,168.0,105.0,0.01
Ricky,spatial-color,14,72,168.0,104.91,168.0,111.0,0.57
Ricky,spatial-color,14,73,169.5,120.89,168.0,116.0,1.04
Ricky,spatial-color,14,74,171.0,137.17,168.0,122.0,1.6
Ricky,spatial-color,14,75,172.5,153.58,170.0,128.0,0.15
Ricky,spatial-color,14,76,174.0,169.97,170.0,134.0,0.7
Ricky,spatial-color,14,77,175.5,186.19,171.0,141.0,0.35
Ricky,spatial-color,14,78,177.0,202.09,173.0,146.0,1.19
Ricky,spatial-color,14,79,178.5,217.52,174.0,152.0,1.64
Ricky,spatial-color,14,80,180.0,232.35,174.0,159.0,1.0
Ricky,spatial-color,14,81,181.5,246.45,174.0,164.0,0.54
Ricky,spatial-color,14,82,183.0,259.72,174.0,172.0,0.19
Ricky,spatial-color,14,83,184.5,272.05,174.0,177.0,0.65
Ricky,spatial-color,14,84,186.0,283.37,174.0,183.0,1.2
Ricky,spatial-color,14,85,187.5,293.6,174.0,189.0,1.76
Ricky,spatial-color,14,86,189.0,302.7,174.0,194.0,2.23
Ricky,spatial-color,14,87,190.5,310.62,174.0,199.0,2.7
Ricky,spatial-color,14,88,192.0,317.35,176.0,203.0,1.08
Ricky,spatial-color,14,89,193.5,322.89,177.0,209.0,0.67
