participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
alison,no-feedback,1,0,60.0,336.46,57.89,334.72,2.54
alison,no-feedback,1,1,61.5,331.7,58.89,329.72,3.06
alison,no-feedback,1,2,63.0,326.48,59.89,323.72,3.72
alison,no-feedback,1,3,64.5,320.91,62.89,319.72,1.86
alison,no-feedback,1,4,66.0,315.1,63.89,314.72,2.14
alison,no-feedback,1,5,67.5,309.16,65.89,309.72,1.43
alison,no-feedback,1,6,69.0,303.19,65.89,303.72,2.89
alison,no-feedback,1,7,70.5,297.29,68.89,297.72,1.46
alison,no-feedback,1,8,72.0,291.54,69.89,292.72,1.75
alison,no-feedback,1,9,73.5,286.02,70.89,286.72,2.34
alison,no-feedback,1,10,75.0,280.79,73.89,280.72,1.09
alison,no-feedback,1,11,76.5,275.91,73.89,274.72,2.85
alison,no-feedback,1,12,78.0,271.41,76.89,270.72,1.28
alison,no-feedback,1,13,79.5,267.32,78.89,266.72,0.79
alison,no-feedback,1,14,81.0,263.66,79.89,259.72,2.66
alison,no-feedback,1,15,82.5,260.42,82.89,253.72,2.97
alison,no-feedback,1,16,84.0,257.59,86.89,250.72,1.56
alison,no-feedback,1,17,85.5,255.15,88.89,246.72,2.88
alison,no-feedback,1,18,87.0,253.04,91.89,243.72,3.08
alison,no-feedback,1,19,88.5,251.22,94.89,240.72,3.12
alison,no-feedback,1,20,90.0,249.64,96.89,237.72,3.38
alison,no-feedback,1,21,91.5,248.21,101.89,232.72,1.42
alison,no-feedback,1,22,93.0,246.86,103.89,228.72,1.11
alison,no-feedback,1,23,94.5,245.52,105.89,222.72,1.12
alison,no-feedback,1,24,96.0,244.09,108.89,217.72,0.4
alison,no-feedback,1,25,97.5,242.49,109.89,212.72,0.14
alison,no-feedback,1,26,99.0,240.63,110.89,206.72,0.22
alison,no-feedback,1,27,100.5,238.42,110.89,199.72,1.64
alison,no-feedback,1,28,102.0,235.79,110.89,193.72,2.74
alison,no-feedback,1,29,103.5,232.64,111.89,188.72,2.64
