participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
alison,spatial-color,3,0,60.0,336.46,58.89,334.72,1.58
alison,spatial-color,3,1,61.5,331.7,61.89,329.72,0.17
alison,spatial-color,3,2,63.0,326.48,62.89,323.72,0.83
alison,spatial-color,3,3,64.5,320.91,63.89,319.72,0.89
alison,spatial-color,3,4,66.0,315.1,64.89,313.72,1.42
alison,spatial-color,3,5,67.5,309.16,66.89,308.72,0.7
alison,spatial-color,3,6,69.0,303.19,66.89,302.72,2.16
alison,spatial-color,3,7,70.5,297.29,67.89,297.72,2.43
alison,spatial-color,3,8,72.0,291.54,69.89,292.72,1.75
alison,spatial-color,3,9,73.5,286.02,70.89,286.72,2.34
alison,spatial-color,3,10,75.0,280.79,72.89,281.72,1.77
alison,spatial-color,3,11,76.5,275.91,74.89,277.72,1.01
alison,spatial-color,3,12,78.0,271.41,76.89,270.72,1.28
alison,spatial-color,3,13,79.5,267.32,78.89,263.72,1.93
alison,spatial-color,3,14,81.0,263.66,79.89,257.72,3.57
alison,spatial-color,3,15,82.5,260.42,82.89,251.72,4.11
alison,spatial-color,3,16,84.0,257.59,85.89,249.72,2.97
alison,spatial-color,3,17,85.5,255.15,90.89,248.72,0.05
alison,spatial-color,3,18,87.0,253.04,94.89,244.72,0.31
alison,spatial-color,3,19,88.5,251.22,99.89,237.72,0.88
alison,spatial-color,3,20,90.0,249.64,103.89,234.72,1.24
alison,spatial-color,3,21,91.5,248.21,105.89,231.72,1.87
alison,spatial-color,3,22,93.0,246.86,109.89,224.72,3.29
alison,spatial-color,3,23,94.5,245.52,109.89,219.72,1.87
alison,spatial-color,3,24,96.0,244.09,110.89,211.72,0.89
alison,spatial-color,3,25,97.5,242.49,113.89,204.72,2.31
alison,spatial-color,3,26,99.0,240.63,113.89,199.72,1.31
alison,spatial-color,3,27,100.5,238.42,113.89,192.72,0.02
alison,spatial-color,3,28,102.0,235.79,113.89,186.72,1.0
alison,spatial-color,3,29,103.5,232.64,113.89,180.72,1.99
alison,spatial-color,3,30,105.0,228.93,114.89,174.72,1.94
