participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
belinda,numerical,2,0,60.0,336.46,58.89,336.61,1.12
belinda,numerical,2,1,61.5,331.7,59.89,330.61,1.85
belinda,numerical,2,2,63.0,326.48,62.89,323.61,0.85
belinda,numerical,2,3,64.5,320.91,62.89,316.61,2.64
belinda,numerical,2,4,66.0,315.1,63.89,311.61,2.9
belinda,numerical,2,5,67.5,309.16,66.89,305.61,1.46
belinda,numerical,2,6,69.0,303.19,67.89,300.61,1.71
belinda,numerical,2,7,70.5,297.29,67.89,293.61,3.46
belinda,numerical,2,8,72.0,291.54,69.89,289.61,2.54
belinda,numerical,2,9,73.5,286.02,71.89,283.61,2.21
belinda,numerical,2,10,75.0,280.79,72.89,279.61,2.36
belinda,numerical,2,11,76.5,275.91,74.89,274.61,1.94
belinda,numerical,2,12,78.0,271.41,76.89,269.61,1.66
belinda,numerical,2,13,79.5,267.32,79.89,264.61,0.67
belinda,numerical,2,14,81.0,263.66,79.89,259.61,2.71
belinda,numerical,2,15,82.5,260.42,83.89,256.61,0.61
belinda,numerical,2,16,84.0,257.59,87.89,253.61,1.05
belinda,numerical,2,17,85.5,255.15,90.89,248.61,0.13
belinda,numerical,2,18,87.0,253.04,91.89,243.61,3.17
belinda,numerical,2,19,88.5,251.22,97.89,240.61,0.88
belinda,numerical,2,20,90.0,249.64,101.89,237.61,0.8
belinda,numerical,2,21,91.5,248.21,102.89,232.61,0.57
belinda,numerical,2,22,93.0,246.86,103.89,227.61,1.48
belinda,numerical,2,23,94.5,245.52,105.89,222.61,1.15
belinda,numerical,2,24,96.0,244.09,108.89,216.61,0.12
belinda,numerical,2,25,97.5,242.49,110.89,208.61,0.19
belinda,numerical,2,26,99.0,240.63,112.89,200.61,0.5
belinda,numerical,2,27,100.5,238.42,112.89,194.61,0.61
belinda,numerical,2,28,102.0,235.79,113.89,188.61,0.68
belinda,numerical,2,29,103.5,232.64,114.89,182.61,0.7
belinda,numerical,2,30,105.0,228.93,115.89,176.61,0.66
belinda,numerical,2,31,106.5,224.58,116.89,170.61,0.58
belinda,numerical,2,32,108.0,219.54,118.89,165.61,0.67
belinda,numerical,2,33,109.5,213.79,119.89,159.61,0.81
belinda,numerical,2,34,111.0,207.29,119.89,151.61,0.29
belinda,numerical,2,35,112.5,200.02,120.89,145.61,0.09
belinda,numerical,2,36,114.0,192.01,122.89,139.61,1.11
belinda,numerical,2,37,115.5,183.26,122.89,133.61,0.34
belinda,numerical,2,38,117.0,173.8,122.89,127.61,0.42
belinda,numerical,2,39,118.5,163.68,122.89,121.61,1.16
belinda,numerical,2,40,120.0,152.97,122.89,114.61,2.02
belinda,numerical,2,41,121.5,141.74,122.89,108.61,2.76
belinda,numerical,2,42,123.0,130.09,122.89,101.61,3.61
belinda,numerical,2,43,124.5,118.1,122.89,96.61,4.21
belinda,numerical,2,44,126.0,105.89,125.89,86.61,2.45
belinda,numerical,2,45,127.5,93.59,127.89,80.61,1.19
belinda,numerical,2,46,129.0,81.32,128.89,76.61,0.69
belinda,numerical,2,47,130.5,69.22,129.89,69.61,0.56
belinda,numerical,2,48,132.0,57.42,129.89,62.61,1.44
belinda,numerical,2,49,133.5,46.06,131.89,56.61,0.22
belinda,numerical,2,50,135.0,42.0,133.89,50.61,0.98
belinda,numerical,2,51,136.5,42.0,134.89,43.61,0.45
belinda,numerical,2,52,138.0,42.0,134.89,38.61,3.39
belinda,numerical,2,53,139.5,42.0,141.89,38.61,3.39
belinda,numerical,2,54,141.0,42.0,147.89,38.61,3.39
belinda,numerical,2,55,142.5,42.0,153.89,39.61,2.39
belinda,numerical,2,56,144.0,42.0,157.89,41.61,0.39
belinda,numerical,2,57,145.5,42.0,160.89,47.61,1.17
belinda,numerical,2,58,147.0,42.0,161.89,51.61,0.63
belinda,numerical,2,59,148.5,42.0,162.89,57.61,0.31
belinda,numerical,2,60,150.0,42.0,162.89,62.61,0.85
belinda,numerical,2,61,151.5,42.0,163.89,68.61,0.49
belinda,numerical,2,62,153.0,42.0,163.89,73.61,1.01
belinda,numerical,2,63,154.5,42.0,164.89,79.61,0.62
belinda,numerical,2,64,156.0,42.0,165.89,86.61,0.33
belinda,numerical,2,65,157.5,42.0,165.89,93.61,1.01
belinda,numerical,2,66,159.0,42.0,165.89,97.61,1.4
belinda,numerical,2,67,160.5,42.0,166.89,108.61,1.45
belinda,numerical,2,68,162.0,47.02,166.89,115.61,2.11
belinda,numerical,2,69,163.5,60.3,166.89,122.61,2.76
belinda,numerical,2,70,165.0,74.47,167.89,128.61,2.31
belinda,numerical,2,71,166.5,89.39,167.89,134.61,2.86
belinda,numerical,2,72,168.0,104.91,168.89,141.61,2.51
belinda,numerical,2,73,169.5,120.89,169.89,148.61,2.15
belinda,numerical,2,74,171.0,137.17,171.89,156.61,0.88
belinda,numerical,2,75,172.5,153.58,172.89,163.61,0.53
belinda,numerical,2,76,174.0,169.97,173.89,170.61,0.17
belinda,numerical,2,77,175.5,186.19,173.89,174.61,0.54
belinda,numerical,2,78,177.0,202.09,173.89,182.61,1.27
belinda,numerical,2,79,178.5,217.52,173.89,188.61,1.83
belinda,numerical,2,80,180.0,232.35,173.89,195.61,2.49
belinda,numerical,2,81,181.5,246.45,174.89,199.61,1.87
belinda,numerical,2,82,183.0,259.72,175.89,206.61,1.54
belinda,numerical,2,83,184.5,272.05,175.89,212.61,2.12
belinda,numerical,2,84,186.0,283.37,176.89,219.61,1.81
belinda,numerical,2,85,187.5,293.6,176.89,223.61,2.22
belinda,numerical,2,86,189.0,302.7,177.89,230.61,1.93
belinda,numerical,2,87,190.5,310.62,177.89,235.61,2.44
belinda,numerical,2,88,192.0,317.35,179.89,240.61,0.98
belinda,numerical,2,89,193.5,322.89,179.89,253.61,2.4
belinda,numerical,2,90,195.0,327.24,179.89,259.61,3.08
belinda,numerical,2,91,196.5,330.45,181.89,264.61,1.69
belinda,numerical,2,92,198.0,332.55,182.89,271.61,1.55
belinda,numerical,2,93,199.5,333.6,183.89,277.61,1.34
belinda,numerical,2,94,201.0,333.68,184.89,284.61,1.28
belinda,numerical,2,95,202.5,332.85,186.89,291.61,0.32
belinda,numerical,2,96,204.0,331.22,188.89,296.61,0.88
belinda,numerical,2,97,205.5,328.88,188.89,304.61,0.46
belinda,numerical,2,98,207.0,325.93,189.89,310.61,0.6
belinda,numerical,2,99,208.5,322.47,190.89,315.61,0.71
belinda,numerical,2,100,210.0,318.62,193.89,319.61,1.23
belinda,numerical,2,101,211.5,314.48,193.89,325.61,0.52
belinda,numerical,2,102,213.0,310.15,196.89,329.61,0.71
belinda,numerical,2,103,214.5,305.73,199.89,332.61,1.01
belinda,numerical,2,104,216.0,301.33,202.89,330.61,1.23
belinda,numerical,2,105,217.5,297.02,205.89,325.61,1.14
belinda,numerical,2,106,219.0,292.88,208.89,322.61,0.41
belinda,numerical,2,107,220.5,288.98,209.89,316.61,0.79
belinda,numerical,2,108,222.0,285.37,209.89,311.61,2.46
belinda,numerical,2,109,223.5,282.1,210.89,305.61,3.46
belinda,numerical,2,110,225.0,279.19,213.89,300.61,2.23
belinda,numerical,2,111,226.5,276.66,218.89,293.61,0.14
belinda,numerical,2,112,228.0,274.52,221.89,289.61,1.52
belinda,numerical,2,113,229.5,272.75,222.89,284.61,0.49
belinda,numerical,2,114,231.0,271.33,225.89,279.61,0.98
belinda,numerical,2,115,232.5,270.23,226.89,273.61,1.44
belinda,numerical,2,116,234.0,269.38,231.89,270.61,0.06
belinda,numerical,2,117,235.5,268.75,236.89,267.61,0.64
belinda,numerical,2,118,237.0,268.25,240.89,263.61,3.1
belinda,numerical,2,119,238.5,267.81,242.89,259.61,4.87
belinda,numerical,2,120,240.0,267.35,245.89,256.61,3.92
belinda,numerical,2,121,241.5,266.78,248.89,252.61,2.79
belinda,numerical,2,122,243.0,266.01,252.89,244.61,1.46
belinda,numerical,2,123,244.5,264.96,255.89,238.61,0.07
belinda,numerical,2,124,246.0,263.52,256.89,231.61,0.62
belinda,numerical,2,125,247.5,261.62,259.89,228.61,1.71
belinda,numerical,2,126,249.0,259.18,259.89,220.61,0.22
belinda,numerical,2,127,250.5,256.1,259.89,213.61,0.97
belinda,numerical,2,128,252.0,252.34,259.89,207.61,1.92
belinda,numerical,2,129,253.5,247.83,259.89,201.61,2.84
belinda,numerical,2,130,255.0,242.52,259.89,194.61,3.85
belinda,numerical,2,131,256.5,236.39,261.89,191.61,2.29
belinda,numerical,2,132,258.0,229.4,262.89,185.61,2.11
belinda,numerical,2,133,259.5,221.57,262.89,179.61,2.9
belinda,numerical,2,134,261.0,212.88,264.89,169.61,2.19
belinda,numerical,2,135,262.5,203.38,265.89,162.61,2.05
belinda,numerical,2,136,264.0,193.09,267.89,158.61,0.55
belinda,numerical,2,137,265.5,182.08,269.89,153.61,0.85
belinda,numerical,2,138,267.0,170.41,270.89,149.61,1.37
belinda,numerical,2,139,268.5,158.17,271.89,142.61,1.55
belinda,numerical,2,140,270.0,145.45,271.89,136.61,0.87
belinda,numerical,2,141,271.5,132.35,271.89,129.61,0.08
belinda,numerical,2,142,273.0,119.01,271.89,119.61,1.04
belinda,numerical,2,143,274.5,105.55,271.89,111.61,1.92
belinda,numerical,2,144,276.0,92.09,271.89,105.61,2.59
belinda,numerical,2,145,277.5,78.79,273.89,99.61,1.27
belinda,numerical,2,146,279.0,65.78,273.89,94.61,1.82
belinda,numerical,2,147,280.5,53.21,276.89,88.61,0.49
