participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
belinda,spatial-color,1,0,60.0,336.46,56.89,338.61,3.78
belinda,spatial-color,1,1,61.5,331.7,62.89,333.61,1.9
belinda,spatial-color,1,2,63.0,326.48,59.89,331.61,1.57
belinda,spatial-color,1,3,64.5,320.91,59.89,325.61,3.23
belinda,spatial-color,1,4,66.0,315.1,62.89,318.61,2.14
belinda,spatial-color,1,5,67.5,309.16,65.89,311.61,0.96
belinda,spatial-color,1,6,69.0,303.19,67.89,307.61,0.0
belinda,spatial-color,1,7,70.5,297.29,68.89,302.61,0.25
belinda,spatial-color,1,8,72.0,291.54,69.89,296.61,0.76
belinda,spatial-color,1,9,73.5,286.02,71.89,290.61,0.35
belinda,spatial-color,1,10,75.0,280.79,73.89,285.61,0.26
belinda,spatial-color,1,11,76.5,275.91,76.89,279.61,1.46
belinda,spatial-color,1,12,78.0,271.41,79.89,273.61,2.49
belinda,spatial-color,1,13,79.5,267.32,79.89,267.61,0.46
belinda,spatial-color,1,14,81.0,263.66,79.89,261.61,1.87
belinda,spatial-color,1,15,82.5,260.42,81.89,254.61,3.36
belinda,spatial-color,1,16,84.0,257.59,83.89,250.61,3.95
belinda,spatial-color,1,17,85.5,255.15,90.89,246.61,1.6
belinda,spatial-color,1,18,87.0,253.04,96.89,243.61,0.32
belinda,spatial-color,1,19,88.5,251.22,100.89,240.61,1.55
belinda,spatial-color,1,20,90.0,249.64,102.89,236.61,1.18
belinda,spatial-color,1,21,91.5,248.21,105.89,231.61,1.83
belinda,spatial-color,1,22,93.0,246.86,107.89,225.61,1.65
belinda,spatial-color,1,23,94.5,245.52,108.89,220.61,1.16
belinda,spatial-color,1,24,96.0,244.09,111.89,207.61,0.94
belinda,spatial-color,1,25,97.5,242.49,114.89,199.61,2.27
belinda,spatial-color,1,26,99.0,240.63,116.89,191.61,2.78
belinda,spatial-color,1,27,100.5,238.42,116.89,185.61,1.77
belinda,spatial-color,1,28,102.0,235.79,116.89,180.61,0.96
belinda,spatial-color,1,29,103.5,232.64,116.89,176.61,0.33
belinda,spatial-color,1,30,105.0,228.93,116.89,168.61,0.87
belinda,spatial-color,1,31,106.5,224.58,119.89,162.61,1.23
belinda,spatial-color,1,32,108.0,219.54,119.89,156.61,0.39
belinda,spatial-color,1,33,109.5,213.79,119.89,150.61,0.42
belinda,spatial-color,1,34,111.0,207.29,120.89,145.61,0.09
belinda,spatial-color,1,35,112.5,200.02,122.89,139.61,1.11
belinda,spatial-color,1,36,114.0,192.01,122.89,134.61,0.47
belinda,spatial-color,1,37,115.5,183.26,123.89,130.61,0.95
belinda,spatial-color,1,38,117.0,173.8,124.89,125.61,1.32
belinda,spatial-color,1,39,118.5,163.68,125.89,119.61,1.57
belinda,spatial-color,1,40,120.0,152.97,125.89,113.61,0.83
belinda,spatial-color,1,41,121.5,141.74,126.89,109.61,1.34
belinda,spatial-color,1,42,123.0,130.09,128.89,103.61,2.59
belinda,spatial-color,1,43,124.5,118.1,128.89,98.61,1.99
belinda,spatial-color,1,44,126.0,105.89,129.89,91.61,2.13
belinda,spatial-color,1,45,127.5,93.59,130.89,84.61,2.27
belinda,spatial-color,1,46,129.0,81.32,130.89,78.61,1.54
belinda,spatial-color,1,47,130.5,69.22,130.89,70.61,0.56
belinda,spatial-color,1,48,132.0,57.42,130.89,65.61,0.07
belinda,spatial-color,1,49,133.5,46.06,130.89,59.61,0.83
belinda,spatial-color,1,50,135.0,42.0,130.89,51.61,1.86
belinda,spatial-color,1,51,136.5,42.0,130.89,45.61,2.65
belinda,spatial-color,1,52,138.0,42.0,130.89,39.61,4.76
belinda,spatial-color,1,53,139.5,42.0,134.89,38.61,3.39
belinda,spatial-color,1,54,141.0,42.0,140.89,38.61,3.39
belinda,spatial-color,1,55,142.5,42.0,145.89,39.61,2.39
belinda,spatial-color,1,56,144.0,42.0,150.89,39.61,2.39
belinda,spatial-color,1,57,145.5,42.0,156.89,40.61,1.39
belinda,spatial-color,1,58,147.0,42.0,159.89,43.61,1.05
belinda,spatial-color,1,59,148.5,42.0,160.89,50.61,1.51
belinda,spatial-color,1,60,150.0,42.0,162.89,58.61,0.42
belinda,spatial-color,1,61,151.5,42.0,163.89,65.61,0.17
belinda,spatial-color,1,62,153.0,42.0,165.89,72.61,1.08
belinda,spatial-color,1,63,154.5,42.0,167.89,79.61,2.36
belinda,spatial-color,1,64,156.0,42.0,168.89,86.61,2.65
belinda,spatial-color,1,65,157.5,42.0,168.89,92.61,2.07
belinda,spatial-color,1,66,159.0,42.0,168.89,97.61,1.59
belinda,spatial-color,1,67,160.5,42.0,168.89,102.61,1.11
belinda,spatial-color,1,68,162.0,47.02,168.89,108.61,0.54
belinda,spatial-color,1,69,163.5,60.3,168.89,114.61,0.02
belinda,spatial-color,1,70,165.0,74.47,169.89,122.61,0.23
belinda,spatial-color,1,71,166.5,89.39,169.89,131.61,0.6
belinda,spatial-color,1,72,168.0,104.91,170.89,137.61,0.15
belinda,spatial-color,1,73,169.5,120.89,170.89,144.61,0.79
belinda,spatial-color,1,74,171.0,137.17,170.89,152.61,1.52
belinda,spatial-color,1,75,172.5,153.58,171.89,156.61,0.88
belinda,spatial-color,1,76,174.0,169.97,171.89,162.61,1.43
belinda,spatial-color,1,77,175.5,186.19,173.89,168.61,0.01
belinda,spatial-color,1,78,177.0,202.09,174.89,176.61,0.27
belinda,spatial-color,1,79,178.5,217.52,174.89,182.61,0.28
belinda,spatial-color,1,80,180.0,232.35,174.89,188.61,0.84
belinda,spatial-color,1,81,181.5,246.45,174.89,196.61,1.59
belinda,spatial-color,1,82,183.0,259.72,174.89,204.61,2.34
belinda,spatial-color,1,83,184.5,272.05,176.89,219.61,1.81
belinda,spatial-color,1,84,186.0,283.37,177.89,225.61,1.42
belinda,spatial-color,1,85,187.5,293.6,178.89,230.61,0.93
