participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
bruce,numerical,4,0,60.0,336.46,57.89,332.72,3.14
bruce,numerical,4,1,61.5,331.7,61.89,328.72,0.45
bruce,numerical,4,2,63.0,326.48,62.89,321.72,1.35
bruce,numerical,4,3,64.5,320.91,63.89,314.72,2.14
bruce,numerical,4,4,66.0,315.1,66.89,309.72,0.46
bruce,numerical,4,5,67.5,309.16,66.89,302.72,2.16
bruce,numerical,4,6,69.0,303.19,66.89,297.72,3.39
bruce,numerical,4,7,70.5,297.29,68.89,291.72,2.97
bruce,numerical,4,8,72.0,291.54,70.89,286.72,2.34
bruce,numerical,4,9,73.5,286.02,72.89,280.72,2.05
bruce,numerical,4,10,75.0,280.79,74.89,275.72,1.59
bruce,numerical,4,11,76.5,275.91,76.89,269.72,1.62
bruce,numerical,4,12,78.0,271.41,77.89,262.72,3.24
bruce,numerical,4,13,79.5,267.32,80.89,258.72,2.22
bruce,numerical,4,14,81.0,263.66,81.89,253.72,3.82
bruce,numerical,4,15,82.5,260.42,85.89,249.72,2.97
bruce,numerical,4,16,84.0,257.59,89.89,244.72,3.67
bruce,numerical,4,17,85.5,255.15,92.89,240.72,4.58
bruce,numerical,4,18,87.0,253.04,96.89,240.72,1.59
bruce,numerical,4,19,88.5,251.22,102.89,237.72,1.73
bruce,numerical,4,20,90.0,249.64,102.89,232.72,0.52
bruce,numerical,4,21,91.5,248.21,102.89,226.72,2.72
bruce,numerical,4,22,93.0,246.86,103.89,219.72,3.89
bruce,numerical,4,23,94.5,245.52,107.89,215.72,1.07
bruce,numerical,4,24,96.0,244.09,110.89,212.72,1.11
bruce,numerical,4,25,97.5,242.49,110.89,206.72,0.22
bruce,numerical,4,26,99.0,240.63,110.89,199.72,1.64
bruce,numerical,4,27,100.5,238.42,113.89,192.72,0.02
bruce,numerical,4,28,102.0,235.79,115.89,186.72,0.97
bruce,numerical,4,29,103.5,232.64,115.89,179.72,0.17
bruce,numerical,4,30,105.0,228.93,115.89,173.72,1.11
bruce,numerical,4,31,106.5,224.58,116.89,168.72,0.85
bruce,numerical,4,32,108.0,219.54,119.89,164.72,1.53
bruce,numerical,4,33,109.5,213.79,121.89,160.72,2.95
bruce,numerical,4,34,111.0,207.29,120.89,154.72,1.12
bruce,numerical,4,35,112.5,200.02,119.89,149.72,0.54
bruce,numerical,4,36,114.0,192.01,119.89,141.72,1.6
bruce,numerical,4,37,115.5,183.26,119.89,134.72,2.49
bruce,numerical,4,38,117.0,173.8,119.89,128.72,3.26
bruce,numerical,4,39,118.5,163.68,122.89,124.72,0.78
bruce,numerical,4,40,120.0,152.97,122.89,117.72,1.65
bruce,numerical,4,41,121.5,141.74,124.89,112.72,0.27
bruce,numerical,4,42,123.0,130.09,125.89,108.72,0.23
bruce,numerical,4,43,124.5,118.1,125.89,101.72,0.62
bruce,numerical,4,44,126.0,105.89,127.89,95.72,0.64
bruce,numerical,4,45,127.5,93.59,128.89,90.72,1.03
