participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
bruce,spatial-color,5,0,60.0,336.46,59.89,334.72,0.63
bruce,spatial-color,5,1,61.5,331.7,61.89,328.72,0.45
bruce,spatial-color,5,2,63.0,326.48,61.89,322.72,2.05
bruce,spatial-color,5,3,64.5,320.91,63.89,317.72,1.39
bruce,spatial-color,5,4,66.0,315.1,64.89,311.72,1.91
bruce,spatial-color,5,5,67.5,309.16,65.89,308.72,1.67
bruce,spatial-color,5,6,69.0,303.19,67.89,302.72,1.19
bruce,spatial-color,5,7,70.5,297.29,69.89,295.72,0.99
bruce,spatial-color,5,8,72.0,291.54,70.89,290.72,1.29
bruce,spatial-color,5,9,73.5,286.02,72.89,286.72,0.41
bruce,spatial-color,5,10,75.0,280.79,72.89,279.72,2.33
bruce,spatial-color,5,11,76.5,275.91,75.89,273.72,1.27
bruce,spatial-color,5,12,78.0,271.41,76.89,269.72,1.62
bruce,spatial-color,5,13,79.5,267.32,78.89,263.72,1.93
bruce,spatial-color,5,14,81.0,263.66,80.89,259.72,1.76
bruce,spatial-color,5,15,82.5,260.42,82.89,255.72,1.93
bruce,spatial-color,5,16,84.0,257.59,85.89,251.72,1.7
bruce,spatial-color,5,17,85.5,255.15,89.89,248.72,0.74
bruce,spatial-color,5,18,87.0,253.04,92.89,245.72,0.93
bruce,spatial-color,5,19,88.5,251.22,94.89,241.72,2.43
bruce,spatial-color,5,20,90.0,249.64,98.89,235.72,2.74
bruce,spatial-color,5,21,91.5,248.21,99.89,230.72,4.07
bruce,spatial-color,5,22,93.0,246.86,102.89,224.72,3.37
bruce,spatial-color,5,23,94.5,245.52,105.89,220.72,1.69
bruce,spatial-color,5,24,96.0,244.09,107.89,214.72,1.32
bruce,spatial-color,5,25,97.5,242.49,109.89,211.72,0.09
bruce,spatial-color,5,26,99.0,240.63,110.89,205.72,0.43
bruce,spatial-color,5,27,100.5,238.42,112.89,201.72,0.72
bruce,spatial-color,5,28,102.0,235.79,112.89,195.72,0.41
bruce,spatial-color,5,29,103.5,232.64,113.89,189.72,0.5
