participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
david,no-feedback,6,0,60.0,336.46,53.89,339.61,6.87
david,no-feedback,6,1,61.5,331.7,53.89,337.61,6.22
david,no-feedback,6,2,63.0,326.48,56.89,333.61,3.83
david,no-feedback,6,3,64.5,320.91,59.89,328.61,2.4
david,no-feedback,6,4,66.0,315.1,61.89,326.61,1.03
david,no-feedback,6,5,67.5,309.16,63.89,321.61,0.41
david,no-feedback,6,6,69.0,303.19,65.89,319.61,1.02
david,no-feedback,6,7,70.5,297.29,66.89,313.61,0.5
david,no-feedback,6,8,72.0,291.54,68.89,309.61,1.46
david,no-feedback,6,9,73.5,286.02,70.89,305.61,2.42
david,no-feedback,6,10,75.0,280.79,70.89,301.61,1.44
david,no-feedback,6,11,76.5,275.91,71.89,296.61,1.17
david,no-feedback,6,12,78.0,271.41,73.89,293.61,2.35
david,no-feedback,6,13,79.5,267.32,74.89,288.61,2.02
david,no-feedback,6,14,81.0,263.66,76.89,284.61,2.87
david,no-feedback,6,15,82.5,260.42,76.89,278.61,1.17
david,no-feedback,6,16,84.0,257.59,77.89,274.61,0.91
david,no-feedback,6,17,85.5,255.15,79.89,268.61,0.81
david,no-feedback,6,18,87.0,253.04,79.89,265.61,0.29
david,no-feedback,6,19,88.5,251.22,79.89,260.61,2.29
david,no-feedback,6,20,90.0,249.64,80.89,258.61,2.27
david,no-feedback,6,21,91.5,248.21,82.89,254.61,2.51
david,no-feedback,6,22,93.0,246.86,82.89,253.61,3.03
david,no-feedback,6,23,94.5,245.52,85.89,252.61,1.15
david,no-feedback,6,24,96.0,244.09,85.89,251.61,1.77
david,no-feedback,6,25,97.5,242.49,90.89,249.61,0.59
david,no-feedback,6,26,99.0,240.63,94.89,248.61,2.56
david,no-feedback,6,27,100.5,238.42,96.89,247.61,3.16
david,no-feedback,6,28,102.0,235.79,99.89,245.61,3.87
david,no-feedback,6,29,103.5,232.64,101.89,243.61,4.12
david,no-feedback,6,30,105.0,228.93,102.89,240.61,3.2
david,no-feedback,6,31,106.5,224.58,104.89,234.61,2.1
david,no-feedback,6,32,108.0,219.54,105.89,228.61,0.74
david,no-feedback,6,33,109.5,213.79,107.89,226.61,1.97
david,no-feedback,6,34,111.0,207.29,108.89,222.61,1.73
david,no-feedback,6,35,112.5,200.02,108.89,220.61,1.16
david,no-feedback,6,36,114.0,192.01,109.89,218.61,1.59
david,no-feedback,6,37,115.5,183.26,109.89,213.61,0.34
david,no-feedback,6,38,117.0,173.8,109.89,207.61,1.01
david,no-feedback,6,39,118.5,163.68,109.89,202.61,2.03
david,no-feedback,6,40,120.0,152.97,110.89,189.61,3.47
david,no-feedback,6,41,121.5,141.74,111.89,182.61,3.67
david,no-feedback,6,42,123.0,130.09,113.89,173.61,3.1
david,no-feedback,6,43,124.5,118.1,114.89,169.61,2.7
david,no-feedback,6,44,126.0,105.89,116.89,161.61,1.88
david,no-feedback,6,45,127.5,93.59,116.89,155.61,2.72
david,no-feedback,6,46,129.0,81.32,119.89,142.61,1.48
david,no-feedback,6,47,130.5,69.22,119.89,136.61,2.25
david,no-feedback,6,48,132.0,57.42,119.89,130.61,3.02
david,no-feedback,6,49,133.5,46.06,120.89,124.61,2.77
david,no-feedback,6,50,135.0,42.0,120.89,118.61,3.52
david,no-feedback,6,51,136.5,42.0,121.89,109.61,3.63
david,no-feedback,6,52,138.0,42.0,122.89,104.61,3.24
david,no-feedback,6,53,139.5,42.0,124.89,87.61,3.32
david,no-feedback,6,54,141.0,42.0,125.89,78.61,3.42
david,no-feedback,6,55,142.5,42.0,125.89,70.61,4.41
david,no-feedback,6,56,144.0,42.0,127.89,62.61,3.42
david,no-feedback,6,57,145.5,42.0,128.89,58.61,2.94
david,no-feedback,6,58,147.0,42.0,128.89,53.61,3.58
david,no-feedback,6,59,148.5,42.0,128.89,50.61,3.98
david,no-feedback,6,60,150.0,42.0,129.89,46.61,3.51
david,no-feedback,6,61,151.5,42.0,130.89,42.61,3.65
david,no-feedback,6,62,153.0,42.0,131.89,40.61,3.41
david,no-feedback,6,63,154.5,42.0,133.89,38.61,3.57
david,no-feedback,6,64,156.0,42.0,136.89,37.61,4.39
david,no-feedback,6,65,157.5,42.0,139.89,39.61,2.39
david,no-feedback,6,66,159.0,42.0,139.89,42.61,0.61
david,no-feedback,6,67,160.5,42.0,141.89,43.61,1.61
david,no-feedback,6,68,162.0,47.02,142.89,45.61,3.61
david,no-feedback,6,69,163.5,60.3,145.89,45.61,3.61
david,no-feedback,6,70,165.0,74.47,148.89,45.61,3.61
