participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
david,numerical,10,0,60.0,336.46,58.89,336.61,1.12
david,numerical,10,1,61.5,331.7,61.89,329.61,0.2
david,numerical,10,2,63.0,326.48,64.89,322.61,0.82
david,numerical,10,3,64.5,320.91,66.89,316.61,1.24
david,numerical,10,4,66.0,315.1,71.89,309.61,4.36
david,numerical,10,5,67.5,309.16,73.89,303.61,4.84
david,numerical,10,6,69.0,303.19,76.89,299.61,6.76
david,numerical,10,7,70.5,297.29,76.89,294.61,5.5
david,numerical,10,8,72.0,291.54,76.89,290.61,4.47
david,numerical,10,9,73.5,286.02,76.89,285.61,3.14
david,numerical,10,10,75.0,280.79,76.89,281.61,2.04
david,numerical,10,11,76.5,275.91,77.89,276.61,1.53
david,numerical,10,12,78.0,271.41,79.89,271.61,1.84
david,numerical,10,13,79.5,267.32,81.89,267.61,2.32
david,numerical,10,14,81.0,263.66,82.89,262.61,1.27
david,numerical,10,15,82.5,260.42,84.89,256.61,0.24
david,numerical,10,16,84.0,257.59,85.89,253.61,0.57
david,numerical,10,17,85.5,255.15,89.89,248.61,0.82
david,numerical,10,18,87.0,253.04,91.89,245.61,1.68
david,numerical,10,19,88.5,251.22,93.89,243.61,1.81
david,numerical,10,20,90.0,249.64,96.89,240.61,1.66
david,numerical,10,21,91.5,248.21,99.89,234.61,2.41
david,numerical,10,22,93.0,246.86,102.89,231.61,0.95
david,numerical,10,23,94.5,245.52,104.89,227.61,0.54
david,numerical,10,24,96.0,244.09,108.89,222.61,1.73
david,numerical,10,25,97.5,242.49,108.89,218.61,0.62
david,numerical,10,26,99.0,240.63,108.89,212.61,0.86
david,numerical,10,27,100.5,238.42,109.89,209.61,0.56
david,numerical,10,28,102.0,235.79,110.89,205.61,0.45
david,numerical,10,29,103.5,232.64,112.89,201.61,0.7
david,numerical,10,30,105.0,228.93,112.89,196.61,0.25
david,numerical,10,31,106.5,224.58,113.89,191.61,0.18
david,numerical,10,32,108.0,219.54,115.89,185.61,0.78
david,numerical,10,33,109.5,213.79,116.89,179.61,0.8
david,numerical,10,34,111.0,207.29,118.89,172.61,1.69
david,numerical,10,35,112.5,200.02,119.89,149.61,0.56
david,numerical,10,36,114.0,192.01,119.89,141.61,1.61
david,numerical,10,37,115.5,183.26,119.89,134.61,2.51
david,numerical,10,38,117.0,173.8,119.89,127.61,3.39
david,numerical,10,39,118.5,163.68,119.89,120.61,4.26
david,numerical,10,40,120.0,152.97,120.89,113.61,4.13
david,numerical,10,41,121.5,141.74,120.89,107.61,4.86
david,numerical,10,42,123.0,130.09,122.89,102.61,3.49
david,numerical,10,43,124.5,118.1,123.89,96.61,3.22
david,numerical,10,44,126.0,105.89,125.89,91.61,1.84
david,numerical,10,45,127.5,93.59,127.89,83.61,0.83
david,numerical,10,46,129.0,81.32,128.89,76.61,0.69
david,numerical,10,47,130.5,69.22,128.89,70.61,1.43
david,numerical,10,48,132.0,57.42,129.89,67.61,0.81
david,numerical,10,49,133.5,46.06,129.89,62.61,1.44
david,numerical,10,50,135.0,42.0,129.89,56.61,2.2
david,numerical,10,51,136.5,42.0,131.89,51.61,0.87
david,numerical,10,52,138.0,42.0,133.89,47.61,0.59
david,numerical,10,53,139.5,42.0,133.89,42.61,0.83
david,numerical,10,54,141.0,42.0,138.89,42.61,0.61
david,numerical,10,55,142.5,42.0,142.89,40.61,1.39
