participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
david,spatial-color,8,0,60.0,336.46,57.89,333.61,2.87
david,spatial-color,8,1,61.5,331.7,61.89,326.61,1.03
david,spatial-color,8,2,63.0,326.48,64.89,321.61,0.56
david,spatial-color,8,3,64.5,320.91,68.89,314.61,2.68
david,spatial-color,8,4,66.0,315.1,71.89,308.61,4.12
david,spatial-color,8,5,67.5,309.16,72.89,303.61,3.87
david,spatial-color,8,6,69.0,303.19,72.89,298.61,2.64
david,spatial-color,8,7,70.5,297.29,72.89,290.61,0.61
david,spatial-color,8,8,72.0,291.54,74.89,283.61,0.67
david,spatial-color,8,9,73.5,286.02,76.89,277.61,0.87
david,spatial-color,8,10,75.0,280.79,78.89,272.61,1.22
david,spatial-color,8,11,76.5,275.91,80.89,269.61,2.09
david,spatial-color,8,12,78.0,271.41,83.89,262.61,2.18
david,spatial-color,8,13,79.5,267.32,85.89,256.61,1.1
david,spatial-color,8,14,81.0,263.66,86.89,251.61,1.0
david,spatial-color,8,15,82.5,260.42,89.89,248.61,0.82
david,spatial-color,8,16,84.0,257.59,92.89,245.61,1.01
david,spatial-color,8,17,85.5,255.15,96.89,241.61,1.03
david,spatial-color,8,18,87.0,253.04,99.89,238.61,0.4
david,spatial-color,8,19,88.5,251.22,104.89,231.61,0.9
david,spatial-color,8,20,90.0,249.64,105.89,227.61,0.41
david,spatial-color,8,21,91.5,248.21,107.89,222.61,0.77
david,spatial-color,8,22,93.0,246.86,108.89,216.61,0.12
david,spatial-color,8,23,94.5,245.52,109.89,211.61,0.11
david,spatial-color,8,24,96.0,244.09,109.89,205.61,1.43
david,spatial-color,8,25,97.5,242.49,110.89,200.61,1.46
david,spatial-color,8,26,99.0,240.63,111.89,196.61,1.23
david,spatial-color,8,27,100.5,238.42,112.89,190.61,1.33
david,spatial-color,8,28,102.0,235.79,113.89,185.61,1.19
david,spatial-color,8,29,103.5,232.64,114.89,178.61,1.33
david,spatial-color,8,30,105.0,228.93,114.89,172.61,2.26
david,spatial-color,8,31,106.5,224.58,115.89,165.61,2.3
david,spatial-color,8,32,108.0,219.54,118.89,159.61,0.18
david,spatial-color,8,33,109.5,213.79,118.89,153.61,1.01
david,spatial-color,8,34,111.0,207.29,119.89,148.61,0.69
david,spatial-color,8,35,112.5,200.02,119.89,142.61,1.48
david,spatial-color,8,36,114.0,192.01,119.89,136.61,2.25
david,spatial-color,8,37,115.5,183.26,119.89,130.61,3.02
david,spatial-color,8,38,117.0,173.8,121.89,125.61,1.66
david,spatial-color,8,39,118.5,163.68,122.89,121.61,1.16
david,spatial-color,8,40,120.0,152.97,122.89,116.61,1.78
david,spatial-color,8,41,121.5,141.74,123.89,109.61,1.64
david,spatial-color,8,42,123.0,130.09,123.89,103.61,2.37
david,spatial-color,8,43,124.5,118.1,123.89,96.61,3.22
david,spatial-color,8,44,126.0,105.89,124.89,90.61,2.95
david,spatial-color,8,45,127.5,93.59,125.89,85.61,2.57
david,spatial-color,8,46,129.0,81.32,127.89,78.61,1.44
david,spatial-color,8,47,130.5,69.22,128.89,73.61,1.06
david,spatial-color,8,48,132.0,57.42,128.89,68.61,1.68
david,spatial-color,8,49,133.5,46.06,130.89,62.61,0.45
david,spatial-color,8,50,135.0,42.0,130.89,56.61,1.21
david,spatial-color,8,51,136.5,42.0,130.89,51.61,1.86
david,spatial-color,8,52,138.0,42.0,133.89,47.61,0.59
david,spatial-color,8,53,139.5,42.0,136.89,42.61,0.61
david,spatial-color,8,54,141.0,42.0,141.89,42.61,0.61
david,spatial-color,8,55,142.5,42.0,147.89,42.61,0.61
david,spatial-color,8,56,144.0,42.0,151.89,41.61,0.39
david,spatial-color,8,57,145.5,42.0,158.89,41.61,0.39
david,spatial-color,8,58,147.0,42.0,162.89,43.61,1.83
david,spatial-color,8,59,148.5,42.0,161.89,48.61,0.29
david,spatial-color,8,60,150.0,42.0,160.89,53.61,1.84
david,spatial-color,8,61,151.5,42.0,160.89,59.61,2.52
david,spatial-color,8,62,153.0,42.0,161.89,64.61,2.06
david,spatial-color,8,63,154.5,42.0,162.89,70.61,1.69
david,spatial-color,8,64,156.0,42.0,164.89,75.61,0.22
david,spatial-color,8,65,157.5,42.0,165.89,79.61,0.37
david,spatial-color,8,66,159.0,42.0,165.89,85.61,0.23
david,spatial-color,8,67,160.5,42.0,166.89,91.61,0.17
david,spatial-color,8,68,162.0,47.02,166.89,96.61,0.31
david,spatial-color,8,69,163.5,60.3,166.89,103.61,0.98
david,spatial-color,8,70,165.0,74.47,166.89,110.61,1.64
david,spatial-color,8,71,166.5,89.39,167.89,114.61,1.02
david,spatial-color,8,72,168.0,104.91,168.89,119.61,0.49
david,spatial-color,8,73,169.5,120.89,168.89,124.61,0.95
david,spatial-color,8,74,171.0,137.17,169.89,131.61,0.6
david,spatial-color,8,75,172.5,153.58,170.89,136.61,0.06
david,spatial-color,8,76,174.0,169.97,170.89,142.61,0.61
david,spatial-color,8,77,175.5,186.19,170.89,148.61,1.15
david,spatial-color,8,78,177.0,202.09,170.89,154.61,1.7
david,spatial-color,8,79,178.5,217.52,170.89,159.61,2.15
david,spatial-color,8,80,180.0,232.35,171.89,164.61,1.61
david,spatial-color,8,81,181.5,246.45,171.89,170.61,2.16
david,spatial-color,8,82,183.0,259.72,172.89,175.61,1.63
david,spatial-color,8,83,184.5,272.05,173.89,181.61,1.18
david,spatial-color,8,84,186.0,283.37,174.89,186.61,0.65
david,spatial-color,8,85,187.5,293.6,174.89,199.61,1.87
david,spatial-color,8,86,189.0,302.7,175.89,204.61,1.35
david,spatial-color,8,87,190.5,310.62,176.89,210.61,0.93
david,spatial-color,8,88,192.0,317.35,176.89,215.61,1.42
david,spatial-color,8,89,193.5,322.89,176.89,222.61,2.12
david,spatial-color,8,90,195.0,327.24,176.89,228.61,2.72
david,spatial-color,8,91,196.5,330.45,176.89,234.61,3.33
david,spatial-color,8,92,198.0,332.55,178.89,239.61,1.87
david,spatial-color,8,93,199.5,333.6,180.89,245.61,0.52
david,spatial-color,8,94,201.0,333.68,182.89,252.61,0.69
david,spatial-color,8,95,202.5,332.85,182.89,259.61,0.1
david,spatial-color,8,96,204.0,331.22,182.89,265.61,0.82
david,spatial-color,8,97,205.5,328.88,183.89,278.61,1.47
david,spatial-color,8,98,207.0,325.93,186.89,292.61,0.46
david,spatial-color,8,99,208.5,322.47,187.89,301.61,0.92
david,spatial-color,8,100,210.0,318.62,188.89,308.61,1.21
david,spatial-color,8,101,211.5,314.48,188.89,313.61,2.22
david,spatial-color,8,102,213.0,310.15,189.89,317.61,2.12
david,spatial-color,8,103,214.5,305.73,192.89,322.61,0.52
david,spatial-color,8,104,216.0,301.33,193.89,326.61,0.84
david,spatial-color,8,105,217.5,297.02,196.89,330.61,0.22
david,spatial-color,8,106,219.0,292.88,200.89,332.61,0.99
david,spatial-color,8,107,220.5,288.98,204.89,329.61,0.12
david,spatial-color,8,108,222.0,285.37,207.89,325.61,0.69
david,spatial-color,8,109,223.5,282.1,208.89,320.61,0.31
david,spatial-color,8,110,225.0,279.19,211.89,314.61,0.41
david,spatial-color,8,111,226.5,276.66,213.89,310.61,0.99
david,spatial-color,8,112,228.0,274.52,215.89,305.61,1.27
david,spatial-color,8,113,229.5,272.75,218.89,299.61,2.16
david,spatial-color,8,114,231.0,271.33,220.89,293.61,2.02
david,spatial-color,8,115,232.5,270.23,222.89,289.61,2.45
david,spatial-color,8,116,234.0,269.38,225.89,283.61,2.8
david,spatial-color,8,117,235.5,268.75,227.89,278.61,2.19
david,spatial-color,8,118,237.0,268.25,229.89,273.61,0.85
david,spatial-color,8,119,238.5,267.81,232.89,268.61,1.22
david,spatial-color,8,120,240.0,267.35,236.89,266.61,1.6
david,spatial-color,8,121,241.5,266.78,239.89,265.61,1.67
david,spatial-color,8,122,243.0,266.01,242.89,261.61,3.53
david,spatial-color,8,123,244.5,264.96,248.89,258.61,0.35
david,spatial-color,8,124,246.0,263.52,251.89,254.61,0.74
david,spatial-color,8,125,247.5,261.62,253.89,249.61,0.93
david,spatial-color,8,126,249.0,259.18,253.89,243.61,0.77
david,spatial-color,8,127,250.5,256.1,255.89,235.61,0.76
david,spatial-color,8,128,252.0,252.34,257.89,227.61,0.45
david,spatial-color,8,129,253.5,247.83,259.89,219.61,0.05
david,spatial-color,8,130,255.0,242.52,259.89,212.61,1.14
david,spatial-color,8,131,256.5,236.39,260.89,207.61,0.93
david,spatial-color,8,132,258.0,229.4,260.89,200.61,1.99
david,spatial-color,8,133,259.5,221.57,262.89,194.61,0.88
david,spatial-color,8,134,261.0,212.88,262.89,188.61,1.71
david,spatial-color,8,135,262.5,203.38,263.89,182.61,1.53
david,spatial-color,8,136,264.0,193.09,263.89,175.61,2.42
david,spatial-color,8,137,265.5,182.08,265.89,164.61,1.81
david,spatial-color,8,138,267.0,170.41,268.89,153.61,0.15
david,spatial-color,8,139,268.5,158.17,268.89,148.61,0.73
david,spatial-color,8,140,270.0,145.45,269.89,143.61,0.32
david,spatial-color,8,141,271.5,132.35,269.89,138.61,0.89
david,spatial-color,8,142,273.0,119.01,270.89,130.61,0.8
david,spatial-color,8,143,274.5,105.55,270.89,125.61,1.36
david,spatial-color,8,144,276.0,92.09,271.89,118.61,1.15
david,spatial-color,8,145,277.5,78.79,271.89,112.61,1.81
david,spatial-color,8,146,279.0,65.78,272.89,107.61,1.37
david,spatial-color,8,147,280.5,53.21,273.89,101.61,1.04
david,spatial-color,8,148,282.0,42.0,273.89,94.61,1.82
david,spatial-color,8,149,283.5,42.0,274.89,89.61,1.38
david,spatial-color,8,150,285.0,42.0,274.89,83.61,2.05
david,spatial-color,8,151,286.5,42.0,275.89,78.61,1.62
david,spatial-color,8,152,288.0,42.0,276.89,73.61,1.2
david,spatial-color,8,153,289.5,42.0,277.89,68.61,0.78
david,spatial-color,8,154,291.0,42.0,278.89,63.61,0.37
david,spatial-color,8,155,292.5,42.0,278.89,58.61,0.96
david,spatial-color,8,156,294.0,42.0,278.89,51.61,1.81
david,spatial-color,8,157,295.5,42.0,280.89,45.61,0.62
david,spatial-color,8,158,297.0,42.0,281.89,39.61,2.39
david,spatial-color,8,159,298.5,42.0,287.89,41.61,0.39
david,spatial-color,8,160,300.0,42.0,292.89,41.61,0.39
david,spatial-color,8,161,301.5,42.0,298.89,39.61,2.39
david,spatial-color,8,162,303.0,42.0,303.89,39.61,2.39
david,spatial-color,8,163,304.5,42.0,308.89,39.61,2.39
david,spatial-color,8,164,306.0,42.0,308.89,45.61,1.18
david,spatial-color,8,165,307.5,42.0,308.89,51.61,2.13
david,spatial-color,8,166,309.0,42.0,309.89,55.61,1.59
david,spatial-color,8,167,310.5,46.82,311.89,59.61,0.04
david,spatial-color,8,168,312.0,60.21,312.89,64.61,0.42
david,spatial-color,8,169,313.5,74.37,313.89,70.61,0.78
david,spatial-color,8,170,315.0,89.18,313.89,75.61,0.26
david,spatial-color,8,171,316.5,104.47,313.89,81.61,0.34
david,spatial-color,8,172,318.0,120.09,313.89,86.61,0.85
david,spatial-color,8,173,319.5,135.88,313.89,93.61,1.54
david,spatial-color,8,174,321.0,151.69,315.89,99.61,0.13
david,spatial-color,8,175,322.5,167.38,318.89,111.61,1.7
david,spatial-color,8,176,324.0,182.79,319.89,116.61,2.21
david,spatial-color,8,177,325.5,197.78,319.89,123.61,1.55
david,spatial-color,8,178,327.0,212.23,319.89,131.61,0.79
david,spatial-color,8,179,328.5,226.01,319.89,139.61,0.03
david,spatial-color,8,180,330.0,239.02,319.89,145.61,0.53
david,spatial-color,8,181,331.5,251.17,319.89,151.61,1.1
david,spatial-color,8,182,333.0,262.37,319.89,157.61,1.67
david,spatial-color,8,183,334.5,272.57,319.89,163.61,2.24
david,spatial-color,8,184,336.0,281.7,319.89,168.61,2.72
david,spatial-color,8,185,337.5,289.76,319.89,174.61,3.3
david,spatial-color,8,186,339.0,296.7,319.89,179.61,3.78
david,spatial-color,8,187,340.5,302.55,321.89,185.61,2.38
david,spatial-color,8,188,342.0,307.31,322.89,190.61,1.88
david,spatial-color,8,189,343.5,311.02,324.89,195.61,0.39
david,spatial-color,8,190,345.0,313.71,325.89,199.61,0.2
david,spatial-color,8,191,346.5,315.46,325.89,205.61,0.42
david,spatial-color,8,192,348.0,316.32,325.89,211.61,1.04
david,spatial-color,8,193,349.5,316.38,325.89,216.61,1.58
david,spatial-color,8,194,351.0,315.72,327.89,224.61,0.46
david,spatial-color,8,195,352.5,314.45,328.89,228.61,0.09
david,spatial-color,8,196,354.0,312.65,329.89,234.61,0.39
david,spatial-color,8,197,355.5,310.43,330.89,239.61,0.81
david,spatial-color,8,198,357.0,307.89,330.89,244.61,0.2
david,spatial-color,8,199,358.5,305.13,330.89,255.61,1.19
david,spatial-color,8,200,360.0,302.25,330.89,263.61,2.27
david,spatial-color,8,201,361.5,299.34,330.89,271.61,3.43
david,spatial-color,8,202,363.0,296.49,330.89,276.61,4.22
david,spatial-color,8,203,364.5,293.77,333.89,282.61,2.24
david,spatial-color,8,204,366.0,291.25,334.89,288.61,2.36
david,spatial-color,8,205,367.5,288.99,334.89,293.61,3.37
david,spatial-color,8,206,369.0,287.03,335.89,299.61,3.74
david,spatial-color,8,207,370.5,285.41,337.89,303.61,2.81
david,spatial-color,8,208,372.0,284.14,339.89,307.61,2.1
david,spatial-color,8,209,373.5,283.24,341.89,311.61,1.72
david,spatial-color,8,210,375.0,282.69,345.89,315.61,0.56
david,spatial-color,8,211,376.5,282.47,350.89,315.61,0.15
david,spatial-color,8,212,378.0,282.55,353.89,311.61,0.67
david,spatial-color,8,213,379.5,282.88,356.89,307.61,0.23
david,spatial-color,8,214,381.0,283.41,359.89,303.61,0.53
david,spatial-color,8,215,382.5,284.07,362.89,298.61,0.89
david,spatial-color,8,216,384.0,284.78,365.89,293.61,1.11
david,spatial-color,8,217,385.5,285.46,367.89,290.61,1.22
david,spatial-color,8,218,387.0,286.02,371.89,286.61,1.81
david,spatial-color,8,219,388.5,286.37,376.89,284.61,2.12
david,spatial-color,8,220,390.0,286.41,379.89,283.61,0.56
david,spatial-color,8,221,391.5,286.06,382.89,286.61,2.13
david,spatial-color,8,222,393.0,285.21,388.89,287.61,1.23
david,spatial-color,8,223,394.5,283.79,392.89,285.61,0.29
david,spatial-color,8,224,396.0,281.7,396.89,280.61,0.28
david,spatial-color,8,225,397.5,278.87,398.89,274.61,0.31
david,spatial-color,8,226,399.0,275.24,400.89,270.61,0.34
david,spatial-color,8,227,400.5,270.75,402.89,265.61,0.92
david,spatial-color,8,228,402.0,265.35,402.89,259.61,0.46
david,spatial-color,8,229,403.5,259.03,403.89,253.61,0.71
david,spatial-color,8,230,405.0,251.75,405.89,247.61,0.13
david,spatial-color,8,231,406.5,243.52,408.89,239.61,1.73
david,spatial-color,8,232,408.0,234.36,408.89,233.61,0.77
david,spatial-color,8,233,409.5,224.29,409.89,228.61,1.02
david,spatial-color,8,234,411.0,213.36,410.89,220.61,0.88
david,spatial-color,8,235,412.5,201.63,410.89,213.61,0.08
david,spatial-color,8,236,414.0,189.18,411.89,197.61,1.09
david,spatial-color,8,237,415.5,176.09,413.89,188.61,0.18
david,spatial-color,8,238,417.0,162.47,413.89,182.61,0.86
david,spatial-color,8,239,418.5,148.44,413.89,176.61,1.54
david,spatial-color,8,240,420.0,134.12,414.89,171.61,1.1
david,spatial-color,8,241,421.5,119.64,416.89,165.61,0.23
david,spatial-color,8,242,423.0,105.14,416.89,156.61,0.73
david,spatial-color,8,243,424.5,90.78,416.89,151.61,1.27
david,spatial-color,8,244,426.0,76.69,416.89,141.61,2.31
david,spatial-color,8,245,427.5,63.02,416.89,130.61,3.46
david,spatial-color,8,246,429.0,49.93,416.89,119.61,4.59
david,spatial-color,8,247,430.5,42.0,418.89,111.61,3.42
david,spatial-color,8,248,432.0,42.0,418.89,103.61,4.25
david,spatial-color,8,249,433.5,42.0,418.89,96.61,4.98
david,spatial-color,8,250,435.0,42.0,418.89,90.61,5.6
david,spatial-color,8,251,436.5,42.0,419.89,85.61,5.13
david,spatial-color,8,252,438.0,42.0,421.89,79.61,3.78
david,spatial-color,8,253,439.5,42.0,422.89,74.61,3.32
david,spatial-color,8,254,441.0,42.0,422.89,69.61,3.86
david,spatial-color,8,255,442.5,42.0,424.89,63.61,2.53
david,spatial-color,8,256,444.0,42.0,425.89,58.61,2.1
david,spatial-color,8,257,445.5,42.0,427.89,51.61,0.91
david,spatial-color,8,258,447.0,42.0,428.89,45.61,0.91
david,spatial-color,8,259,448.5,42.0,430.89,41.61,0.39
david,spatial-color,8,260,450.0,42.0,433.89,42.61,0.61
david,spatial-color,8,261,451.5,42.0,436.89,44.61,2.61
david,spatial-color,8,262,453.0,42.0,441.89,44.61,2.61
david,spatial-color,8,263,454.5,42.0,447.89,42.61,0.61
david,spatial-color,8,264,456.0,42.0,452.89,42.61,0.61
david,spatial-color,8,265,457.5,42.0,456.89,41.61,0.39
david,spatial-color,8,266,459.0,48.13,457.89,44.61,0.24
david,spatial-color,8,267,460.5,61.4,456.89,51.61,2.49
david,spatial-color,8,268,462.0,75.32,456.89,57.61,3.16
david,spatial-color,8,269,463.5,89.75,457.89,63.61,2.83
david,spatial-color,8,270,465.0,104.54,459.89,68.61,1.38
david,spatial-color,8,271,466.5,119.53,461.89,72.61,0.18
david,spatial-color,8,272,468.0,134.58,462.89,83.61,0.03
david,spatial-color,8,273,469.5,149.54,466.89,94.61,2.88
david,spatial-color,8,274,471.0,164.26,467.89,104.61,2.87
david,spatial-color,8,275,472.5,178.63,468.89,112.61,3.07
david,spatial-color,8,276,474.0,192.5,468.89,117.61,2.57
david,spatial-color,8,277,475.5,205.76,468.89,124.61,1.87
david,spatial-color,8,278,477.0,218.32,468.89,130.61,1.28
david,spatial-color,8,279,478.5,230.08,468.89,135.61,0.78
david,spatial-color,8,280,480.0,240.98,468.89,143.61,0.02
david,spatial-color,8,281,481.5,250.94,470.89,148.61,1.47
david,spatial-color,8,282,483.0,259.94,471.89,154.61,1.86
david,spatial-color,8,283,484.5,267.94,473.89,161.61,3.14
david,spatial-color,8,284,486.0,274.93,474.89,168.61,3.42
david,spatial-color,8,285,487.5,280.91,475.89,176.61,3.58
david,spatial-color,8,286,489.0,285.9,475.89,182.61,2.94
david,spatial-color,8,287,490.5,289.95,475.89,188.61,2.3
david,spatial-color,8,288,492.0,293.09,475.89,193.61,1.75
david,spatial-color,8,289,493.5,295.38,475.89,199.61,1.08
david,spatial-color,8,290,495.0,296.89,475.89,205.61,0.4
david,spatial-color,8,291,496.5,297.71,475.89,211.61,0.31
david,spatial-color,8,292,498.0,297.91,475.89,216.61,0.9
david,spatial-color,8,293,499.5,297.59,475.89,222.61,1.64
