participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
emily,no-feedback,1,0,60.0,336.46,57.89,337.72,2.46
emily,no-feedback,1,1,61.5,331.7,58.89,332.72,2.19
emily,no-feedback,1,2,63.0,326.48,59.89,328.72,2.37
emily,no-feedback,1,3,64.5,320.91,62.89,324.72,0.57
emily,no-feedback,1,4,66.0,315.1,64.89,320.72,0.33
emily,no-feedback,1,5,67.5,309.16,65.89,313.72,0.45
emily,no-feedback,1,6,69.0,303.19,66.89,308.72,0.7
emily,no-feedback,1,7,70.5,297.29,66.89,302.72,2.16
emily,no-feedback,1,8,72.0,291.54,66.89,295.72,3.89
emily,no-feedback,1,9,73.5,286.02,68.89,291.72,2.97
emily,no-feedback,1,10,75.0,280.79,70.89,286.72,2.34
emily,no-feedback,1,11,76.5,275.91,72.89,280.72,2.05
emily,no-feedback,1,12,78.0,271.41,73.89,277.72,1.96
emily,no-feedback,1,13,79.5,267.32,76.89,270.72,1.28
emily,no-feedback,1,14,81.0,263.66,77.89,266.72,1.72
emily,no-feedback,1,15,82.5,260.42,79.89,262.72,1.4
emily,no-feedback,1,16,84.0,257.59,82.89,259.72,0.01
emily,no-feedback,1,17,85.5,255.15,85.89,254.72,0.07
emily,no-feedback,1,18,87.0,253.04,89.89,252.72,2.02
emily,no-feedback,1,19,88.5,251.22,92.89,246.72,0.18
emily,no-feedback,1,20,90.0,249.64,94.89,243.72,1.04
emily,no-feedback,1,21,91.5,248.21,99.89,237.72,0.88
emily,no-feedback,1,22,93.0,246.86,101.89,233.72,0.99
emily,no-feedback,1,23,94.5,245.52,102.89,226.72,2.72
emily,no-feedback,1,24,96.0,244.09,104.89,221.72,2.36
emily,no-feedback,1,25,97.5,242.49,105.89,216.72,2.76
emily,no-feedback,1,26,99.0,240.63,107.89,212.72,1.81
emily,no-feedback,1,27,100.5,238.42,108.89,206.72,2.18
emily,no-feedback,1,28,102.0,235.79,108.89,200.72,3.4
emily,no-feedback,1,29,103.5,232.64,109.89,195.72,3.36
emily,no-feedback,1,30,105.0,228.93,111.89,189.72,2.47
emily,no-feedback,1,31,106.5,224.58,113.89,184.72,1.34
emily,no-feedback,1,32,108.0,219.54,113.89,179.72,2.14
emily,no-feedback,1,33,109.5,213.79,113.89,173.72,3.08
emily,no-feedback,1,34,111.0,207.29,114.89,169.72,2.69
emily,no-feedback,1,35,112.5,200.02,116.89,163.72,1.59
emily,no-feedback,1,36,114.0,192.01,117.89,157.72,1.43
emily,no-feedback,1,37,115.5,183.26,119.89,149.72,0.54
emily,no-feedback,1,38,117.0,173.8,120.89,139.72,0.86
emily,no-feedback,1,39,118.5,163.68,122.89,132.72,0.23
emily,no-feedback,1,40,120.0,152.97,122.89,126.72,0.53
emily,no-feedback,1,41,121.5,141.74,123.89,120.72,0.28
emily,no-feedback,1,42,123.0,130.09,123.89,114.72,1.02
emily,no-feedback,1,43,124.5,118.1,124.89,109.72,0.64
emily,no-feedback,1,44,126.0,105.89,124.89,103.72,1.37
emily,no-feedback,1,45,127.5,93.59,125.89,99.72,0.86
emily,no-feedback,1,46,129.0,81.32,128.89,91.72,1.15
emily,no-feedback,1,47,130.5,69.22,129.89,86.72,1.54
emily,no-feedback,1,48,132.0,57.42,130.89,81.72,1.92
emily,no-feedback,1,49,133.5,46.06,130.89,75.72,1.19
emily,no-feedback,1,50,135.0,42.0,130.89,70.72,0.57
emily,no-feedback,1,51,136.5,42.0,131.89,66.72,1.06
emily,no-feedback,1,52,138.0,42.0,131.89,60.72,0.31
emily,no-feedback,1,53,139.5,42.0,132.89,54.72,0.53
emily,no-feedback,1,54,141.0,42.0,133.89,49.72,0.86
emily,no-feedback,1,55,142.5,42.0,135.89,42.72,0.72
emily,no-feedback,1,56,144.0,42.0,136.89,37.72,4.28
emily,no-feedback,1,57,145.5,42.0,139.89,34.72,7.28
emily,no-feedback,1,58,147.0,42.0,145.89,34.72,7.28
emily,no-feedback,1,59,148.5,42.0,151.89,35.72,6.28
emily,no-feedback,1,60,150.0,42.0,156.89,37.72,4.28
emily,no-feedback,1,61,151.5,42.0,160.89,40.72,1.34
emily,no-feedback,1,62,153.0,42.0,160.89,49.72,1.41
emily,no-feedback,1,63,154.5,42.0,161.89,60.72,1.65
emily,no-feedback,1,64,156.0,42.0,161.89,67.72,2.38
emily,no-feedback,1,65,157.5,42.0,163.89,74.72,1.13
emily,no-feedback,1,66,159.0,42.0,165.89,80.72,0.26
emily,no-feedback,1,67,160.5,42.0,168.89,85.72,2.74
emily,no-feedback,1,68,162.0,47.02,168.89,92.72,2.06
emily,no-feedback,1,69,163.5,60.3,168.89,97.72,1.58
emily,no-feedback,1,70,165.0,74.47,168.89,104.72,0.9
emily,no-feedback,1,71,166.5,89.39,169.89,113.72,1.06
emily,no-feedback,1,72,168.0,104.91,170.89,120.72,1.4
emily,no-feedback,1,73,169.5,120.89,171.89,127.72,1.75
emily,no-feedback,1,74,171.0,137.17,172.89,135.72,2.01
emily,no-feedback,1,75,172.5,153.58,173.89,142.72,2.37
emily,no-feedback,1,76,174.0,169.97,173.89,150.72,1.64
emily,no-feedback,1,77,175.5,186.19,173.89,157.72,1.01
emily,no-feedback,1,78,177.0,202.09,173.89,163.72,0.46
emily,no-feedback,1,79,178.5,217.52,173.89,169.72,0.09
emily,no-feedback,1,80,180.0,232.35,173.89,177.72,0.82
emily,no-feedback,1,81,181.5,246.45,173.89,186.72,1.65
emily,no-feedback,1,82,183.0,259.72,173.89,194.72,2.4
emily,no-feedback,1,83,184.5,272.05,173.89,200.72,2.97
emily,no-feedback,1,84,186.0,283.37,174.89,209.72,2.84
emily,no-feedback,1,85,187.5,293.6,175.89,217.72,2.62
emily,no-feedback,1,86,189.0,302.7,177.89,226.72,1.53
emily,no-feedback,1,87,190.5,310.62,180.89,234.72,0.63
emily,no-feedback,1,88,192.0,317.35,182.89,243.72,1.67
emily,no-feedback,1,89,193.5,322.89,182.89,251.72,0.79
emily,no-feedback,1,90,195.0,327.24,183.89,258.72,1.0
emily,no-feedback,1,91,196.5,330.45,185.89,267.72,1.9
emily,no-feedback,1,92,198.0,332.55,185.89,276.72,0.76
emily,no-feedback,1,93,199.5,333.6,188.89,284.72,2.66
emily,no-feedback,1,94,201.0,333.68,189.89,292.72,2.49
emily,no-feedback,1,95,202.5,332.85,190.89,300.72,2.19
emily,no-feedback,1,96,204.0,331.22,193.89,311.72,3.07
emily,no-feedback,1,97,205.5,328.88,193.89,316.72,1.98
emily,no-feedback,1,98,207.0,325.93,193.89,322.72,0.42
emily,no-feedback,1,99,208.5,322.47,193.89,327.72,1.21
emily,no-feedback,1,100,210.0,318.62,193.89,333.72,4.03
emily,no-feedback,1,101,211.5,314.48,196.89,336.72,4.05
emily,no-feedback,1,102,213.0,310.15,200.89,335.72,2.04
emily,no-feedback,1,103,214.5,305.73,203.89,332.72,0.93
emily,no-feedback,1,104,216.0,301.33,206.89,326.72,0.26
emily,no-feedback,1,105,217.5,297.02,208.89,322.72,0.46
emily,no-feedback,1,106,219.0,292.88,211.89,317.72,1.47
emily,no-feedback,1,107,220.5,288.98,213.89,311.72,1.35
emily,no-feedback,1,108,222.0,285.37,216.89,304.72,1.93
emily,no-feedback,1,109,223.5,282.1,219.89,298.72,2.82
emily,no-feedback,1,110,225.0,279.19,220.89,294.72,2.4
emily,no-feedback,1,111,226.5,276.66,221.89,290.72,1.92
emily,no-feedback,1,112,228.0,274.52,222.89,285.72,0.95
emily,no-feedback,1,113,229.5,272.75,225.89,277.72,0.01
emily,no-feedback,1,114,231.0,271.33,228.89,273.72,0.16
emily,no-feedback,1,115,232.5,270.23,231.89,270.72,0.03
emily,no-feedback,1,116,234.0,269.38,234.89,266.72,2.12
emily,no-feedback,1,117,235.5,268.75,238.89,263.72,3.79
emily,no-feedback,1,118,237.0,268.25,241.89,261.72,4.15
emily,no-feedback,1,119,238.5,267.81,245.89,258.72,2.89
emily,no-feedback,1,120,240.0,267.35,248.89,254.72,2.01
emily,no-feedback,1,121,241.5,266.78,251.89,250.72,0.62
emily,no-feedback,1,122,243.0,266.01,252.89,246.72,0.89
emily,no-feedback,1,123,244.5,264.96,254.89,240.72,0.54
emily,no-feedback,1,124,246.0,263.52,257.89,231.72,0.38
emily,no-feedback,1,125,247.5,261.62,261.89,222.72,2.56
emily,no-feedback,1,126,249.0,259.18,264.89,215.72,4.31
emily,no-feedback,1,127,250.5,256.1,264.89,210.72,3.5
emily,no-feedback,1,128,252.0,252.34,265.89,203.72,3.4
emily,no-feedback,1,129,253.5,247.83,265.89,197.72,2.54
emily,no-feedback,1,130,255.0,242.52,266.89,191.72,2.68
emily,no-feedback,1,131,256.5,236.39,268.89,188.72,4.25
emily,no-feedback,1,132,258.0,229.4,268.89,181.72,3.32
emily,no-feedback,1,133,259.5,221.57,268.89,175.72,2.55
emily,no-feedback,1,134,261.0,212.88,268.89,170.72,1.91
emily,no-feedback,1,135,262.5,203.38,268.89,163.72,1.06
