participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
emily,numerical,3,0,60.0,336.46,56.89,340.72,5.27
emily,numerical,3,1,61.5,331.7,59.89,334.72,0.63
emily,numerical,3,2,63.0,326.48,60.89,328.72,1.41
emily,numerical,3,3,64.5,320.91,60.89,321.72,3.28
emily,numerical,3,4,66.0,315.1,62.89,317.72,2.36
emily,numerical,3,5,67.5,309.16,65.89,310.72,1.18
emily,numerical,3,6,69.0,303.19,65.89,306.72,2.16
emily,numerical,3,7,70.5,297.29,65.89,299.72,3.87
emily,numerical,3,8,72.0,291.54,68.89,294.72,2.21
emily,numerical,3,9,73.5,286.02,69.89,289.72,2.51
emily,numerical,3,10,75.0,280.79,71.89,283.72,2.18
emily,numerical,3,11,76.5,275.91,73.89,277.72,1.96
emily,numerical,3,12,78.0,271.41,75.89,272.72,1.59
emily,numerical,3,13,79.5,267.32,77.89,266.72,1.72
emily,numerical,3,14,81.0,263.66,80.89,260.72,1.34
emily,numerical,3,15,82.5,260.42,83.89,256.72,0.55
emily,numerical,3,16,84.0,257.59,86.89,253.72,0.3
emily,numerical,3,17,85.5,255.15,90.89,251.72,2.08
emily,numerical,3,18,87.0,253.04,93.89,246.72,0.49
emily,numerical,3,19,88.5,251.22,94.89,243.72,1.04
emily,numerical,3,20,90.0,249.64,98.89,237.72,1.73
emily,numerical,3,21,91.5,248.21,100.89,233.72,1.89
emily,numerical,3,22,93.0,246.86,102.89,229.72,1.66
emily,numerical,3,23,94.5,245.52,103.89,224.72,2.42
emily,numerical,3,24,96.0,244.09,107.89,218.72,0.32
emily,numerical,3,25,97.5,242.49,109.89,212.72,0.14
emily,numerical,3,26,99.0,240.63,109.89,206.72,1.2
emily,numerical,3,27,100.5,238.42,109.89,200.72,2.42
emily,numerical,3,28,102.0,235.79,110.89,194.72,2.56
emily,numerical,3,29,103.5,232.64,112.89,190.72,1.31
emily,numerical,3,30,105.0,228.93,114.89,183.72,0.52
emily,numerical,3,31,106.5,224.58,116.89,177.72,0.5
emily,numerical,3,32,108.0,219.54,116.89,173.72,0.12
emily,numerical,3,33,109.5,213.79,116.89,166.72,1.15
emily,numerical,3,34,111.0,207.29,117.89,160.72,1.02
emily,numerical,3,35,112.5,200.02,119.89,155.72,0.27
emily,numerical,3,36,114.0,192.01,120.89,151.72,0.72
emily,numerical,3,37,115.5,183.26,121.89,143.72,0.65
emily,numerical,3,38,117.0,173.8,121.89,137.72,0.13
emily,numerical,3,39,118.5,163.68,122.89,131.72,0.1
emily,numerical,3,40,120.0,152.97,122.89,124.72,0.78
emily,numerical,3,41,121.5,141.74,122.89,119.72,1.4
emily,numerical,3,42,123.0,130.09,123.89,113.72,1.14
emily,numerical,3,43,124.5,118.1,123.89,106.72,1.99
emily,numerical,3,44,126.0,105.89,125.89,100.72,0.74
emily,numerical,3,45,127.5,93.59,125.89,94.72,1.46
emily,numerical,3,46,129.0,81.32,125.89,90.72,1.95
emily,numerical,3,47,130.5,69.22,128.89,81.72,0.06
emily,numerical,3,48,132.0,57.42,128.89,73.72,1.05
emily,numerical,3,49,133.5,46.06,128.89,68.72,1.66
emily,numerical,3,50,135.0,42.0,128.89,61.72,2.54
emily,numerical,3,51,136.5,42.0,129.89,55.72,2.32
emily,numerical,3,52,138.0,42.0,132.89,53.72,0.4
emily,numerical,3,53,139.5,42.0,133.89,46.72,0.47
emily,numerical,3,54,141.0,42.0,138.89,43.72,1.72
emily,numerical,3,55,142.5,42.0,145.89,43.72,1.72
emily,numerical,3,56,144.0,42.0,150.89,43.72,1.72
emily,numerical,3,57,145.5,42.0,156.89,43.72,1.72
emily,numerical,3,58,147.0,42.0,159.89,47.72,2.18
emily,numerical,3,59,148.5,42.0,162.89,53.72,0.13
emily,numerical,3,60,150.0,42.0,164.89,57.72,1.67
emily,numerical,3,61,151.5,42.0,165.89,63.72,2.02
emily,numerical,3,62,153.0,42.0,165.89,69.72,1.38
emily,numerical,3,63,154.5,42.0,166.89,76.72,1.65
emily,numerical,3,64,156.0,42.0,166.89,83.72,0.95
emily,numerical,3,65,157.5,42.0,166.89,89.72,0.36
emily,numerical,3,66,159.0,42.0,166.89,95.72,0.22
emily,numerical,3,67,160.5,42.0,167.89,100.72,0.29
emily,numerical,3,68,162.0,47.02,168.89,107.72,0.62
emily,numerical,3,69,163.5,60.3,168.89,113.72,0.06
emily,numerical,3,70,165.0,74.47,169.89,118.72,0.59
emily,numerical,3,71,166.5,89.39,170.89,125.72,0.94
emily,numerical,3,72,168.0,104.91,170.89,131.72,0.39
emily,numerical,3,73,169.5,120.89,172.89,137.72,1.83
emily,numerical,3,74,171.0,137.17,172.89,144.72,1.19
emily,numerical,3,75,172.5,153.58,172.89,152.72,0.47
emily,numerical,3,76,174.0,169.97,172.89,157.72,0.01
emily,numerical,3,77,175.5,186.19,172.89,165.72,0.72
emily,numerical,3,78,177.0,202.09,173.89,171.72,0.27
emily,numerical,3,79,178.5,217.52,176.89,177.72,2.16
emily,numerical,3,80,180.0,232.35,176.89,184.72,1.52
emily,numerical,3,81,181.5,246.45,176.89,191.72,0.86
emily,numerical,3,82,183.0,259.72,176.89,196.72,0.39
emily,numerical,3,83,184.5,272.05,176.89,203.72,0.27
emily,numerical,3,84,186.0,283.37,176.89,209.72,0.85
emily,numerical,3,85,187.5,293.6,176.89,216.72,1.53
emily,numerical,3,86,189.0,302.7,176.89,222.72,2.13
emily,numerical,3,87,190.5,310.62,176.89,229.72,2.83
emily,numerical,3,88,192.0,317.35,178.89,237.72,1.67
emily,numerical,3,89,193.5,322.89,181.89,244.72,0.57
emily,numerical,3,90,195.0,327.24,181.89,251.72,0.21
emily,numerical,3,91,196.5,330.45,181.89,257.72,0.88
emily,numerical,3,92,198.0,332.55,181.89,263.72,1.59
emily,numerical,3,93,199.5,333.6,181.89,269.72,2.31
emily,numerical,3,94,201.0,333.68,182.89,275.72,2.08
emily,numerical,3,95,202.5,332.85,184.89,282.72,1.02
emily,numerical,3,96,204.0,331.22,185.89,286.72,0.6
emily,numerical,3,97,205.5,328.88,185.89,293.72,1.61
emily,numerical,3,98,207.0,325.93,185.89,298.72,2.42
emily,numerical,3,99,208.5,322.47,185.89,304.72,3.43
emily,numerical,3,100,210.0,318.62,187.89,309.72,2.4
emily,numerical,3,101,211.5,314.48,189.89,316.72,1.92
emily,numerical,3,102,213.0,310.15,190.89,320.72,1.95
emily,numerical,3,103,214.5,305.73,192.89,325.72,1.5
emily,numerical,3,104,216.0,301.33,194.89,329.72,1.15
emily,numerical,3,105,217.5,297.02,198.89,333.72,0.45
emily,numerical,3,106,219.0,292.88,201.89,332.72,0.41
emily,numerical,3,107,220.5,288.98,204.89,326.72,1.52
emily,numerical,3,108,222.0,285.37,207.89,322.72,0.46
emily,numerical,3,109,223.5,282.1,208.89,317.72,1.35
emily,numerical,3,110,225.0,279.19,210.89,313.72,0.83
emily,numerical,3,111,226.5,276.66,212.89,309.72,0.24
emily,numerical,3,112,228.0,274.52,213.89,304.72,0.91
emily,numerical,3,113,229.5,272.75,216.89,300.72,0.64
emily,numerical,3,114,231.0,271.33,216.89,294.72,1.36
emily,numerical,3,115,232.5,270.23,218.89,289.72,1.24
emily,numerical,3,116,234.0,269.38,219.89,284.72,2.2
emily,numerical,3,117,235.5,268.75,220.89,279.72,3.41
emily,numerical,3,118,237.0,268.25,222.89,274.72,4.1
emily,numerical,3,119,238.5,267.81,227.89,273.72,0.6
emily,numerical,3,120,240.0,267.35,232.89,271.72,1.43
emily,numerical,3,121,241.5,266.78,237.89,269.72,1.66
emily,numerical,3,122,243.0,266.01,240.89,266.72,0.27
emily,numerical,3,123,244.5,264.96,243.89,263.72,1.32
emily,numerical,3,124,246.0,263.52,247.89,258.72,1.19
emily,numerical,3,125,247.5,261.62,250.89,255.72,0.22
emily,numerical,3,126,249.0,259.18,252.89,251.72,0.65
emily,numerical,3,127,250.5,256.1,253.89,244.72,0.47
emily,numerical,3,128,252.0,252.34,254.89,239.72,0.77
emily,numerical,3,129,253.5,247.83,256.89,233.72,0.18
emily,numerical,3,130,255.0,242.52,257.89,228.72,0.24
emily,numerical,3,131,256.5,236.39,259.89,223.72,0.79
emily,numerical,3,132,258.0,229.4,259.89,217.72,0.27
