participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
emily,spatial-color,2,0,60.0,336.46,62.89,333.72,1.93
emily,spatial-color,2,1,61.5,331.7,62.89,326.72,0.04
emily,spatial-color,2,2,63.0,326.48,63.89,322.72,0.12
emily,spatial-color,2,3,64.5,320.91,65.89,317.72,0.55
emily,spatial-color,2,4,66.0,315.1,66.89,312.72,0.28
emily,spatial-color,2,5,67.5,309.16,66.89,306.72,1.19
emily,spatial-color,2,6,69.0,303.19,66.89,302.72,2.16
emily,spatial-color,2,7,70.5,297.29,70.89,297.72,0.48
emily,spatial-color,2,8,72.0,291.54,71.89,293.72,0.44
emily,spatial-color,2,9,73.5,286.02,73.89,289.72,1.35
emily,spatial-color,2,10,75.0,280.79,73.89,283.72,0.26
emily,spatial-color,2,11,76.5,275.91,74.89,277.72,1.01
emily,spatial-color,2,12,78.0,271.41,75.89,272.72,1.59
emily,spatial-color,2,13,79.5,267.32,76.89,268.72,1.97
emily,spatial-color,2,14,81.0,263.66,80.89,262.72,0.5
emily,spatial-color,2,15,82.5,260.42,83.89,257.72,0.04
emily,spatial-color,2,16,84.0,257.59,85.89,254.72,0.07
emily,spatial-color,2,17,85.5,255.15,88.89,252.72,1.25
emily,spatial-color,2,18,87.0,253.04,90.89,249.72,0.67
emily,spatial-color,2,19,88.5,251.22,93.89,243.72,1.73
emily,spatial-color,2,20,90.0,249.64,96.89,241.72,0.96
emily,spatial-color,2,21,91.5,248.21,98.89,237.72,1.73
emily,spatial-color,2,22,93.0,246.86,99.89,233.72,2.8
emily,spatial-color,2,23,94.5,245.52,100.89,229.72,3.52
emily,spatial-color,2,24,96.0,244.09,102.89,224.72,3.37
emily,spatial-color,2,25,97.5,242.49,105.89,220.72,1.69
emily,spatial-color,2,26,99.0,240.63,105.89,215.72,3.01
emily,spatial-color,2,27,100.5,238.42,107.89,212.72,1.81
emily,spatial-color,2,28,102.0,235.79,108.89,208.72,1.73
emily,spatial-color,2,29,103.5,232.64,110.89,202.72,1.03
emily,spatial-color,2,30,105.0,228.93,111.89,197.72,1.02
emily,spatial-color,2,31,106.5,224.58,113.89,192.72,0.02
emily,spatial-color,2,32,108.0,219.54,114.89,184.72,0.35
emily,spatial-color,2,33,109.5,213.79,116.89,177.72,0.5
emily,spatial-color,2,34,111.0,207.29,116.89,171.72,0.41
emily,spatial-color,2,35,112.5,200.02,116.89,166.72,1.15
emily,spatial-color,2,36,114.0,192.01,116.89,161.72,1.87
emily,spatial-color,2,37,115.5,183.26,117.89,155.72,1.71
emily,spatial-color,2,38,117.0,173.8,118.89,151.72,1.27
emily,spatial-color,2,39,118.5,163.68,119.89,144.72,1.2
emily,spatial-color,2,40,120.0,152.97,122.89,139.72,1.12
emily,spatial-color,2,41,121.5,141.74,124.89,132.72,2.21
emily,spatial-color,2,42,123.0,130.09,125.89,124.72,2.2
emily,spatial-color,2,43,124.5,118.1,126.89,117.72,2.32
emily,spatial-color,2,44,126.0,105.89,127.89,111.72,2.59
emily,spatial-color,2,45,127.5,93.59,127.89,106.72,1.98
emily,spatial-color,2,46,129.0,81.32,127.89,99.72,1.13
emily,spatial-color,2,47,130.5,69.22,127.89,93.72,0.4
emily,spatial-color,2,48,132.0,57.42,128.89,86.72,0.54
emily,spatial-color,2,49,133.5,46.06,128.89,81.72,0.06
emily,spatial-color,2,50,135.0,42.0,130.89,74.72,1.06
emily,spatial-color,2,51,136.5,42.0,132.89,66.72,2.05
emily,spatial-color,2,52,138.0,42.0,134.89,55.72,2.64
emily,spatial-color,2,53,139.5,42.0,135.89,49.72,2.85
emily,spatial-color,2,54,141.0,42.0,135.89,43.72,1.43
emily,spatial-color,2,55,142.5,42.0,135.89,37.72,4.28
emily,spatial-color,2,56,144.0,42.0,136.89,40.72,1.28
emily,spatial-color,2,57,145.5,42.0,137.89,45.72,3.72
emily,spatial-color,2,58,147.0,42.0,141.89,43.72,1.72
emily,spatial-color,2,59,148.5,42.0,146.89,41.72,0.28
emily,spatial-color,2,60,150.0,42.0,151.89,40.72,1.28
emily,spatial-color,2,61,151.5,42.0,156.89,42.72,0.72
emily,spatial-color,2,62,153.0,42.0,157.89,49.72,4.39
emily,spatial-color,2,63,154.5,42.0,157.89,60.72,5.62
emily,spatial-color,2,64,156.0,42.0,157.89,69.72,6.57
emily,spatial-color,2,65,157.5,42.0,157.89,76.72,7.3
emily,spatial-color,2,66,159.0,42.0,157.89,82.72,7.9
emily,spatial-color,2,67,160.5,42.0,159.89,87.72,6.41
emily,spatial-color,2,68,162.0,47.02,162.89,96.72,4.3
emily,spatial-color,2,69,163.5,60.3,163.89,103.72,3.98
emily,spatial-color,2,70,165.0,74.47,165.89,111.72,2.74
emily,spatial-color,2,71,166.5,89.39,167.89,118.72,1.4
emily,spatial-color,2,72,168.0,104.91,168.89,125.72,1.05
emily,spatial-color,2,73,169.5,120.89,168.89,134.72,1.88
emily,spatial-color,2,74,171.0,137.17,169.89,140.72,1.43
emily,spatial-color,2,75,172.5,153.58,170.89,147.72,1.07
emily,spatial-color,2,76,174.0,169.97,172.89,151.72,0.56
emily,spatial-color,2,77,175.5,186.19,172.89,157.72,0.01
emily,spatial-color,2,78,177.0,202.09,173.89,163.72,0.46
emily,spatial-color,2,79,178.5,217.52,173.89,167.72,0.09
emily,spatial-color,2,80,180.0,232.35,174.89,172.72,0.63
emily,spatial-color,2,81,181.5,246.45,176.89,177.72,2.16
emily,spatial-color,2,82,183.0,259.72,176.89,183.72,1.61
emily,spatial-color,2,83,184.5,272.05,176.89,189.72,1.05
emily,spatial-color,2,84,186.0,283.37,176.89,195.72,0.49
emily,spatial-color,2,85,187.5,293.6,176.89,200.72,0.02
emily,spatial-color,2,86,189.0,302.7,176.89,206.72,0.56
emily,spatial-color,2,87,190.5,310.62,178.89,213.72,0.75
emily,spatial-color,2,88,192.0,317.35,179.89,217.72,1.36
emily,spatial-color,2,89,193.5,322.89,181.89,223.72,2.75
emily,spatial-color,2,90,195.0,327.24,181.89,229.72,2.14
emily,spatial-color,2,91,196.5,330.45,181.89,234.72,1.63
emily,spatial-color,2,92,198.0,332.55,181.89,240.72,0.99
emily,spatial-color,2,93,199.5,333.6,181.89,246.72,0.36
emily,spatial-color,2,94,201.0,333.68,182.89,252.72,0.68
emily,spatial-color,2,95,202.5,332.85,182.89,260.72,0.23
emily,spatial-color,2,96,204.0,331.22,182.89,272.72,1.68
emily,spatial-color,2,97,205.5,328.88,182.89,282.72,3.0
emily,spatial-color,2,98,207.0,325.93,182.89,287.72,3.71
emily,spatial-color,2,99,208.5,322.47,183.89,296.72,4.07
emily,spatial-color,2,100,210.0,318.62,186.89,302.72,2.09
emily,spatial-color,2,101,211.5,314.48,189.89,307.72,0.06
emily,spatial-color,2,102,213.0,310.15,191.89,312.72,0.9
emily,spatial-color,2,103,214.5,305.73,193.89,316.72,1.98
emily,spatial-color,2,104,216.0,301.33,193.89,320.72,0.94
emily,spatial-color,2,105,217.5,297.02,195.89,326.72,1.01
emily,spatial-color,2,106,219.0,292.88,196.89,331.72,0.42
emily,spatial-color,2,107,220.5,288.98,198.89,334.72,1.27
emily,spatial-color,2,108,222.0,285.37,200.89,334.72,1.05
emily,spatial-color,2,109,223.5,282.1,202.89,333.72,0.95
emily,spatial-color,2,110,225.0,279.19,204.89,330.72,0.48
emily,spatial-color,2,111,226.5,276.66,207.89,325.72,0.73
emily,spatial-color,2,112,228.0,274.52,208.89,320.72,0.27
emily,spatial-color,2,113,229.5,272.75,210.89,314.72,0.49
emily,spatial-color,2,114,231.0,271.33,213.89,309.72,0.7
emily,spatial-color,2,115,232.5,270.23,215.89,303.72,0.67
emily,spatial-color,2,116,234.0,269.38,216.89,299.72,0.31
emily,spatial-color,2,117,235.5,268.75,219.89,292.72,0.77
emily,spatial-color,2,118,237.0,268.25,220.89,289.72,0.63
emily,spatial-color,2,119,238.5,267.81,223.89,286.72,2.26
emily,spatial-color,2,120,240.0,267.35,227.89,280.72,3.27
emily,spatial-color,2,121,241.5,266.78,232.89,274.72,3.76
emily,spatial-color,2,122,243.0,266.01,236.89,270.72,2.31
emily,spatial-color,2,123,244.5,264.96,240.89,266.72,0.27
emily,spatial-color,2,124,246.0,263.52,242.89,261.72,3.45
emily,spatial-color,2,125,247.5,261.62,245.89,255.72,4.31
emily,spatial-color,2,126,249.0,259.18,247.89,251.72,4.05
emily,spatial-color,2,127,250.5,256.1,248.89,246.72,4.73
emily,spatial-color,2,128,252.0,252.34,250.89,241.72,4.17
emily,spatial-color,2,129,253.5,247.83,252.89,239.72,2.72
emily,spatial-color,2,130,255.0,242.52,253.89,233.72,3.11
emily,spatial-color,2,131,256.5,236.39,254.89,226.72,3.56
emily,spatial-color,2,132,258.0,229.4,256.89,223.72,2.16
emily,spatial-color,2,133,259.5,221.57,259.89,217.72,0.27
emily,spatial-color,2,134,261.0,212.88,261.89,211.72,0.7
emily,spatial-color,2,135,262.5,203.38,261.89,203.72,0.55
emily,spatial-color,2,136,264.0,193.09,262.89,195.72,0.72
emily,spatial-color,2,137,265.5,182.08,263.89,190.72,0.43
emily,spatial-color,2,138,267.0,170.41,263.89,184.72,1.24
emily,spatial-color,2,139,268.5,158.17,264.89,180.72,0.78
emily,spatial-color,2,140,270.0,145.45,265.89,174.72,0.55
emily,spatial-color,2,141,271.5,132.35,266.89,169.72,0.19
emily,spatial-color,2,142,273.0,119.01,268.89,163.72,1.06
emily,spatial-color,2,143,274.5,105.55,269.89,157.72,1.33
emily,spatial-color,2,144,276.0,92.09,271.89,149.72,2.38
emily,spatial-color,2,145,277.5,78.79,274.89,140.72,4.32
emily,spatial-color,2,146,279.0,65.78,274.89,133.72,3.52
emily,spatial-color,2,147,280.5,53.21,275.89,124.72,3.51
emily,spatial-color,2,148,282.0,42.0,275.89,117.72,2.73
emily,spatial-color,2,149,283.5,42.0,275.89,112.72,2.17
emily,spatial-color,2,150,285.0,42.0,275.89,106.72,1.51
emily,spatial-color,2,151,286.5,42.0,275.89,100.72,0.85
emily,spatial-color,2,152,288.0,42.0,276.89,94.72,1.17
emily,spatial-color,2,153,289.5,42.0,277.89,88.72,1.5
emily,spatial-color,2,154,291.0,42.0,279.89,79.72,2.48
emily,spatial-color,2,155,292.5,42.0,279.89,72.72,1.68
emily,spatial-color,2,156,294.0,42.0,281.89,66.72,2.98
emily,spatial-color,2,157,295.5,42.0,282.89,60.72,3.26
emily,spatial-color,2,158,297.0,42.0,282.89,54.72,2.55
emily,spatial-color,2,159,298.5,42.0,282.89,50.72,2.04
emily,spatial-color,2,160,300.0,42.0,282.89,44.72,1.24
emily,spatial-color,2,161,301.5,42.0,285.89,43.72,1.72
emily,spatial-color,2,162,303.0,42.0,291.89,43.72,1.72
emily,spatial-color,2,163,304.5,42.0,296.89,43.72,1.72
emily,spatial-color,2,164,306.0,42.0,302.89,43.72,1.72
emily,spatial-color,2,165,307.5,42.0,308.89,45.72,1.21
emily,spatial-color,2,166,309.0,42.0,309.89,51.72,1.15
emily,spatial-color,2,167,310.5,46.82,310.89,57.72,0.83
emily,spatial-color,2,168,312.0,60.21,310.89,65.72,1.69
emily,spatial-color,2,169,313.5,74.37,312.89,70.72,0.22
emily,spatial-color,2,170,315.0,89.18,312.89,75.72,0.74
emily,spatial-color,2,171,316.5,104.47,314.89,82.72,0.54
emily,spatial-color,2,172,318.0,120.09,314.89,89.72,0.16
emily,spatial-color,2,173,319.5,135.88,314.89,97.72,0.94
emily,spatial-color,2,174,321.0,151.69,314.89,103.72,1.53
emily,spatial-color,2,175,322.5,167.38,314.89,109.72,2.11
emily,spatial-color,2,176,324.0,182.79,316.89,114.72,0.59
emily,spatial-color,2,177,325.5,197.78,316.89,120.72,1.17
emily,spatial-color,2,178,327.0,212.23,319.89,127.72,1.16
emily,spatial-color,2,179,328.5,226.01,320.89,133.72,1.59
emily,spatial-color,2,180,330.0,239.02,320.89,137.72,1.21
emily,spatial-color,2,181,331.5,251.17,321.89,143.72,1.64
emily,spatial-color,2,182,333.0,262.37,321.89,149.72,1.07
emily,spatial-color,2,183,334.5,272.57,321.89,154.72,0.6
emily,spatial-color,2,184,336.0,281.7,321.89,162.72,0.16
emily,spatial-color,2,185,337.5,289.76,321.89,170.72,0.93
emily,spatial-color,2,186,339.0,296.7,321.89,177.72,1.61
emily,spatial-color,2,187,340.5,302.55,321.89,183.72,2.19
emily,spatial-color,2,188,342.0,307.31,322.89,189.72,1.8
emily,spatial-color,2,189,343.5,311.02,323.89,194.72,1.3
emily,spatial-color,2,190,345.0,313.71,325.89,200.72,0.08
emily,spatial-color,2,191,346.5,315.46,327.89,204.72,1.66
emily,spatial-color,2,192,348.0,316.32,327.89,209.72,1.14
emily,spatial-color,2,193,349.5,316.38,327.89,215.72,0.51
emily,spatial-color,2,194,351.0,315.72,328.89,222.72,0.74
emily,spatial-color,2,195,352.5,314.45,328.89,229.72,0.04
emily,spatial-color,2,196,354.0,312.65,329.89,236.72,0.15
emily,spatial-color,2,197,355.5,310.43,330.89,242.72,0.43
emily,spatial-color,2,198,357.0,307.89,331.89,249.72,0.56
emily,spatial-color,2,199,358.5,305.13,333.89,253.72,2.03
emily,spatial-color,2,200,360.0,302.25,333.89,258.72,1.37
emily,spatial-color,2,201,361.5,299.34,335.89,264.72,2.52
emily,spatial-color,2,202,363.0,296.49,336.89,272.72,2.33
emily,spatial-color,2,203,364.5,293.77,337.89,280.72,2.02
emily,spatial-color,2,204,366.0,291.25,339.89,287.72,2.72
emily,spatial-color,2,205,367.5,288.99,340.89,293.72,2.48
emily,spatial-color,2,206,369.0,287.03,341.89,298.72,2.3
emily,spatial-color,2,207,370.5,285.41,342.89,303.72,1.93
emily,spatial-color,2,208,372.0,284.14,343.89,307.72,1.6
emily,spatial-color,2,209,373.5,283.24,347.89,312.72,2.84
emily,spatial-color,2,210,375.0,282.69,348.89,316.72,0.36
emily,spatial-color,2,211,376.5,282.47,350.89,318.72,2.7
emily,spatial-color,2,212,378.0,282.55,354.89,317.72,4.04
emily,spatial-color,2,213,379.5,282.88,358.89,312.72,4.09
emily,spatial-color,2,214,381.0,283.41,359.89,306.72,1.98
emily,spatial-color,2,215,382.5,284.07,360.89,302.72,1.01
emily,spatial-color,2,216,384.0,284.78,362.89,296.72,0.01
emily,spatial-color,2,217,385.5,285.46,366.89,290.72,0.45
emily,spatial-color,2,218,387.0,286.02,370.89,286.72,1.18
