participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
eric,spatial-color,2,0,60.0,336.46,59.0,336.2,1.03
eric,spatial-color,2,1,61.5,331.7,62.0,327.2,0.76
eric,spatial-color,2,2,63.0,326.48,64.0,323.2,0.11
eric,spatial-color,2,3,64.5,320.91,64.0,320.2,0.66
eric,spatial-color,2,4,66.0,315.1,65.0,316.2,0.69
eric,spatial-color,2,5,67.5,309.16,66.0,311.2,0.96
eric,spatial-color,2,6,69.0,303.19,70.0,304.2,1.21
eric,spatial-color,2,7,70.5,297.29,72.0,298.2,1.68
eric,spatial-color,2,8,72.0,291.54,73.0,293.2,1.39
eric,spatial-color,2,9,73.5,286.02,74.0,287.2,0.79
eric,spatial-color,2,10,75.0,280.79,76.0,280.2,0.78
eric,spatial-color,2,11,76.5,275.91,77.0,273.2,0.38
eric,spatial-color,2,12,78.0,271.41,79.0,268.2,0.17
eric,spatial-color,2,13,79.5,267.32,80.0,263.2,1.1
eric,spatial-color,2,14,81.0,263.66,82.0,259.2,1.01
eric,spatial-color,2,15,82.5,260.42,85.0,254.2,0.96
eric,spatial-color,2,16,84.0,257.59,87.0,248.2,3.17
eric,spatial-color,2,17,85.5,255.15,96.0,243.2,0.61
eric,spatial-color,2,18,87.0,253.04,99.0,240.2,0.24
eric,spatial-color,2,19,88.5,251.22,101.0,236.2,0.66
eric,spatial-color,2,20,90.0,249.64,104.0,230.2,0.45
eric,spatial-color,2,21,91.5,248.21,107.0,225.2,0.68
eric,spatial-color,2,22,93.0,246.86,109.0,216.2,0.12
eric,spatial-color,2,23,94.5,245.52,112.0,208.2,1.18
eric,spatial-color,2,24,96.0,244.09,113.0,204.2,1.33
eric,spatial-color,2,25,97.5,242.49,114.0,198.2,1.14
eric,spatial-color,2,26,99.0,240.63,115.0,196.2,1.75
eric,spatial-color,2,27,100.5,238.42,115.0,187.2,0.17
eric,spatial-color,2,28,102.0,235.79,116.0,181.2,0.17
eric,spatial-color,2,29,103.5,232.64,118.0,175.2,1.21
eric,spatial-color,2,30,105.0,228.93,118.0,169.2,0.31
eric,spatial-color,2,31,106.5,224.58,118.0,163.2,0.56
eric,spatial-color,2,32,108.0,219.54,119.0,159.2,0.13
eric,spatial-color,2,33,109.5,213.79,119.0,154.2,0.82
eric,spatial-color,2,34,111.0,207.29,120.0,149.2,0.5
eric,spatial-color,2,35,112.5,200.02,123.0,137.2,0.91
eric,spatial-color,2,36,114.0,192.01,124.0,127.2,0.63
eric,spatial-color,2,37,115.5,183.26,125.0,122.2,1.01
eric,spatial-color,2,38,117.0,173.8,125.0,116.2,0.26
eric,spatial-color,2,39,118.5,163.68,125.0,109.2,0.59
eric,spatial-color,2,40,120.0,152.97,126.0,104.2,0.21
eric,spatial-color,2,41,121.5,141.74,126.0,99.2,0.81
eric,spatial-color,2,42,123.0,130.09,128.0,90.2,0.08
eric,spatial-color,2,43,124.5,118.1,130.0,80.2,0.85
eric,spatial-color,2,44,126.0,105.89,131.0,70.2,0.62
eric,spatial-color,2,45,127.5,93.59,134.0,61.2,2.46
eric,spatial-color,2,46,129.0,81.32,134.0,59.2,2.21
eric,spatial-color,2,47,130.5,69.22,134.0,52.2,1.3
eric,spatial-color,2,48,132.0,57.42,134.0,46.2,0.51
eric,spatial-color,2,49,133.5,46.06,134.0,43.2,0.52
eric,spatial-color,2,50,135.0,42.0,140.0,41.2,0.8
eric,spatial-color,2,51,136.5,42.0,144.0,41.2,0.8
eric,spatial-color,2,52,138.0,42.0,151.0,41.2,0.8
eric,spatial-color,2,53,139.5,42.0,154.0,41.2,0.8
eric,spatial-color,2,54,141.0,42.0,157.0,41.2,0.8
eric,spatial-color,2,55,142.5,42.0,159.0,42.2,0.2
eric,spatial-color,2,56,144.0,42.0,161.0,47.2,1.01
eric,spatial-color,2,57,145.5,42.0,163.0,53.2,0.3
eric,spatial-color,2,58,147.0,42.0,163.0,58.2,0.26
eric,spatial-color,2,59,148.5,42.0,163.0,64.2,0.91
eric,spatial-color,2,60,150.0,42.0,163.0,68.2,1.33
eric,spatial-color,2,61,151.5,42.0,165.0,76.2,0.17
eric,spatial-color,2,62,153.0,42.0,166.0,80.2,0.42
eric,spatial-color,2,63,154.5,42.0,166.0,88.2,0.38
eric,spatial-color,2,64,156.0,42.0,166.0,95.2,1.06
eric,spatial-color,2,65,157.5,42.0,167.0,103.2,0.83
eric,spatial-color,2,66,159.0,42.0,167.0,107.2,1.21
eric,spatial-color,2,67,160.5,42.0,168.0,114.2,0.87
eric,spatial-color,2,68,162.0,47.02,168.0,120.2,1.43
eric,spatial-color,2,69,163.5,60.3,169.0,126.2,0.98
eric,spatial-color,2,70,165.0,74.47,171.0,133.2,0.36
eric,spatial-color,2,71,166.5,89.39,172.0,140.2,0.72
eric,spatial-color,2,72,168.0,104.91,172.0,149.2,0.1
eric,spatial-color,2,73,169.5,120.89,173.0,157.2,0.17
eric,spatial-color,2,74,171.0,137.17,173.0,164.2,0.47
eric,spatial-color,2,75,172.5,153.58,175.0,174.2,0.61
eric,spatial-color,2,76,174.0,169.97,176.0,182.2,0.87
eric,spatial-color,2,77,175.5,186.19,176.0,189.2,0.22
eric,spatial-color,2,78,177.0,202.09,176.0,193.2,0.16
eric,spatial-color,2,79,178.5,217.52,177.0,196.2,0.55
eric,spatial-color,2,80,180.0,232.35,177.0,200.2,0.18
eric,spatial-color,2,81,181.5,246.45,178.0,205.2,0.69
eric,spatial-color,2,82,183.0,259.72,179.0,211.2,1.11
eric,spatial-color,2,83,184.5,272.05,180.0,217.2,1.52
eric,spatial-color,2,84,186.0,283.37,180.0,226.2,0.62
eric,spatial-color,2,85,187.5,293.6,181.0,232.2,1.01
eric,spatial-color,2,86,189.0,302.7,182.0,241.2,1.05
eric,spatial-color,2,87,190.5,310.62,182.0,249.2,0.19
eric,spatial-color,2,88,192.0,317.35,183.0,255.2,0.51
eric,spatial-color,2,89,193.5,322.89,184.0,261.2,0.81
eric,spatial-color,2,90,195.0,327.24,184.0,265.2,0.33
eric,spatial-color,2,91,196.5,330.45,185.0,271.2,0.6
eric,spatial-color,2,92,198.0,332.55,186.0,278.2,0.68
eric,spatial-color,2,93,199.5,333.6,188.0,287.2,1.42
eric,spatial-color,2,94,201.0,333.68,189.0,295.2,1.22
eric,spatial-color,2,95,202.5,332.85,190.0,303.2,0.89
eric,spatial-color,2,96,204.0,331.22,193.0,312.2,2.1
eric,spatial-color,2,97,205.5,328.88,193.0,316.2,1.23
eric,spatial-color,2,98,207.0,325.93,194.0,322.2,0.66
eric,spatial-color,2,99,208.5,322.47,195.0,325.2,0.66
eric,spatial-color,2,100,210.0,318.62,196.0,329.2,0.08
eric,spatial-color,2,101,211.5,314.48,198.0,331.2,0.78
eric,spatial-color,2,102,213.0,310.15,200.0,332.2,1.43
eric,spatial-color,2,103,214.5,305.73,204.0,331.2,0.01
eric,spatial-color,2,104,216.0,301.33,207.0,328.2,1.03
eric,spatial-color,2,105,217.5,297.02,209.0,324.2,1.15
eric,spatial-color,2,106,219.0,292.88,210.0,319.2,0.21
eric,spatial-color,2,107,220.5,288.98,211.0,314.2,0.56
eric,spatial-color,2,108,222.0,285.37,213.0,310.2,0.02
eric,spatial-color,2,109,223.5,282.1,214.0,306.2,0.32
eric,spatial-color,2,110,225.0,279.19,214.0,303.2,1.29
eric,spatial-color,2,111,226.5,276.66,216.0,297.2,1.36
eric,spatial-color,2,112,228.0,274.52,218.0,292.2,1.18
eric,spatial-color,2,113,229.5,272.75,220.0,288.2,0.76
eric,spatial-color,2,114,231.0,271.33,225.0,280.2,0.46
eric,spatial-color,2,115,232.5,270.23,228.0,276.2,0.96
eric,spatial-color,2,116,234.0,269.38,230.0,273.2,0.67
eric,spatial-color,2,117,235.5,268.75,234.0,269.2,0.17
eric,spatial-color,2,118,237.0,268.25,238.0,266.2,1.69
eric,spatial-color,2,119,238.5,267.81,244.0,263.2,1.62
eric,spatial-color,2,120,240.0,267.35,248.0,261.2,0.21
eric,spatial-color,2,121,241.5,266.78,250.0,255.2,0.8
eric,spatial-color,2,122,243.0,266.01,252.0,250.2,0.68
eric,spatial-color,2,123,244.5,264.96,253.0,245.2,1.2
eric,spatial-color,2,124,246.0,263.52,256.0,240.2,0.42
eric,spatial-color,2,125,247.5,261.62,258.0,233.2,0.8
eric,spatial-color,2,126,249.0,259.18,260.0,228.2,1.74
eric,spatial-color,2,127,250.5,256.1,261.0,223.2,1.78
eric,spatial-color,2,128,252.0,252.34,261.0,218.2,0.91
eric,spatial-color,2,129,253.5,247.83,261.0,212.2,0.11
eric,spatial-color,2,130,255.0,242.52,263.0,203.2,0.47
eric,spatial-color,2,131,256.5,236.39,264.0,194.2,0.16
eric,spatial-color,2,132,258.0,229.4,264.0,189.2,0.53
eric,spatial-color,2,133,259.5,221.57,265.0,185.2,0.07
eric,spatial-color,2,134,261.0,212.88,267.0,179.2,1.12
eric,spatial-color,2,135,262.5,203.38,267.0,175.2,0.61
eric,spatial-color,2,136,264.0,193.09,267.0,169.2,0.15
eric,spatial-color,2,137,265.5,182.08,268.0,162.2,0.01
eric,spatial-color,2,138,267.0,170.41,269.0,156.2,0.27
eric,spatial-color,2,139,268.5,158.17,269.0,145.2,1.02
eric,spatial-color,2,140,270.0,145.45,270.0,139.2,0.71
eric,spatial-color,2,141,271.5,132.35,271.0,133.2,0.4
eric,spatial-color,2,142,273.0,119.01,273.0,125.2,0.69
eric,spatial-color,2,143,274.5,105.55,273.0,118.2,0.09
eric,spatial-color,2,144,276.0,92.09,274.0,110.2,0.02
eric,spatial-color,2,145,277.5,78.79,275.0,103.2,0.24
eric,spatial-color,2,146,279.0,65.78,275.0,97.2,0.43
eric,spatial-color,2,147,280.5,53.21,276.0,92.2,0.01
eric,spatial-color,2,148,282.0,42.0,276.0,81.2,1.22
eric,spatial-color,2,149,283.5,42.0,277.0,76.2,0.79
eric,spatial-color,2,150,285.0,42.0,277.0,72.2,1.25
eric,spatial-color,2,151,286.5,42.0,278.0,66.2,0.95
eric,spatial-color,2,152,288.0,42.0,278.0,60.2,1.65
eric,spatial-color,2,153,289.5,42.0,278.0,55.2,2.25
eric,spatial-color,2,154,291.0,42.0,279.0,48.2,2.15
eric,spatial-color,2,155,292.5,42.0,280.0,43.2,1.82
eric,spatial-color,2,156,294.0,42.0,283.0,42.2,0.2
eric,spatial-color,2,157,295.5,42.0,294.0,42.2,0.2
