participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
han,numerical,3,0,60.0,336.46,60.0,335.2,0.38
han,numerical,3,1,61.5,331.7,61.0,330.2,0.9
han,numerical,3,2,63.0,326.48,63.0,322.2,1.11
han,numerical,3,3,64.5,320.91,64.0,317.2,1.41
han,numerical,3,4,66.0,315.1,65.0,310.2,2.17
han,numerical,3,5,67.5,309.16,66.0,305.2,2.42
han,numerical,3,6,69.0,303.19,69.0,298.2,1.23
han,numerical,3,7,70.5,297.29,70.0,295.2,1.01
han,numerical,3,8,72.0,291.54,71.0,291.2,1.05
han,numerical,3,9,73.5,286.02,72.0,288.2,0.88
han,numerical,3,10,75.0,280.79,73.0,283.2,1.26
han,numerical,3,11,76.5,275.91,74.0,280.2,1.13
han,numerical,3,12,78.0,271.41,74.0,278.2,1.72
han,numerical,3,13,79.5,267.32,75.0,277.2,1.05
han,numerical,3,14,81.0,263.66,75.0,275.2,1.65
han,numerical,3,15,82.5,260.42,77.0,271.2,1.01
han,numerical,3,16,84.0,257.59,79.0,265.2,1.27
han,numerical,3,17,85.5,255.15,83.0,259.2,0.13
han,numerical,3,18,87.0,253.04,85.0,255.2,0.4
han,numerical,3,19,88.5,251.22,88.0,249.2,1.75
han,numerical,3,20,90.0,249.64,90.0,246.2,2.5
han,numerical,3,21,91.5,248.21,93.0,242.2,3.44
han,numerical,3,22,93.0,246.86,96.0,239.2,3.23
han,numerical,3,23,94.5,245.52,98.0,237.2,2.76
han,numerical,3,24,96.0,244.09,101.0,233.2,2.02
han,numerical,3,25,97.5,242.49,103.0,230.2,1.38
han,numerical,3,26,99.0,240.63,104.0,228.2,1.18
han,numerical,3,27,100.5,238.42,105.0,224.2,1.54
han,numerical,3,28,102.0,235.79,106.0,218.2,2.27
han,numerical,3,29,103.5,232.64,108.0,210.2,2.27
han,numerical,3,30,105.0,228.93,110.0,199.2,2.61
han,numerical,3,31,106.5,224.58,114.0,185.2,1.15
han,numerical,3,32,108.0,219.54,116.0,179.2,0.14
han,numerical,3,33,109.5,213.79,116.0,174.2,0.92
han,numerical,3,34,111.0,207.29,117.0,167.2,0.97
han,numerical,3,35,112.5,200.02,118.0,161.2,0.84
han,numerical,3,36,114.0,192.01,119.0,157.2,0.4
han,numerical,3,37,115.5,183.26,120.0,149.2,0.5
han,numerical,3,38,117.0,173.8,121.0,139.2,0.82
han,numerical,3,39,118.5,163.68,123.0,132.2,0.27
han,numerical,3,40,120.0,152.97,124.0,125.2,0.39
han,numerical,3,41,121.5,141.74,124.0,123.2,0.14
han,numerical,3,42,123.0,130.09,124.0,110.2,1.46
han,numerical,3,43,124.5,118.1,124.0,103.2,2.31
han,numerical,3,44,126.0,105.89,124.0,99.2,2.8
han,numerical,3,45,127.5,93.59,124.0,93.2,3.52
han,numerical,3,46,129.0,81.32,126.0,85.2,2.51
han,numerical,3,47,130.5,69.22,128.0,78.2,1.38
han,numerical,3,48,132.0,57.42,130.0,72.2,0.13
han,numerical,3,49,133.5,46.06,131.0,69.2,0.49
han,numerical,3,50,135.0,42.0,132.0,65.2,0.98
han,numerical,3,51,136.5,42.0,132.0,62.2,0.6
han,numerical,3,52,138.0,42.0,133.0,59.2,1.22
han,numerical,3,53,139.5,42.0,134.0,54.2,1.56
han,numerical,3,54,141.0,42.0,134.0,51.2,1.17
han,numerical,3,55,142.5,42.0,134.0,49.2,0.91
han,numerical,3,56,144.0,42.0,135.0,45.2,1.11
han,numerical,3,57,145.5,42.0,135.0,44.2,0.76
han,numerical,3,58,147.0,42.0,136.0,42.2,0.2
han,numerical,3,59,148.5,42.0,143.0,42.2,0.2
han,numerical,3,60,150.0,42.0,147.0,42.2,0.2
han,numerical,3,61,151.5,42.0,153.0,41.2,0.8
han,numerical,3,62,153.0,42.0,158.0,41.2,0.8
han,numerical,3,63,154.5,42.0,161.0,46.2,0.72
han,numerical,3,64,156.0,42.0,162.0,53.2,0.69
han,numerical,3,65,157.5,42.0,163.0,60.2,0.49
han,numerical,3,66,159.0,42.0,164.0,67.2,0.23
han,numerical,3,67,160.5,42.0,166.0,76.2,0.82
han,numerical,3,68,162.0,47.02,167.0,85.2,0.92
han,numerical,3,69,163.5,60.3,167.0,91.2,0.32
han,numerical,3,70,165.0,74.47,167.0,96.2,0.16
han,numerical,3,71,166.5,89.39,169.0,114.2,0.13
han,numerical,3,72,168.0,104.91,171.0,126.2,1.01
han,numerical,3,73,169.5,120.89,171.0,134.2,0.27
han,numerical,3,74,171.0,137.17,172.0,143.2,0.45
han,numerical,3,75,172.5,153.58,173.0,147.2,1.08
han,numerical,3,76,174.0,169.97,173.0,159.2,0.01
han,numerical,3,77,175.5,186.19,173.0,165.2,0.56
han,numerical,3,78,177.0,202.09,174.0,171.2,0.11
han,numerical,3,79,178.5,217.52,175.0,176.2,0.42
han,numerical,3,80,180.0,232.35,177.0,186.2,1.49
han,numerical,3,81,181.5,246.45,177.0,198.2,0.37
han,numerical,3,82,183.0,259.72,177.0,214.2,1.17
han,numerical,3,83,184.5,272.05,179.0,223.2,0.07
han,numerical,3,84,186.0,283.37,181.0,229.2,1.31
han,numerical,3,85,187.5,293.6,181.0,236.2,0.59
han,numerical,3,86,189.0,302.7,183.0,244.2,1.73
han,numerical,3,87,190.5,310.62,183.0,254.2,0.62
han,numerical,3,88,192.0,317.35,184.0,273.2,0.65
han,numerical,3,89,193.5,322.89,186.0,283.2,0.02
han,numerical,3,90,195.0,327.24,188.0,294.2,0.4
han,numerical,3,91,196.5,330.45,189.0,301.2,0.24
han,numerical,3,92,198.0,332.55,190.0,307.2,0.14
han,numerical,3,93,199.5,333.6,191.0,314.2,0.29
han,numerical,3,94,201.0,333.68,192.0,321.2,1.01
han,numerical,3,95,202.5,332.85,193.0,324.2,0.9
han,numerical,3,96,204.0,331.22,194.0,327.2,0.93
han,numerical,3,97,205.5,328.88,196.0,329.2,0.08
han,numerical,3,98,207.0,325.93,197.0,331.2,0.03
han,numerical,3,99,208.5,322.47,200.0,333.2,0.43
han,numerical,3,100,210.0,318.62,202.0,333.2,0.06
han,numerical,3,101,211.5,314.48,203.0,333.2,0.6
han,numerical,3,102,213.0,310.15,205.0,331.2,0.83
han,numerical,3,103,214.5,305.73,206.0,328.2,0.14
han,numerical,3,104,216.0,301.33,207.0,323.2,1.09
han,numerical,3,105,217.5,297.02,210.0,316.2,0.82
han,numerical,3,106,219.0,292.88,213.0,309.2,0.31
han,numerical,3,107,220.5,288.98,215.0,305.2,0.3
han,numerical,3,108,222.0,285.37,216.0,303.2,0.6
han,numerical,3,109,223.5,282.1,221.0,287.2,0.22
han,numerical,3,110,225.0,279.19,224.0,280.2,0.43
han,numerical,3,111,226.5,276.66,226.0,277.2,0.16
han,numerical,3,112,228.0,274.52,227.0,275.2,0.43
han,numerical,3,113,229.5,272.75,229.0,271.2,1.47
han,numerical,3,114,231.0,271.33,231.0,270.2,0.91
han,numerical,3,115,232.5,270.23,233.0,269.2,0.65
han,numerical,3,116,234.0,269.38,237.0,267.2,1.01
han,numerical,3,117,235.5,268.75,241.0,265.2,1.64
han,numerical,3,118,237.0,268.25,245.0,262.2,1.61
han,numerical,3,119,238.5,267.81,247.0,260.2,1.17
han,numerical,3,120,240.0,267.35,249.0,254.2,2.1
han,numerical,3,121,241.5,266.78,251.0,250.2,1.62
han,numerical,3,122,243.0,266.01,253.0,243.2,1.74
han,numerical,3,123,244.5,264.96,257.0,233.2,0.18
han,numerical,3,124,246.0,263.52,259.0,228.2,0.76
han,numerical,3,125,247.5,261.62,260.0,222.2,0.61
han,numerical,3,126,249.0,259.18,261.0,216.2,0.56
han,numerical,3,127,250.5,256.1,263.0,210.2,1.56
han,numerical,3,128,252.0,252.34,263.0,206.2,0.93
