participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
heidi,no-feedback,1,0,60.0,336.46,61.89,337.72,2.27
heidi,no-feedback,1,1,61.5,331.7,61.89,330.72,0.1
heidi,no-feedback,1,2,63.0,326.48,61.89,322.72,2.05
heidi,no-feedback,1,3,64.5,320.91,62.89,317.72,2.36
heidi,no-feedback,1,4,66.0,315.1,65.89,310.72,1.18
heidi,no-feedback,1,5,67.5,309.16,66.89,306.72,1.19
heidi,no-feedback,1,6,69.0,303.19,68.89,300.72,0.72
heidi,no-feedback,1,7,70.5,297.29,70.89,297.72,0.48
heidi,no-feedback,1,8,72.0,291.54,70.89,290.72,1.29
heidi,no-feedback,1,9,73.5,286.02,73.89,286.72,0.56
heidi,no-feedback,1,10,75.0,280.79,74.89,281.72,0.15
heidi,no-feedback,1,11,76.5,275.91,75.89,275.72,0.64
heidi,no-feedback,1,12,78.0,271.41,76.89,271.72,0.96
heidi,no-feedback,1,13,79.5,267.32,78.89,266.72,0.79
heidi,no-feedback,1,14,81.0,263.66,79.89,260.72,2.24
heidi,no-feedback,1,15,82.5,260.42,84.89,254.72,0.74
heidi,no-feedback,1,16,84.0,257.59,87.89,250.72,0.79
heidi,no-feedback,1,17,85.5,255.15,90.89,246.72,1.52
heidi,no-feedback,1,18,87.0,253.04,92.89,242.72,3.14
heidi,no-feedback,1,19,88.5,251.22,96.89,239.72,2.22
heidi,no-feedback,1,20,90.0,249.64,99.89,233.72,2.8
heidi,no-feedback,1,21,91.5,248.21,101.89,229.72,2.59
heidi,no-feedback,1,22,93.0,246.86,102.89,223.72,3.69
heidi,no-feedback,1,23,94.5,245.52,105.89,219.72,1.97
heidi,no-feedback,1,24,96.0,244.09,106.89,212.72,2.78
heidi,no-feedback,1,25,97.5,242.49,108.89,208.72,1.73
heidi,no-feedback,1,26,99.0,240.63,109.89,203.72,1.81
heidi,no-feedback,1,27,100.5,238.42,110.89,197.72,2.01
heidi,no-feedback,1,28,102.0,235.79,112.89,192.72,0.96
heidi,no-feedback,1,29,103.5,232.64,115.89,184.72,0.63
heidi,no-feedback,1,30,105.0,228.93,115.89,179.72,0.17
heidi,no-feedback,1,31,106.5,224.58,115.89,171.72,1.4
heidi,no-feedback,1,32,108.0,219.54,116.89,163.72,1.59
heidi,no-feedback,1,33,109.5,213.79,117.89,157.72,1.43
heidi,no-feedback,1,34,111.0,207.29,118.89,151.72,1.27
heidi,no-feedback,1,35,112.5,200.02,119.89,146.72,0.94
heidi,no-feedback,1,36,114.0,192.01,120.89,141.72,0.61
heidi,no-feedback,1,37,115.5,183.26,122.89,135.72,0.61
heidi,no-feedback,1,38,117.0,173.8,122.89,130.72,0.03
heidi,no-feedback,1,39,118.5,163.68,128.89,90.72,1.03
heidi,no-feedback,1,40,120.0,152.97,128.89,84.72,0.3
heidi,no-feedback,1,41,121.5,141.74,130.89,79.72,1.68
heidi,no-feedback,1,42,123.0,130.09,131.89,73.72,1.93
heidi,no-feedback,1,43,124.5,118.1,131.89,66.72,1.06
heidi,no-feedback,1,44,126.0,105.89,131.89,61.72,0.43
heidi,no-feedback,1,45,127.5,93.59,131.89,54.72,0.46
heidi,no-feedback,1,46,129.0,81.32,131.89,49.72,1.12
heidi,no-feedback,1,47,130.5,69.22,133.89,42.72,0.79
heidi,no-feedback,1,48,132.0,57.42,138.89,41.72,0.28
heidi,no-feedback,1,49,133.5,46.06,145.89,40.72,1.28
heidi,no-feedback,1,50,135.0,42.0,150.89,40.72,1.28
heidi,no-feedback,1,51,136.5,42.0,154.89,40.72,1.28
heidi,no-feedback,1,52,138.0,42.0,157.89,44.72,2.72
heidi,no-feedback,1,53,139.5,42.0,157.89,49.72,4.39
heidi,no-feedback,1,54,141.0,42.0,160.89,53.72,1.86
heidi,no-feedback,1,55,142.5,42.0,162.89,57.72,0.32
heidi,no-feedback,1,56,144.0,42.0,165.89,64.72,1.91
heidi,no-feedback,1,57,145.5,42.0,165.89,69.72,1.38
heidi,no-feedback,1,58,147.0,42.0,165.89,75.72,0.76
heidi,no-feedback,1,59,148.5,42.0,165.89,80.72,0.26
