participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
heidi,numerical,2,0,60.0,336.46,57.89,334.72,2.54
heidi,numerical,2,1,61.5,331.7,59.89,329.72,2.1
heidi,numerical,2,2,63.0,326.48,61.89,324.72,1.53
heidi,numerical,2,3,64.5,320.91,62.89,319.72,1.86
heidi,numerical,2,4,66.0,315.1,65.89,315.72,0.05
heidi,numerical,2,5,67.5,309.16,68.89,310.72,1.73
heidi,numerical,2,6,69.0,303.19,68.89,303.72,0.02
heidi,numerical,2,7,70.5,297.29,70.89,298.72,0.73
heidi,numerical,2,8,72.0,291.54,70.89,292.72,0.78
heidi,numerical,2,9,73.5,286.02,70.89,286.72,2.34
heidi,numerical,2,10,75.0,280.79,72.89,280.72,2.05
heidi,numerical,2,11,76.5,275.91,73.89,275.72,2.55
heidi,numerical,2,12,78.0,271.41,80.89,274.72,3.79
heidi,numerical,2,13,79.5,267.32,81.89,269.72,3.07
heidi,numerical,2,14,81.0,263.66,82.89,262.72,1.32
heidi,numerical,2,15,82.5,260.42,85.89,257.72,1.68
heidi,numerical,2,16,84.0,257.59,87.89,254.72,1.7
heidi,numerical,2,17,85.5,255.15,89.89,248.72,0.74
heidi,numerical,2,18,87.0,253.04,91.89,243.72,3.08
heidi,numerical,2,19,88.5,251.22,94.89,240.72,3.12
heidi,numerical,2,20,90.0,249.64,100.89,240.72,1.61
heidi,numerical,2,21,91.5,248.21,100.89,234.72,1.46
heidi,numerical,2,22,93.0,246.86,102.89,231.72,0.91
heidi,numerical,2,23,94.5,245.52,103.89,226.72,1.77
heidi,numerical,2,24,96.0,244.09,105.89,221.72,1.4
heidi,numerical,2,25,97.5,242.49,109.89,217.72,1.37
heidi,numerical,2,26,99.0,240.63,110.89,209.72,0.44
heidi,numerical,2,27,100.5,238.42,110.89,202.72,1.03
heidi,numerical,2,28,102.0,235.79,113.89,198.72,1.13
heidi,numerical,2,29,103.5,232.64,114.89,194.72,1.37
heidi,numerical,2,30,105.0,228.93,114.89,186.72,0.02
heidi,numerical,2,31,106.5,224.58,115.89,179.72,0.17
heidi,numerical,2,32,108.0,219.54,118.89,174.72,2.01
heidi,numerical,2,33,109.5,213.79,118.89,169.72,1.27
heidi,numerical,2,34,111.0,207.29,118.89,161.72,0.11
heidi,numerical,2,35,112.5,200.02,118.89,154.72,0.86
heidi,numerical,2,36,114.0,192.01,119.89,149.72,0.54
heidi,numerical,2,37,115.5,183.26,119.89,143.72,1.34
heidi,numerical,2,38,117.0,173.8,122.89,139.72,1.12
heidi,numerical,2,39,118.5,163.68,125.89,133.72,3.33
heidi,numerical,2,40,120.0,152.97,125.89,126.72,2.45
heidi,numerical,2,41,121.5,141.74,127.89,121.72,3.81
heidi,numerical,2,42,123.0,130.09,128.89,116.72,4.19
heidi,numerical,2,43,124.5,118.1,128.89,109.72,3.33
heidi,numerical,2,44,126.0,105.89,128.89,102.72,2.48
heidi,numerical,2,45,127.5,93.59,125.89,97.72,1.1
heidi,numerical,2,46,129.0,81.32,125.89,91.72,1.83
heidi,numerical,2,47,130.5,69.22,125.89,83.72,2.8
heidi,numerical,2,48,132.0,57.42,128.89,72.72,1.17
heidi,numerical,2,49,133.5,46.06,130.89,68.72,0.32
heidi,numerical,2,50,135.0,42.0,132.89,62.72,1.55
heidi,numerical,2,51,136.5,42.0,133.89,57.72,1.91
heidi,numerical,2,52,138.0,42.0,133.89,51.72,1.13
heidi,numerical,2,53,139.5,42.0,135.89,43.72,1.43
heidi,numerical,2,54,141.0,42.0,139.89,40.72,1.28
heidi,numerical,2,55,142.5,42.0,145.89,40.72,1.28
heidi,numerical,2,56,144.0,42.0,151.89,40.72,1.28
heidi,numerical,2,57,145.5,42.0,158.89,40.72,1.28
heidi,numerical,2,58,147.0,42.0,162.89,47.72,0.8
heidi,numerical,2,59,148.5,42.0,163.89,52.72,1.24
heidi,numerical,2,60,150.0,42.0,163.89,60.72,0.34
heidi,numerical,2,61,151.5,42.0,165.89,66.72,1.7
heidi,numerical,2,62,153.0,42.0,166.89,73.72,1.96
heidi,numerical,2,63,154.5,42.0,168.89,78.72,3.44
heidi,numerical,2,64,156.0,42.0,168.89,84.72,2.84
heidi,numerical,2,65,157.5,42.0,168.89,91.72,2.15
heidi,numerical,2,66,159.0,42.0,167.89,97.72,0.58
heidi,numerical,2,67,160.5,42.0,167.89,103.72,0.0
heidi,numerical,2,68,162.0,47.02,167.89,109.72,0.56
heidi,numerical,2,69,163.5,60.3,168.89,115.72,0.12
heidi,numerical,2,70,165.0,74.47,168.89,122.72,0.78
heidi,numerical,2,71,166.5,89.39,168.89,131.72,1.6
heidi,numerical,2,72,168.0,104.91,170.89,137.72,0.16
heidi,numerical,2,73,169.5,120.89,170.89,144.72,0.8
heidi,numerical,2,74,171.0,137.17,171.89,150.72,0.35
heidi,numerical,2,75,172.5,153.58,171.89,156.72,0.89
heidi,numerical,2,76,174.0,169.97,171.89,163.72,1.53
heidi,numerical,2,77,175.5,186.19,172.89,167.72,0.9
heidi,numerical,2,78,177.0,202.09,173.89,174.72,0.55
heidi,numerical,2,79,178.5,217.52,174.89,180.72,0.1
heidi,numerical,2,80,180.0,232.35,175.89,186.72,0.34
heidi,numerical,2,81,181.5,246.45,175.89,192.72,0.23
heidi,numerical,2,82,183.0,259.72,175.89,198.72,0.79
heidi,numerical,2,83,184.5,272.05,176.89,204.72,0.37
heidi,numerical,2,84,186.0,283.37,176.89,211.72,1.04
heidi,numerical,2,85,187.5,293.6,178.89,215.72,0.56
heidi,numerical,2,86,189.0,302.7,178.89,222.72,0.14
heidi,numerical,2,87,190.5,310.62,179.89,228.72,0.25
heidi,numerical,2,88,192.0,317.35,179.89,234.72,0.36
heidi,numerical,2,89,193.5,322.89,179.89,240.72,1.0
heidi,numerical,2,90,195.0,327.24,180.89,249.72,0.97
heidi,numerical,2,91,196.5,330.45,182.89,257.72,0.11
heidi,numerical,2,92,198.0,332.55,184.89,264.72,1.27
heidi,numerical,2,93,199.5,333.6,184.89,271.72,0.43
heidi,numerical,2,94,201.0,333.68,184.89,276.72,0.23
heidi,numerical,2,95,202.5,332.85,185.89,282.72,0.02
heidi,numerical,2,96,204.0,331.22,187.89,287.72,1.24
heidi,numerical,2,97,205.5,328.88,187.89,294.72,0.2
heidi,numerical,2,98,207.0,325.93,187.89,300.72,0.77
heidi,numerical,2,99,208.5,322.47,188.89,307.72,1.04
heidi,numerical,2,100,210.0,318.62,189.89,313.72,1.27
heidi,numerical,2,101,211.5,314.48,190.89,318.72,1.43
heidi,numerical,2,102,213.0,310.15,193.89,323.72,0.1
heidi,numerical,2,103,214.5,305.73,193.89,327.72,1.21
heidi,numerical,2,104,216.0,301.33,198.89,331.72,1.19
heidi,numerical,2,105,217.5,297.02,203.89,334.72,2.33
heidi,numerical,2,106,219.0,292.88,203.89,328.72,1.44
heidi,numerical,2,107,220.5,288.98,205.89,323.72,1.9
heidi,numerical,2,108,222.0,285.37,205.89,317.72,4.16
heidi,numerical,2,109,223.5,282.1,208.89,313.72,2.71
heidi,numerical,2,110,225.0,279.19,210.89,308.72,2.46
heidi,numerical,2,111,226.5,276.66,211.89,302.72,3.44
heidi,numerical,2,112,228.0,274.52,213.89,295.72,3.84
heidi,numerical,2,113,229.5,272.75,216.89,292.72,2.04
heidi,numerical,2,114,231.0,271.33,219.89,286.72,1.43
heidi,numerical,2,115,232.5,270.23,222.89,283.72,0.12
heidi,numerical,2,116,234.0,269.38,224.89,277.72,0.85
heidi,numerical,2,117,235.5,268.75,227.89,273.72,0.6
heidi,numerical,2,118,237.0,268.25,228.89,267.72,4.16
heidi,numerical,2,119,238.5,267.81,234.89,267.72,1.19
heidi,numerical,2,120,240.0,267.35,239.89,266.72,0.63
heidi,numerical,2,121,241.5,266.78,245.89,261.72,1.2
heidi,numerical,2,122,243.0,266.01,248.89,257.72,0.74
heidi,numerical,2,123,244.5,264.96,248.89,251.72,3.12
heidi,numerical,2,124,246.0,263.52,253.89,244.72,0.47
heidi,numerical,2,125,247.5,261.62,253.89,238.72,1.98
heidi,numerical,2,126,249.0,259.18,254.89,233.72,2.14
heidi,numerical,2,127,250.5,256.1,257.89,226.72,0.61
heidi,numerical,2,128,252.0,252.34,259.89,220.72,0.24
heidi,numerical,2,129,253.5,247.83,259.89,213.72,0.95
heidi,numerical,2,130,255.0,242.52,259.89,206.72,2.06
heidi,numerical,2,131,256.5,236.39,259.89,200.72,2.97
heidi,numerical,2,132,258.0,229.4,261.89,195.72,1.71
heidi,numerical,2,133,259.5,221.57,265.89,192.72,1.82
heidi,numerical,2,134,261.0,212.88,266.89,186.72,2.0
heidi,numerical,2,135,262.5,203.38,266.89,179.72,1.08
heidi,numerical,2,136,264.0,193.09,266.89,172.72,0.18
heidi,numerical,2,137,265.5,182.08,266.89,166.72,0.56
heidi,numerical,2,138,267.0,170.41,268.89,161.72,0.82
heidi,numerical,2,139,268.5,158.17,268.89,154.72,0.02
heidi,numerical,2,140,270.0,145.45,269.89,148.72,0.27
heidi,numerical,2,141,271.5,132.35,270.89,142.72,0.57
heidi,numerical,2,142,273.0,119.01,270.89,137.72,0.0
heidi,numerical,2,143,274.5,105.55,270.89,130.72,0.79
