participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
heidi,spatial-color,3,0,60.0,336.46,56.89,334.72,3.49
heidi,spatial-color,3,1,61.5,331.7,60.89,330.72,0.86
heidi,spatial-color,3,2,63.0,326.48,62.89,326.72,0.04
heidi,spatial-color,3,3,64.5,320.91,64.89,320.72,0.33
heidi,spatial-color,3,4,66.0,315.1,64.89,313.72,1.42
heidi,spatial-color,3,5,67.5,309.16,64.89,306.72,3.13
heidi,spatial-color,3,6,69.0,303.19,68.89,306.72,0.75
heidi,spatial-color,3,7,70.5,297.29,67.89,302.72,1.19
heidi,spatial-color,3,8,72.0,291.54,69.89,297.72,0.49
heidi,spatial-color,3,9,73.5,286.02,70.89,292.72,0.78
heidi,spatial-color,3,10,75.0,280.79,71.89,287.72,1.11
heidi,spatial-color,3,11,76.5,275.91,74.89,282.72,0.43
heidi,spatial-color,3,12,78.0,271.41,74.89,275.72,1.59
heidi,spatial-color,3,13,79.5,267.32,76.89,270.72,1.28
heidi,spatial-color,3,14,81.0,263.66,78.89,266.72,0.79
heidi,spatial-color,3,15,82.5,260.42,80.89,261.72,0.92
heidi,spatial-color,3,16,84.0,257.59,82.89,257.72,0.92
heidi,spatial-color,3,17,85.5,255.15,85.89,252.72,1.09
heidi,spatial-color,3,18,87.0,253.04,88.89,248.72,1.44
heidi,spatial-color,3,19,88.5,251.22,92.89,243.72,2.42
heidi,spatial-color,3,20,90.0,249.64,98.89,238.72,1.17
heidi,spatial-color,3,21,91.5,248.21,102.89,234.72,0.34
heidi,spatial-color,3,22,93.0,246.86,104.89,230.72,0.57
heidi,spatial-color,3,23,94.5,245.52,105.89,224.72,0.53
heidi,spatial-color,3,24,96.0,244.09,105.89,217.72,2.5
heidi,spatial-color,3,25,97.5,242.49,108.89,213.72,0.61
heidi,spatial-color,3,26,99.0,240.63,110.89,208.72,0.21
heidi,spatial-color,3,27,100.5,238.42,111.89,202.72,0.05
heidi,spatial-color,3,28,102.0,235.79,112.89,197.72,0.04
heidi,spatial-color,3,29,103.5,232.64,113.89,190.72,0.33
heidi,spatial-color,3,30,105.0,228.93,113.89,184.72,1.34
heidi,spatial-color,3,31,106.5,224.58,114.89,179.72,1.16
heidi,spatial-color,3,32,108.0,219.54,116.89,173.72,0.12
heidi,spatial-color,3,33,109.5,213.79,116.89,166.72,1.15
heidi,spatial-color,3,34,111.0,207.29,116.89,162.72,1.73
heidi,spatial-color,3,35,112.5,200.02,116.89,153.72,2.98
heidi,spatial-color,3,36,114.0,192.01,116.89,146.72,3.91
heidi,spatial-color,3,37,115.5,183.26,117.89,139.72,3.84
heidi,spatial-color,3,38,117.0,173.8,121.89,137.72,0.13
heidi,spatial-color,3,39,118.5,163.68,122.89,130.72,0.03
heidi,spatial-color,3,40,120.0,152.97,122.89,123.72,0.9
heidi,spatial-color,3,41,121.5,141.74,122.89,117.72,1.65
heidi,spatial-color,3,42,123.0,130.09,122.89,111.72,2.38
heidi,spatial-color,3,43,124.5,118.1,124.89,106.72,1.0
heidi,spatial-color,3,44,126.0,105.89,125.89,100.72,0.74
heidi,spatial-color,3,45,127.5,93.59,125.89,94.72,1.46
heidi,spatial-color,3,46,129.0,81.32,126.89,89.72,1.08
heidi,spatial-color,3,47,130.5,69.22,127.89,82.72,0.93
heidi,spatial-color,3,48,132.0,57.42,128.89,77.72,0.55
heidi,spatial-color,3,49,133.5,46.06,128.89,70.72,1.41
heidi,spatial-color,3,50,135.0,42.0,130.89,66.72,0.07
heidi,spatial-color,3,51,136.5,42.0,130.89,59.72,0.81
heidi,spatial-color,3,52,138.0,42.0,131.89,53.72,0.59
heidi,spatial-color,3,53,139.5,42.0,132.89,48.72,0.26
heidi,spatial-color,3,54,141.0,42.0,133.89,42.72,0.79
heidi,spatial-color,3,55,142.5,42.0,134.89,37.72,4.28
