participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
j chen,no-feedback,1,0,60.0,336.46,59.4,335.0,1.01
j chen,no-feedback,1,1,61.5,331.7,60.4,332.0,0.96
j chen,no-feedback,1,2,63.0,326.48,60.4,330.0,1.53
j chen,no-feedback,1,3,64.5,320.91,61.4,329.0,0.84
j chen,no-feedback,1,4,66.0,315.1,65.4,320.0,0.64
j chen,no-feedback,1,5,67.5,309.16,67.4,310.0,0.11
j chen,no-feedback,1,6,69.0,303.19,68.4,306.0,0.1
j chen,no-feedback,1,7,70.5,297.29,69.4,301.0,0.15
j chen,no-feedback,1,8,72.0,291.54,70.4,299.0,0.32
j chen,no-feedback,1,9,73.5,286.02,70.4,295.0,0.68
j chen,no-feedback,1,10,75.0,280.79,71.4,292.0,0.46
j chen,no-feedback,1,11,76.5,275.91,72.4,288.0,0.54
j chen,no-feedback,1,12,78.0,271.41,73.4,285.0,0.38
j chen,no-feedback,1,13,79.5,267.32,75.4,279.0,0.14
j chen,no-feedback,1,14,81.0,263.66,76.4,276.0,0.07
j chen,no-feedback,1,15,82.5,260.42,77.4,273.0,0.07
j chen,no-feedback,1,16,84.0,257.59,78.4,271.0,0.23
j chen,no-feedback,1,17,85.5,255.15,79.4,267.0,0.21
j chen,no-feedback,1,18,87.0,253.04,81.4,264.0,0.5
j chen,no-feedback,1,19,88.5,251.22,83.4,260.0,0.6
j chen,no-feedback,1,20,90.0,249.64,85.4,257.0,0.88
j chen,no-feedback,1,21,91.5,248.21,86.4,255.0,0.65
j chen,no-feedback,1,22,93.0,246.86,87.4,252.0,0.35
j chen,no-feedback,1,23,94.5,245.52,89.4,250.0,0.19
j chen,no-feedback,1,24,96.0,244.09,93.4,246.0,0.38
j chen,no-feedback,1,25,97.5,242.49,95.4,244.0,0.48
j chen,no-feedback,1,26,99.0,240.63,98.4,241.0,0.24
j chen,no-feedback,1,27,100.5,238.42,100.4,240.0,0.8
j chen,no-feedback,1,28,102.0,235.79,103.4,236.0,1.36
j chen,no-feedback,1,29,103.5,232.64,104.4,233.0,0.97
j chen,no-feedback,1,30,105.0,228.93,106.4,225.0,0.04
j chen,no-feedback,1,31,106.5,224.58,108.4,209.0,2.15
j chen,no-feedback,1,32,108.0,219.54,108.4,198.0,4.4
j chen,no-feedback,1,33,109.5,213.79,109.4,194.0,4.16
j chen,no-feedback,1,34,111.0,207.29,110.4,187.0,4.39
j chen,no-feedback,1,35,112.5,200.02,111.4,180.0,4.56
j chen,no-feedback,1,36,114.0,192.01,115.4,166.0,2.73
j chen,no-feedback,1,37,115.5,183.26,118.4,158.0,0.89
j chen,no-feedback,1,38,117.0,173.8,121.4,148.0,0.73
j chen,no-feedback,1,39,118.5,163.68,122.4,141.0,0.8
j chen,no-feedback,1,40,120.0,152.97,122.4,135.0,0.03
j chen,no-feedback,1,41,121.5,141.74,123.4,129.0,0.26
j chen,no-feedback,1,42,123.0,130.09,124.4,123.0,0.51
j chen,no-feedback,1,43,124.5,118.1,124.4,108.0,1.33
j chen,no-feedback,1,44,126.0,105.89,124.4,101.0,2.18
j chen,no-feedback,1,45,127.5,93.59,124.4,96.0,2.79
j chen,no-feedback,1,46,129.0,81.32,124.4,91.0,3.39
j chen,no-feedback,1,47,130.5,69.22,124.4,84.0,4.24
j chen,no-feedback,1,48,132.0,57.42,126.4,78.0,2.99
j chen,no-feedback,1,49,133.5,46.06,128.4,70.0,1.99
j chen,no-feedback,1,50,135.0,42.0,129.4,65.0,1.62
j chen,no-feedback,1,51,136.5,42.0,131.4,60.0,0.27
j chen,no-feedback,1,52,138.0,42.0,133.4,53.0,0.81
