participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
j chen,numerical,2,0,60.0,336.46,58.4,337.0,1.69
j chen,numerical,2,1,61.5,331.7,59.4,333.0,1.61
j chen,numerical,2,2,63.0,326.48,59.4,331.0,2.21
j chen,numerical,2,3,64.5,320.91,61.4,329.0,0.84
j chen,numerical,2,4,66.0,315.1,62.4,324.0,1.23
j chen,numerical,2,5,67.5,309.16,63.4,320.0,1.29
j chen,numerical,2,6,69.0,303.19,63.4,317.0,2.04
j chen,numerical,2,7,70.5,297.29,64.4,313.0,2.07
j chen,numerical,2,8,72.0,291.54,64.4,311.0,2.56
j chen,numerical,2,9,73.5,286.02,65.4,307.0,2.56
j chen,numerical,2,10,75.0,280.79,69.4,293.0,2.15
j chen,numerical,2,11,76.5,275.91,71.4,287.0,1.77
j chen,numerical,2,12,78.0,271.41,72.4,282.0,2.17
j chen,numerical,2,13,79.5,267.32,74.4,277.0,1.69
j chen,numerical,2,14,81.0,263.66,76.4,273.0,1.01
j chen,numerical,2,15,82.5,260.42,78.4,268.0,0.8
j chen,numerical,2,16,84.0,257.59,80.4,264.0,0.43
j chen,numerical,2,17,85.5,255.15,82.4,259.0,0.75
j chen,numerical,2,18,87.0,253.04,84.4,254.0,1.56
j chen,numerical,2,19,88.5,251.22,87.4,250.0,1.64
j chen,numerical,2,20,90.0,249.64,89.4,247.0,2.32
j chen,numerical,2,21,91.5,248.21,92.4,244.0,2.53
j chen,numerical,2,22,93.0,246.86,94.4,242.0,2.6
j chen,numerical,2,23,94.5,245.52,97.4,238.0,2.8
j chen,numerical,2,24,96.0,244.09,99.4,234.0,3.12
j chen,numerical,2,25,97.5,242.49,101.4,230.0,2.94
j chen,numerical,2,26,99.0,240.63,103.4,225.0,2.79
j chen,numerical,2,27,100.5,238.42,104.4,222.0,2.75
j chen,numerical,2,28,102.0,235.79,107.4,207.0,3.57
j chen,numerical,2,29,103.5,232.64,109.4,198.0,3.42
j chen,numerical,2,30,105.0,228.93,111.4,191.0,2.73
j chen,numerical,2,31,106.5,224.58,112.4,182.0,3.26
j chen,numerical,2,32,108.0,219.54,114.4,174.0,2.54
j chen,numerical,2,33,109.5,213.79,115.4,165.0,2.87
j chen,numerical,2,34,111.0,207.29,116.4,158.0,2.87
