participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
j chen,spatial-color,3,0,60.0,336.46,59.4,335.0,1.01
j chen,spatial-color,3,1,61.5,331.7,59.4,332.0,1.91
j chen,spatial-color,3,2,63.0,326.48,60.4,328.0,2.08
j chen,spatial-color,3,3,64.5,320.91,61.4,326.0,1.67
j chen,spatial-color,3,4,66.0,315.1,62.4,322.0,1.75
j chen,spatial-color,3,5,67.5,309.16,63.4,318.0,1.79
j chen,spatial-color,3,6,69.0,303.19,65.4,313.0,1.1
j chen,spatial-color,3,7,70.5,297.29,67.4,309.0,0.14
j chen,spatial-color,3,8,72.0,291.54,68.4,306.0,0.1
j chen,spatial-color,3,9,73.5,286.02,68.4,302.0,0.88
j chen,spatial-color,3,10,75.0,280.79,69.4,298.0,0.89
j chen,spatial-color,3,11,76.5,275.91,69.4,294.0,1.9
j chen,spatial-color,3,12,78.0,271.41,71.4,289.0,1.25
j chen,spatial-color,3,13,79.5,267.32,73.4,283.0,0.93
j chen,spatial-color,3,14,81.0,263.66,75.4,277.0,0.73
j chen,spatial-color,3,15,82.5,260.42,76.4,274.0,0.7
j chen,spatial-color,3,16,84.0,257.59,79.4,268.0,0.14
j chen,spatial-color,3,17,85.5,255.15,80.4,265.0,0.05
j chen,spatial-color,3,18,87.0,253.04,81.4,262.0,0.34
j chen,spatial-color,3,19,88.5,251.22,82.4,259.0,0.75
j chen,spatial-color,3,20,90.0,249.64,84.4,256.0,0.49
j chen,spatial-color,3,21,91.5,248.21,86.4,252.0,1.12
j chen,spatial-color,3,22,93.0,246.86,90.4,248.0,0.91
j chen,spatial-color,3,23,94.5,245.52,93.4,245.0,1.12
j chen,spatial-color,3,24,96.0,244.09,96.4,243.0,0.46
j chen,spatial-color,3,25,97.5,242.49,98.4,241.0,0.24
j chen,spatial-color,3,26,99.0,240.63,100.4,237.0,0.79
j chen,spatial-color,3,27,100.5,238.42,103.4,232.0,0.33
j chen,spatial-color,3,28,102.0,235.79,106.4,228.0,1.02
j chen,spatial-color,3,29,103.5,232.64,108.4,223.0,1.37
j chen,spatial-color,3,30,105.0,228.93,109.4,214.0,0.04
j chen,spatial-color,3,31,106.5,224.58,110.4,208.0,0.42
j chen,spatial-color,3,32,108.0,219.54,112.4,201.0,0.1
j chen,spatial-color,3,33,109.5,213.79,113.4,193.0,0.41
j chen,spatial-color,3,34,111.0,207.29,115.4,185.0,0.2
j chen,spatial-color,3,35,112.5,200.02,116.4,178.0,0.07
j chen,spatial-color,3,36,114.0,192.01,118.4,171.0,0.97
j chen,spatial-color,3,37,115.5,183.26,118.4,166.0,0.24
j chen,spatial-color,3,38,117.0,173.8,119.4,161.0,0.52
j chen,spatial-color,3,39,118.5,163.68,120.4,155.0,0.68
j chen,spatial-color,3,40,120.0,152.97,120.4,150.0,0.0
j chen,spatial-color,3,41,121.5,141.74,120.4,147.0,0.39
j chen,spatial-color,3,42,123.0,130.09,120.4,131.0,2.46
j chen,spatial-color,3,43,124.5,118.1,120.4,124.0,3.34
j chen,spatial-color,3,44,126.0,105.89,121.4,117.0,3.21
j chen,spatial-color,3,45,127.5,93.59,122.4,111.0,2.95
