participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
jadon t,numerical,3,0,60.0,336.46,56.89,339.72,4.5
jadon t,numerical,3,1,61.5,331.7,62.89,332.72,1.63
jadon t,numerical,3,2,63.0,326.48,68.89,325.72,5.49
jadon t,numerical,3,3,64.5,320.91,72.89,320.72,8.07
jadon t,numerical,3,4,66.0,315.1,68.89,317.72,3.45
jadon t,numerical,3,5,67.5,309.16,64.89,309.72,2.4
jadon t,numerical,3,6,69.0,303.19,64.89,303.72,3.86
jadon t,numerical,3,7,70.5,297.29,67.89,296.72,2.67
jadon t,numerical,3,8,72.0,291.54,69.89,291.72,2.0
jadon t,numerical,3,9,73.5,286.02,74.89,286.72,1.52
jadon t,numerical,3,10,75.0,280.79,78.89,280.72,3.7
jadon t,numerical,3,11,76.5,275.91,79.89,274.72,2.84
jadon t,numerical,3,12,78.0,271.41,81.89,267.72,2.36
jadon t,numerical,3,13,79.5,267.32,82.89,261.72,0.9
jadon t,numerical,3,14,81.0,263.66,85.89,256.72,1.15
jadon t,numerical,3,15,82.5,260.42,87.89,252.72,0.48
jadon t,numerical,3,16,84.0,257.59,90.89,247.72,0.78
jadon t,numerical,3,17,85.5,255.15,94.89,243.72,1.04
jadon t,numerical,3,18,87.0,253.04,98.89,239.72,0.6
jadon t,numerical,3,19,88.5,251.22,102.89,235.72,0.77
jadon t,numerical,3,20,90.0,249.64,105.89,231.72,1.87
jadon t,numerical,3,21,91.5,248.21,107.89,226.72,2.01
jadon t,numerical,3,22,93.0,246.86,107.89,219.72,0.06
jadon t,numerical,3,23,94.5,245.52,107.89,209.72,2.48
jadon t,numerical,3,24,96.0,244.09,108.89,203.72,2.79
jadon t,numerical,3,25,97.5,242.49,108.89,196.72,4.16
jadon t,numerical,3,26,99.0,240.63,110.89,189.72,3.45
jadon t,numerical,3,27,100.5,238.42,113.89,183.72,1.51
jadon t,numerical,3,28,102.0,235.79,116.89,177.72,0.5
jadon t,numerical,3,29,103.5,232.64,117.89,171.72,0.57
jadon t,numerical,3,30,105.0,228.93,117.89,164.72,0.45
jadon t,numerical,3,31,106.5,224.58,119.89,158.72,0.69
jadon t,numerical,3,32,108.0,219.54,119.89,150.72,0.41
jadon t,numerical,3,33,109.5,213.79,119.89,143.72,1.34
jadon t,numerical,3,34,111.0,207.29,119.89,137.72,2.11
jadon t,numerical,3,35,112.5,200.02,120.89,131.72,1.89
jadon t,numerical,3,36,114.0,192.01,122.89,123.72,0.9
jadon t,numerical,3,37,115.5,183.26,122.89,114.72,2.01
jadon t,numerical,3,38,117.0,173.8,124.89,109.72,0.64
jadon t,numerical,3,39,118.5,163.68,125.89,103.72,0.37
jadon t,numerical,3,40,120.0,152.97,125.89,96.72,1.22
jadon t,numerical,3,41,121.5,141.74,126.89,90.72,0.96
jadon t,numerical,3,42,123.0,130.09,128.89,85.72,0.42
jadon t,numerical,3,43,124.5,118.1,128.89,80.72,0.18
jadon t,numerical,3,44,126.0,105.89,128.89,72.72,1.17
jadon t,numerical,3,45,127.5,93.59,128.89,66.72,1.91
jadon t,numerical,3,46,129.0,81.32,128.89,59.72,2.8
jadon t,numerical,3,47,130.5,69.22,130.89,51.72,1.85
jadon t,numerical,3,48,132.0,57.42,131.89,44.72,1.98
jadon t,numerical,3,49,133.5,46.06,135.89,41.72,0.28
jadon t,numerical,3,50,135.0,42.0,139.89,38.72,3.28
jadon t,numerical,3,51,136.5,42.0,143.89,37.72,4.28
jadon t,numerical,3,52,138.0,42.0,150.89,37.72,4.28
jadon t,numerical,3,53,139.5,42.0,157.89,37.72,4.28
jadon t,numerical,3,54,141.0,42.0,160.89,42.72,0.17
jadon t,numerical,3,55,142.5,42.0,160.89,48.72,1.3
jadon t,numerical,3,56,144.0,42.0,160.89,54.72,1.97
jadon t,numerical,3,57,145.5,42.0,164.89,57.72,1.67
jadon t,numerical,3,58,147.0,42.0,167.89,62.72,4.11
jadon t,numerical,3,59,148.5,42.0,167.89,68.72,3.48
jadon t,numerical,3,60,150.0,42.0,167.89,76.72,2.65
jadon t,numerical,3,61,151.5,42.0,167.89,82.72,2.05
jadon t,numerical,3,62,153.0,42.0,167.89,88.72,1.45
jadon t,numerical,3,63,154.5,42.0,167.89,95.72,0.77
jadon t,numerical,3,64,156.0,42.0,167.89,101.72,0.2
jadon t,numerical,3,65,157.5,42.0,167.89,108.72,0.47
jadon t,numerical,3,66,159.0,42.0,167.89,114.72,1.03
jadon t,numerical,3,67,160.5,42.0,167.89,120.72,1.59
jadon t,numerical,3,68,162.0,47.02,168.89,126.72,1.14
jadon t,numerical,3,69,163.5,60.3,170.89,132.72,0.3
jadon t,numerical,3,70,165.0,74.47,170.89,137.72,0.16
jadon t,numerical,3,71,166.5,89.39,170.89,143.72,0.71
jadon t,numerical,3,72,168.0,104.91,170.89,149.72,1.25
jadon t,numerical,3,73,169.5,120.89,171.89,155.72,0.8
jadon t,numerical,3,74,171.0,137.17,171.89,161.72,1.35
jadon t,numerical,3,75,172.5,153.58,171.89,167.72,1.9
jadon t,numerical,3,76,174.0,169.97,172.89,172.72,1.36
jadon t,numerical,3,77,175.5,186.19,172.89,180.72,2.1
jadon t,numerical,3,78,177.0,202.09,173.89,186.72,1.65
jadon t,numerical,3,79,178.5,217.52,173.89,191.72,2.12
jadon t,numerical,3,80,180.0,232.35,175.89,196.72,0.6
jadon t,numerical,3,81,181.5,246.45,175.89,202.72,1.17
jadon t,numerical,3,82,183.0,259.72,176.89,208.72,0.75
jadon t,numerical,3,83,184.5,272.05,177.89,213.72,0.24
jadon t,numerical,3,84,186.0,283.37,177.89,219.72,0.83
jadon t,numerical,3,85,187.5,293.6,177.89,226.72,1.53
jadon t,numerical,3,86,189.0,302.7,177.89,232.72,2.14
jadon t,numerical,3,87,190.5,310.62,178.89,237.72,1.67
jadon t,numerical,3,88,192.0,317.35,179.89,242.72,1.21
jadon t,numerical,3,89,193.5,322.89,181.89,248.72,0.13
jadon t,numerical,3,90,195.0,327.24,181.89,254.72,0.54
jadon t,numerical,3,91,196.5,330.45,181.89,261.72,1.34
jadon t,numerical,3,92,198.0,332.55,182.89,267.72,1.08
jadon t,numerical,3,93,199.5,333.6,182.89,273.72,1.82
jadon t,numerical,3,94,201.0,333.68,182.89,281.72,2.87
jadon t,numerical,3,95,202.5,332.85,182.89,287.72,3.71
jadon t,numerical,3,96,204.0,331.22,182.89,293.72,4.58
jadon t,numerical,3,97,205.5,328.88,182.89,299.72,5.55
jadon t,numerical,3,98,207.0,325.93,186.89,302.72,2.09
jadon t,numerical,3,99,208.5,322.47,189.89,306.72,0.12
jadon t,numerical,3,100,210.0,318.62,190.89,312.72,0.08
jadon t,numerical,3,101,211.5,314.48,191.89,317.72,0.2
jadon t,numerical,3,102,213.0,310.15,193.89,321.72,0.68
jadon t,numerical,3,103,214.5,305.73,195.89,326.72,1.01
jadon t,numerical,3,104,216.0,301.33,196.89,330.72,0.16
jadon t,numerical,3,105,217.5,297.02,199.89,334.72,1.1
jadon t,numerical,3,106,219.0,292.88,201.89,332.72,0.41
jadon t,numerical,3,107,220.5,288.98,203.89,328.72,1.44
jadon t,numerical,3,108,222.0,285.37,207.89,323.72,0.06
jadon t,numerical,3,109,223.5,282.1,208.89,317.72,1.35
jadon t,numerical,3,110,225.0,279.19,210.89,313.72,0.83
jadon t,numerical,3,111,226.5,276.66,213.89,306.72,0.26
jadon t,numerical,3,112,228.0,274.52,217.89,297.72,0.6
jadon t,numerical,3,113,229.5,272.75,217.89,292.72,1.1
jadon t,numerical,3,114,231.0,271.33,220.89,287.72,0.12
jadon t,numerical,3,115,232.5,270.23,224.89,283.72,1.94
jadon t,numerical,3,116,234.0,269.38,225.89,279.72,1.03
jadon t,numerical,3,117,235.5,268.75,229.89,274.72,1.57
jadon t,numerical,3,118,237.0,268.25,233.89,270.72,1.11
jadon t,numerical,3,119,238.5,267.81,239.89,266.72,0.63
jadon t,numerical,3,120,240.0,267.35,245.89,263.72,0.06
jadon t,numerical,3,121,241.5,266.78,246.89,258.72,2.04
jadon t,numerical,3,122,243.0,266.01,249.89,252.72,1.82
jadon t,numerical,3,123,244.5,264.96,251.89,248.72,1.25
jadon t,numerical,3,124,246.0,263.52,253.89,243.72,0.74
jadon t,numerical,3,125,247.5,261.62,254.89,237.72,1.25
jadon t,numerical,3,126,249.0,259.18,255.89,232.72,1.37
jadon t,numerical,3,127,250.5,256.1,256.89,226.72,1.6
jadon t,numerical,3,128,252.0,252.34,258.89,222.72,0.38
jadon t,numerical,3,129,253.5,247.83,259.89,217.72,0.27
jadon t,numerical,3,130,255.0,242.52,259.89,209.72,1.59
jadon t,numerical,3,131,256.5,236.39,260.89,203.72,1.54
jadon t,numerical,3,132,258.0,229.4,262.89,196.72,0.58
jadon t,numerical,3,133,259.5,221.57,263.89,191.72,0.3
jadon t,numerical,3,134,261.0,212.88,263.89,185.72,1.11
jadon t,numerical,3,135,262.5,203.38,264.89,179.72,0.91
jadon t,numerical,3,136,264.0,193.09,265.89,173.72,0.68
jadon t,numerical,3,137,265.5,182.08,266.89,167.72,0.44
jadon t,numerical,3,138,267.0,170.41,267.89,161.72,0.17
jadon t,numerical,3,139,268.5,158.17,268.89,155.72,0.1
jadon t,numerical,3,140,270.0,145.45,268.89,149.72,0.6
