participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
jadon t,spatial-color,2,0,60.0,336.46,60.0,336.0,0.14
jadon t,spatial-color,2,1,61.5,331.7,60.0,330.0,1.91
jadon t,spatial-color,2,2,63.0,326.48,61.0,322.0,3.1
jadon t,spatial-color,2,3,64.5,320.91,62.0,318.0,3.15
jadon t,spatial-color,2,4,66.0,315.1,66.0,316.0,0.22
jadon t,spatial-color,2,5,67.5,309.16,68.0,312.0,1.18
jadon t,spatial-color,2,6,69.0,303.19,70.0,306.0,1.65
jadon t,spatial-color,2,7,70.5,297.29,72.0,299.0,1.87
jadon t,spatial-color,2,8,72.0,291.54,72.0,293.0,0.37
jadon t,spatial-color,2,9,73.5,286.02,76.0,282.0,1.3
jadon t,spatial-color,2,10,75.0,280.79,76.0,278.0,0.14
jadon t,spatial-color,2,11,76.5,275.91,80.0,272.0,2.08
jadon t,spatial-color,2,12,78.0,271.41,82.0,266.0,1.81
jadon t,spatial-color,2,13,79.5,267.32,84.0,260.0,1.13
jadon t,spatial-color,2,14,81.0,263.66,85.0,254.0,1.07
jadon t,spatial-color,2,15,82.5,260.42,87.0,248.0,3.3
jadon t,spatial-color,2,16,84.0,257.59,90.0,244.0,4.14
jadon t,spatial-color,2,17,85.5,255.15,96.0,240.0,2.73
jadon t,spatial-color,2,18,87.0,253.04,100.0,237.0,1.14
jadon t,spatial-color,2,19,88.5,251.22,104.0,234.0,1.04
jadon t,spatial-color,2,20,90.0,249.64,107.0,229.0,1.91
jadon t,spatial-color,2,21,91.5,248.21,108.0,225.0,1.56
jadon t,spatial-color,2,22,93.0,246.86,110.0,216.0,1.04
jadon t,spatial-color,2,23,94.5,245.52,113.0,206.0,1.7
jadon t,spatial-color,2,24,96.0,244.09,114.0,199.0,1.29
jadon t,spatial-color,2,25,97.5,242.49,114.0,194.0,0.37
jadon t,spatial-color,2,26,99.0,240.63,115.0,190.0,0.65
jadon t,spatial-color,2,27,100.5,238.42,116.0,185.0,0.79
jadon t,spatial-color,2,28,102.0,235.79,116.0,178.0,0.33
jadon t,spatial-color,2,29,103.5,232.64,118.0,172.0,0.73
jadon t,spatial-color,2,30,105.0,228.93,120.0,166.0,1.82
jadon t,spatial-color,2,31,106.5,224.58,120.0,158.0,0.7
jadon t,spatial-color,2,32,108.0,219.54,121.0,151.0,0.73
jadon t,spatial-color,2,33,109.5,213.79,121.0,146.0,0.07
jadon t,spatial-color,2,34,111.0,207.29,124.0,130.0,0.98
jadon t,spatial-color,2,35,112.5,200.02,124.0,121.0,0.14
jadon t,spatial-color,2,36,114.0,192.01,126.0,111.0,0.62
jadon t,spatial-color,2,37,115.5,183.26,126.0,103.0,0.35
jadon t,spatial-color,2,38,117.0,173.8,128.0,94.0,0.55
jadon t,spatial-color,2,39,118.5,163.68,128.0,88.0,0.18
jadon t,spatial-color,2,40,120.0,152.97,128.0,81.0,1.03
jadon t,spatial-color,2,41,121.5,141.74,130.0,73.0,0.03
jadon t,spatial-color,2,42,123.0,130.09,132.0,64.0,0.83
jadon t,spatial-color,2,43,124.5,118.1,133.0,56.0,0.81
jadon t,spatial-color,2,44,126.0,105.89,133.0,48.0,0.24
jadon t,spatial-color,2,45,127.5,93.59,133.0,42.0,1.88
jadon t,spatial-color,2,46,129.0,81.32,135.0,38.0,4.0
jadon t,spatial-color,2,47,130.5,69.22,140.0,40.0,2.0
jadon t,spatial-color,2,48,132.0,57.42,144.0,41.0,1.0
jadon t,spatial-color,2,49,133.5,46.06,149.0,41.0,1.0
jadon t,spatial-color,2,50,135.0,42.0,154.0,41.0,1.0
jadon t,spatial-color,2,51,136.5,42.0,159.0,41.0,1.0
jadon t,spatial-color,2,52,138.0,42.0,160.0,44.0,1.05
jadon t,spatial-color,2,53,139.5,42.0,162.0,50.0,0.33
jadon t,spatial-color,2,54,141.0,42.0,163.0,54.0,0.21
jadon t,spatial-color,2,55,142.5,42.0,164.0,60.0,0.53
jadon t,spatial-color,2,56,144.0,42.0,166.0,64.0,2.1
jadon t,spatial-color,2,57,145.5,42.0,166.0,69.0,1.57
jadon t,spatial-color,2,58,147.0,42.0,166.0,74.0,1.04
jadon t,spatial-color,2,59,148.5,42.0,166.0,80.0,0.44
jadon t,spatial-color,2,60,150.0,42.0,166.0,85.0,0.06
jadon t,spatial-color,2,61,151.5,42.0,166.0,90.0,0.56
jadon t,spatial-color,2,62,153.0,42.0,166.0,96.0,1.13
jadon t,spatial-color,2,63,154.5,42.0,167.0,101.0,0.62
jadon t,spatial-color,2,64,156.0,42.0,168.0,106.0,0.1
jadon t,spatial-color,2,65,157.5,42.0,169.0,112.0,0.33
jadon t,spatial-color,2,66,159.0,42.0,171.0,117.0,1.86
jadon t,spatial-color,2,67,160.5,42.0,171.0,123.0,1.3
jadon t,spatial-color,2,68,162.0,47.02,171.0,128.0,0.84
jadon t,spatial-color,2,69,163.5,60.3,172.0,134.0,1.29
jadon t,spatial-color,2,70,165.0,74.47,173.0,139.0,1.83
jadon t,spatial-color,2,71,166.5,89.39,173.0,148.0,1.01
jadon t,spatial-color,2,72,168.0,104.91,173.0,154.0,0.46
jadon t,spatial-color,2,73,169.5,120.89,173.0,160.0,0.09
jadon t,spatial-color,2,74,171.0,137.17,174.0,164.0,0.54
jadon t,spatial-color,2,75,172.5,153.58,174.0,169.0,0.09
jadon t,spatial-color,2,76,174.0,169.97,174.0,177.0,0.65
jadon t,spatial-color,2,77,175.5,186.19,174.0,184.0,1.29
jadon t,spatial-color,2,78,177.0,202.09,175.0,190.0,0.86
jadon t,spatial-color,2,79,178.5,217.52,176.0,196.0,0.42
jadon t,spatial-color,2,80,180.0,232.35,178.0,200.0,1.19
jadon t,spatial-color,2,81,181.5,246.45,178.0,206.0,0.62
jadon t,spatial-color,2,82,183.0,259.72,178.0,213.0,0.06
jadon t,spatial-color,2,83,184.5,272.05,178.0,220.0,0.75
jadon t,spatial-color,2,84,186.0,283.37,179.0,226.0,0.36
jadon t,spatial-color,2,85,187.5,293.6,180.0,232.0,0.03
jadon t,spatial-color,2,86,189.0,302.7,182.0,240.0,1.18
jadon t,spatial-color,2,87,190.5,310.62,182.0,247.0,0.44
jadon t,spatial-color,2,88,192.0,317.35,184.0,254.0,1.64
jadon t,spatial-color,2,89,193.5,322.89,184.0,261.0,0.84
jadon t,spatial-color,2,90,195.0,327.24,184.0,268.0,0.01
jadon t,spatial-color,2,91,196.5,330.45,184.0,275.0,0.88
jadon t,spatial-color,2,92,198.0,332.55,184.0,280.0,1.54
jadon t,spatial-color,2,93,199.5,333.6,186.0,288.0,0.67
jadon t,spatial-color,2,94,201.0,333.68,188.0,295.0,0.27
jadon t,spatial-color,2,95,202.5,332.85,191.0,302.0,2.09
jadon t,spatial-color,2,96,204.0,331.22,192.0,308.0,1.96
jadon t,spatial-color,2,97,205.5,328.88,192.0,316.0,0.29
jadon t,spatial-color,2,98,207.0,325.93,194.0,322.0,0.71
jadon t,spatial-color,2,99,208.5,322.47,196.0,328.0,0.58
jadon t,spatial-color,2,100,210.0,318.62,198.0,331.0,0.9
jadon t,spatial-color,2,101,211.5,314.48,201.0,334.0,0.32
jadon t,spatial-color,2,102,213.0,310.15,204.0,333.0,1.2
jadon t,spatial-color,2,103,214.5,305.73,206.0,330.0,1.02
jadon t,spatial-color,2,104,216.0,301.33,208.0,325.0,0.55
jadon t,spatial-color,2,105,217.5,297.02,210.0,320.0,0.5
jadon t,spatial-color,2,106,219.0,292.88,214.0,312.0,1.55
jadon t,spatial-color,2,107,220.5,288.98,216.0,306.0,1.51
jadon t,spatial-color,2,108,222.0,285.37,218.0,300.0,1.45
jadon t,spatial-color,2,109,223.5,282.1,220.0,295.0,1.66
jadon t,spatial-color,2,110,225.0,279.19,222.0,289.0,1.39
jadon t,spatial-color,2,111,226.5,276.66,226.0,284.0,3.07
jadon t,spatial-color,2,112,228.0,274.52,228.0,278.0,1.97
jadon t,spatial-color,2,113,229.5,272.75,231.0,274.0,1.94
jadon t,spatial-color,2,114,231.0,271.33,235.0,272.0,2.77
jadon t,spatial-color,2,115,232.5,270.23,241.0,269.0,1.9
jadon t,spatial-color,2,116,234.0,269.38,246.0,266.0,1.79
jadon t,spatial-color,2,117,235.5,268.75,248.0,264.0,1.86
jadon t,spatial-color,2,118,237.0,268.25,251.0,260.0,2.16
jadon t,spatial-color,2,119,238.5,267.81,252.0,255.0,0.98
jadon t,spatial-color,2,120,240.0,267.35,252.0,249.0,1.05
jadon t,spatial-color,2,121,241.5,266.78,255.0,247.0,1.22
jadon t,spatial-color,2,122,243.0,266.01,256.0,241.0,0.61
jadon t,spatial-color,2,123,244.5,264.96,257.0,235.0,0.2
jadon t,spatial-color,2,124,246.0,263.52,259.0,228.0,0.72
jadon t,spatial-color,2,125,247.5,261.62,260.0,222.0,0.57
jadon t,spatial-color,2,126,249.0,259.18,261.0,215.0,0.36
jadon t,spatial-color,2,127,250.5,256.1,263.0,206.0,0.9
jadon t,spatial-color,2,128,252.0,252.34,265.0,196.0,1.41
jadon t,spatial-color,2,129,253.5,247.83,266.0,189.0,1.43
jadon t,spatial-color,2,130,255.0,242.52,266.0,184.0,0.75
jadon t,spatial-color,2,131,256.5,236.39,266.0,180.0,0.23
jadon t,spatial-color,2,132,258.0,229.4,267.0,172.0,0.2
jadon t,spatial-color,2,133,259.5,221.57,267.0,166.0,0.54
jadon t,spatial-color,2,134,261.0,212.88,268.0,159.0,0.39
jadon t,spatial-color,2,135,262.5,203.38,269.0,150.0,0.46
jadon t,spatial-color,2,136,264.0,193.09,270.0,144.0,0.16
jadon t,spatial-color,2,137,265.5,182.08,270.0,138.0,0.85
jadon t,spatial-color,2,138,267.0,170.41,271.0,130.0,0.76
jadon t,spatial-color,2,139,268.5,158.17,272.0,124.0,0.44
jadon t,spatial-color,2,140,270.0,145.45,272.0,118.0,1.11
jadon t,spatial-color,2,141,271.5,132.35,274.0,110.0,0.0
jadon t,spatial-color,2,142,273.0,119.01,276.0,98.0,0.65
jadon t,spatial-color,2,143,274.5,105.55,278.0,89.0,1.64
jadon t,spatial-color,2,144,276.0,92.09,279.0,81.0,1.74
jadon t,spatial-color,2,145,277.5,78.79,279.0,75.0,1.06
jadon t,spatial-color,2,146,279.0,65.78,279.0,69.0,0.37
jadon t,spatial-color,2,147,280.5,53.21,279.0,63.0,0.33
jadon t,spatial-color,2,148,282.0,42.0,279.0,56.0,1.16
jadon t,spatial-color,2,149,283.5,42.0,278.0,50.0,2.9
jadon t,spatial-color,2,150,285.0,42.0,278.0,44.0,3.7
jadon t,spatial-color,2,151,286.5,42.0,280.0,43.0,1.85
jadon t,spatial-color,2,152,288.0,42.0,285.0,43.0,1.0
jadon t,spatial-color,2,153,289.5,42.0,291.0,43.0,1.0
jadon t,spatial-color,2,154,291.0,42.0,296.0,43.0,1.0
jadon t,spatial-color,2,155,292.5,42.0,300.0,42.0,0.0
jadon t,spatial-color,2,156,294.0,42.0,304.0,40.0,2.0
jadon t,spatial-color,2,157,295.5,42.0,309.0,40.0,2.0
jadon t,spatial-color,2,158,297.0,42.0,309.0,44.0,0.59
jadon t,spatial-color,2,159,298.5,42.0,310.0,49.0,0.74
jadon t,spatial-color,2,160,300.0,42.0,311.0,53.0,0.19
jadon t,spatial-color,2,161,301.5,42.0,311.0,60.0,0.97
jadon t,spatial-color,2,162,303.0,42.0,311.0,64.0,1.39
jadon t,spatial-color,2,163,304.5,42.0,311.0,70.0,2.03
jadon t,spatial-color,2,164,306.0,42.0,312.0,74.0,1.45
jadon t,spatial-color,2,165,307.5,42.0,314.0,80.0,0.07
jadon t,spatial-color,2,166,309.0,42.0,315.0,84.0,0.52
jadon t,spatial-color,2,167,310.5,46.82,316.0,90.0,0.92
jadon t,spatial-color,2,168,312.0,60.21,316.0,98.0,0.13
jadon t,spatial-color,2,169,313.5,74.37,316.0,104.0,0.45
jadon t,spatial-color,2,170,315.0,89.18,316.0,108.0,0.84
jadon t,spatial-color,2,171,316.5,104.47,317.0,116.0,0.6
jadon t,spatial-color,2,172,318.0,120.09,320.0,123.0,1.72
jadon t,spatial-color,2,173,319.5,135.88,320.0,129.0,1.15
jadon t,spatial-color,2,174,321.0,151.69,321.0,134.0,1.67
jadon t,spatial-color,2,175,322.5,167.38,321.0,140.0,1.1
jadon t,spatial-color,2,176,324.0,182.79,321.0,144.0,0.73
jadon t,spatial-color,2,177,325.5,197.78,321.0,150.0,0.16
jadon t,spatial-color,2,178,327.0,212.23,323.0,152.0,1.96
jadon t,spatial-color,2,179,328.5,226.01,321.0,162.0,0.98
jadon t,spatial-color,2,180,330.0,239.02,321.0,168.0,1.55
jadon t,spatial-color,2,181,331.5,251.17,321.0,174.0,2.13
