participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
katherine,no-feedback,1,0,60.0,336.46,59.89,334.72,0.63
katherine,no-feedback,1,1,61.5,331.7,62.89,326.72,0.04
katherine,no-feedback,1,2,63.0,326.48,62.89,320.72,1.61
katherine,no-feedback,1,3,64.5,320.91,64.89,315.72,0.92
katherine,no-feedback,1,4,66.0,315.1,64.89,309.72,2.4
katherine,no-feedback,1,5,67.5,309.16,64.89,302.72,4.1
katherine,no-feedback,1,6,69.0,303.19,65.89,297.72,4.36
katherine,no-feedback,1,7,70.5,297.29,68.89,292.72,2.71
katherine,no-feedback,1,8,72.0,291.54,72.89,287.72,0.14
katherine,no-feedback,1,9,73.5,286.02,73.89,282.72,0.54
katherine,no-feedback,1,10,75.0,280.79,75.89,277.72,0.05
katherine,no-feedback,1,11,76.5,275.91,76.89,271.72,0.96
katherine,no-feedback,1,12,78.0,271.41,78.89,266.72,0.79
katherine,no-feedback,1,13,79.5,267.32,80.89,262.72,0.5
katherine,no-feedback,1,14,81.0,263.66,83.89,257.72,0.04
katherine,no-feedback,1,15,82.5,260.42,87.89,253.72,1.12
katherine,no-feedback,1,16,84.0,257.59,90.89,249.72,0.67
katherine,no-feedback,1,17,85.5,255.15,93.89,246.72,0.49
katherine,no-feedback,1,18,87.0,253.04,96.89,241.72,0.96
katherine,no-feedback,1,19,88.5,251.22,98.89,237.72,1.73
katherine,no-feedback,1,20,90.0,249.64,101.89,232.72,1.42
katherine,no-feedback,1,21,91.5,248.21,102.89,226.72,2.72
katherine,no-feedback,1,22,93.0,246.86,105.89,222.72,1.12
katherine,no-feedback,1,23,94.5,245.52,107.89,217.72,0.57
katherine,no-feedback,1,24,96.0,244.09,109.89,212.72,0.14
katherine,no-feedback,1,25,97.5,242.49,111.89,206.72,0.76
katherine,no-feedback,1,26,99.0,240.63,113.89,200.72,1.5
katherine,no-feedback,1,27,100.5,238.42,113.89,193.72,0.21
katherine,no-feedback,1,28,102.0,235.79,114.89,188.72,0.32
katherine,no-feedback,1,29,103.5,232.64,116.89,182.72,1.29
katherine,no-feedback,1,30,105.0,228.93,116.89,175.72,0.19
katherine,no-feedback,1,31,106.5,224.58,116.89,170.72,0.56
katherine,no-feedback,1,32,108.0,219.54,117.89,163.72,0.6
katherine,no-feedback,1,33,109.5,213.79,118.89,157.72,0.44
katherine,no-feedback,1,34,111.0,207.29,118.89,151.72,1.27
katherine,no-feedback,1,35,112.5,200.02,119.89,146.72,0.94
katherine,no-feedback,1,36,114.0,192.01,121.89,139.72,0.13
katherine,no-feedback,1,37,115.5,183.26,122.89,132.72,0.23
katherine,no-feedback,1,38,117.0,173.8,122.89,126.72,0.53
katherine,no-feedback,1,39,118.5,163.68,123.89,121.72,0.16
katherine,no-feedback,1,40,120.0,152.97,124.89,114.72,0.03
katherine,no-feedback,1,41,121.5,141.74,125.89,109.72,0.36
katherine,no-feedback,1,42,123.0,130.09,125.89,102.72,0.49
katherine,no-feedback,1,43,124.5,118.1,125.89,95.72,1.34
katherine,no-feedback,1,44,126.0,105.89,125.89,89.72,2.07
katherine,no-feedback,1,45,127.5,93.59,125.89,82.72,2.92
katherine,no-feedback,1,46,129.0,81.32,127.89,75.72,1.79
katherine,no-feedback,1,47,130.5,69.22,128.89,69.72,1.54
katherine,no-feedback,1,48,132.0,57.42,129.89,60.72,1.68
katherine,no-feedback,1,49,133.5,46.06,129.89,52.72,2.71
katherine,no-feedback,1,50,135.0,42.0,129.89,44.72,3.85
katherine,no-feedback,1,51,136.5,42.0,129.89,37.72,6.67
katherine,no-feedback,1,52,138.0,42.0,130.89,31.72,11.07
katherine,no-feedback,1,53,139.5,42.0,130.89,33.72,9.24
katherine,no-feedback,1,54,141.0,42.0,136.89,34.72,7.28
katherine,no-feedback,1,55,142.5,42.0,141.89,36.72,5.28
katherine,no-feedback,1,56,144.0,42.0,148.89,37.72,4.28
katherine,no-feedback,1,57,145.5,42.0,154.89,37.72,4.28
katherine,no-feedback,1,58,147.0,42.0,155.89,44.72,2.72
katherine,no-feedback,1,59,148.5,42.0,159.89,46.72,1.94
katherine,no-feedback,1,60,150.0,42.0,161.89,53.72,0.86
katherine,no-feedback,1,61,151.5,42.0,162.89,58.72,0.43
katherine,no-feedback,1,62,153.0,42.0,165.89,63.72,2.02
