participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
katherine,numerical,1,0,60.0,336.46,58.89,334.72,1.58
katherine,numerical,1,1,61.5,331.7,62.89,330.72,1.06
katherine,numerical,1,2,63.0,326.48,62.89,326.72,0.04
katherine,numerical,1,3,64.5,320.91,62.89,320.72,1.61
katherine,numerical,1,4,66.0,315.1,64.89,314.72,1.17
katherine,numerical,1,5,67.5,309.16,66.89,309.72,0.46
katherine,numerical,1,6,69.0,303.19,68.89,303.72,0.02
katherine,numerical,1,7,70.5,297.29,71.89,295.72,0.95
katherine,numerical,1,8,72.0,291.54,70.89,289.72,1.55
katherine,numerical,1,9,73.5,286.02,72.89,283.72,1.22
katherine,numerical,1,10,75.0,280.79,73.89,277.72,1.96
katherine,numerical,1,11,76.5,275.91,76.89,272.72,0.64
katherine,numerical,1,12,78.0,271.41,79.89,266.72,0.13
katherine,numerical,1,13,79.5,267.32,82.89,261.72,0.9
katherine,numerical,1,14,81.0,263.66,85.89,255.72,0.63
katherine,numerical,1,15,82.5,260.42,88.89,252.72,1.25
katherine,numerical,1,16,84.0,257.59,92.89,247.72,0.56
katherine,numerical,1,17,85.5,255.15,94.89,243.72,1.04
katherine,numerical,1,18,87.0,253.04,96.89,237.72,3.38
katherine,numerical,1,19,88.5,251.22,99.89,233.72,2.8
katherine,numerical,1,20,90.0,249.64,102.89,228.72,2.04
katherine,numerical,1,21,91.5,248.21,106.89,223.72,0.13
katherine,numerical,1,22,93.0,246.86,109.89,218.72,1.62
katherine,numerical,1,23,94.5,245.52,110.89,212.72,1.11
katherine,numerical,1,24,96.0,244.09,112.89,207.72,1.94
katherine,numerical,1,25,97.5,242.49,113.89,200.72,1.5
katherine,numerical,1,26,99.0,240.63,114.89,194.72,1.37
katherine,numerical,1,27,100.5,238.42,116.89,189.72,2.46
katherine,numerical,1,28,102.0,235.79,116.89,183.72,1.45
katherine,numerical,1,29,103.5,232.64,116.89,175.72,0.19
katherine,numerical,1,30,105.0,228.93,116.89,169.72,0.71
katherine,numerical,1,31,106.5,224.58,117.89,162.72,0.74
katherine,numerical,1,32,108.0,219.54,117.89,155.72,1.71
katherine,numerical,1,33,109.5,213.79,117.89,149.72,2.52
katherine,numerical,1,34,111.0,207.29,117.89,142.72,3.45
katherine,numerical,1,35,112.5,200.02,120.89,137.72,1.12
katherine,numerical,1,36,114.0,192.01,122.89,132.72,0.23
katherine,numerical,1,37,115.5,183.26,122.89,126.72,0.53
katherine,numerical,1,38,117.0,173.8,122.89,119.72,1.4
katherine,numerical,1,39,118.5,163.68,125.89,113.72,0.84
katherine,numerical,1,40,120.0,152.97,125.89,106.72,0.01
katherine,numerical,1,41,121.5,141.74,125.89,99.72,0.86
katherine,numerical,1,42,123.0,130.09,126.89,92.72,0.71
katherine,numerical,1,43,124.5,118.1,127.89,86.72,0.45
katherine,numerical,1,44,126.0,105.89,128.89,81.72,0.06
katherine,numerical,1,45,127.5,93.59,130.89,77.72,1.43
katherine,numerical,1,46,129.0,81.32,130.89,70.72,0.57
katherine,numerical,1,47,130.5,69.22,131.89,64.72,0.81
katherine,numerical,1,48,132.0,57.42,132.89,59.72,1.17
katherine,numerical,1,49,133.5,46.06,132.89,52.72,0.27
katherine,numerical,1,50,135.0,42.0,132.89,46.72,0.52
katherine,numerical,1,51,136.5,42.0,132.89,37.72,4.77
katherine,numerical,1,52,138.0,42.0,132.89,38.72,3.9
katherine,numerical,1,53,139.5,42.0,138.89,40.72,1.28
katherine,numerical,1,54,141.0,42.0,143.89,41.72,0.28
katherine,numerical,1,55,142.5,42.0,150.89,41.72,0.28
katherine,numerical,1,56,144.0,42.0,156.89,42.72,0.72
katherine,numerical,1,57,145.5,42.0,159.89,46.72,1.94
katherine,numerical,1,58,147.0,42.0,159.89,53.72,2.85
katherine,numerical,1,59,148.5,42.0,160.89,58.72,2.42
katherine,numerical,1,60,150.0,42.0,162.89,65.72,1.18
katherine,numerical,1,61,151.5,42.0,162.89,72.72,1.92
katherine,numerical,1,62,153.0,42.0,162.89,78.72,2.53
katherine,numerical,1,63,154.5,42.0,164.89,86.72,1.34
katherine,numerical,1,64,156.0,42.0,165.89,92.72,0.93
katherine,numerical,1,65,157.5,42.0,165.89,98.72,1.51
katherine,numerical,1,66,159.0,42.0,165.89,105.72,2.18
katherine,numerical,1,67,160.5,42.0,165.89,111.72,2.74
katherine,numerical,1,68,162.0,47.02,167.89,116.72,1.21
katherine,numerical,1,69,163.5,60.3,168.89,122.72,0.78
katherine,numerical,1,70,165.0,74.47,168.89,129.72,1.42
katherine,numerical,1,71,166.5,89.39,169.89,134.72,0.88
katherine,numerical,1,72,168.0,104.91,169.89,140.72,1.43
katherine,numerical,1,73,169.5,120.89,169.89,147.72,2.07
katherine,numerical,1,74,171.0,137.17,170.89,155.72,1.8
katherine,numerical,1,75,172.5,153.58,172.89,162.72,0.45
katherine,numerical,1,76,174.0,169.97,173.89,167.72,0.09
katherine,numerical,1,77,175.5,186.19,173.89,174.72,0.55
katherine,numerical,1,78,177.0,202.09,173.89,180.72,1.1
katherine,numerical,1,79,178.5,217.52,174.89,187.72,0.75
katherine,numerical,1,80,180.0,232.35,175.89,194.72,0.41
katherine,numerical,1,81,181.5,246.45,175.89,200.72,0.98
katherine,numerical,1,82,183.0,259.72,175.89,207.72,1.65
katherine,numerical,1,83,184.5,272.05,175.89,215.72,2.42
katherine,numerical,1,84,186.0,283.37,176.89,220.72,1.93
katherine,numerical,1,85,187.5,293.6,177.89,227.72,1.63
katherine,numerical,1,86,189.0,302.7,179.89,234.72,0.36
katherine,numerical,1,87,190.5,310.62,179.89,240.72,1.0
katherine,numerical,1,88,192.0,317.35,179.89,247.72,1.74
katherine,numerical,1,89,193.5,322.89,179.89,254.72,2.53
katherine,numerical,1,90,195.0,327.24,179.89,262.72,3.45
katherine,numerical,1,91,196.5,330.45,181.89,266.72,1.95
katherine,numerical,1,92,198.0,332.55,182.89,273.72,1.82
katherine,numerical,1,93,199.5,333.6,183.89,277.72,1.35
katherine,numerical,1,94,201.0,333.68,185.89,283.72,0.16
katherine,numerical,1,95,202.5,332.85,186.89,289.72,0.04
katherine,numerical,1,96,204.0,331.22,186.89,295.72,0.95
katherine,numerical,1,97,205.5,328.88,186.89,302.72,2.09
katherine,numerical,1,98,207.0,325.93,188.89,309.72,1.42
katherine,numerical,1,99,208.5,322.47,190.89,314.72,0.51
katherine,numerical,1,100,210.0,318.62,192.89,318.72,0.5
katherine,numerical,1,101,211.5,314.48,194.89,324.72,0.72
katherine,numerical,1,102,213.0,310.15,195.89,331.72,1.24
katherine,numerical,1,103,214.5,305.73,196.89,336.72,4.05
katherine,numerical,1,104,216.0,301.33,202.89,335.72,2.7
katherine,numerical,1,105,217.5,297.02,204.89,330.72,0.48
katherine,numerical,1,106,219.0,292.88,205.89,326.72,0.63
katherine,numerical,1,107,220.5,288.98,207.89,320.72,1.21
katherine,numerical,1,108,222.0,285.37,208.89,313.72,2.71
katherine,numerical,1,109,223.5,282.1,210.89,308.72,2.46
katherine,numerical,1,110,225.0,279.19,212.89,303.72,2.17
katherine,numerical,1,111,226.5,276.66,215.89,299.72,0.63
katherine,numerical,1,112,228.0,274.52,218.89,294.72,0.52
katherine,numerical,1,113,229.5,272.75,220.89,289.72,0.63
katherine,numerical,1,114,231.0,271.33,222.89,283.72,0.12
katherine,numerical,1,115,232.5,270.23,225.89,277.72,0.01
katherine,numerical,1,116,234.0,269.38,228.89,273.72,0.16
katherine,numerical,1,117,235.5,268.75,230.89,269.72,1.36
katherine,numerical,1,118,237.0,268.25,233.89,266.72,2.5
