participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
katherine,spatial-color,4,0,60.0,336.46,59.89,334.72,0.63
katherine,spatial-color,4,1,61.5,331.7,59.89,328.72,2.37
katherine,spatial-color,4,2,63.0,326.48,63.89,323.72,0.14
katherine,spatial-color,4,3,64.5,320.91,63.89,317.72,1.39
katherine,spatial-color,4,4,66.0,315.1,67.89,312.72,1.25
katherine,spatial-color,4,5,67.5,309.16,68.89,306.72,0.75
katherine,spatial-color,4,6,69.0,303.19,69.89,300.72,0.25
katherine,spatial-color,4,7,70.5,297.29,71.89,294.72,0.69
katherine,spatial-color,4,8,72.0,291.54,72.89,289.72,0.38
katherine,spatial-color,4,9,73.5,286.02,73.89,281.72,0.81
katherine,spatial-color,4,10,75.0,280.79,76.89,276.72,0.61
katherine,spatial-color,4,11,76.5,275.91,76.89,271.72,0.96
katherine,spatial-color,4,12,78.0,271.41,78.89,266.72,0.79
katherine,spatial-color,4,13,79.5,267.32,81.89,261.72,0.01
katherine,spatial-color,4,14,81.0,263.66,83.89,256.72,0.55
katherine,spatial-color,4,15,82.5,260.42,87.89,252.72,0.48
katherine,spatial-color,4,16,84.0,257.59,89.89,246.72,2.19
katherine,spatial-color,4,17,85.5,255.15,94.89,245.72,0.41
katherine,spatial-color,4,18,87.0,253.04,98.89,240.72,0.03
katherine,spatial-color,4,19,88.5,251.22,99.89,235.72,1.87
katherine,spatial-color,4,20,90.0,249.64,102.89,231.72,0.91
katherine,spatial-color,4,21,91.5,248.21,105.89,226.72,0.12
katherine,spatial-color,4,22,93.0,246.86,106.89,219.72,1.01
katherine,spatial-color,4,23,94.5,245.52,108.89,214.72,0.36
katherine,spatial-color,4,24,96.0,244.09,110.89,208.72,0.21
katherine,spatial-color,4,25,97.5,242.49,110.89,201.72,1.23
katherine,spatial-color,4,26,99.0,240.63,112.89,195.72,0.41
katherine,spatial-color,4,27,100.5,238.42,113.89,188.72,0.66
katherine,spatial-color,4,28,102.0,235.79,113.89,181.72,1.83
katherine,spatial-color,4,29,103.5,232.64,114.89,174.72,1.94
katherine,spatial-color,4,30,105.0,228.93,116.89,170.72,0.56
katherine,spatial-color,4,31,106.5,224.58,119.89,165.72,1.67
katherine,spatial-color,4,32,108.0,219.54,119.89,159.72,0.83
katherine,spatial-color,4,33,109.5,213.79,119.89,152.72,0.14
katherine,spatial-color,4,34,111.0,207.29,120.89,146.72,0.05
katherine,spatial-color,4,35,112.5,200.02,121.89,141.72,0.38
katherine,spatial-color,4,36,114.0,192.01,122.89,134.72,0.48
katherine,spatial-color,4,37,115.5,183.26,122.89,129.72,0.16
katherine,spatial-color,4,38,117.0,173.8,124.89,123.72,1.08
katherine,spatial-color,4,39,118.5,163.68,124.89,117.72,0.34
katherine,spatial-color,4,40,120.0,152.97,125.89,111.72,0.6
katherine,spatial-color,4,41,121.5,141.74,125.89,106.72,0.01
katherine,spatial-color,4,42,123.0,130.09,126.89,99.72,0.13
katherine,spatial-color,4,43,124.5,118.1,126.89,91.72,0.83
katherine,spatial-color,4,44,126.0,105.89,127.89,84.72,0.69
katherine,spatial-color,4,45,127.5,93.59,129.89,79.72,0.68
katherine,spatial-color,4,46,129.0,81.32,130.89,73.72,0.94
katherine,spatial-color,4,47,130.5,69.22,130.89,66.72,0.07
katherine,spatial-color,4,48,132.0,57.42,130.89,60.72,0.69
katherine,spatial-color,4,49,133.5,46.06,131.89,54.72,0.46
katherine,spatial-color,4,50,135.0,42.0,132.89,48.72,0.26
katherine,spatial-color,4,51,136.5,42.0,132.89,41.72,2.08
katherine,spatial-color,4,52,138.0,42.0,132.89,38.72,3.9
katherine,spatial-color,4,53,139.5,42.0,136.89,41.72,0.28
katherine,spatial-color,4,54,141.0,42.0,143.89,41.72,0.28
katherine,spatial-color,4,55,142.5,42.0,150.89,40.72,1.28
katherine,spatial-color,4,56,144.0,42.0,156.89,40.72,1.28
katherine,spatial-color,4,57,145.5,42.0,159.89,45.72,1.65
katherine,spatial-color,4,58,147.0,42.0,162.89,49.72,0.58
katherine,spatial-color,4,59,148.5,42.0,162.89,55.72,0.09
katherine,spatial-color,4,60,150.0,42.0,163.89,60.72,0.34
katherine,spatial-color,4,61,151.5,42.0,165.89,66.72,1.7
katherine,spatial-color,4,62,153.0,42.0,165.89,73.72,0.96
katherine,spatial-color,4,63,154.5,42.0,165.89,80.72,0.26
katherine,spatial-color,4,64,156.0,42.0,165.89,86.72,0.34
katherine,spatial-color,4,65,157.5,42.0,165.89,93.72,1.02
katherine,spatial-color,4,66,159.0,42.0,166.89,100.72,0.7
katherine,spatial-color,4,67,160.5,42.0,167.89,105.72,0.19
katherine,spatial-color,4,68,162.0,47.02,167.89,112.72,0.84
katherine,spatial-color,4,69,163.5,60.3,167.89,118.72,1.4
katherine,spatial-color,4,70,165.0,74.47,167.89,125.72,2.05
katherine,spatial-color,4,71,166.5,89.39,167.89,132.72,2.69
katherine,spatial-color,4,72,168.0,104.91,169.89,136.72,1.07
katherine,spatial-color,4,73,169.5,120.89,170.89,142.72,0.62
katherine,spatial-color,4,74,171.0,137.17,170.89,149.72,1.25
katherine,spatial-color,4,75,172.5,153.58,170.89,155.72,1.8
katherine,spatial-color,4,76,174.0,169.97,171.89,160.72,1.26
katherine,spatial-color,4,77,175.5,186.19,172.89,166.72,0.81
katherine,spatial-color,4,78,177.0,202.09,172.89,173.72,1.45
katherine,spatial-color,4,79,178.5,217.52,172.89,180.72,2.1
katherine,spatial-color,4,80,180.0,232.35,173.89,187.72,1.75
katherine,spatial-color,4,81,181.5,246.45,174.89,193.72,1.32
katherine,spatial-color,4,82,183.0,259.72,174.89,200.72,1.97
katherine,spatial-color,4,83,184.5,272.05,174.89,206.72,2.55
katherine,spatial-color,4,84,186.0,283.37,174.89,213.72,3.23
katherine,spatial-color,4,85,187.5,293.6,174.89,220.72,3.91
katherine,spatial-color,4,86,189.0,302.7,174.89,226.72,4.52
katherine,spatial-color,4,87,190.5,310.62,176.89,232.72,3.13
katherine,spatial-color,4,88,192.0,317.35,179.89,237.72,0.68
katherine,spatial-color,4,89,193.5,322.89,180.89,242.72,0.21
katherine,spatial-color,4,90,195.0,327.24,183.89,248.72,2.12
katherine,spatial-color,4,91,196.5,330.45,183.89,254.72,1.44
katherine,spatial-color,4,92,198.0,332.55,183.89,260.72,0.76
