participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
lawrence,no-feedback,2,0,60.0,336.46,56.89,335.72,3.2
lawrence,no-feedback,2,1,61.5,331.7,57.89,330.72,3.74
lawrence,no-feedback,2,2,63.0,326.48,59.89,326.72,2.92
lawrence,no-feedback,2,3,64.5,320.91,61.89,323.72,1.79
lawrence,no-feedback,2,4,66.0,315.1,61.89,319.72,2.83
lawrence,no-feedback,2,5,67.5,309.16,62.89,315.72,2.86
lawrence,no-feedback,2,6,69.0,303.19,65.89,309.72,1.43
lawrence,no-feedback,2,7,70.5,297.29,67.89,304.72,0.71
lawrence,no-feedback,2,8,72.0,291.54,69.89,297.72,0.49
lawrence,no-feedback,2,9,73.5,286.02,71.89,290.72,0.32
lawrence,no-feedback,2,10,75.0,280.79,73.89,283.72,0.26
lawrence,no-feedback,2,11,76.5,275.91,74.89,279.72,0.42
lawrence,no-feedback,2,12,78.0,271.41,76.89,273.72,0.32
lawrence,no-feedback,2,13,79.5,267.32,76.89,268.72,1.97
lawrence,no-feedback,2,14,81.0,263.66,77.89,262.72,3.24
lawrence,no-feedback,2,15,82.5,260.42,79.89,259.72,2.66
lawrence,no-feedback,2,16,84.0,257.59,80.89,253.72,4.68
lawrence,no-feedback,2,17,85.5,255.15,82.89,250.72,4.69
lawrence,no-feedback,2,18,87.0,253.04,86.89,246.72,4.26
lawrence,no-feedback,2,19,88.5,251.22,89.89,244.72,3.67
lawrence,no-feedback,2,20,90.0,249.64,93.89,243.72,1.73
lawrence,no-feedback,2,21,91.5,248.21,98.89,240.72,0.03
lawrence,no-feedback,2,22,93.0,246.86,102.89,238.72,2.22
lawrence,no-feedback,2,23,94.5,245.52,104.89,237.72,3.47
lawrence,no-feedback,2,24,96.0,244.09,106.89,233.72,3.54
lawrence,no-feedback,2,25,97.5,242.49,108.89,229.72,3.93
lawrence,no-feedback,2,26,99.0,240.63,108.89,224.72,2.33
lawrence,no-feedback,2,27,100.5,238.42,108.89,221.72,1.47
lawrence,no-feedback,2,28,102.0,235.79,109.89,215.72,0.86
lawrence,no-feedback,2,29,103.5,232.64,109.89,209.72,0.54
lawrence,no-feedback,2,30,105.0,228.93,110.89,202.72,1.03
lawrence,no-feedback,2,31,106.5,224.58,110.89,197.72,2.01
lawrence,no-feedback,2,32,108.0,219.54,111.89,188.72,2.64
lawrence,no-feedback,2,33,109.5,213.79,112.89,177.72,3.45
lawrence,no-feedback,2,34,111.0,207.29,113.89,170.72,3.53
lawrence,no-feedback,2,35,112.5,200.02,113.89,165.72,4.26
lawrence,no-feedback,2,36,114.0,192.01,114.89,156.72,4.54
lawrence,no-feedback,2,37,115.5,183.26,115.89,146.72,4.9
lawrence,no-feedback,2,38,117.0,173.8,115.89,138.72,5.95
lawrence,no-feedback,2,39,118.5,163.68,115.89,132.72,6.72
lawrence,no-feedback,2,40,120.0,152.97,116.89,128.72,6.23
lawrence,no-feedback,2,41,121.5,141.74,118.89,120.72,5.24
lawrence,no-feedback,2,42,123.0,130.09,119.89,112.72,5.23
lawrence,no-feedback,2,43,124.5,118.1,122.89,103.72,3.35
lawrence,no-feedback,2,44,126.0,105.89,124.89,94.72,2.46
lawrence,no-feedback,2,45,127.5,93.59,126.89,84.72,1.68
lawrence,no-feedback,2,46,129.0,81.32,128.89,74.72,0.92
lawrence,no-feedback,2,47,130.5,69.22,128.89,69.72,1.54
lawrence,no-feedback,2,48,132.0,57.42,129.89,60.72,1.68
lawrence,no-feedback,2,49,133.5,46.06,130.89,53.72,1.59
lawrence,no-feedback,2,50,135.0,42.0,130.89,49.72,2.11
lawrence,no-feedback,2,51,136.5,42.0,130.89,46.72,2.5
lawrence,no-feedback,2,52,138.0,42.0,132.89,43.72,1.38
lawrence,no-feedback,2,53,139.5,42.0,138.89,43.72,1.72
lawrence,no-feedback,2,54,141.0,42.0,142.89,43.72,1.72
lawrence,no-feedback,2,55,142.5,42.0,145.89,43.72,1.72
lawrence,no-feedback,2,56,144.0,42.0,150.89,43.72,1.72
