participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
lawrence,numerical,4,0,60.0,336.46,57.89,335.72,2.24
lawrence,numerical,4,1,61.5,331.7,59.89,332.72,1.23
lawrence,numerical,4,2,63.0,326.48,59.89,330.72,1.82
lawrence,numerical,4,3,64.5,320.91,60.89,326.72,1.96
lawrence,numerical,4,4,66.0,315.1,62.89,323.72,0.83
lawrence,numerical,4,5,67.5,309.16,63.89,321.72,0.38
lawrence,numerical,4,6,69.0,303.19,65.89,316.72,0.3
lawrence,numerical,4,7,70.5,297.29,66.89,312.72,0.28
lawrence,numerical,4,8,72.0,291.54,68.89,309.72,1.48
lawrence,numerical,4,9,73.5,286.02,68.89,303.72,0.02
lawrence,numerical,4,10,75.0,280.79,69.89,299.72,0.01
lawrence,numerical,4,11,76.5,275.91,70.89,295.72,0.02
lawrence,numerical,4,12,78.0,271.41,71.89,294.72,0.69
lawrence,numerical,4,13,79.5,267.32,73.89,289.72,1.35
lawrence,numerical,4,14,81.0,263.66,73.89,285.72,0.29
lawrence,numerical,4,15,82.5,260.42,75.89,281.72,1.11
lawrence,numerical,4,16,84.0,257.59,76.89,277.72,0.9
lawrence,numerical,4,17,85.5,255.15,78.89,272.72,1.26
lawrence,numerical,4,18,87.0,253.04,79.89,270.72,1.54
lawrence,numerical,4,19,88.5,251.22,81.89,266.72,1.98
lawrence,numerical,4,20,90.0,249.64,82.89,262.72,1.32
lawrence,numerical,4,21,91.5,248.21,83.89,261.72,1.81
lawrence,numerical,4,22,93.0,246.86,85.89,257.72,1.68
lawrence,numerical,4,23,94.5,245.52,89.89,252.72,2.02
lawrence,numerical,4,24,96.0,244.09,90.89,250.72,1.39
lawrence,numerical,4,25,97.5,242.49,94.89,248.72,2.64
lawrence,numerical,4,26,99.0,240.63,96.89,245.72,1.79
lawrence,numerical,4,27,100.5,238.42,99.89,243.72,2.63
lawrence,numerical,4,28,102.0,235.79,102.89,239.72,2.72
lawrence,numerical,4,29,103.5,232.64,104.89,235.72,2.58
lawrence,numerical,4,30,105.0,228.93,105.89,234.72,3.05
lawrence,numerical,4,31,106.5,224.58,108.89,230.72,4.28
lawrence,numerical,4,32,108.0,219.54,109.89,226.72,3.9
lawrence,numerical,4,33,109.5,213.79,110.89,223.72,3.96
lawrence,numerical,4,34,111.0,207.29,111.89,221.72,4.35
lawrence,numerical,4,35,112.5,200.02,112.89,214.72,3.51
lawrence,numerical,4,36,114.0,192.01,113.89,209.72,3.36
lawrence,numerical,4,37,115.5,183.26,113.89,203.72,2.11
lawrence,numerical,4,38,117.0,173.8,113.89,197.72,0.94
lawrence,numerical,4,39,118.5,163.68,113.89,191.72,0.16
lawrence,numerical,4,40,120.0,152.97,113.89,186.72,1.0
lawrence,numerical,4,41,121.5,141.74,113.89,178.72,2.3
lawrence,numerical,4,42,123.0,130.09,114.89,174.72,1.94
