participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
lawrence,spatial-color,5,0,60.0,336.46,59.89,335.72,0.33
lawrence,spatial-color,5,1,61.5,331.7,61.89,330.72,0.1
lawrence,spatial-color,5,2,63.0,326.48,62.89,324.72,0.57
lawrence,spatial-color,5,3,64.5,320.91,64.89,319.72,0.08
lawrence,spatial-color,5,4,66.0,315.1,65.89,315.72,0.05
lawrence,spatial-color,5,5,67.5,309.16,65.89,311.72,0.94
lawrence,spatial-color,5,6,69.0,303.19,67.89,308.72,0.27
lawrence,spatial-color,5,7,70.5,297.29,68.89,303.72,0.02
lawrence,spatial-color,5,8,72.0,291.54,69.89,299.72,0.01
lawrence,spatial-color,5,9,73.5,286.02,73.89,288.72,1.08
lawrence,spatial-color,5,10,75.0,280.79,73.89,282.72,0.54
lawrence,spatial-color,5,11,76.5,275.91,76.89,274.72,0.01
lawrence,spatial-color,5,12,78.0,271.41,79.89,270.72,1.54
lawrence,spatial-color,5,13,79.5,267.32,82.89,262.72,1.32
lawrence,spatial-color,5,14,81.0,263.66,84.89,257.72,0.82
lawrence,spatial-color,5,15,82.5,260.42,88.89,250.72,0.06
lawrence,spatial-color,5,16,84.0,257.59,94.89,245.72,0.41
lawrence,spatial-color,5,17,85.5,255.15,98.89,242.72,1.22
lawrence,spatial-color,5,18,87.0,253.04,102.89,237.72,1.73
lawrence,spatial-color,5,19,88.5,251.22,104.89,234.72,2.15
lawrence,spatial-color,5,20,90.0,249.64,107.89,230.72,3.35
lawrence,spatial-color,5,21,91.5,248.21,109.89,226.72,3.9
lawrence,spatial-color,5,22,93.0,246.86,110.89,222.72,3.68
lawrence,spatial-color,5,23,94.5,245.52,110.89,218.72,2.59
lawrence,spatial-color,5,24,96.0,244.09,110.89,206.72,0.22
lawrence,spatial-color,5,25,97.5,242.49,110.89,198.72,1.82
lawrence,spatial-color,5,26,99.0,240.63,111.89,191.72,2.13
lawrence,spatial-color,5,27,100.5,238.42,112.89,186.72,1.99
lawrence,spatial-color,5,28,102.0,235.79,113.89,179.72,2.14
lawrence,spatial-color,5,29,103.5,232.64,116.89,173.72,0.12
lawrence,spatial-color,5,30,105.0,228.93,116.89,170.72,0.56
lawrence,spatial-color,5,31,106.5,224.58,116.89,166.72,1.15
lawrence,spatial-color,5,32,108.0,219.54,116.89,158.72,2.28
lawrence,spatial-color,5,33,109.5,213.79,118.89,151.72,1.27
lawrence,spatial-color,5,34,111.0,207.29,119.89,146.72,0.94
lawrence,spatial-color,5,35,112.5,200.02,119.89,141.72,1.6
lawrence,spatial-color,5,36,114.0,192.01,120.89,137.72,1.12
lawrence,spatial-color,5,37,115.5,183.26,121.89,130.72,1.02
lawrence,spatial-color,5,38,117.0,173.8,121.89,123.72,1.89
lawrence,spatial-color,5,39,118.5,163.68,121.89,114.72,3.0
lawrence,spatial-color,5,40,120.0,152.97,121.89,110.72,3.49
lawrence,spatial-color,5,41,121.5,141.74,121.89,103.72,4.34
lawrence,spatial-color,5,42,123.0,130.09,121.89,99.72,4.83
lawrence,spatial-color,5,43,124.5,118.1,122.89,92.72,4.68
lawrence,spatial-color,5,44,126.0,105.89,125.89,86.72,2.43
lawrence,spatial-color,5,45,127.5,93.59,125.89,81.72,3.04
lawrence,spatial-color,5,46,129.0,81.32,128.89,74.72,0.92
lawrence,spatial-color,5,47,130.5,69.22,129.89,69.72,0.55
lawrence,spatial-color,5,48,132.0,57.42,130.89,61.72,0.56
lawrence,spatial-color,5,49,133.5,46.06,131.89,59.72,0.18
lawrence,spatial-color,5,50,135.0,42.0,132.89,54.72,0.53
lawrence,spatial-color,5,51,136.5,42.0,132.89,51.72,0.14
lawrence,spatial-color,5,52,138.0,42.0,133.89,46.72,0.47
lawrence,spatial-color,5,53,139.5,42.0,133.89,43.72,0.45
lawrence,spatial-color,5,54,141.0,42.0,136.89,40.72,1.28
lawrence,spatial-color,5,55,142.5,42.0,139.89,40.72,1.28
lawrence,spatial-color,5,56,144.0,42.0,142.89,42.72,0.72
lawrence,spatial-color,5,57,145.5,42.0,145.89,43.72,1.72
lawrence,spatial-color,5,58,147.0,42.0,149.89,43.72,1.72
lawrence,spatial-color,5,59,148.5,42.0,153.89,41.72,0.28
lawrence,spatial-color,5,60,150.0,42.0,156.89,40.72,1.28
lawrence,spatial-color,5,61,151.5,42.0,159.89,39.72,2.28
lawrence,spatial-color,5,62,153.0,42.0,159.89,42.72,0.72
lawrence,spatial-color,5,63,154.5,42.0,159.89,49.72,2.4
lawrence,spatial-color,5,64,156.0,42.0,159.89,54.72,2.96
lawrence,spatial-color,5,65,157.5,42.0,159.89,58.72,3.41
lawrence,spatial-color,5,66,159.0,42.0,160.89,69.72,3.59
lawrence,spatial-color,5,67,160.5,42.0,162.89,80.72,2.73
lawrence,spatial-color,5,68,162.0,47.02,163.89,90.72,2.73
lawrence,spatial-color,5,69,163.5,60.3,164.89,99.72,2.6
lawrence,spatial-color,5,70,165.0,74.47,165.89,103.72,1.99
lawrence,spatial-color,5,71,166.5,89.39,170.89,122.72,1.22
lawrence,spatial-color,5,72,168.0,104.91,175.89,142.72,4.36
lawrence,spatial-color,5,73,169.5,120.89,176.89,149.72,4.72
lawrence,spatial-color,5,74,171.0,137.17,177.89,168.72,3.99
lawrence,spatial-color,5,75,172.5,153.58,177.89,183.72,2.61
lawrence,spatial-color,5,76,174.0,169.97,177.89,195.72,1.48
lawrence,spatial-color,5,77,175.5,186.19,178.89,202.72,1.82
lawrence,spatial-color,5,78,177.0,202.09,182.89,217.72,4.35
lawrence,spatial-color,5,79,178.5,217.52,183.89,222.72,4.84
lawrence,spatial-color,5,80,180.0,232.35,183.89,229.72,4.13
lawrence,spatial-color,5,81,181.5,246.45,183.89,235.72,3.51
lawrence,spatial-color,5,82,183.0,259.72,183.89,243.72,2.66
lawrence,spatial-color,5,83,184.5,272.05,184.89,247.72,3.22
lawrence,spatial-color,5,84,186.0,283.37,185.89,254.72,3.43
lawrence,spatial-color,5,85,187.5,293.6,186.89,260.72,3.74
lawrence,spatial-color,5,86,189.0,302.7,188.89,265.72,5.12
lawrence,spatial-color,5,87,190.5,310.62,188.89,276.72,3.74
lawrence,spatial-color,5,88,192.0,317.35,188.89,282.72,2.95
lawrence,spatial-color,5,89,193.5,322.89,188.89,293.72,1.35
lawrence,spatial-color,5,90,195.0,327.24,188.89,297.72,0.7
lawrence,spatial-color,5,91,196.5,330.45,190.89,304.72,1.48
lawrence,spatial-color,5,92,198.0,332.55,190.89,309.72,0.55
lawrence,spatial-color,5,93,199.5,333.6,193.89,314.72,2.42
lawrence,spatial-color,5,94,201.0,333.68,194.89,318.72,2.43
lawrence,spatial-color,5,95,202.5,332.85,194.89,323.72,1.04
lawrence,spatial-color,5,96,204.0,331.22,195.89,326.72,1.01
lawrence,spatial-color,5,97,205.5,328.88,196.89,329.72,0.66
lawrence,spatial-color,5,98,207.0,325.93,198.89,331.72,1.19
lawrence,spatial-color,5,99,208.5,322.47,202.89,331.72,0.48
lawrence,spatial-color,5,100,210.0,318.62,205.89,327.72,0.18
lawrence,spatial-color,5,101,211.5,314.48,207.89,325.72,0.73
lawrence,spatial-color,5,102,213.0,310.15,207.89,321.72,0.84
lawrence,spatial-color,5,103,214.5,305.73,208.89,317.72,1.35
lawrence,spatial-color,5,104,216.0,301.33,209.89,313.72,1.77
lawrence,spatial-color,5,105,217.5,297.02,210.89,310.72,1.81
lawrence,spatial-color,5,106,219.0,292.88,211.89,306.72,2.16
lawrence,spatial-color,5,107,220.5,288.98,213.89,301.72,1.87
lawrence,spatial-color,5,108,222.0,285.37,216.89,295.72,1.02
lawrence,spatial-color,5,109,223.5,282.1,217.89,290.72,1.81
lawrence,spatial-color,5,110,225.0,279.19,220.89,286.72,0.51
lawrence,spatial-color,5,111,226.5,276.66,222.89,282.72,0.3
lawrence,spatial-color,5,112,228.0,274.52,225.89,278.72,0.52
lawrence,spatial-color,5,113,229.5,272.75,227.89,277.72,1.73
lawrence,spatial-color,5,114,231.0,271.33,230.89,273.72,1.66
lawrence,spatial-color,5,115,232.5,270.23,234.89,270.72,1.58
lawrence,spatial-color,5,116,234.0,269.38,238.89,266.72,0.93
lawrence,spatial-color,5,117,235.5,268.75,242.89,264.72,1.12
lawrence,spatial-color,5,118,237.0,268.25,243.89,262.72,2.04
lawrence,spatial-color,5,119,238.5,267.81,245.89,260.72,1.82
lawrence,spatial-color,5,120,240.0,267.35,248.89,257.72,0.74
lawrence,spatial-color,5,121,241.5,266.78,250.89,254.72,0.15
lawrence,spatial-color,5,122,243.0,266.01,250.89,251.72,1.25
lawrence,spatial-color,5,123,244.5,264.96,253.89,244.72,0.47
lawrence,spatial-color,5,124,246.0,263.52,254.89,240.72,0.54
lawrence,spatial-color,5,125,247.5,261.62,256.89,233.72,0.18
lawrence,spatial-color,5,126,249.0,259.18,258.89,229.72,0.94
lawrence,spatial-color,5,127,250.5,256.1,259.89,224.72,0.97
lawrence,spatial-color,5,128,252.0,252.34,260.89,221.72,1.39
lawrence,spatial-color,5,129,253.5,247.83,262.89,215.72,2.34
lawrence,spatial-color,5,130,255.0,242.52,263.89,208.72,2.2
lawrence,spatial-color,5,131,256.5,236.39,264.89,202.72,2.27
lawrence,spatial-color,5,132,258.0,229.4,265.89,195.72,2.25
lawrence,spatial-color,5,133,259.5,221.57,265.89,190.72,1.55
lawrence,spatial-color,5,134,261.0,212.88,265.89,184.72,0.74
lawrence,spatial-color,5,135,262.5,203.38,265.89,180.72,0.21
lawrence,spatial-color,5,136,264.0,193.09,268.89,175.72,2.55
lawrence,spatial-color,5,137,265.5,182.08,268.89,172.72,2.17
lawrence,spatial-color,5,138,267.0,170.41,270.89,166.72,3.41
lawrence,spatial-color,5,139,268.5,158.17,270.89,162.72,2.92
lawrence,spatial-color,5,140,270.0,145.45,270.89,157.72,2.32
lawrence,spatial-color,5,141,271.5,132.35,270.89,152.72,1.73
lawrence,spatial-color,5,142,273.0,119.01,270.89,146.72,1.03
lawrence,spatial-color,5,143,274.5,105.55,270.89,141.72,0.46
lawrence,spatial-color,5,144,276.0,92.09,270.89,135.72,0.22
lawrence,spatial-color,5,145,277.5,78.79,270.89,130.72,0.79
lawrence,spatial-color,5,146,279.0,65.78,270.89,122.72,1.68
lawrence,spatial-color,5,147,280.5,53.21,271.89,114.72,1.58
lawrence,spatial-color,5,148,282.0,42.0,272.89,108.72,1.25
lawrence,spatial-color,5,149,283.5,42.0,273.89,102.72,0.92
lawrence,spatial-color,5,150,285.0,42.0,273.89,97.72,1.47
lawrence,spatial-color,5,151,286.5,42.0,274.89,91.72,1.15
lawrence,spatial-color,5,152,288.0,42.0,275.89,86.72,0.71
lawrence,spatial-color,5,153,289.5,42.0,276.89,80.72,0.39
lawrence,spatial-color,5,154,291.0,42.0,276.89,77.72,0.73
lawrence,spatial-color,5,155,292.5,42.0,276.89,72.72,1.3
lawrence,spatial-color,5,156,294.0,42.0,276.89,68.72,1.76
lawrence,spatial-color,5,157,295.5,42.0,278.89,62.72,0.47
lawrence,spatial-color,5,158,297.0,42.0,279.89,54.72,0.43
lawrence,spatial-color,5,159,298.5,42.0,281.89,49.72,0.91
lawrence,spatial-color,5,160,300.0,42.0,283.89,43.72,1.72
lawrence,spatial-color,5,161,301.5,42.0,285.89,39.72,2.28
lawrence,spatial-color,5,162,303.0,42.0,287.89,34.72,7.28
lawrence,spatial-color,5,163,304.5,42.0,288.89,32.72,9.28
lawrence,spatial-color,5,164,306.0,42.0,292.89,33.72,8.28
lawrence,spatial-color,5,165,307.5,42.0,294.89,35.72,6.28
lawrence,spatial-color,5,166,309.0,42.0,296.89,37.72,4.28
lawrence,spatial-color,5,167,310.5,46.82,299.89,40.72,1.28
lawrence,spatial-color,5,168,312.0,60.21,301.89,43.72,1.72
lawrence,spatial-color,5,169,313.5,74.37,302.89,45.72,3.72
lawrence,spatial-color,5,170,315.0,89.18,307.89,55.72,3.59
lawrence,spatial-color,5,171,316.5,104.47,308.89,63.72,3.46
lawrence,spatial-color,5,172,318.0,120.09,310.89,72.72,2.42
lawrence,spatial-color,5,173,319.5,135.88,313.89,78.72,0.05
lawrence,spatial-color,5,174,321.0,151.69,314.89,85.72,0.24
lawrence,spatial-color,5,175,322.5,167.38,316.89,92.72,1.53
lawrence,spatial-color,5,176,324.0,182.79,316.89,98.72,0.95
lawrence,spatial-color,5,177,325.5,197.78,318.89,116.72,1.21
lawrence,spatial-color,5,178,327.0,212.23,318.89,123.72,0.54
lawrence,spatial-color,5,179,328.5,226.01,319.89,132.72,0.69
