participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
mani,no-feedback,2,0,60.0,336.46,59.0,335.2,1.33
mani,no-feedback,2,1,61.5,331.7,63.0,328.2,0.47
mani,no-feedback,2,2,63.0,326.48,64.0,324.2,0.37
mani,no-feedback,2,3,64.5,320.91,64.0,321.2,0.41
mani,no-feedback,2,4,66.0,315.1,65.0,319.2,0.06
mani,no-feedback,2,5,67.5,309.16,65.0,317.2,0.44
mani,no-feedback,2,6,69.0,303.19,66.0,313.2,0.47
mani,no-feedback,2,7,70.5,297.29,69.0,301.2,0.49
mani,no-feedback,2,8,72.0,291.54,70.0,294.2,1.26
mani,no-feedback,2,9,73.5,286.02,71.0,291.2,1.05
mani,no-feedback,2,10,75.0,280.79,71.0,286.2,2.36
mani,no-feedback,2,11,76.5,275.91,73.0,280.2,2.08
mani,no-feedback,2,12,78.0,271.41,75.0,273.2,2.28
mani,no-feedback,2,13,79.5,267.32,79.0,262.2,2.43
mani,no-feedback,2,14,81.0,263.66,83.0,256.2,1.58
mani,no-feedback,2,15,82.5,260.42,86.0,251.2,1.94
mani,no-feedback,2,16,84.0,257.59,91.0,247.2,1.08
mani,no-feedback,2,17,85.5,255.15,95.0,244.2,0.61
mani,no-feedback,2,18,87.0,253.04,98.0,241.2,0.42
mani,no-feedback,2,19,88.5,251.22,101.0,236.2,0.66
mani,no-feedback,2,20,90.0,249.64,105.0,224.2,1.54
mani,no-feedback,2,21,91.5,248.21,107.0,218.2,1.31
mani,no-feedback,2,22,93.0,246.86,109.0,213.2,0.62
mani,no-feedback,2,23,94.5,245.52,110.0,203.2,1.81
mani,no-feedback,2,24,96.0,244.09,111.0,197.2,1.99
mani,no-feedback,2,25,97.5,242.49,113.0,188.2,1.63
mani,no-feedback,2,26,99.0,240.63,115.0,180.2,0.97
mani,no-feedback,2,27,100.5,238.42,116.0,172.2,1.22
mani,no-feedback,2,28,102.0,235.79,117.0,165.2,1.26
mani,no-feedback,2,29,103.5,232.64,118.0,155.2,1.67
mani,no-feedback,2,30,105.0,228.93,119.0,137.2,3.06
mani,no-feedback,2,31,106.5,224.58,121.0,124.2,2.72
mani,no-feedback,2,32,108.0,219.54,124.0,115.2,0.85
mani,no-feedback,2,33,109.5,213.79,126.0,108.2,0.28
mani,no-feedback,2,34,111.0,207.29,126.0,106.2,0.04
mani,no-feedback,2,35,112.5,200.02,128.0,97.2,0.93
mani,no-feedback,2,36,114.0,192.01,129.0,89.2,0.96
mani,no-feedback,2,37,115.5,183.26,130.0,83.2,1.22
mani,no-feedback,2,38,117.0,173.8,130.0,74.2,0.12
mani,no-feedback,2,39,118.5,163.68,131.0,65.2,0.01
mani,no-feedback,2,40,120.0,152.97,131.0,60.2,0.64
mani,no-feedback,2,41,121.5,141.74,132.0,56.2,0.16
mani,no-feedback,2,42,123.0,130.09,134.0,51.2,1.17
mani,no-feedback,2,43,124.5,118.1,134.0,48.2,0.78
mani,no-feedback,2,44,126.0,105.89,134.0,45.2,0.17
mani,no-feedback,2,45,127.5,93.59,135.0,43.2,0.42
mani,no-feedback,2,46,129.0,81.32,136.0,42.2,0.2
mani,no-feedback,2,47,130.5,69.22,139.0,40.2,1.8
mani,no-feedback,2,48,132.0,57.42,140.0,40.2,1.8
mani,no-feedback,2,49,133.5,46.06,142.0,40.2,1.8
mani,no-feedback,2,50,135.0,42.0,147.0,40.2,1.8
mani,no-feedback,2,51,136.5,42.0,150.0,40.2,1.8
mani,no-feedback,2,52,138.0,42.0,153.0,41.2,0.8
mani,no-feedback,2,53,139.5,42.0,156.0,41.2,0.8
mani,no-feedback,2,54,141.0,42.0,158.0,42.2,0.2
mani,no-feedback,2,55,142.5,42.0,160.0,42.2,0.2
mani,no-feedback,2,56,144.0,42.0,161.0,47.2,1.01
mani,no-feedback,2,57,145.5,42.0,161.0,53.2,1.69
mani,no-feedback,2,58,147.0,42.0,162.0,57.2,1.14
mani,no-feedback,2,59,148.5,42.0,163.0,66.2,1.12
mani,no-feedback,2,60,150.0,42.0,164.0,70.2,0.55
mani,no-feedback,2,61,151.5,42.0,164.0,74.2,0.97
mani,no-feedback,2,62,153.0,42.0,165.0,81.2,0.67
mani,no-feedback,2,63,154.5,42.0,166.0,90.2,0.58
mani,no-feedback,2,64,156.0,42.0,168.0,99.2,0.55
mani,no-feedback,2,65,157.5,42.0,169.0,106.2,0.88
mani,no-feedback,2,66,159.0,42.0,170.0,118.2,0.75
mani,no-feedback,2,67,160.5,42.0,170.0,126.2,0.01
mani,no-feedback,2,68,162.0,47.02,172.0,133.2,1.36
mani,no-feedback,2,69,163.5,60.3,174.0,144.2,2.35
mani,no-feedback,2,70,165.0,74.47,174.0,151.2,1.71
mani,no-feedback,2,71,166.5,89.39,175.0,159.2,1.98
mani,no-feedback,2,72,168.0,104.91,175.0,177.2,0.33
mani,no-feedback,2,73,169.5,120.89,175.0,187.2,0.59
mani,no-feedback,2,74,171.0,137.17,175.0,191.2,0.97
mani,no-feedback,2,75,172.5,153.58,177.0,202.2,0.01
mani,no-feedback,2,76,174.0,169.97,178.0,208.2,0.4
mani,no-feedback,2,77,175.5,186.19,179.0,214.2,0.82
mani,no-feedback,2,78,177.0,202.09,179.0,221.2,0.13
mani,no-feedback,2,79,178.5,217.52,181.0,237.2,0.48
mani,no-feedback,2,80,180.0,232.35,182.0,245.2,0.63
mani,no-feedback,2,81,181.5,246.45,185.0,266.2,1.2
mani,no-feedback,2,82,183.0,259.72,187.0,287.2,0.43
mani,no-feedback,2,83,184.5,272.05,188.0,300.2,0.58
mani,no-feedback,2,84,186.0,283.37,189.0,307.2,0.84
mani,no-feedback,2,85,187.5,293.6,191.0,313.2,0.07
mani,no-feedback,2,86,189.0,302.7,194.0,320.2,1.18
mani,no-feedback,2,87,190.5,310.62,196.0,327.2,0.92
mani,no-feedback,2,88,192.0,317.35,197.0,331.2,0.03
mani,no-feedback,2,89,193.5,322.89,199.0,331.2,1.6
mani,no-feedback,2,90,195.0,327.24,203.0,332.2,0.08
mani,no-feedback,2,91,196.5,330.45,205.0,331.2,0.83
mani,no-feedback,2,92,198.0,332.55,207.0,328.2,1.03
mani,no-feedback,2,93,199.5,333.6,208.0,324.2,0.23
mani,no-feedback,2,94,201.0,333.68,210.0,319.2,0.21
mani,no-feedback,2,95,202.5,332.85,213.0,313.2,1.0
mani,no-feedback,2,96,204.0,331.22,216.0,306.2,1.57
mani,no-feedback,2,97,205.5,328.88,219.0,294.2,0.45
mani,no-feedback,2,98,207.0,325.93,222.0,284.2,0.49
mani,no-feedback,2,99,208.5,322.47,225.0,277.2,1.02
mani,no-feedback,2,100,210.0,318.62,228.0,272.2,1.5
mani,no-feedback,2,101,211.5,314.48,233.0,271.2,1.08
mani,no-feedback,2,102,213.0,310.15,238.0,265.2,2.64
mani,no-feedback,2,103,214.5,305.73,243.0,261.2,3.75
mani,no-feedback,2,104,216.0,301.33,246.0,259.2,2.55
mani,no-feedback,2,105,217.5,297.02,250.0,256.2,0.41
