participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
mani,no-feedback,1,0,60.0,336.46,58.4,337.0,1.69
mani,no-feedback,1,1,61.5,331.7,58.4,337.0,1.69
mani,no-feedback,1,2,63.0,326.48,58.4,337.0,1.69
mani,no-feedback,1,3,64.5,320.91,58.4,337.0,1.69
mani,no-feedback,1,4,66.0,315.1,58.4,337.0,1.69
mani,no-feedback,1,5,67.5,309.16,58.4,337.0,1.69
mani,no-feedback,1,6,69.0,303.19,58.4,337.0,1.69
mani,no-feedback,1,7,70.5,297.29,58.4,337.0,1.69
mani,no-feedback,1,8,72.0,291.54,58.4,337.0,1.69
mani,no-feedback,1,9,73.5,286.02,58.4,337.0,1.69
mani,no-feedback,1,10,75.0,280.79,58.4,337.0,1.69
mani,no-feedback,1,11,76.5,275.91,58.4,337.0,1.69
mani,no-feedback,1,12,78.0,271.41,58.4,337.0,1.69
mani,no-feedback,1,13,79.5,267.32,58.4,337.0,1.69
mani,no-feedback,1,14,81.0,263.66,58.4,337.0,1.69
mani,no-feedback,1,15,82.5,260.42,58.4,337.0,1.69
mani,no-feedback,1,16,84.0,257.59,58.4,337.0,1.69
mani,no-feedback,1,17,85.5,255.15,58.4,337.0,1.69
mani,no-feedback,1,18,87.0,253.04,63.4,329.0,1.08
mani,no-feedback,1,19,88.5,251.22,63.4,329.0,1.08
mani,no-feedback,1,20,90.0,249.64,63.4,329.0,1.08
mani,no-feedback,1,21,91.5,248.21,63.4,329.0,1.08
mani,no-feedback,1,22,93.0,246.86,63.4,329.0,1.08
mani,no-feedback,1,23,94.5,245.52,63.4,329.0,1.08
mani,no-feedback,1,24,96.0,244.09,63.4,329.0,1.08
mani,no-feedback,1,25,97.5,242.49,63.4,329.0,1.08
mani,no-feedback,1,26,99.0,240.63,63.4,329.0,1.08
mani,no-feedback,1,27,100.5,238.42,63.4,329.0,1.08
mani,no-feedback,1,28,102.0,235.79,63.4,329.0,1.08
mani,no-feedback,1,29,103.5,232.64,75.4,318.0,9.83
mani,no-feedback,1,30,105.0,228.93,75.4,318.0,9.83
mani,no-feedback,1,31,106.5,224.58,75.4,318.0,9.83
mani,no-feedback,1,32,108.0,219.54,75.4,318.0,9.83
mani,no-feedback,1,33,109.5,213.79,75.4,318.0,9.83
mani,no-feedback,1,34,111.0,207.29,75.4,318.0,9.83
mani,no-feedback,1,35,112.5,200.02,75.4,318.0,9.83
mani,no-feedback,1,36,114.0,192.01,75.4,318.0,9.83
mani,no-feedback,1,37,115.5,183.26,75.4,318.0,9.83
mani,no-feedback,1,38,117.0,173.8,75.4,318.0,9.83
mani,no-feedback,1,39,118.5,163.68,75.4,318.0,9.83
mani,no-feedback,1,40,120.0,152.97,100.4,296.0,28.58
mani,no-feedback,1,41,121.5,141.74,100.4,296.0,28.58
mani,no-feedback,1,42,123.0,130.09,100.4,296.0,28.58
mani,no-feedback,1,43,124.5,118.1,100.4,296.0,28.58
mani,no-feedback,1,44,126.0,105.89,100.4,296.0,28.58
mani,no-feedback,1,45,127.5,93.59,100.4,296.0,28.58
mani,no-feedback,1,46,129.0,81.32,100.4,296.0,28.58
mani,no-feedback,1,47,130.5,69.22,100.4,296.0,28.58
mani,no-feedback,1,48,132.0,57.42,100.4,296.0,28.58
