participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
mikeli,no-feedback,1,0,60.0,336.46,58.89,334.72,1.58
mikeli,no-feedback,1,1,61.5,331.7,62.89,330.72,1.06
mikeli,no-feedback,1,2,63.0,326.48,65.89,326.72,2.85
mikeli,no-feedback,1,3,64.5,320.91,67.89,317.72,2.48
mikeli,no-feedback,1,4,66.0,315.1,67.89,311.72,1.0
mikeli,no-feedback,1,5,67.5,309.16,67.89,304.72,0.71
mikeli,no-feedback,1,6,69.0,303.19,68.89,299.72,0.96
mikeli,no-feedback,1,7,70.5,297.29,70.89,289.72,1.55
mikeli,no-feedback,1,8,72.0,291.54,72.89,280.72,2.05
mikeli,no-feedback,1,9,73.5,286.02,74.89,274.72,1.9
mikeli,no-feedback,1,10,75.0,280.79,77.89,268.72,1.03
mikeli,no-feedback,1,11,76.5,275.91,81.89,261.72,0.01
mikeli,no-feedback,1,12,78.0,271.41,84.89,257.72,0.82
mikeli,no-feedback,1,13,79.5,267.32,86.89,252.72,0.29
mikeli,no-feedback,1,14,81.0,263.66,90.89,248.72,0.05
mikeli,no-feedback,1,15,82.5,260.42,94.89,243.72,1.04
mikeli,no-feedback,1,16,84.0,257.59,99.89,240.72,0.79
mikeli,no-feedback,1,17,85.5,255.15,101.89,235.72,0.13
mikeli,no-feedback,1,18,87.0,253.04,104.89,229.72,0.19
mikeli,no-feedback,1,19,88.5,251.22,105.89,224.72,0.53
mikeli,no-feedback,1,20,90.0,249.64,108.89,217.72,0.4
mikeli,no-feedback,1,21,91.5,248.21,110.89,211.72,0.89
mikeli,no-feedback,1,22,93.0,246.86,110.89,206.72,0.22
mikeli,no-feedback,1,23,94.5,245.52,111.89,200.72,0.46
mikeli,no-feedback,1,24,96.0,244.09,113.89,194.72,0.39
mikeli,no-feedback,1,25,97.5,242.49,114.89,186.72,0.02
mikeli,no-feedback,1,26,99.0,240.63,116.89,180.72,0.97
mikeli,no-feedback,1,27,100.5,238.42,116.89,173.72,0.12
mikeli,no-feedback,1,28,102.0,235.79,117.89,168.72,0.13
mikeli,no-feedback,1,29,103.5,232.64,119.89,161.72,1.1
mikeli,no-feedback,1,30,105.0,228.93,120.89,153.72,0.98
mikeli,no-feedback,1,31,106.5,224.58,121.89,148.72,1.31
mikeli,no-feedback,1,32,108.0,219.54,122.89,141.72,1.37
mikeli,no-feedback,1,33,109.5,213.79,122.89,135.72,0.61
mikeli,no-feedback,1,34,111.0,207.29,122.89,129.72,0.16
mikeli,no-feedback,1,35,112.5,200.02,122.89,123.72,0.9
mikeli,no-feedback,1,36,114.0,192.01,122.89,117.72,1.65
mikeli,no-feedback,1,37,115.5,183.26,123.89,110.72,1.51
mikeli,no-feedback,1,38,117.0,173.8,125.89,102.72,0.49
mikeli,no-feedback,1,39,118.5,163.68,126.89,97.72,0.11
mikeli,no-feedback,1,40,120.0,152.97,126.89,91.72,0.83
mikeli,no-feedback,1,41,121.5,141.74,127.89,84.72,0.69
mikeli,no-feedback,1,42,123.0,130.09,128.89,79.72,0.31
mikeli,no-feedback,1,43,124.5,118.1,129.89,72.72,0.18
mikeli,no-feedback,1,44,126.0,105.89,131.89,66.72,1.06
mikeli,no-feedback,1,45,127.5,93.59,133.89,60.72,2.29
mikeli,no-feedback,1,46,129.0,81.32,134.89,55.72,2.64
mikeli,no-feedback,1,47,130.5,69.22,134.89,49.72,1.86
mikeli,no-feedback,1,48,132.0,57.42,134.89,42.72,0.15
mikeli,no-feedback,1,49,133.5,46.06,138.89,40.72,1.28
mikeli,no-feedback,1,50,135.0,42.0,145.89,40.72,1.28
mikeli,no-feedback,1,51,136.5,42.0,150.89,40.72,1.28
mikeli,no-feedback,1,52,138.0,42.0,156.89,40.72,1.28
mikeli,no-feedback,1,53,139.5,42.0,160.89,43.72,0.12
