participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
mikeli,spatial-color,2,0,60.0,336.46,59.89,337.72,1.26
mikeli,spatial-color,2,1,61.5,331.7,61.89,330.72,0.1
mikeli,spatial-color,2,2,63.0,326.48,62.89,322.72,1.09
mikeli,spatial-color,2,3,64.5,320.91,65.89,316.72,0.3
mikeli,spatial-color,2,4,66.0,315.1,65.89,309.72,1.43
mikeli,spatial-color,2,5,67.5,309.16,66.89,303.72,1.92
mikeli,spatial-color,2,6,69.0,303.19,68.89,297.72,1.46
mikeli,spatial-color,2,7,70.5,297.29,69.89,291.72,2.0
mikeli,spatial-color,2,8,72.0,291.54,70.89,284.72,2.87
mikeli,spatial-color,2,9,73.5,286.02,73.89,280.72,1.09
mikeli,spatial-color,2,10,75.0,280.79,73.89,273.72,3.17
mikeli,spatial-color,2,11,76.5,275.91,76.89,268.72,1.97
mikeli,spatial-color,2,12,78.0,271.41,77.89,261.72,3.64
mikeli,spatial-color,2,13,79.5,267.32,79.89,256.72,4.04
mikeli,spatial-color,2,14,81.0,263.66,82.89,246.72,7.19
mikeli,spatial-color,2,15,82.5,260.42,85.89,240.72,9.32
mikeli,spatial-color,2,16,84.0,257.59,90.89,235.72,9.4
mikeli,spatial-color,2,17,85.5,255.15,95.89,230.72,7.7
mikeli,spatial-color,2,18,87.0,253.04,100.89,226.72,4.61
mikeli,spatial-color,2,19,88.5,251.22,105.89,222.72,1.12
mikeli,spatial-color,2,20,90.0,249.64,108.89,217.72,0.4
mikeli,spatial-color,2,21,91.5,248.21,109.89,209.72,0.54
mikeli,spatial-color,2,22,93.0,246.86,110.89,199.72,1.64
mikeli,spatial-color,2,23,94.5,245.52,111.89,193.72,1.76
mikeli,spatial-color,2,24,96.0,244.09,113.89,186.72,1.0
mikeli,spatial-color,2,25,97.5,242.49,113.89,179.72,2.14
mikeli,spatial-color,2,26,99.0,240.63,114.89,173.72,2.1
mikeli,spatial-color,2,27,100.5,238.42,116.89,168.72,0.85
mikeli,spatial-color,2,28,102.0,235.79,116.89,160.72,2.01
mikeli,spatial-color,2,29,103.5,232.64,118.89,153.72,1.0
mikeli,spatial-color,2,30,105.0,228.93,119.89,148.72,0.67
mikeli,spatial-color,2,31,106.5,224.58,120.89,141.72,0.61
mikeli,spatial-color,2,32,108.0,219.54,121.89,135.72,0.38
mikeli,spatial-color,2,33,109.5,213.79,121.89,129.72,1.15
mikeli,spatial-color,2,34,111.0,207.29,122.89,123.72,0.9
mikeli,spatial-color,2,35,112.5,200.02,123.89,117.72,0.65
mikeli,spatial-color,2,36,114.0,192.01,123.89,110.72,1.51
mikeli,spatial-color,2,37,115.5,183.26,124.89,102.72,1.49
mikeli,spatial-color,2,38,117.0,173.8,125.89,95.72,1.34
mikeli,spatial-color,2,39,118.5,163.68,125.89,88.72,2.19
mikeli,spatial-color,2,40,120.0,152.97,126.89,82.72,1.93
mikeli,spatial-color,2,41,121.5,141.74,127.89,73.72,2.04
mikeli,spatial-color,2,42,123.0,130.09,128.89,69.72,1.54
mikeli,spatial-color,2,43,124.5,118.1,129.89,63.72,1.3
mikeli,spatial-color,2,44,126.0,105.89,130.89,59.72,0.81
mikeli,spatial-color,2,45,127.5,93.59,133.89,52.72,1.26
mikeli,spatial-color,2,46,129.0,81.32,133.89,46.72,0.47
mikeli,spatial-color,2,47,130.5,69.22,133.89,41.72,1.14
mikeli,spatial-color,2,48,132.0,57.42,139.89,39.72,2.28
mikeli,spatial-color,2,49,133.5,46.06,143.89,40.72,1.28
mikeli,spatial-color,2,50,135.0,42.0,149.89,40.72,1.28
mikeli,spatial-color,2,51,136.5,42.0,154.89,40.72,1.28
mikeli,spatial-color,2,52,138.0,42.0,160.89,40.72,1.34
mikeli,spatial-color,2,53,139.5,42.0,162.89,44.72,1.51
mikeli,spatial-color,2,54,141.0,42.0,163.89,51.72,1.35
mikeli,spatial-color,2,55,142.5,42.0,164.89,56.72,1.78
mikeli,spatial-color,2,56,144.0,42.0,164.89,63.72,1.02
mikeli,spatial-color,2,57,145.5,42.0,164.89,69.72,0.39
mikeli,spatial-color,2,58,147.0,42.0,164.89,75.72,0.24
mikeli,spatial-color,2,59,148.5,42.0,164.89,80.72,0.74
mikeli,spatial-color,2,60,150.0,42.0,164.89,89.72,1.64
mikeli,spatial-color,2,61,151.5,42.0,165.89,95.72,1.22
mikeli,spatial-color,2,62,153.0,42.0,165.89,102.72,1.89
mikeli,spatial-color,2,63,154.5,42.0,165.89,107.72,2.36
mikeli,spatial-color,2,64,156.0,42.0,165.89,114.72,3.02
mikeli,spatial-color,2,65,157.5,42.0,166.89,120.72,2.58
mikeli,spatial-color,2,66,159.0,42.0,167.89,126.72,2.14
mikeli,spatial-color,2,67,160.5,42.0,168.89,132.72,1.69
mikeli,spatial-color,2,68,162.0,47.02,169.89,136.72,1.07
mikeli,spatial-color,2,69,163.5,60.3,170.89,143.72,0.71
mikeli,spatial-color,2,70,165.0,74.47,171.89,147.72,0.08
mikeli,spatial-color,2,71,166.5,89.39,173.89,154.72,1.28
mikeli,spatial-color,2,72,168.0,104.91,174.89,159.72,1.82
mikeli,spatial-color,2,73,169.5,120.89,176.89,168.72,2.99
mikeli,spatial-color,2,74,171.0,137.17,176.89,177.72,2.16
mikeli,spatial-color,2,75,172.5,153.58,176.89,186.72,1.33
mikeli,spatial-color,2,76,174.0,169.97,176.89,192.72,0.77
mikeli,spatial-color,2,77,175.5,186.19,176.89,198.72,0.21
mikeli,spatial-color,2,78,177.0,202.09,176.89,204.72,0.37
mikeli,spatial-color,2,79,178.5,217.52,176.89,214.72,1.33
mikeli,spatial-color,2,80,180.0,232.35,176.89,220.72,1.93
mikeli,spatial-color,2,81,181.5,246.45,176.89,227.72,2.63
mikeli,spatial-color,2,82,183.0,259.72,176.89,233.72,3.24
mikeli,spatial-color,2,83,184.5,272.05,179.89,239.72,0.89
mikeli,spatial-color,2,84,186.0,283.37,180.89,244.72,0.42
mikeli,spatial-color,2,85,187.5,293.6,181.89,251.72,0.21
mikeli,spatial-color,2,86,189.0,302.7,181.89,256.72,0.77
mikeli,spatial-color,2,87,190.5,310.62,181.89,263.72,1.59
mikeli,spatial-color,2,88,192.0,317.35,182.89,269.72,1.32
mikeli,spatial-color,2,89,193.5,322.89,182.89,274.72,1.95
mikeli,spatial-color,2,90,195.0,327.24,182.89,280.72,2.74
mikeli,spatial-color,2,91,196.5,330.45,182.89,286.72,3.56
mikeli,spatial-color,2,92,198.0,332.55,185.89,291.72,1.32
mikeli,spatial-color,2,93,199.5,333.6,187.89,296.72,0.12
mikeli,spatial-color,2,94,201.0,333.68,189.89,303.72,0.68
mikeli,spatial-color,2,95,202.5,332.85,189.89,309.72,0.43
mikeli,spatial-color,2,96,204.0,331.22,190.89,315.72,0.73
mikeli,spatial-color,2,97,205.5,328.88,190.89,320.72,1.95
mikeli,spatial-color,2,98,207.0,325.93,190.89,327.72,4.04
mikeli,spatial-color,2,99,208.5,322.47,196.89,328.72,1.08
mikeli,spatial-color,2,100,210.0,318.62,203.89,328.72,1.44
mikeli,spatial-color,2,101,211.5,314.48,207.89,329.72,2.51
mikeli,spatial-color,2,102,213.0,310.15,208.89,324.72,1.25
mikeli,spatial-color,2,103,214.5,305.73,208.89,319.72,0.64
mikeli,spatial-color,2,104,216.0,301.33,212.89,312.72,0.74
mikeli,spatial-color,2,105,217.5,297.02,214.89,306.72,0.69
mikeli,spatial-color,2,106,219.0,292.88,216.89,300.72,0.64
mikeli,spatial-color,2,107,220.5,288.98,217.89,294.72,0.42
mikeli,spatial-color,2,108,222.0,285.37,218.89,289.72,1.24
mikeli,spatial-color,2,109,223.5,282.1,219.89,283.72,2.61
mikeli,spatial-color,2,110,225.0,279.19,222.89,278.72,2.09
mikeli,spatial-color,2,111,226.5,276.66,225.89,274.72,1.62
mikeli,spatial-color,2,112,228.0,274.52,228.89,271.72,1.17
mikeli,spatial-color,2,113,229.5,272.75,232.89,266.72,2.89
mikeli,spatial-color,2,114,231.0,271.33,236.89,263.72,4.38
mikeli,spatial-color,2,115,232.5,270.23,241.89,258.72,6.2
mikeli,spatial-color,2,116,234.0,269.38,245.89,255.72,4.31
mikeli,spatial-color,2,117,235.5,268.75,250.89,251.72,1.25
mikeli,spatial-color,2,118,237.0,268.25,253.89,248.72,0.65
mikeli,spatial-color,2,119,238.5,267.81,258.89,243.72,4.07
mikeli,spatial-color,2,120,240.0,267.35,259.89,237.72,3.61
mikeli,spatial-color,2,121,241.5,266.78,260.89,226.72,2.33
mikeli,spatial-color,2,122,243.0,266.01,261.89,221.72,2.38
mikeli,spatial-color,2,123,244.5,264.96,261.89,214.72,1.19
mikeli,spatial-color,2,124,246.0,263.52,261.89,209.72,0.38
mikeli,spatial-color,2,125,247.5,261.62,261.89,202.72,0.7
mikeli,spatial-color,2,126,249.0,259.18,262.89,197.72,0.43
mikeli,spatial-color,2,127,250.5,256.1,262.89,190.72,1.42
mikeli,spatial-color,2,128,252.0,252.34,262.89,183.72,2.37
mikeli,spatial-color,2,129,253.5,247.83,263.89,176.72,2.28
mikeli,spatial-color,2,130,255.0,242.52,264.89,171.72,1.93
