participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
pranav,numerical,6,0,60.0,336.46,60.0,335.2,0.38
pranav,numerical,6,1,61.5,331.7,61.0,332.2,0.33
pranav,numerical,6,2,63.0,326.48,62.0,330.2,0.07
pranav,numerical,6,3,64.5,320.91,62.0,329.2,0.21
pranav,numerical,6,4,66.0,315.1,62.0,327.2,0.76
pranav,numerical,6,5,67.5,309.16,63.0,325.2,0.33
pranav,numerical,6,6,69.0,303.19,64.0,323.2,0.11
pranav,numerical,6,7,70.5,297.29,64.0,321.2,0.41
pranav,numerical,6,8,72.0,291.54,65.0,318.2,0.19
pranav,numerical,6,9,73.5,286.02,66.0,315.2,0.02
pranav,numerical,6,10,75.0,280.79,66.0,312.2,0.71
pranav,numerical,6,11,76.5,275.91,66.0,308.2,1.69
pranav,numerical,6,12,78.0,271.41,66.0,305.2,2.42
pranav,numerical,6,13,79.5,267.32,66.0,303.2,2.91
pranav,numerical,6,14,81.0,263.66,67.0,301.2,2.43
pranav,numerical,6,15,82.5,260.42,68.0,299.2,1.95
pranav,numerical,6,16,84.0,257.59,69.0,296.2,1.73
pranav,numerical,6,17,85.5,255.15,70.0,293.2,1.52
pranav,numerical,6,18,87.0,253.04,71.0,291.2,1.05
pranav,numerical,6,19,88.5,251.22,71.0,289.2,1.58
pranav,numerical,6,20,90.0,249.64,72.0,286.2,1.4
pranav,numerical,6,21,91.5,248.21,73.0,283.2,1.26
pranav,numerical,6,22,93.0,246.86,74.0,281.2,0.85
pranav,numerical,6,23,94.5,245.52,74.0,278.2,1.72
pranav,numerical,6,24,96.0,244.09,76.0,273.2,1.33
pranav,numerical,6,25,97.5,242.49,77.0,270.2,1.36
pranav,numerical,6,26,99.0,240.63,78.0,268.2,1.11
pranav,numerical,6,27,100.5,238.42,79.0,264.2,1.65
pranav,numerical,6,28,102.0,235.79,82.0,259.2,1.01
pranav,numerical,6,29,103.5,232.64,83.0,258.2,0.6
pranav,numerical,6,30,105.0,228.93,83.0,257.2,1.07
pranav,numerical,6,31,106.5,224.58,84.0,255.2,1.25
pranav,numerical,6,32,108.0,219.54,85.0,253.2,1.54
pranav,numerical,6,33,109.5,213.79,87.0,251.2,1.17
pranav,numerical,6,34,111.0,207.29,89.0,248.2,1.73
pranav,numerical,6,35,112.5,200.02,91.0,246.2,1.83
pranav,numerical,6,36,114.0,192.01,93.0,244.2,1.99
pranav,numerical,6,37,115.5,183.26,95.0,242.2,2.02
pranav,numerical,6,38,117.0,173.8,97.0,241.2,1.2
pranav,numerical,6,39,118.5,163.68,99.0,238.2,1.37
pranav,numerical,6,40,120.0,152.97,101.0,236.2,0.66
pranav,numerical,6,41,121.5,141.74,102.0,234.2,0.68
pranav,numerical,6,42,123.0,130.09,102.0,233.2,1.11
pranav,numerical,6,43,124.5,118.1,102.0,230.2,2.31
pranav,numerical,6,44,126.0,105.89,104.0,227.2,1.51
pranav,numerical,6,45,127.5,93.59,105.0,225.2,1.22
pranav,numerical,6,46,129.0,81.32,106.0,223.2,0.87
pranav,numerical,6,47,130.5,69.22,107.0,221.2,0.49
pranav,numerical,6,48,132.0,57.42,108.0,218.2,0.34
pranav,numerical,6,49,133.5,46.06,108.0,215.2,1.1
pranav,numerical,6,50,135.0,42.0,109.0,211.2,1.07
pranav,numerical,6,51,136.5,42.0,109.0,207.2,1.97
pranav,numerical,6,52,138.0,42.0,111.0,201.2,1.23
pranav,numerical,6,53,139.5,42.0,112.0,194.2,1.56
pranav,numerical,6,54,141.0,42.0,112.0,189.2,2.45
pranav,numerical,6,55,142.5,42.0,112.0,183.2,3.46
pranav,numerical,6,56,144.0,42.0,113.0,177.2,3.42
pranav,numerical,6,57,145.5,42.0,114.0,172.2,3.2
pranav,numerical,6,58,147.0,42.0,116.0,164.2,2.4
pranav,numerical,6,59,148.5,42.0,118.0,159.2,1.12
pranav,numerical,6,60,150.0,42.0,119.0,145.2,2.02
pranav,numerical,6,61,151.5,42.0,123.0,129.2,0.11
pranav,numerical,6,62,153.0,42.0,125.0,123.2,1.13
pranav,numerical,6,63,154.5,42.0,125.0,118.2,0.51
pranav,numerical,6,64,156.0,42.0,125.0,111.2,0.35
pranav,numerical,6,65,157.5,42.0,125.0,105.2,1.08
pranav,numerical,6,66,159.0,42.0,126.0,98.2,0.93
pranav,numerical,6,67,160.5,42.0,127.0,90.2,0.91
pranav,numerical,6,68,162.0,47.02,128.0,78.2,1.38
pranav,numerical,6,69,163.5,60.3,129.0,72.2,1.12
pranav,numerical,6,70,165.0,74.47,130.0,63.2,1.26
pranav,numerical,6,71,166.5,89.39,133.0,53.2,0.44
pranav,numerical,6,72,168.0,104.91,133.0,49.2,0.08
pranav,numerical,6,73,169.5,120.89,134.0,46.2,0.51
pranav,numerical,6,74,171.0,137.17,136.0,41.2,0.8
pranav,numerical,6,75,172.5,153.58,142.0,39.2,2.8
pranav,numerical,6,76,174.0,169.97,147.0,39.2,2.8
pranav,numerical,6,77,175.5,186.19,156.0,39.2,2.8
pranav,numerical,6,78,177.0,202.09,158.0,42.2,0.2
pranav,numerical,6,79,178.5,217.52,160.0,44.2,1.11
pranav,numerical,6,80,180.0,232.35,162.0,50.2,0.36
pranav,numerical,6,81,181.5,246.45,162.0,62.2,1.69
pranav,numerical,6,82,183.0,259.72,164.0,72.2,0.76
pranav,numerical,6,83,184.5,272.05,166.0,86.2,0.18
pranav,numerical,6,84,186.0,283.37,168.0,100.2,0.45
pranav,numerical,6,85,187.5,293.6,169.0,107.2,0.78
pranav,numerical,6,86,189.0,302.7,169.0,113.2,0.22
pranav,numerical,6,87,190.5,310.62,169.0,119.2,0.34
pranav,numerical,6,88,192.0,317.35,170.0,130.2,0.36
pranav,numerical,6,89,193.5,322.89,172.0,139.2,0.81
pranav,numerical,6,90,195.0,327.24,173.0,148.2,0.99
pranav,numerical,6,91,196.5,330.45,173.0,154.2,0.44
pranav,numerical,6,92,198.0,332.55,176.0,165.2,2.43
pranav,numerical,6,93,199.5,333.6,176.0,173.2,1.69
pranav,numerical,6,94,201.0,333.68,176.0,183.2,0.77
pranav,numerical,6,95,202.5,332.85,178.0,194.2,1.74
pranav,numerical,6,96,204.0,331.22,178.0,206.2,0.6
pranav,numerical,6,97,205.5,328.88,179.0,216.2,0.63
pranav,numerical,6,98,207.0,325.93,179.0,223.2,0.07
pranav,numerical,6,99,208.5,322.47,180.0,231.2,0.12
pranav,numerical,6,100,210.0,318.62,182.0,242.2,0.95
pranav,numerical,6,101,211.5,314.48,184.0,253.2,1.73
pranav,numerical,6,102,213.0,310.15,186.0,262.2,2.68
pranav,numerical,6,103,214.5,305.73,187.0,272.2,2.46
pranav,numerical,6,104,216.0,301.33,188.0,283.2,2.0
pranav,numerical,6,105,217.5,297.02,188.0,288.2,1.28
pranav,numerical,6,106,219.0,292.88,189.0,296.2,1.06
pranav,numerical,6,107,220.5,288.98,190.0,304.2,0.7
pranav,numerical,6,108,222.0,285.37,192.0,310.2,1.55
pranav,numerical,6,109,223.5,282.1,194.0,317.2,1.97
pranav,numerical,6,110,225.0,279.19,195.0,321.2,1.89
pranav,numerical,6,111,226.5,276.66,198.0,329.2,1.89
pranav,numerical,6,112,228.0,274.52,199.0,331.2,1.6
pranav,numerical,6,113,229.5,272.75,202.0,333.2,0.06
pranav,numerical,6,114,231.0,271.33,203.0,333.2,0.6
pranav,numerical,6,115,232.5,270.23,205.0,330.2,0.29
pranav,numerical,6,116,234.0,269.38,206.0,325.2,1.21
pranav,numerical,6,117,235.5,268.75,207.0,320.2,2.22
pranav,numerical,6,118,237.0,268.25,209.0,314.2,2.44
pranav,numerical,6,119,238.5,267.81,211.0,307.2,2.84
pranav,numerical,6,120,240.0,267.35,214.0,299.2,2.59
pranav,numerical,6,121,241.5,266.78,218.0,292.2,1.18
pranav,numerical,6,122,243.0,266.01,223.0,285.2,0.84
pranav,numerical,6,123,244.5,264.96,224.0,281.2,0.03
pranav,numerical,6,124,246.0,263.52,227.0,277.2,0.7
pranav,numerical,6,125,247.5,261.62,230.0,274.2,1.32
pranav,numerical,6,126,249.0,259.18,234.0,270.2,0.71
pranav,numerical,6,127,250.5,256.1,239.0,267.2,0.44
pranav,numerical,6,128,252.0,252.34,242.0,265.2,1.18
pranav,numerical,6,129,253.5,247.83,246.0,259.2,2.55
pranav,numerical,6,130,255.0,242.52,248.0,256.2,2.2
pranav,numerical,6,131,256.5,236.39,249.0,253.2,2.47
pranav,numerical,6,132,258.0,229.4,252.0,249.2,0.99
pranav,numerical,6,133,259.5,221.57,255.0,243.2,0.18
pranav,numerical,6,134,261.0,212.88,257.0,238.2,0.92
pranav,numerical,6,135,262.5,203.38,258.0,232.2,0.59
pranav,numerical,6,136,264.0,193.09,260.0,226.2,1.36
pranav,numerical,6,137,265.5,182.08,261.0,219.2,1.08
pranav,numerical,6,138,267.0,170.41,263.0,212.2,1.87
pranav,numerical,6,139,268.5,158.17,263.0,206.2,0.93
pranav,numerical,6,140,270.0,145.45,263.0,199.2,0.11
pranav,numerical,6,141,271.5,132.35,264.0,193.2,0.02
pranav,numerical,6,142,273.0,119.01,264.0,187.2,0.8
pranav,numerical,6,143,274.5,105.55,265.0,180.2,0.74
pranav,numerical,6,144,276.0,92.09,269.0,162.2,0.99
pranav,numerical,6,145,277.5,78.79,270.0,155.2,1.14
pranav,numerical,6,146,279.0,65.78,270.0,150.2,0.56
pranav,numerical,6,147,280.5,53.21,272.0,143.2,1.73
pranav,numerical,6,148,282.0,42.0,273.0,137.2,2.04
pranav,numerical,6,149,283.5,42.0,273.0,129.2,1.14
pranav,numerical,6,150,285.0,42.0,274.0,119.2,1.01
pranav,numerical,6,151,286.5,42.0,275.0,112.2,1.23
pranav,numerical,6,152,288.0,42.0,275.0,107.2,0.68
pranav,numerical,6,153,289.5,42.0,276.0,95.2,0.34
pranav,numerical,6,154,291.0,42.0,277.0,87.2,0.45
pranav,numerical,6,155,292.5,42.0,277.0,81.2,0.23
pranav,numerical,6,156,294.0,42.0,278.0,73.2,0.14
pranav,numerical,6,157,295.5,42.0,280.0,61.2,0.45
pranav,numerical,6,158,297.0,42.0,280.0,54.2,0.38
pranav,numerical,6,159,298.5,42.0,281.0,48.2,0.17
pranav,numerical,6,160,300.0,42.0,282.0,44.2,0.29
pranav,numerical,6,161,301.5,42.0,284.0,43.2,1.2
pranav,numerical,6,162,303.0,42.0,285.0,42.2,0.2
pranav,numerical,6,163,304.5,42.0,290.0,41.2,0.8
pranav,numerical,6,164,306.0,42.0,296.0,40.2,1.8
pranav,numerical,6,165,307.5,42.0,301.0,40.2,1.8
pranav,numerical,6,166,309.0,42.0,304.0,40.2,1.8
pranav,numerical,6,167,310.5,46.82,308.0,43.2,1.2
pranav,numerical,6,168,312.0,60.21,310.0,44.2,0.3
pranav,numerical,6,169,313.5,74.37,310.0,47.2,0.54
pranav,numerical,6,170,315.0,89.18,314.0,60.2,1.99
pranav,numerical,6,171,316.5,104.47,314.0,65.2,1.46
pranav,numerical,6,172,318.0,120.09,315.0,76.2,1.31
pranav,numerical,6,173,319.5,135.88,315.0,87.2,0.2
pranav,numerical,6,174,321.0,151.69,316.0,98.2,0.11
pranav,numerical,6,175,322.5,167.38,317.0,109.2,0.05
pranav,numerical,6,176,324.0,182.79,319.0,120.2,0.98
pranav,numerical,6,177,325.5,197.78,319.0,134.2,0.34
pranav,numerical,6,178,327.0,212.23,320.0,147.2,0.57
pranav,numerical,6,179,328.5,226.01,320.0,150.2,0.85
pranav,numerical,6,180,330.0,239.02,320.0,162.2,2.0
pranav,numerical,6,181,331.5,251.17,320.0,169.2,2.66
pranav,numerical,6,182,333.0,262.37,321.0,177.2,2.44
pranav,numerical,6,183,334.5,272.57,322.0,184.2,2.13
pranav,numerical,6,184,336.0,281.7,325.0,197.2,0.44
pranav,numerical,6,185,337.5,289.76,327.0,209.2,0.31
pranav,numerical,6,186,339.0,296.7,327.0,214.2,0.21
pranav,numerical,6,187,340.5,302.55,327.0,222.2,1.08
pranav,numerical,6,188,342.0,307.31,330.0,236.2,0.32
pranav,numerical,6,189,343.5,311.02,331.0,246.2,0.11
pranav,numerical,6,190,345.0,313.71,333.0,254.2,1.08
pranav,numerical,6,191,346.5,315.46,334.0,258.2,1.54
pranav,numerical,6,192,348.0,316.32,334.0,263.2,0.87
pranav,numerical,6,193,349.5,316.38,335.0,270.2,0.84
pranav,numerical,6,194,351.0,315.72,337.0,279.2,1.39
pranav,numerical,6,195,352.5,314.45,338.0,285.2,1.33
pranav,numerical,6,196,354.0,312.65,338.0,291.2,0.18
pranav,numerical,6,197,355.5,310.43,339.0,298.2,0.37
pranav,numerical,6,198,357.0,307.89,340.0,303.2,0.67
pranav,numerical,6,199,358.5,305.13,343.0,309.2,0.22
pranav,numerical,6,200,360.0,302.25,345.0,315.2,0.97
pranav,numerical,6,201,361.5,299.34,347.0,315.2,0.47
pranav,numerical,6,202,363.0,296.49,349.0,316.2,0.16
pranav,numerical,6,203,364.5,293.77,351.0,315.2,0.4
pranav,numerical,6,204,366.0,291.25,353.0,313.2,0.42
pranav,numerical,6,205,367.5,288.99,356.0,309.2,0.19
pranav,numerical,6,206,369.0,287.03,358.0,305.2,0.41
pranav,numerical,6,207,370.5,285.41,361.0,300.2,0.05
pranav,numerical,6,208,372.0,284.14,363.0,294.2,1.1
pranav,numerical,6,209,373.5,283.24,366.0,290.2,0.58
pranav,numerical,6,210,375.0,282.69,368.0,288.2,0.08
pranav,numerical,6,211,376.5,282.47,369.0,286.2,0.56
pranav,numerical,6,212,378.0,282.55,371.0,284.2,0.6
pranav,numerical,6,213,379.5,282.88,374.0,282.2,0.8
pranav,numerical,6,214,381.0,283.41,376.0,282.2,0.34
pranav,numerical,6,215,382.5,284.07,380.0,283.2,0.14
pranav,numerical,6,216,384.0,284.78,384.0,286.2,1.3
pranav,numerical,6,217,385.5,285.46,387.0,287.2,1.15
pranav,numerical,6,218,387.0,286.02,392.0,287.2,1.25
pranav,numerical,6,219,388.5,286.37,394.0,285.2,0.68
pranav,numerical,6,220,390.0,286.41,396.0,282.2,0.29
pranav,numerical,6,221,391.5,286.06,398.0,275.2,0.94
pranav,numerical,6,222,393.0,285.21,400.0,268.2,1.16
pranav,numerical,6,223,394.5,283.79,402.0,260.2,1.19
pranav,numerical,6,224,396.0,281.7,404.0,251.2,1.08
pranav,numerical,6,225,397.5,278.87,405.0,242.2,1.69
pranav,numerical,6,226,399.0,275.24,406.0,236.2,1.68
pranav,numerical,6,227,400.5,270.75,409.0,221.2,0.92
pranav,numerical,6,228,402.0,265.35,409.0,212.2,2.13
pranav,numerical,6,229,403.5,259.03,409.0,205.2,3.02
pranav,numerical,6,230,405.0,251.75,410.0,200.2,2.65
pranav,numerical,6,231,406.5,243.52,412.0,193.2,1.5
pranav,numerical,6,232,408.0,234.36,413.0,188.2,1.1
pranav,numerical,6,233,409.5,224.29,413.0,184.2,1.56
pranav,numerical,6,234,411.0,213.36,414.0,177.2,1.36
pranav,numerical,6,235,412.5,201.63,416.0,165.2,0.7
pranav,numerical,6,236,414.0,189.18,417.0,160.2,0.24
pranav,numerical,6,237,415.5,176.09,417.0,148.2,1.52
pranav,numerical,6,238,417.0,162.47,417.0,142.2,2.14
pranav,numerical,6,239,418.5,148.44,417.0,137.2,2.66
pranav,numerical,6,240,420.0,134.12,417.0,131.2,3.28
pranav,numerical,6,241,421.5,119.64,418.0,127.2,2.7
pranav,numerical,6,242,423.0,105.14,419.0,123.2,2.12
pranav,numerical,6,243,424.5,90.78,420.0,119.2,1.54
pranav,numerical,6,244,426.0,76.69,421.0,114.2,1.06
pranav,numerical,6,245,427.5,63.02,423.0,108.2,0.31
pranav,numerical,6,246,429.0,49.93,424.0,102.2,0.69
pranav,numerical,6,247,430.5,42.0,425.0,95.2,0.96
pranav,numerical,6,248,432.0,42.0,425.0,87.2,0.12
pranav,numerical,6,249,433.5,42.0,427.0,74.2,0.72
pranav,numerical,6,250,435.0,42.0,428.0,64.2,0.63
pranav,numerical,6,251,436.5,42.0,428.0,56.2,0.28
pranav,numerical,6,252,438.0,42.0,430.0,48.2,0.66
pranav,numerical,6,253,439.5,42.0,431.0,43.2,0.71
pranav,numerical,6,254,441.0,42.0,434.0,42.2,0.2
pranav,numerical,6,255,442.5,42.0,438.0,42.2,0.2
pranav,numerical,6,256,444.0,42.0,445.0,42.2,0.2
pranav,numerical,6,257,445.5,42.0,450.0,42.2,0.2
pranav,numerical,6,258,447.0,42.0,453.0,42.2,0.2
pranav,numerical,6,259,448.5,42.0,454.0,42.2,0.2
pranav,numerical,6,260,450.0,42.0,457.0,42.2,0.2
pranav,numerical,6,261,451.5,42.0,458.0,42.2,0.44
pranav,numerical,6,262,453.0,42.0,461.0,44.2,2.88
pranav,numerical,6,263,454.5,42.0,460.0,47.2,1.19
pranav,numerical,6,264,456.0,42.0,459.0,50.2,0.23
pranav,numerical,6,265,457.5,42.0,459.0,52.2,0.46
pranav,numerical,6,266,459.0,48.13,459.0,60.2,1.36
pranav,numerical,6,267,460.5,61.4,461.0,68.2,0.23
pranav,numerical,6,268,462.0,75.32,463.0,78.2,0.7
pranav,numerical,6,269,463.5,89.75,464.0,83.2,1.17
pranav,numerical,6,270,465.0,104.54,464.0,90.2,0.45
pranav,numerical,6,271,466.5,119.53,464.0,99.2,0.46
pranav,numerical,6,272,468.0,134.58,464.0,103.2,0.86
pranav,numerical,6,273,469.5,149.54,465.0,110.2,0.56
pranav,numerical,6,274,471.0,164.26,467.0,116.2,0.83
pranav,numerical,6,275,472.5,178.63,468.0,123.2,1.13
pranav,numerical,6,276,474.0,192.5,468.0,131.2,0.34
pranav,numerical,6,277,475.5,205.76,469.0,137.2,0.73
pranav,numerical,6,278,477.0,218.32,469.0,145.2,0.06
pranav,numerical,6,279,478.5,230.08,469.0,156.2,1.17
pranav,numerical,6,280,480.0,240.98,469.0,165.2,2.09
pranav,numerical,6,281,481.5,250.94,470.0,172.2,1.82
