participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
pranav,spatial-color,7,0,60.0,336.46,60.0,337.2,0.74
pranav,spatial-color,7,1,61.5,331.7,61.0,332.2,0.33
pranav,spatial-color,7,2,63.0,326.48,62.0,329.2,0.21
pranav,spatial-color,7,3,64.5,320.91,62.0,327.2,0.76
pranav,spatial-color,7,4,66.0,315.1,63.0,325.2,0.33
pranav,spatial-color,7,5,67.5,309.16,64.0,322.2,0.15
pranav,spatial-color,7,6,69.0,303.19,65.0,318.2,0.19
pranav,spatial-color,7,7,70.5,297.29,65.0,315.2,0.94
pranav,spatial-color,7,8,72.0,291.54,65.0,312.2,1.68
pranav,spatial-color,7,9,73.5,286.02,66.0,310.2,1.2
pranav,spatial-color,7,10,75.0,280.79,67.0,306.2,1.21
pranav,spatial-color,7,11,76.5,275.91,68.0,304.2,0.72
pranav,spatial-color,7,12,78.0,271.41,68.0,302.2,1.21
pranav,spatial-color,7,13,79.5,267.32,68.0,300.2,1.71
pranav,spatial-color,7,14,81.0,263.66,69.0,298.2,1.23
pranav,spatial-color,7,15,82.5,260.42,69.0,295.2,1.98
pranav,spatial-color,7,16,84.0,257.59,70.0,293.2,1.52
pranav,spatial-color,7,17,85.5,255.15,71.0,291.2,1.05
pranav,spatial-color,7,18,87.0,253.04,71.0,289.2,1.58
pranav,spatial-color,7,19,88.5,251.22,72.0,287.2,1.14
pranav,spatial-color,7,20,90.0,249.64,73.0,284.2,0.98
pranav,spatial-color,7,21,91.5,248.21,73.0,282.2,1.53
pranav,spatial-color,7,22,93.0,246.86,74.0,279.2,1.42
pranav,spatial-color,7,23,94.5,245.52,75.0,277.2,1.05
pranav,spatial-color,7,24,96.0,244.09,76.0,274.2,1.01
pranav,spatial-color,7,25,97.5,242.49,76.0,272.2,1.65
pranav,spatial-color,7,26,99.0,240.63,78.0,269.2,0.76
pranav,spatial-color,7,27,100.5,238.42,78.0,266.2,1.81
pranav,spatial-color,7,28,102.0,235.79,79.0,264.2,1.65
pranav,spatial-color,7,29,103.5,232.64,80.0,262.2,1.52
pranav,spatial-color,7,30,105.0,228.93,81.0,260.2,1.45
pranav,spatial-color,7,31,106.5,224.58,82.0,258.2,1.48
pranav,spatial-color,7,32,108.0,219.54,83.0,257.2,1.07
pranav,spatial-color,7,33,109.5,213.79,84.0,254.2,1.77
pranav,spatial-color,7,34,111.0,207.29,86.0,252.2,1.3
pranav,spatial-color,7,35,112.5,200.02,88.0,250.2,1.07
pranav,spatial-color,7,36,114.0,192.01,90.0,248.2,1.04
pranav,spatial-color,7,37,115.5,183.26,91.0,247.2,1.08
pranav,spatial-color,7,38,117.0,173.8,93.0,245.2,1.24
pranav,spatial-color,7,39,118.5,163.68,96.0,242.2,1.29
pranav,spatial-color,7,40,120.0,152.97,98.0,240.2,1.05
pranav,spatial-color,7,41,121.5,141.74,99.0,238.2,1.37
pranav,spatial-color,7,42,123.0,130.09,101.0,234.2,1.59
pranav,spatial-color,7,43,124.5,118.1,104.0,230.2,0.45
pranav,spatial-color,7,44,126.0,105.89,105.0,227.2,0.56
pranav,spatial-color,7,45,127.5,93.59,105.0,224.2,1.54
pranav,spatial-color,7,46,129.0,81.32,107.0,221.2,0.49
pranav,spatial-color,7,47,130.5,69.22,107.0,218.2,1.31
pranav,spatial-color,7,48,132.0,57.42,108.0,214.2,1.35
pranav,spatial-color,7,49,133.5,46.06,110.0,210.2,0.32
pranav,spatial-color,7,50,135.0,42.0,110.0,206.2,1.2
pranav,spatial-color,7,51,136.5,42.0,111.0,203.2,0.83
pranav,spatial-color,7,52,138.0,42.0,111.0,201.2,1.23
pranav,spatial-color,7,53,139.5,42.0,112.0,196.2,1.19
pranav,spatial-color,7,54,141.0,42.0,113.0,190.2,1.29
pranav,spatial-color,7,55,142.5,42.0,114.0,186.2,0.98
pranav,spatial-color,7,56,144.0,42.0,115.0,184.2,0.33
pranav,spatial-color,7,57,145.5,42.0,116.0,181.2,0.17
pranav,spatial-color,7,58,147.0,42.0,116.0,176.2,0.61
pranav,spatial-color,7,59,148.5,42.0,116.0,174.2,0.92
pranav,spatial-color,7,60,150.0,42.0,117.0,171.2,0.38
pranav,spatial-color,7,61,151.5,42.0,118.0,166.2,0.13
pranav,spatial-color,7,62,153.0,42.0,118.0,162.2,0.7
pranav,spatial-color,7,63,154.5,42.0,119.0,158.2,0.27
pranav,spatial-color,7,64,156.0,42.0,119.0,155.2,0.68
pranav,spatial-color,7,65,157.5,42.0,120.0,153.2,0.03
pranav,spatial-color,7,66,159.0,42.0,120.0,147.2,0.76
pranav,spatial-color,7,67,160.5,42.0,120.0,143.2,1.29
pranav,spatial-color,7,68,162.0,47.02,120.0,140.2,1.68
pranav,spatial-color,7,69,163.5,60.3,121.0,137.2,1.08
pranav,spatial-color,7,70,165.0,74.47,122.0,133.2,0.59
pranav,spatial-color,7,71,166.5,89.39,122.0,130.2,0.98
pranav,spatial-color,7,72,168.0,104.91,122.0,127.2,1.35
pranav,spatial-color,7,73,169.5,120.89,123.0,123.2,0.85
pranav,spatial-color,7,74,171.0,137.17,124.0,120.2,0.24
pranav,spatial-color,7,75,172.5,153.58,124.0,117.2,0.61
pranav,spatial-color,7,76,174.0,169.97,124.0,115.2,0.85
pranav,spatial-color,7,77,175.5,186.19,125.0,113.2,0.1
pranav,spatial-color,7,78,177.0,202.09,125.0,111.2,0.35
pranav,spatial-color,7,79,178.5,217.52,125.0,108.2,0.71
pranav,spatial-color,7,80,180.0,232.35,125.0,105.2,1.08
pranav,spatial-color,7,81,181.5,246.45,126.0,98.2,0.93
pranav,spatial-color,7,82,183.0,259.72,127.0,93.2,0.54
pranav,spatial-color,7,83,184.5,272.05,127.0,89.2,1.03
pranav,spatial-color,7,84,186.0,283.37,128.0,85.2,0.52
pranav,spatial-color,7,85,187.5,293.6,128.0,83.2,0.77
pranav,spatial-color,7,86,189.0,302.7,128.0,80.2,1.13
pranav,spatial-color,7,87,190.5,310.62,129.0,75.2,0.75
pranav,spatial-color,7,88,192.0,317.35,130.0,71.2,0.25
pranav,spatial-color,7,89,193.5,322.89,131.0,67.2,0.24
pranav,spatial-color,7,90,195.0,327.24,131.0,63.2,0.26
pranav,spatial-color,7,91,196.5,330.45,131.0,58.2,0.89
pranav,spatial-color,7,92,198.0,332.55,131.0,54.2,1.41
pranav,spatial-color,7,93,199.5,333.6,132.0,51.2,0.81
pranav,spatial-color,7,94,201.0,333.68,133.0,47.2,0.35
pranav,spatial-color,7,95,202.5,332.85,134.0,45.2,0.17
pranav,spatial-color,7,96,204.0,331.22,136.0,43.2,1.2
pranav,spatial-color,7,97,205.5,328.88,138.0,42.2,0.2
pranav,spatial-color,7,98,207.0,325.93,141.0,42.2,0.2
pranav,spatial-color,7,99,208.5,322.47,143.0,41.2,0.8
