participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
rachel,no-feedback,1,0,60.0,336.46,59.0,334.2,1.63
rachel,no-feedback,1,1,61.5,331.7,59.0,330.2,2.82
rachel,no-feedback,1,2,63.0,326.48,60.0,328.2,2.41
rachel,no-feedback,1,3,64.5,320.91,60.0,326.2,2.96
rachel,no-feedback,1,4,66.0,315.1,61.0,322.2,3.05
rachel,no-feedback,1,5,67.5,309.16,62.0,320.2,2.6
rachel,no-feedback,1,6,69.0,303.19,63.0,318.2,2.13
rachel,no-feedback,1,7,70.5,297.29,64.0,315.2,1.91
rachel,no-feedback,1,8,72.0,291.54,65.0,313.2,1.44
rachel,no-feedback,1,9,73.5,286.02,65.0,307.2,2.9
rachel,no-feedback,1,10,75.0,280.79,68.0,295.2,2.95
rachel,no-feedback,1,11,76.5,275.91,68.0,292.2,3.7
rachel,no-feedback,1,12,78.0,271.41,69.0,289.2,3.51
rachel,no-feedback,1,13,79.5,267.32,71.0,285.2,2.63
rachel,no-feedback,1,14,81.0,263.66,73.0,281.2,1.81
rachel,no-feedback,1,15,82.5,260.42,75.0,277.2,1.05
rachel,no-feedback,1,16,84.0,257.59,76.0,274.2,1.01
rachel,no-feedback,1,17,85.5,255.15,79.0,270.2,0.52
rachel,no-feedback,1,18,87.0,253.04,80.0,266.2,0.04
rachel,no-feedback,1,19,88.5,251.22,82.0,258.2,1.48
rachel,no-feedback,1,20,90.0,249.64,86.0,252.2,1.3
rachel,no-feedback,1,21,91.5,248.21,88.0,250.2,1.07
rachel,no-feedback,1,22,93.0,246.86,89.0,249.2,1.03
rachel,no-feedback,1,23,94.5,245.52,90.0,248.2,1.04
rachel,no-feedback,1,24,96.0,244.09,92.0,246.2,1.16
rachel,no-feedback,1,25,97.5,242.49,93.0,245.2,1.24
rachel,no-feedback,1,26,99.0,240.63,95.0,243.2,1.34
rachel,no-feedback,1,27,100.5,238.42,98.0,240.2,1.05
rachel,no-feedback,1,28,102.0,235.79,100.0,237.2,1.04
rachel,no-feedback,1,29,103.5,232.64,102.0,235.2,0.25
rachel,no-feedback,1,30,105.0,228.93,102.0,232.2,1.55
rachel,no-feedback,1,31,106.5,224.58,103.0,226.2,2.78
rachel,no-feedback,1,32,108.0,219.54,106.0,219.2,2.02
rachel,no-feedback,1,33,109.5,213.79,107.0,214.2,2.32
rachel,no-feedback,1,34,111.0,207.29,108.0,212.2,1.82
rachel,no-feedback,1,35,112.5,200.02,108.0,210.2,2.27
rachel,no-feedback,1,36,114.0,192.01,109.0,209.2,1.52
rachel,no-feedback,1,37,115.5,183.26,110.0,208.2,0.77
rachel,no-feedback,1,38,117.0,173.8,112.0,203.2,0.15
rachel,no-feedback,1,39,118.5,163.68,112.0,194.2,1.56
rachel,no-feedback,1,40,120.0,152.97,112.0,191.2,2.11
rachel,no-feedback,1,41,121.5,141.74,112.0,188.2,2.61
rachel,no-feedback,1,42,123.0,130.09,114.0,179.2,2.12
rachel,no-feedback,1,43,124.5,118.1,114.0,172.2,3.2
rachel,no-feedback,1,44,126.0,105.89,116.0,160.2,2.96
rachel,no-feedback,1,45,127.5,93.59,117.0,153.2,2.94
rachel,no-feedback,1,46,129.0,81.32,118.0,148.2,2.61
rachel,no-feedback,1,47,130.5,69.22,119.0,144.2,2.15
rachel,no-feedback,1,48,132.0,57.42,119.0,140.2,2.68
rachel,no-feedback,1,49,133.5,46.06,120.0,135.2,2.32
rachel,no-feedback,1,50,135.0,42.0,121.0,120.2,3.21
rachel,no-feedback,1,51,136.5,42.0,122.0,116.2,2.71
rachel,no-feedback,1,52,138.0,42.0,127.0,84.2,1.64
rachel,no-feedback,1,53,139.5,42.0,128.0,67.2,2.73
rachel,no-feedback,1,54,141.0,42.0,130.0,58.2,1.89
rachel,no-feedback,1,55,142.5,42.0,131.0,56.2,1.15
rachel,no-feedback,1,56,144.0,42.0,131.0,54.2,1.41
rachel,no-feedback,1,57,145.5,42.0,132.0,50.2,0.95
rachel,no-feedback,1,58,147.0,42.0,132.0,48.2,1.21
rachel,no-feedback,1,59,148.5,42.0,132.0,45.2,1.71
rachel,no-feedback,1,60,150.0,42.0,133.0,43.2,1.46
rachel,no-feedback,1,61,151.5,42.0,133.0,42.2,1.81
rachel,no-feedback,1,62,153.0,42.0,136.0,42.2,0.2
rachel,no-feedback,1,63,154.5,42.0,138.0,42.2,0.2
rachel,no-feedback,1,64,156.0,42.0,141.0,42.2,0.2
rachel,no-feedback,1,65,157.5,42.0,144.0,42.2,0.2
rachel,no-feedback,1,66,159.0,42.0,146.0,42.2,0.2
rachel,no-feedback,1,67,160.5,42.0,149.0,42.2,0.2
rachel,no-feedback,1,68,162.0,47.02,150.0,42.2,0.2
rachel,no-feedback,1,69,163.5,60.3,152.0,42.2,0.2
rachel,no-feedback,1,70,165.0,74.47,154.0,42.2,0.2
rachel,no-feedback,1,71,166.5,89.39,155.0,42.2,0.2
rachel,no-feedback,1,72,168.0,104.91,157.0,43.2,1.2
rachel,no-feedback,1,73,169.5,120.89,159.0,43.2,1.2
