participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
rachel,numerical,3,0,60.0,336.46,58.0,339.2,3.39
rachel,numerical,3,1,61.5,331.7,59.0,335.2,1.33
rachel,numerical,3,2,63.0,326.48,60.0,331.2,1.58
rachel,numerical,3,3,64.5,320.91,60.0,328.2,2.41
rachel,numerical,3,4,66.0,315.1,61.0,325.2,2.26
rachel,numerical,3,5,67.5,309.16,61.0,323.2,2.79
rachel,numerical,3,6,69.0,303.19,62.0,321.2,2.34
rachel,numerical,3,7,70.5,297.29,63.0,319.2,1.88
rachel,numerical,3,8,72.0,291.54,65.0,316.2,0.69
rachel,numerical,3,9,73.5,286.02,66.0,314.2,0.22
rachel,numerical,3,10,75.0,280.79,66.0,312.2,0.71
rachel,numerical,3,11,76.5,275.91,66.0,309.2,1.45
rachel,numerical,3,12,78.0,271.41,68.0,305.2,0.48
rachel,numerical,3,13,79.5,267.32,68.0,303.2,0.97
rachel,numerical,3,14,81.0,263.66,68.0,299.2,1.95
rachel,numerical,3,15,82.5,260.42,69.0,294.2,2.23
rachel,numerical,3,16,84.0,257.59,69.0,290.2,3.25
rachel,numerical,3,17,85.5,255.15,70.0,287.2,3.07
rachel,numerical,3,18,87.0,253.04,71.0,284.2,2.9
rachel,numerical,3,19,88.5,251.22,73.0,281.2,1.81
rachel,numerical,3,20,90.0,249.64,74.0,278.2,1.72
rachel,numerical,3,21,91.5,248.21,75.0,275.2,1.65
rachel,numerical,3,22,93.0,246.86,77.0,269.2,1.7
rachel,numerical,3,23,94.5,245.52,79.0,265.2,1.27
rachel,numerical,3,24,96.0,244.09,82.0,260.2,0.55
rachel,numerical,3,25,97.5,242.49,85.0,255.2,0.4
rachel,numerical,3,26,99.0,240.63,86.0,253.2,0.72
rachel,numerical,3,27,100.5,238.42,86.0,252.2,1.3
rachel,numerical,3,28,102.0,235.79,87.0,251.2,1.17
rachel,numerical,3,29,103.5,232.64,89.0,249.2,1.03
rachel,numerical,3,30,105.0,228.93,90.0,247.2,1.76
rachel,numerical,3,31,106.5,224.58,92.0,244.2,2.65
rachel,numerical,3,32,108.0,219.54,94.0,240.2,4.12
rachel,numerical,3,33,109.5,213.79,96.0,236.2,4.97
rachel,numerical,3,34,111.0,207.29,98.0,235.2,3.77
rachel,numerical,3,35,112.5,200.02,99.0,234.2,3.39
rachel,numerical,3,36,114.0,192.01,101.0,232.2,2.45
rachel,numerical,3,37,115.5,183.26,101.0,231.2,2.86
rachel,numerical,3,38,117.0,173.8,104.0,226.2,1.83
rachel,numerical,3,39,118.5,163.68,106.0,222.2,1.16
rachel,numerical,3,40,120.0,152.97,107.0,219.2,1.05
rachel,numerical,3,41,121.5,141.74,107.0,217.2,1.56
rachel,numerical,3,42,123.0,130.09,108.0,213.2,1.59
