participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
rachel,spatial-color,2,0,60.0,336.46,59.0,336.2,1.03
rachel,spatial-color,2,1,61.5,331.7,62.0,325.2,1.3
rachel,spatial-color,2,2,63.0,326.48,65.0,314.2,1.19
rachel,spatial-color,2,3,64.5,320.91,66.0,311.2,0.96
rachel,spatial-color,2,4,66.0,315.1,67.0,304.2,1.69
rachel,spatial-color,2,5,67.5,309.16,68.0,298.2,2.2
rachel,spatial-color,2,6,69.0,303.19,70.0,291.2,2.02
rachel,spatial-color,2,7,70.5,297.29,72.0,287.2,1.14
rachel,spatial-color,2,8,72.0,291.54,73.0,284.2,0.98
rachel,spatial-color,2,9,73.5,286.02,73.0,282.2,1.53
rachel,spatial-color,2,10,75.0,280.79,74.0,280.2,1.13
rachel,spatial-color,2,11,76.5,275.91,75.0,278.2,0.76
rachel,spatial-color,2,12,78.0,271.41,76.0,275.2,0.7
rachel,spatial-color,2,13,79.5,267.32,78.0,268.2,1.11
rachel,spatial-color,2,14,81.0,263.66,81.0,262.2,0.61
rachel,spatial-color,2,15,82.5,260.42,82.0,260.2,0.55
rachel,spatial-color,2,16,84.0,257.59,84.0,258.2,0.28
rachel,spatial-color,2,17,85.5,255.15,84.0,257.2,0.21
rachel,spatial-color,2,18,87.0,253.04,85.0,256.2,0.12
rachel,spatial-color,2,19,88.5,251.22,87.0,254.2,0.67
rachel,spatial-color,2,20,90.0,249.64,90.0,252.2,1.76
rachel,spatial-color,2,21,91.5,248.21,91.0,251.2,1.8
rachel,spatial-color,2,22,93.0,246.86,93.0,249.2,1.74
rachel,spatial-color,2,23,94.5,245.52,94.0,248.2,1.66
rachel,spatial-color,2,24,96.0,244.09,95.0,246.2,0.84
rachel,spatial-color,2,25,97.5,242.49,96.0,245.2,0.8
rachel,spatial-color,2,26,99.0,240.63,97.0,243.2,0.12
rachel,spatial-color,2,27,100.5,238.42,98.0,242.2,0.21
rachel,spatial-color,2,28,102.0,235.79,98.0,238.2,2.19
rachel,spatial-color,2,29,103.5,232.64,101.0,233.2,2.02
rachel,spatial-color,2,30,105.0,228.93,102.0,231.2,1.93
rachel,spatial-color,2,31,106.5,224.58,104.0,228.2,1.18
rachel,spatial-color,2,32,108.0,219.54,105.0,226.2,0.89
rachel,spatial-color,2,33,109.5,213.79,106.0,224.2,0.59
rachel,spatial-color,2,34,111.0,207.29,107.0,222.2,0.2
rachel,spatial-color,2,35,112.5,200.02,107.0,221.2,0.49
rachel,spatial-color,2,36,114.0,192.01,108.0,219.2,0.09
rachel,spatial-color,2,37,115.5,183.26,109.0,215.2,0.13
rachel,spatial-color,2,38,117.0,173.8,110.0,211.2,0.09
rachel,spatial-color,2,39,118.5,163.68,110.0,205.2,1.4
rachel,spatial-color,2,40,120.0,152.97,111.0,200.2,1.43
rachel,spatial-color,2,41,121.5,141.74,112.0,194.2,1.56
rachel,spatial-color,2,42,123.0,130.09,112.0,190.2,2.28
rachel,spatial-color,2,43,124.5,118.1,113.0,185.2,2.14
rachel,spatial-color,2,44,126.0,105.89,113.0,181.2,2.79
rachel,spatial-color,2,45,127.5,93.59,114.0,172.2,3.2
rachel,spatial-color,2,46,129.0,81.32,115.0,168.2,2.8
rachel,spatial-color,2,47,130.5,69.22,115.0,165.2,3.24
rachel,spatial-color,2,48,132.0,57.42,115.0,164.2,3.39
rachel,spatial-color,2,49,133.5,46.06,116.0,160.2,2.96
rachel,spatial-color,2,50,135.0,42.0,118.0,156.2,1.53
rachel,spatial-color,2,51,136.5,42.0,118.0,155.2,1.67
rachel,spatial-color,2,52,138.0,42.0,120.0,151.2,0.23
rachel,spatial-color,2,53,139.5,42.0,120.0,149.2,0.5
rachel,spatial-color,2,54,141.0,42.0,120.0,147.2,0.76
rachel,spatial-color,2,55,142.5,42.0,120.0,144.2,1.16
rachel,spatial-color,2,56,144.0,42.0,120.0,143.2,1.29
rachel,spatial-color,2,57,145.5,42.0,120.0,140.2,1.68
rachel,spatial-color,2,58,147.0,42.0,121.0,135.2,1.33
rachel,spatial-color,2,59,148.5,42.0,122.0,132.2,0.72
rachel,spatial-color,2,60,150.0,42.0,124.0,122.2,0.01
rachel,spatial-color,2,61,151.5,42.0,125.0,112.2,0.22
rachel,spatial-color,2,62,153.0,42.0,127.0,103.2,0.67
rachel,spatial-color,2,63,154.5,42.0,129.0,96.2,1.8
rachel,spatial-color,2,64,156.0,42.0,129.0,91.2,1.2
rachel,spatial-color,2,65,157.5,42.0,130.0,83.2,1.22
rachel,spatial-color,2,66,159.0,42.0,130.0,80.2,0.85
rachel,spatial-color,2,67,160.5,42.0,130.0,77.2,0.49
rachel,spatial-color,2,68,162.0,47.02,130.0,73.2,0.01
rachel,spatial-color,2,69,163.5,60.3,131.0,69.2,0.49
rachel,spatial-color,2,70,165.0,74.47,131.0,65.2,0.01
rachel,spatial-color,2,71,166.5,89.39,132.0,59.2,0.22
rachel,spatial-color,2,72,168.0,104.91,133.0,54.2,0.57
rachel,spatial-color,2,73,169.5,120.89,133.0,51.2,0.18
rachel,spatial-color,2,74,171.0,137.17,134.0,50.2,1.04
rachel,spatial-color,2,75,172.5,153.58,134.0,49.2,0.91
rachel,spatial-color,2,76,174.0,169.97,134.0,47.2,0.64
rachel,spatial-color,2,77,175.5,186.19,135.0,46.2,1.46
rachel,spatial-color,2,78,177.0,202.09,135.0,45.2,1.11
rachel,spatial-color,2,79,178.5,217.52,136.0,44.2,1.7
rachel,spatial-color,2,80,180.0,232.35,138.0,43.2,1.2
rachel,spatial-color,2,81,181.5,246.45,140.0,42.2,0.2
rachel,spatial-color,2,82,183.0,259.72,141.0,42.2,0.2
rachel,spatial-color,2,83,184.5,272.05,143.0,41.2,0.8
rachel,spatial-color,2,84,186.0,283.37,144.0,41.2,0.8
rachel,spatial-color,2,85,187.5,293.6,146.0,41.2,0.8
rachel,spatial-color,2,86,189.0,302.7,149.0,41.2,0.8
rachel,spatial-color,2,87,190.5,310.62,151.0,41.2,0.8
rachel,spatial-color,2,88,192.0,317.35,152.0,41.2,0.8
rachel,spatial-color,2,89,193.5,322.89,154.0,42.2,0.2
rachel,spatial-color,2,90,195.0,327.24,155.0,42.2,0.2
rachel,spatial-color,2,91,196.5,330.45,156.0,42.2,0.2
rachel,spatial-color,2,92,198.0,332.55,157.0,42.2,0.2
rachel,spatial-color,2,93,199.5,333.6,158.0,44.2,2.2
rachel,spatial-color,2,94,201.0,333.68,159.0,46.2,2.64
rachel,spatial-color,2,95,202.5,332.85,160.0,47.2,1.97
rachel,spatial-color,2,96,204.0,331.22,161.0,50.2,1.35
rachel,spatial-color,2,97,205.5,328.88,162.0,54.2,0.81
rachel,spatial-color,2,98,207.0,325.93,163.0,56.2,0.04
rachel,spatial-color,2,99,208.5,322.47,163.0,58.2,0.26
rachel,spatial-color,2,100,210.0,318.62,164.0,63.2,0.19
rachel,spatial-color,2,101,211.5,314.48,164.0,68.2,0.33
rachel,spatial-color,2,102,213.0,310.15,166.0,75.2,0.92
rachel,spatial-color,2,103,214.5,305.73,166.0,79.2,0.52
rachel,spatial-color,2,104,216.0,301.33,166.0,84.2,0.02
rachel,spatial-color,2,105,217.5,297.02,166.0,86.2,0.18
rachel,spatial-color,2,106,219.0,292.88,166.0,90.2,0.58
rachel,spatial-color,2,107,220.5,288.98,167.0,96.2,0.16
rachel,spatial-color,2,108,222.0,285.37,168.0,102.2,0.26
rachel,spatial-color,2,109,223.5,282.1,168.0,110.2,0.49
rachel,spatial-color,2,110,225.0,279.19,169.0,114.2,0.13
rachel,spatial-color,2,111,226.5,276.66,169.0,118.2,0.25
rachel,spatial-color,2,112,228.0,274.52,170.0,125.2,0.1
rachel,spatial-color,2,113,229.5,272.75,170.0,130.2,0.36
rachel,spatial-color,2,114,231.0,271.33,170.0,139.2,1.18
rachel,spatial-color,2,115,232.5,270.23,171.0,144.2,0.64
rachel,spatial-color,2,116,234.0,269.38,171.0,156.2,1.73
rachel,spatial-color,2,117,235.5,268.75,171.0,163.2,2.37
rachel,spatial-color,2,118,237.0,268.25,172.0,174.2,2.38
rachel,spatial-color,2,119,238.5,267.81,173.0,181.2,2.03
rachel,spatial-color,2,120,240.0,267.35,173.0,188.2,2.68
rachel,spatial-color,2,121,241.5,266.78,174.0,196.2,2.43
rachel,spatial-color,2,122,243.0,266.01,175.0,201.2,1.91
rachel,spatial-color,2,123,244.5,264.96,176.0,206.2,1.39
rachel,spatial-color,2,124,246.0,263.52,177.0,214.2,1.17
rachel,spatial-color,2,125,247.5,261.62,179.0,225.2,0.28
rachel,spatial-color,2,126,249.0,259.18,180.0,232.2,0.01
rachel,spatial-color,2,127,250.5,256.1,180.0,237.2,0.51
rachel,spatial-color,2,128,252.0,252.34,181.0,242.2,0.05
rachel,spatial-color,2,129,253.5,247.83,182.0,254.2,0.37
rachel,spatial-color,2,130,255.0,242.52,184.0,261.2,0.81
rachel,spatial-color,2,131,256.5,236.39,184.0,263.2,0.57
rachel,spatial-color,2,132,258.0,229.4,185.0,266.2,1.2
rachel,spatial-color,2,133,259.5,221.57,185.0,274.2,0.21
