participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
robyn,spatial-color,3,0,60.0,336.46,61.0,336.2,0.87
robyn,spatial-color,3,1,61.5,331.7,61.0,333.2,0.03
robyn,spatial-color,3,2,63.0,326.48,61.0,330.2,0.9
robyn,spatial-color,3,3,64.5,320.91,62.0,326.2,1.04
robyn,spatial-color,3,4,66.0,315.1,63.0,322.2,1.11
robyn,spatial-color,3,5,67.5,309.16,64.0,319.2,0.91
robyn,spatial-color,3,6,69.0,303.19,65.0,314.2,1.19
robyn,spatial-color,3,7,70.5,297.29,66.0,311.2,0.96
robyn,spatial-color,3,8,72.0,291.54,67.0,308.2,0.72
robyn,spatial-color,3,9,73.5,286.02,67.0,305.2,1.45
robyn,spatial-color,3,10,75.0,280.79,68.0,301.2,1.46
robyn,spatial-color,3,11,76.5,275.91,70.0,297.2,0.51
robyn,spatial-color,3,12,78.0,271.41,71.0,295.2,0.04
robyn,spatial-color,3,13,79.5,267.32,72.0,291.2,0.09
robyn,spatial-color,3,14,81.0,263.66,73.0,288.2,0.09
robyn,spatial-color,3,15,82.5,260.42,74.0,285.2,0.26
robyn,spatial-color,3,16,84.0,257.59,75.0,281.2,0.11
robyn,spatial-color,3,17,85.5,255.15,76.0,277.2,0.1
robyn,spatial-color,3,18,87.0,253.04,76.0,275.2,0.7
robyn,spatial-color,3,19,88.5,251.22,78.0,270.2,0.42
robyn,spatial-color,3,20,90.0,249.64,79.0,267.2,0.51
robyn,spatial-color,3,21,91.5,248.21,81.0,263.2,0.19
robyn,spatial-color,3,22,93.0,246.86,83.0,259.2,0.13
robyn,spatial-color,3,23,94.5,245.52,85.0,254.2,0.96
robyn,spatial-color,3,24,96.0,244.09,86.0,252.2,1.3
robyn,spatial-color,3,25,97.5,242.49,90.0,247.2,1.76
robyn,spatial-color,3,26,99.0,240.63,92.0,243.2,3.4
robyn,spatial-color,3,27,100.5,238.42,94.0,241.2,3.44
robyn,spatial-color,3,28,102.0,235.79,96.0,239.2,3.23
