participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
robyn,numerical,5,0,60.0,336.46,60.0,336.2,0.08
robyn,numerical,5,1,61.5,331.7,60.0,332.2,1.28
robyn,numerical,5,2,63.0,326.48,62.0,328.2,0.49
robyn,numerical,5,3,64.5,320.91,62.0,323.2,1.82
robyn,numerical,5,4,66.0,315.1,64.0,320.2,0.66
robyn,numerical,5,5,67.5,309.16,65.0,314.2,1.19
robyn,numerical,5,6,69.0,303.19,66.0,310.2,1.2
robyn,numerical,5,7,70.5,297.29,67.0,307.2,0.96
robyn,numerical,5,8,72.0,291.54,68.0,301.2,1.46
robyn,numerical,5,9,73.5,286.02,71.0,295.2,0.04
robyn,numerical,5,10,75.0,280.79,72.0,290.2,0.35
robyn,numerical,5,11,76.5,275.91,75.0,281.2,0.11
robyn,numerical,5,12,78.0,271.41,75.0,279.2,0.47
robyn,numerical,5,13,79.5,267.32,77.0,273.2,0.38
robyn,numerical,5,14,81.0,263.66,79.0,265.2,1.27
robyn,numerical,5,15,82.5,260.42,80.0,262.2,1.52
robyn,numerical,5,16,84.0,257.59,82.0,258.2,1.48
robyn,numerical,5,17,85.5,255.15,84.0,253.2,2.35
robyn,numerical,5,18,87.0,253.04,87.0,249.2,2.48
robyn,numerical,5,19,88.5,251.22,92.0,243.2,3.4
robyn,numerical,5,20,90.0,249.64,96.0,240.2,2.61
robyn,numerical,5,21,91.5,248.21,99.0,237.2,1.91
robyn,numerical,5,22,93.0,246.86,103.0,233.2,0.21
robyn,numerical,5,23,94.5,245.52,104.0,224.2,2.49
robyn,numerical,5,24,96.0,244.09,107.0,215.2,2.06
robyn,numerical,5,25,97.5,242.49,108.0,211.2,2.04
robyn,numerical,5,26,99.0,240.63,111.0,200.2,1.43
robyn,numerical,5,27,100.5,238.42,112.0,197.2,1.01
robyn,numerical,5,28,102.0,235.79,114.0,190.2,0.31
robyn,numerical,5,29,103.5,232.64,116.0,186.2,0.99
robyn,numerical,5,30,105.0,228.93,118.0,179.2,1.83
robyn,numerical,5,31,106.5,224.58,118.0,176.2,1.36
robyn,numerical,5,32,108.0,219.54,118.0,171.2,0.61
robyn,numerical,5,33,109.5,213.79,119.0,162.2,0.29
robyn,numerical,5,34,111.0,207.29,120.0,157.2,0.59
robyn,numerical,5,35,112.5,200.02,122.0,150.2,1.62
robyn,numerical,5,36,114.0,192.01,123.0,145.2,1.94
robyn,numerical,5,37,115.5,183.26,124.0,141.2,2.41
robyn,numerical,5,38,117.0,173.8,123.0,132.2,0.27
robyn,numerical,5,39,118.5,163.68,123.0,126.2,0.48
robyn,numerical,5,40,120.0,152.97,123.0,121.2,1.1
robyn,numerical,5,41,121.5,141.74,124.0,115.2,0.85
robyn,numerical,5,42,123.0,130.09,126.0,108.2,0.28
robyn,numerical,5,43,124.5,118.1,127.0,103.2,0.67
robyn,numerical,5,44,126.0,105.89,128.0,99.2,1.17
robyn,numerical,5,45,127.5,93.59,128.0,95.2,0.69
robyn,numerical,5,46,129.0,81.32,128.0,87.2,0.28
robyn,numerical,5,47,130.5,69.22,129.0,82.2,0.11
robyn,numerical,5,48,132.0,57.42,131.0,73.2,0.99
robyn,numerical,5,49,133.5,46.06,131.0,68.2,0.37
robyn,numerical,5,50,135.0,42.0,132.0,60.2,0.35
robyn,numerical,5,51,136.5,42.0,133.0,55.2,0.7
robyn,numerical,5,52,138.0,42.0,133.0,52.2,0.31
robyn,numerical,5,53,139.5,42.0,134.0,47.2,0.64
robyn,numerical,5,54,141.0,42.0,135.0,45.2,1.11
robyn,numerical,5,55,142.5,42.0,135.0,42.2,0.07
robyn,numerical,5,56,144.0,42.0,139.0,42.2,0.2
robyn,numerical,5,57,145.5,42.0,144.0,41.2,0.8
robyn,numerical,5,58,147.0,42.0,149.0,40.2,1.8
robyn,numerical,5,59,148.5,42.0,154.0,40.2,1.8
robyn,numerical,5,60,150.0,42.0,156.0,41.2,0.8
robyn,numerical,5,61,151.5,42.0,158.0,42.2,0.2
robyn,numerical,5,62,153.0,42.0,159.0,45.2,2.35
robyn,numerical,5,63,154.5,42.0,160.0,49.2,2.23
robyn,numerical,5,64,156.0,42.0,161.0,52.2,1.58
robyn,numerical,5,65,157.5,42.0,163.0,56.2,0.04
robyn,numerical,5,66,159.0,42.0,164.0,61.2,0.4
robyn,numerical,5,67,160.5,42.0,166.0,66.2,1.86
robyn,numerical,5,68,162.0,47.02,166.0,71.2,1.34
robyn,numerical,5,69,163.5,60.3,166.0,73.2,1.13
robyn,numerical,5,70,165.0,74.47,166.0,77.2,0.72
robyn,numerical,5,71,166.5,89.39,166.0,81.2,0.32
robyn,numerical,5,72,168.0,104.91,166.0,84.2,0.02
