participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
selina,spatial-color,5,0,60.0,336.46,61.2,336.0,1.01
selina,spatial-color,5,1,61.5,331.7,61.2,332.0,0.2
selina,spatial-color,5,2,63.0,326.48,62.2,329.0,0.07
selina,spatial-color,5,3,64.5,320.91,62.2,325.0,1.16
selina,spatial-color,5,4,66.0,315.1,64.2,319.0,0.77
selina,spatial-color,5,5,67.5,309.16,65.2,315.0,0.8
selina,spatial-color,5,6,69.0,303.19,66.2,310.0,1.06
selina,spatial-color,5,7,70.5,297.29,69.2,301.0,0.35
selina,spatial-color,5,8,72.0,291.54,72.2,292.0,0.31
selina,spatial-color,5,9,73.5,286.02,73.2,286.0,0.29
selina,spatial-color,5,10,75.0,280.79,74.2,282.0,0.44
selina,spatial-color,5,11,76.5,275.91,75.2,277.0,0.92
selina,spatial-color,5,12,78.0,271.41,77.2,269.0,1.58
selina,spatial-color,5,13,79.5,267.32,79.2,262.0,2.33
selina,spatial-color,5,14,81.0,263.66,82.2,257.0,1.87
selina,spatial-color,5,15,82.5,260.42,85.2,255.0,0.33
selina,spatial-color,5,16,84.0,257.59,89.2,249.0,1.02
selina,spatial-color,5,17,85.5,255.15,92.2,246.0,1.18
selina,spatial-color,5,18,87.0,253.04,94.2,245.0,0.58
selina,spatial-color,5,19,88.5,251.22,98.2,241.0,0.39
selina,spatial-color,5,20,90.0,249.64,100.2,237.0,0.96
selina,spatial-color,5,21,91.5,248.21,102.2,234.0,0.59
selina,spatial-color,5,22,93.0,246.86,105.2,224.0,1.41
selina,spatial-color,5,23,94.5,245.52,107.2,218.0,1.16
selina,spatial-color,5,24,96.0,244.09,109.2,214.0,0.24
selina,spatial-color,5,25,97.5,242.49,109.2,210.0,1.14
selina,spatial-color,5,26,99.0,240.63,110.2,205.0,1.25
selina,spatial-color,5,27,100.5,238.42,112.2,201.0,0.1
selina,spatial-color,5,28,102.0,235.79,113.2,196.0,0.05
selina,spatial-color,5,29,103.5,232.64,113.2,190.0,1.13
selina,spatial-color,5,30,105.0,228.93,114.2,186.0,0.82
selina,spatial-color,5,31,106.5,224.58,115.2,182.0,0.49
selina,spatial-color,5,32,108.0,219.54,116.2,178.0,0.13
selina,spatial-color,5,33,109.5,213.79,117.2,171.0,0.21
selina,spatial-color,5,34,111.0,207.29,117.2,157.0,2.21
selina,spatial-color,5,35,112.5,200.02,118.2,154.0,1.64
selina,spatial-color,5,36,114.0,192.01,119.2,150.0,1.19
selina,spatial-color,5,37,115.5,183.26,120.2,145.0,0.86
selina,spatial-color,5,38,117.0,173.8,121.2,138.0,0.78
selina,spatial-color,5,39,118.5,163.68,122.2,131.0,0.68
selina,spatial-color,5,40,120.0,152.97,124.2,124.0,0.44
selina,spatial-color,5,41,121.5,141.74,125.2,118.0,0.68
selina,spatial-color,5,42,123.0,130.09,125.2,113.0,0.07
selina,spatial-color,5,43,124.5,118.1,128.2,105.0,2.08
selina,spatial-color,5,44,126.0,105.89,129.2,99.0,2.34
selina,spatial-color,5,45,127.5,93.59,129.2,94.0,1.74
selina,spatial-color,5,46,129.0,81.32,130.2,89.0,2.12
selina,spatial-color,5,47,130.5,69.22,130.2,83.0,1.39
selina,spatial-color,5,48,132.0,57.42,130.2,77.0,0.66
selina,spatial-color,5,49,133.5,46.06,130.2,71.0,0.08
selina,spatial-color,5,50,135.0,42.0,130.2,64.0,0.96
selina,spatial-color,5,51,136.5,42.0,131.2,58.0,0.72
selina,spatial-color,5,52,138.0,42.0,132.2,53.0,0.38
selina,spatial-color,5,53,139.5,42.0,132.2,49.0,0.9
selina,spatial-color,5,54,141.0,42.0,132.2,47.0,1.17
selina,spatial-color,5,55,142.5,42.0,133.2,45.0,0.65
selina,spatial-color,5,56,144.0,42.0,134.2,42.0,0.75
selina,spatial-color,5,57,145.5,42.0,136.2,39.0,3.0
selina,spatial-color,5,58,147.0,42.0,138.2,40.0,2.0
selina,spatial-color,5,59,148.5,42.0,142.2,41.0,1.0
selina,spatial-color,5,60,150.0,42.0,146.2,41.0,1.0
selina,spatial-color,5,61,151.5,42.0,151.2,41.0,1.0
selina,spatial-color,5,62,153.0,42.0,152.2,41.0,1.0
