participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
selina,no-feedback,3,0,60.0,336.46,60.2,338.0,1.55
selina,no-feedback,3,1,61.5,331.7,60.2,335.0,0.25
selina,no-feedback,3,2,63.0,326.48,61.2,332.0,0.2
selina,no-feedback,3,3,64.5,320.91,62.2,329.0,0.07
selina,no-feedback,3,4,66.0,315.1,63.2,325.0,0.19
selina,no-feedback,3,5,67.5,309.16,64.2,321.0,0.27
selina,no-feedback,3,6,69.0,303.19,66.2,316.0,0.42
selina,no-feedback,3,7,70.5,297.29,67.2,312.0,0.4
selina,no-feedback,3,8,72.0,291.54,67.2,309.0,0.33
selina,no-feedback,3,9,73.5,286.02,69.2,304.0,0.39
selina,no-feedback,3,10,75.0,280.79,70.2,299.0,0.13
selina,no-feedback,3,11,76.5,275.91,72.2,290.0,0.21
selina,no-feedback,3,12,78.0,271.41,73.2,284.0,0.84
selina,no-feedback,3,13,79.5,267.32,74.2,280.0,1.0
selina,no-feedback,3,14,81.0,263.66,76.2,276.0,0.26
selina,no-feedback,3,15,82.5,260.42,77.2,271.0,0.89
selina,no-feedback,3,16,84.0,257.59,79.2,266.0,0.78
selina,no-feedback,3,17,85.5,255.15,81.2,262.0,0.52
selina,no-feedback,3,18,87.0,253.04,84.2,258.0,0.37
selina,no-feedback,3,19,88.5,251.22,85.2,256.0,0.19
selina,no-feedback,3,20,90.0,249.64,86.2,254.0,0.09
selina,no-feedback,3,21,91.5,248.21,89.2,250.0,0.33
selina,no-feedback,3,22,93.0,246.86,91.2,248.0,0.36
selina,no-feedback,3,23,94.5,245.52,93.2,246.0,0.51
selina,no-feedback,3,24,96.0,244.09,95.2,243.0,1.33
selina,no-feedback,3,25,97.5,242.49,98.2,239.0,1.58
selina,no-feedback,3,26,99.0,240.63,100.2,238.0,0.47
selina,no-feedback,3,27,100.5,238.42,101.2,234.0,1.49
selina,no-feedback,3,28,102.0,235.79,104.2,229.0,0.72
selina,no-feedback,3,29,103.5,232.64,105.2,225.0,1.09
selina,no-feedback,3,30,105.0,228.93,107.2,221.0,0.35
selina,no-feedback,3,31,106.5,224.58,107.2,219.0,0.91
selina,no-feedback,3,32,108.0,219.54,108.2,215.0,0.95
selina,no-feedback,3,33,109.5,213.79,109.2,212.0,0.69
selina,no-feedback,3,34,111.0,207.29,109.2,210.0,1.14
selina,no-feedback,3,35,112.5,200.02,111.2,203.0,0.67
selina,no-feedback,3,36,114.0,192.01,112.2,196.0,1.04
selina,no-feedback,3,37,115.5,183.26,114.2,192.0,0.2
selina,no-feedback,3,38,117.0,173.8,115.2,187.0,0.34
selina,no-feedback,3,39,118.5,163.68,116.2,181.0,0.34
selina,no-feedback,3,40,120.0,152.97,117.2,177.0,0.7
selina,no-feedback,3,41,121.5,141.74,118.2,172.0,0.92
selina,no-feedback,3,42,123.0,130.09,119.2,165.0,0.89
selina,no-feedback,3,43,124.5,118.1,120.2,161.0,1.31
selina,no-feedback,3,44,126.0,105.89,120.2,154.0,0.34
selina,no-feedback,3,45,127.5,93.59,120.2,150.0,0.2
selina,no-feedback,3,46,129.0,81.32,120.2,146.0,0.72
selina,no-feedback,3,47,130.5,69.22,121.2,143.0,0.13
selina,no-feedback,3,48,132.0,57.42,122.2,138.0,0.22
selina,no-feedback,3,49,133.5,46.06,122.2,128.0,1.05
selina,no-feedback,3,50,135.0,42.0,124.2,123.0,0.31
selina,no-feedback,3,51,136.5,42.0,124.2,119.0,0.19
selina,no-feedback,3,52,138.0,42.0,125.2,115.0,0.32
selina,no-feedback,3,53,139.5,42.0,125.2,110.0,0.29
selina,no-feedback,3,54,141.0,42.0,126.2,106.0,0.21
selina,no-feedback,3,55,142.5,42.0,126.2,103.0,0.15
selina,no-feedback,3,56,144.0,42.0,126.2,99.0,0.64
selina,no-feedback,3,57,145.5,42.0,126.2,95.0,1.12
selina,no-feedback,3,58,147.0,42.0,127.2,91.0,0.61
selina,no-feedback,3,59,148.5,42.0,127.2,87.0,1.1
selina,no-feedback,3,60,150.0,42.0,128.2,84.0,0.47
selina,no-feedback,3,61,151.5,42.0,129.2,81.0,0.16
selina,no-feedback,3,62,153.0,42.0,129.2,78.0,0.21
selina,no-feedback,3,63,154.5,42.0,130.2,72.0,0.04
selina,no-feedback,3,64,156.0,42.0,131.2,66.0,0.29
selina,no-feedback,3,65,157.5,42.0,132.2,60.0,0.52
