participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
selina,numerical,4,0,60.0,336.46,60.2,337.0,0.57
selina,numerical,4,1,61.5,331.7,61.2,333.0,0.1
selina,numerical,4,2,63.0,326.48,61.2,331.0,0.48
selina,numerical,4,3,64.5,320.91,61.2,328.0,1.31
selina,numerical,4,4,66.0,315.1,61.2,326.0,1.86
selina,numerical,4,5,67.5,309.16,62.2,325.0,1.16
selina,numerical,4,6,69.0,303.19,63.2,314.0,2.99
selina,numerical,4,7,70.5,297.29,64.2,311.0,2.75
selina,numerical,4,8,72.0,291.54,64.2,309.0,3.24
selina,numerical,4,9,73.5,286.02,64.2,306.0,3.97
selina,numerical,4,10,75.0,280.79,66.2,304.0,2.52
selina,numerical,4,11,76.5,275.91,67.2,301.0,2.29
selina,numerical,4,12,78.0,271.41,69.2,298.0,1.09
selina,numerical,4,13,79.5,267.32,70.2,294.0,1.12
selina,numerical,4,14,81.0,263.66,71.2,291.0,0.91
selina,numerical,4,15,82.5,260.42,72.2,288.0,0.74
selina,numerical,4,16,84.0,257.59,73.2,283.0,1.12
selina,numerical,4,17,85.5,255.15,74.2,280.0,1.0
selina,numerical,4,18,87.0,253.04,75.2,275.0,1.52
selina,numerical,4,19,88.5,251.22,76.2,272.0,1.52
selina,numerical,4,20,90.0,249.64,77.2,269.0,1.58
selina,numerical,4,21,91.5,248.21,78.2,266.0,1.7
selina,numerical,4,22,93.0,246.86,80.2,263.0,1.0
selina,numerical,4,23,94.5,245.52,84.2,257.0,0.14
selina,numerical,4,24,96.0,244.09,88.2,253.0,0.9
selina,numerical,4,25,97.5,242.49,91.2,250.0,1.09
selina,numerical,4,26,99.0,240.63,95.2,247.0,1.57
selina,numerical,4,27,100.5,238.42,96.2,246.0,1.52
selina,numerical,4,28,102.0,235.79,97.2,244.0,0.81
selina,numerical,4,29,103.5,232.64,98.2,242.0,0.24
selina,numerical,4,30,105.0,228.93,99.2,238.0,1.31
selina,numerical,4,31,106.5,224.58,105.2,223.0,1.7
selina,numerical,4,32,108.0,219.54,107.2,220.0,0.64
selina,numerical,4,33,109.5,213.79,108.2,216.0,0.7
selina,numerical,4,34,111.0,207.29,109.2,210.0,1.14
selina,numerical,4,35,112.5,200.02,109.2,205.0,2.23
selina,numerical,4,36,114.0,192.01,110.2,200.0,2.26
selina,numerical,4,37,115.5,183.26,111.2,196.0,2.02
selina,numerical,4,38,117.0,173.8,112.2,186.0,2.79
selina,numerical,4,39,118.5,163.68,114.2,182.0,1.48
selina,numerical,4,40,120.0,152.97,115.2,178.0,1.12
selina,numerical,4,41,121.5,141.74,115.2,174.0,1.75
selina,numerical,4,42,123.0,130.09,117.2,167.0,0.8
selina,numerical,4,43,124.5,118.1,119.2,161.0,0.32
selina,numerical,4,44,126.0,105.89,119.2,155.0,0.51
selina,numerical,4,45,127.5,93.59,120.2,150.0,0.2
selina,numerical,4,46,129.0,81.32,121.2,143.0,0.13
selina,numerical,4,47,130.5,69.22,124.2,132.0,1.43
selina,numerical,4,48,132.0,57.42,125.2,127.0,1.8
selina,numerical,4,49,133.5,46.06,125.2,123.0,1.3
selina,numerical,4,50,135.0,42.0,125.2,119.0,0.81
selina,numerical,4,51,136.5,42.0,125.2,114.0,0.19
selina,numerical,4,52,138.0,42.0,125.2,111.0,0.17
selina,numerical,4,53,139.5,42.0,125.2,96.0,1.99
selina,numerical,4,54,141.0,42.0,125.2,87.0,3.08
selina,numerical,4,55,142.5,42.0,125.2,84.0,3.45
selina,numerical,4,56,144.0,42.0,127.2,79.0,2.07
selina,numerical,4,57,145.5,42.0,128.2,76.0,1.45
selina,numerical,4,58,147.0,42.0,129.2,72.0,0.95
selina,numerical,4,59,148.5,42.0,130.2,69.0,0.33
selina,numerical,4,60,150.0,42.0,130.2,61.0,1.33
selina,numerical,4,61,151.5,42.0,132.2,55.0,0.12
selina,numerical,4,62,153.0,42.0,133.2,52.0,0.48
selina,numerical,4,63,154.5,42.0,134.2,50.0,1.21
selina,numerical,4,64,156.0,42.0,134.2,47.0,0.82
selina,numerical,4,65,157.5,42.0,134.2,44.0,0.06
selina,numerical,4,66,159.0,42.0,134.2,42.0,0.75
selina,numerical,4,67,160.5,42.0,135.2,40.0,2.0
selina,numerical,4,68,162.0,47.02,144.2,40.0,2.0
selina,numerical,4,69,163.5,60.3,149.2,40.0,2.0
selina,numerical,4,70,165.0,74.47,151.2,40.0,2.0
selina,numerical,4,71,166.5,89.39,153.2,40.0,2.0
selina,numerical,4,72,168.0,104.91,155.2,41.0,1.0
selina,numerical,4,73,169.5,120.89,156.2,42.0,0.0
selina,numerical,4,74,171.0,137.17,157.2,43.0,1.0
selina,numerical,4,75,172.5,153.58,158.2,44.0,2.0
selina,numerical,4,76,174.0,169.97,158.2,45.0,3.0
selina,numerical,4,77,175.5,186.19,158.2,47.0,3.64
selina,numerical,4,78,177.0,202.09,160.2,49.0,2.01
selina,numerical,4,79,178.5,217.52,161.2,51.0,1.24
selina,numerical,4,80,180.0,232.35,162.2,54.0,0.59
selina,numerical,4,81,181.5,246.45,162.2,58.0,1.03
selina,numerical,4,82,183.0,259.72,162.2,65.0,1.79
selina,numerical,4,83,184.5,272.05,164.2,74.0,0.75
selina,numerical,4,84,186.0,283.37,165.2,80.0,0.35
selina,numerical,4,85,187.5,293.6,165.2,85.0,0.85
selina,numerical,4,86,189.0,302.7,166.2,91.0,0.45
selina,numerical,4,87,190.5,310.62,167.2,96.0,0.06
selina,numerical,4,88,192.0,317.35,168.2,105.0,0.19
selina,numerical,4,89,193.5,322.89,169.2,113.0,0.44
selina,numerical,4,90,195.0,327.24,169.2,121.0,0.31
selina,numerical,4,91,196.5,330.45,169.2,130.0,1.13
selina,numerical,4,92,198.0,332.55,169.2,134.0,1.5
selina,numerical,4,93,199.5,333.6,170.2,140.0,1.05
selina,numerical,4,94,201.0,333.68,171.2,156.0,1.51
selina,numerical,4,95,202.5,332.85,173.2,164.0,0.25
selina,numerical,4,96,204.0,331.22,176.2,177.0,1.54
selina,numerical,4,97,205.5,328.88,176.2,185.0,0.81
selina,numerical,4,98,207.0,325.93,176.2,196.0,0.22
selina,numerical,4,99,208.5,322.47,176.2,205.0,1.08
selina,numerical,4,100,210.0,318.62,177.2,219.0,1.44
selina,numerical,4,101,211.5,314.48,181.2,235.0,0.91
selina,numerical,4,102,213.0,310.15,182.2,241.0,1.27
selina,numerical,4,103,214.5,305.73,183.2,248.0,1.52
selina,numerical,4,104,216.0,301.33,183.2,256.0,0.62
selina,numerical,4,105,217.5,297.02,183.2,265.0,0.44
selina,numerical,4,106,219.0,292.88,186.2,277.0,1.04
selina,numerical,4,107,220.5,288.98,188.2,285.0,1.94
selina,numerical,4,108,222.0,285.37,189.2,293.0,1.77
selina,numerical,4,109,223.5,282.1,190.2,302.0,1.3
selina,numerical,4,110,225.0,279.19,190.2,307.0,0.38
selina,numerical,4,111,226.5,276.66,191.2,312.0,0.38
selina,numerical,4,112,228.0,274.52,193.2,316.0,1.46
selina,numerical,4,113,229.5,272.75,193.2,324.0,0.65
selina,numerical,4,114,231.0,271.33,195.2,328.0,0.14
selina,numerical,4,115,232.5,270.23,197.2,330.0,0.82
selina,numerical,4,116,234.0,269.38,198.2,331.0,1.06
selina,numerical,4,117,235.5,268.75,199.2,331.0,1.88
selina,numerical,4,118,237.0,268.25,200.2,332.0,1.64
selina,numerical,4,119,238.5,267.81,202.2,329.0,2.71
selina,numerical,4,120,240.0,267.35,204.2,327.0,2.01
selina,numerical,4,121,241.5,266.78,206.2,324.0,1.5
selina,numerical,4,122,243.0,266.01,208.2,319.0,1.54
selina,numerical,4,123,244.5,264.96,210.2,312.0,2.04
selina,numerical,4,124,246.0,263.52,214.2,303.0,1.17
selina,numerical,4,125,247.5,261.62,216.2,297.0,1.23
selina,numerical,4,126,249.0,259.18,218.2,293.0,0.71
selina,numerical,4,127,250.5,256.1,220.2,289.0,0.27
selina,numerical,4,128,252.0,252.34,224.2,281.0,0.12
selina,numerical,4,129,253.5,247.83,227.2,276.0,0.19
selina,numerical,4,130,255.0,242.52,230.2,274.0,1.34
selina,numerical,4,131,256.5,236.39,234.2,271.0,1.51
selina,numerical,4,132,258.0,229.4,237.2,269.0,0.78
selina,numerical,4,133,259.5,221.57,240.2,268.0,0.68
selina,numerical,4,134,261.0,212.88,244.2,265.0,0.14
selina,numerical,4,135,262.5,203.38,246.2,262.0,0.79
selina,numerical,4,136,264.0,193.09,250.2,257.0,0.12
selina,numerical,4,137,265.5,182.08,252.2,249.0,0.86
selina,numerical,4,138,267.0,170.41,253.2,244.0,1.33
selina,numerical,4,139,268.5,158.17,255.2,238.0,0.88
selina,numerical,4,140,270.0,145.45,256.2,231.0,1.42
selina,numerical,4,141,271.5,132.35,258.2,223.0,1.01
selina,numerical,4,142,273.0,119.01,259.2,211.0,2.07
selina,numerical,4,143,274.5,105.55,261.2,202.0,1.49
selina,numerical,4,144,276.0,92.09,263.2,198.0,0.08
selina,numerical,4,145,277.5,78.79,264.2,193.0,0.19
selina,numerical,4,146,279.0,65.78,265.2,187.0,0.37
selina,numerical,4,147,280.5,53.21,266.2,178.0,0.17
