participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
shiv,spatial-color,4,0,60.0,336.46,59.0,337.2,1.24
shiv,spatial-color,4,1,61.5,331.7,59.0,334.2,1.63
shiv,spatial-color,4,2,63.0,326.48,60.0,332.2,1.28
shiv,spatial-color,4,3,64.5,320.91,61.0,329.2,1.17
shiv,spatial-color,4,4,66.0,315.1,61.0,327.2,1.72
shiv,spatial-color,4,5,67.5,309.16,62.0,326.2,1.04
shiv,spatial-color,4,6,69.0,303.19,63.0,323.2,0.85
shiv,spatial-color,4,7,70.5,297.29,64.0,320.2,0.66
shiv,spatial-color,4,8,72.0,291.54,65.0,318.2,0.19
shiv,spatial-color,4,9,73.5,286.02,66.0,315.2,0.02
shiv,spatial-color,4,10,75.0,280.79,67.0,311.2,0.01
shiv,spatial-color,4,11,76.5,275.91,68.0,307.2,0.01
shiv,spatial-color,4,12,78.0,271.41,69.0,301.2,0.49
shiv,spatial-color,4,13,79.5,267.32,70.0,294.2,1.26
shiv,spatial-color,4,14,81.0,263.66,71.0,290.2,1.32
shiv,spatial-color,4,15,82.5,260.42,71.0,288.2,1.84
shiv,spatial-color,4,16,84.0,257.59,72.0,286.2,1.4
shiv,spatial-color,4,17,85.5,255.15,73.0,283.2,1.26
shiv,spatial-color,4,18,87.0,253.04,74.0,281.2,0.85
shiv,spatial-color,4,19,88.5,251.22,76.0,276.2,0.39
shiv,spatial-color,4,20,90.0,249.64,78.0,271.2,0.07
shiv,spatial-color,4,21,91.5,248.21,80.0,266.2,0.04
shiv,spatial-color,4,22,93.0,246.86,82.0,261.2,0.13
shiv,spatial-color,4,23,94.5,245.52,84.0,258.2,0.28
shiv,spatial-color,4,24,96.0,244.09,87.0,254.2,0.67
shiv,spatial-color,4,25,97.5,242.49,88.0,253.2,0.87
shiv,spatial-color,4,26,99.0,240.63,90.0,251.2,1.07
shiv,spatial-color,4,27,100.5,238.42,91.0,248.2,0.35
shiv,spatial-color,4,28,102.0,235.79,94.0,246.2,0.17
shiv,spatial-color,4,29,103.5,232.64,96.0,241.2,1.98
shiv,spatial-color,4,30,105.0,228.93,97.0,239.2,2.46
shiv,spatial-color,4,31,106.5,224.58,98.0,236.2,3.27
shiv,spatial-color,4,32,108.0,219.54,101.0,229.2,3.61
shiv,spatial-color,4,33,109.5,213.79,102.0,224.2,4.38
shiv,spatial-color,4,34,111.0,207.29,103.0,219.2,4.89
shiv,spatial-color,4,35,112.5,200.02,104.0,216.2,4.71
shiv,spatial-color,4,36,114.0,192.01,105.0,214.2,4.25
shiv,spatial-color,4,37,115.5,183.26,107.0,211.2,3.02
shiv,spatial-color,4,38,117.0,173.8,109.0,206.2,2.18
shiv,spatial-color,4,39,118.5,163.68,110.0,203.2,1.81
shiv,spatial-color,4,40,120.0,152.97,111.0,202.2,1.03
shiv,spatial-color,4,41,121.5,141.74,111.0,198.2,1.81
shiv,spatial-color,4,42,123.0,130.09,113.0,194.2,0.58
shiv,spatial-color,4,43,124.5,118.1,113.0,192.2,0.95
shiv,spatial-color,4,44,126.0,105.89,114.0,188.2,0.64
shiv,spatial-color,4,45,127.5,93.59,115.0,183.2,0.5
shiv,spatial-color,4,46,129.0,81.32,116.0,179.2,0.14
shiv,spatial-color,4,47,130.5,69.22,117.0,173.2,0.09
shiv,spatial-color,4,48,132.0,57.42,118.0,166.2,0.13
shiv,spatial-color,4,49,133.5,46.06,119.0,160.2,0.01
shiv,spatial-color,4,50,135.0,42.0,120.0,157.2,0.59
shiv,spatial-color,4,51,136.5,42.0,121.0,151.2,0.76
shiv,spatial-color,4,52,138.0,42.0,122.0,139.2,0.17
shiv,spatial-color,4,53,139.5,42.0,123.0,133.2,0.4
shiv,spatial-color,4,54,141.0,42.0,124.0,129.2,0.88
shiv,spatial-color,4,55,142.5,42.0,125.0,126.2,1.5
shiv,spatial-color,4,56,144.0,42.0,126.0,124.2,2.25
shiv,spatial-color,4,57,145.5,42.0,126.0,120.2,1.75
shiv,spatial-color,4,58,147.0,42.0,126.0,115.2,1.14
shiv,spatial-color,4,59,148.5,42.0,126.0,110.2,0.53
shiv,spatial-color,4,60,150.0,42.0,127.0,107.2,1.15
shiv,spatial-color,4,61,151.5,42.0,128.0,102.2,1.54
shiv,spatial-color,4,62,153.0,42.0,130.0,95.2,2.68
shiv,spatial-color,4,63,154.5,42.0,130.0,86.2,1.58
shiv,spatial-color,4,64,156.0,42.0,130.0,77.2,0.49
shiv,spatial-color,4,65,157.5,42.0,130.0,73.2,0.01
shiv,spatial-color,4,66,159.0,42.0,131.0,67.2,0.24
shiv,spatial-color,4,67,160.5,42.0,132.0,61.2,0.48
shiv,spatial-color,4,68,162.0,47.02,133.0,58.2,1.09
shiv,spatial-color,4,69,163.5,60.3,134.0,54.2,1.56
shiv,spatial-color,4,70,165.0,74.47,135.0,51.2,2.16
shiv,spatial-color,4,71,166.5,89.39,136.0,46.2,2.39
shiv,spatial-color,4,72,168.0,104.91,137.0,43.2,1.2
shiv,spatial-color,4,73,169.5,120.89,137.0,42.2,0.2
shiv,spatial-color,4,74,171.0,137.17,139.0,41.2,0.8
shiv,spatial-color,4,75,172.5,153.58,142.0,41.2,0.8
shiv,spatial-color,4,76,174.0,169.97,145.0,41.2,0.8
shiv,spatial-color,4,77,175.5,186.19,150.0,41.2,0.8
shiv,spatial-color,4,78,177.0,202.09,154.0,41.2,0.8
shiv,spatial-color,4,79,178.5,217.52,156.0,41.2,0.8
shiv,spatial-color,4,80,180.0,232.35,158.0,41.2,0.8
shiv,spatial-color,4,81,181.5,246.45,159.0,41.2,0.8
shiv,spatial-color,4,82,183.0,259.72,161.0,42.2,0.42
shiv,spatial-color,4,83,184.5,272.05,161.0,50.2,1.35
shiv,spatial-color,4,84,186.0,283.37,162.0,59.2,1.37
shiv,spatial-color,4,85,187.5,293.6,162.0,64.2,1.9
shiv,spatial-color,4,86,189.0,302.7,163.0,67.2,1.22
shiv,spatial-color,4,87,190.5,310.62,163.0,74.2,1.96
shiv,spatial-color,4,88,192.0,317.35,164.0,79.2,1.47
shiv,spatial-color,4,89,193.5,322.89,165.0,84.2,0.97
shiv,spatial-color,4,90,195.0,327.24,166.0,90.2,0.58
