participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
shiv,no-feedback,1,0,60.0,336.46,60.0,335.2,0.38
shiv,no-feedback,1,1,61.5,331.7,60.0,331.2,1.58
shiv,no-feedback,1,2,63.0,326.48,61.0,326.2,2.0
shiv,no-feedback,1,3,64.5,320.91,62.0,323.2,1.82
shiv,no-feedback,1,4,66.0,315.1,63.0,322.2,1.11
shiv,no-feedback,1,5,67.5,309.16,64.0,319.2,0.91
shiv,no-feedback,1,6,69.0,303.19,64.0,314.2,2.16
shiv,no-feedback,1,7,70.5,297.29,64.0,311.2,2.9
shiv,no-feedback,1,8,72.0,291.54,65.0,309.2,2.42
shiv,no-feedback,1,9,73.5,286.02,67.0,307.2,0.96
shiv,no-feedback,1,10,75.0,280.79,69.0,303.2,0.0
shiv,no-feedback,1,11,76.5,275.91,70.0,298.2,0.26
shiv,no-feedback,1,12,78.0,271.41,72.0,294.2,0.67
shiv,no-feedback,1,13,79.5,267.32,73.0,289.2,0.35
shiv,no-feedback,1,14,81.0,263.66,74.0,286.2,0.53
shiv,no-feedback,1,15,82.5,260.42,74.0,282.2,0.57
shiv,no-feedback,1,16,84.0,257.59,75.0,278.2,0.76
shiv,no-feedback,1,17,85.5,255.15,76.0,274.2,1.01
shiv,no-feedback,1,18,87.0,253.04,78.0,269.2,0.76
shiv,no-feedback,1,19,88.5,251.22,80.0,263.2,1.1
shiv,no-feedback,1,20,90.0,249.64,82.0,258.2,1.48
shiv,no-feedback,1,21,91.5,248.21,83.0,256.2,1.58
shiv,no-feedback,1,22,93.0,246.86,86.0,251.2,1.94
shiv,no-feedback,1,23,94.5,245.52,88.0,249.2,1.75
shiv,no-feedback,1,24,96.0,244.09,91.0,247.2,1.08
shiv,no-feedback,1,25,97.5,242.49,93.0,246.2,0.5
shiv,no-feedback,1,26,99.0,240.63,94.0,245.2,0.57
shiv,no-feedback,1,27,100.5,238.42,96.0,241.2,1.98
shiv,no-feedback,1,28,102.0,235.79,98.0,237.2,2.76
shiv,no-feedback,1,29,103.5,232.64,99.0,235.2,2.9
shiv,no-feedback,1,30,105.0,228.93,101.0,230.2,3.23
shiv,no-feedback,1,31,106.5,224.58,103.0,226.2,2.78
shiv,no-feedback,1,32,108.0,219.54,106.0,221.2,1.44
shiv,no-feedback,1,33,109.5,213.79,107.0,218.2,1.31
shiv,no-feedback,1,34,111.0,207.29,110.0,212.2,0.13
shiv,no-feedback,1,35,112.5,200.02,112.0,205.2,0.56
shiv,no-feedback,1,36,114.0,192.01,115.0,198.2,2.12
shiv,no-feedback,1,37,115.5,183.26,116.0,194.2,2.37
shiv,no-feedback,1,38,117.0,173.8,117.0,190.2,2.65
shiv,no-feedback,1,39,118.5,163.68,118.0,184.2,2.62
shiv,no-feedback,1,40,120.0,152.97,119.0,181.2,3.13
shiv,no-feedback,1,41,121.5,141.74,119.0,177.2,2.51
shiv,no-feedback,1,42,123.0,130.09,120.0,168.2,2.15
shiv,no-feedback,1,43,124.5,118.1,121.0,161.2,2.13
shiv,no-feedback,1,44,126.0,105.89,122.0,155.2,2.29
shiv,no-feedback,1,45,127.5,93.59,122.0,152.2,1.88
shiv,no-feedback,1,46,129.0,81.32,123.0,144.2,1.81
shiv,no-feedback,1,47,130.5,69.22,125.0,137.2,2.89
shiv,no-feedback,1,48,132.0,57.42,127.0,127.2,3.61
shiv,no-feedback,1,49,133.5,46.06,128.0,117.2,3.36
shiv,no-feedback,1,50,135.0,42.0,129.0,105.2,2.89
shiv,no-feedback,1,51,136.5,42.0,132.0,95.2,4.66
shiv,no-feedback,1,52,138.0,42.0,133.0,91.2,5.17
shiv,no-feedback,1,53,139.5,42.0,134.0,84.2,5.31
shiv,no-feedback,1,54,141.0,42.0,135.0,76.2,5.32
shiv,no-feedback,1,55,142.5,42.0,135.0,66.2,4.08
shiv,no-feedback,1,56,144.0,42.0,135.0,61.2,3.45
shiv,no-feedback,1,57,145.5,42.0,136.0,59.2,4.19
shiv,no-feedback,1,58,147.0,42.0,136.0,44.2,1.7
shiv,no-feedback,1,59,148.5,42.0,136.0,40.2,1.8
shiv,no-feedback,1,60,150.0,42.0,136.0,39.2,2.8
shiv,no-feedback,1,61,151.5,42.0,138.0,39.2,2.8
shiv,no-feedback,1,62,153.0,42.0,141.0,40.2,1.8
shiv,no-feedback,1,63,154.5,42.0,143.0,40.2,1.8
shiv,no-feedback,1,64,156.0,42.0,145.0,40.2,1.8
shiv,no-feedback,1,65,157.5,42.0,148.0,40.2,1.8
shiv,no-feedback,1,66,159.0,42.0,151.0,40.2,1.8
shiv,no-feedback,1,67,160.5,42.0,153.0,40.2,1.8
shiv,no-feedback,1,68,162.0,47.02,155.0,41.2,0.8
shiv,no-feedback,1,69,163.5,60.3,156.0,41.2,0.8
shiv,no-feedback,1,70,165.0,74.47,158.0,41.2,0.8
shiv,no-feedback,1,71,166.5,89.39,159.0,43.2,1.2
shiv,no-feedback,1,72,168.0,104.91,159.0,46.2,2.64
shiv,no-feedback,1,73,169.5,120.89,159.0,48.2,3.11
shiv,no-feedback,1,74,171.0,137.17,161.0,51.2,1.46
shiv,no-feedback,1,75,172.5,153.58,161.0,54.2,1.8
shiv,no-feedback,1,76,174.0,169.97,162.0,61.2,1.59
shiv,no-feedback,1,77,175.5,186.19,162.0,65.2,2.01
shiv,no-feedback,1,78,177.0,202.09,163.0,71.2,1.65
shiv,no-feedback,1,79,178.5,217.52,165.0,76.2,0.17
shiv,no-feedback,1,80,180.0,232.35,166.0,81.2,0.32
shiv,no-feedback,1,81,181.5,246.45,166.0,87.2,0.28
shiv,no-feedback,1,82,183.0,259.72,166.0,93.2,0.86
shiv,no-feedback,1,83,184.5,272.05,166.0,100.2,1.54
shiv,no-feedback,1,84,186.0,283.37,168.0,106.2,0.12
shiv,no-feedback,1,85,187.5,293.6,169.0,114.2,0.13
shiv,no-feedback,1,86,189.0,302.7,170.0,118.2,0.75
shiv,no-feedback,1,87,190.5,310.62,170.0,132.2,0.54
shiv,no-feedback,1,88,192.0,317.35,170.0,136.2,0.91
shiv,no-feedback,1,89,193.5,322.89,171.0,145.2,0.73
shiv,no-feedback,1,90,195.0,327.24,172.0,165.2,1.56
shiv,no-feedback,1,91,196.5,330.45,172.0,172.2,2.2
shiv,no-feedback,1,92,198.0,332.55,172.0,177.2,2.66
shiv,no-feedback,1,93,199.5,333.6,173.0,183.2,2.21
shiv,no-feedback,1,94,201.0,333.68,173.0,187.2,2.58
shiv,no-feedback,1,95,202.5,332.85,174.0,194.2,2.25
shiv,no-feedback,1,96,204.0,331.22,177.0,202.2,0.01
shiv,no-feedback,1,97,205.5,328.88,179.0,209.2,1.3
shiv,no-feedback,1,98,207.0,325.93,182.0,214.2,3.8
shiv,no-feedback,1,99,208.5,322.47,182.0,221.2,3.11
shiv,no-feedback,1,100,210.0,318.62,182.0,231.2,2.11
shiv,no-feedback,1,101,211.5,314.48,182.0,239.2,1.26
shiv,no-feedback,1,102,213.0,310.15,182.0,246.2,0.52
shiv,no-feedback,1,103,214.5,305.73,184.0,258.2,1.16
shiv,no-feedback,1,104,216.0,301.33,185.0,267.2,1.08
shiv,no-feedback,1,105,217.5,297.02,187.0,276.2,1.93
shiv,no-feedback,1,106,219.0,292.88,188.0,288.2,1.28
shiv,no-feedback,1,107,220.5,288.98,189.0,298.2,0.73
shiv,no-feedback,1,108,222.0,285.37,191.0,303.2,1.87
shiv,no-feedback,1,109,223.5,282.1,192.0,308.2,1.92
shiv,no-feedback,1,110,225.0,279.19,193.0,316.2,1.23
shiv,no-feedback,1,111,226.5,276.66,194.0,321.2,0.92
shiv,no-feedback,1,112,228.0,274.52,197.0,327.2,1.83
shiv,no-feedback,1,113,229.5,272.75,198.0,328.2,2.31
shiv,no-feedback,1,114,231.0,271.33,200.0,329.2,3.57
shiv,no-feedback,1,115,232.5,270.23,201.0,331.2,2.17
shiv,no-feedback,1,116,234.0,269.38,202.0,331.2,1.49
shiv,no-feedback,1,117,235.5,268.75,203.0,331.2,0.75
shiv,no-feedback,1,118,237.0,268.25,205.0,329.2,0.25
shiv,no-feedback,1,119,238.5,267.81,205.0,328.2,0.75
shiv,no-feedback,1,120,240.0,267.35,206.0,324.2,1.61
shiv,no-feedback,1,121,241.5,266.78,208.0,318.2,2.02
shiv,no-feedback,1,122,243.0,266.01,211.0,309.2,2.2
shiv,no-feedback,1,123,244.5,264.96,212.0,307.2,1.9
shiv,no-feedback,1,124,246.0,263.52,214.0,302.2,1.61
shiv,no-feedback,1,125,247.5,261.62,215.0,300.2,1.32
shiv,no-feedback,1,126,249.0,259.18,216.0,298.2,1.03
shiv,no-feedback,1,127,250.5,256.1,219.0,295.2,0.79
shiv,no-feedback,1,128,252.0,252.34,222.0,292.2,2.56
shiv,no-feedback,1,129,253.5,247.83,225.0,290.2,4.62
shiv,no-feedback,1,130,255.0,242.52,226.0,287.2,4.4
shiv,no-feedback,1,131,256.5,236.39,228.0,281.2,3.59
shiv,no-feedback,1,132,258.0,229.4,228.0,279.2,2.59
shiv,no-feedback,1,133,259.5,221.57,229.0,277.2,2.36
shiv,no-feedback,1,134,261.0,212.88,230.0,275.2,1.96
shiv,no-feedback,1,135,262.5,203.38,233.0,271.2,1.08
shiv,no-feedback,1,136,264.0,193.09,238.0,268.2,0.23
shiv,no-feedback,1,137,265.5,182.08,241.0,267.2,0.21
shiv,no-feedback,1,138,267.0,170.41,245.0,266.2,1.3
shiv,no-feedback,1,139,268.5,158.17,247.0,263.2,0.58
shiv,no-feedback,1,140,270.0,145.45,249.0,258.2,0.43
shiv,no-feedback,1,141,271.5,132.35,252.0,251.2,0.36
shiv,no-feedback,1,142,273.0,119.01,255.0,242.2,0.08
shiv,no-feedback,1,143,274.5,105.55,258.0,234.2,1.01
shiv,no-feedback,1,144,276.0,92.09,261.0,228.2,2.72
shiv,no-feedback,1,145,277.5,78.79,262.0,222.2,2.57
shiv,no-feedback,1,146,279.0,65.78,263.0,220.2,3.22
shiv,no-feedback,1,147,280.5,53.21,264.0,198.2,0.74
shiv,no-feedback,1,148,282.0,42.0,266.0,189.2,1.46
shiv,no-feedback,1,149,283.5,42.0,267.0,181.2,1.38
shiv,no-feedback,1,150,285.0,42.0,268.0,178.2,1.98
shiv,no-feedback,1,151,286.5,42.0,270.0,169.2,2.83
shiv,no-feedback,1,152,288.0,42.0,273.0,152.2,3.77
shiv,no-feedback,1,153,289.5,42.0,275.0,138.2,4.14
shiv,no-feedback,1,154,291.0,42.0,277.0,123.2,4.44
shiv,no-feedback,1,155,292.5,42.0,278.0,115.2,4.55
shiv,no-feedback,1,156,294.0,42.0,279.0,104.2,4.32
shiv,no-feedback,1,157,295.5,42.0,280.0,95.2,4.32
shiv,no-feedback,1,158,297.0,42.0,280.0,90.2,3.76
shiv,no-feedback,1,159,298.5,42.0,280.0,83.2,2.98
shiv,no-feedback,1,160,300.0,42.0,281.0,78.2,3.41
shiv,no-feedback,1,161,301.5,42.0,282.0,73.2,3.83
shiv,no-feedback,1,162,303.0,42.0,283.0,65.2,3.9
shiv,no-feedback,1,163,304.5,42.0,284.0,58.2,4.07
shiv,no-feedback,1,164,306.0,42.0,284.0,49.2,2.94
shiv,no-feedback,1,165,307.5,42.0,284.0,47.2,2.67
shiv,no-feedback,1,166,309.0,42.0,285.0,42.2,0.2
shiv,no-feedback,1,167,310.5,46.82,285.0,41.2,0.8
shiv,no-feedback,1,168,312.0,60.21,291.0,41.2,0.8
shiv,no-feedback,1,169,313.5,74.37,295.0,41.2,0.8
shiv,no-feedback,1,170,315.0,89.18,302.0,41.2,0.8
shiv,no-feedback,1,171,316.5,104.47,304.0,41.2,0.8
shiv,no-feedback,1,172,318.0,120.09,306.0,41.2,0.8
shiv,no-feedback,1,173,319.5,135.88,308.0,46.2,2.2
shiv,no-feedback,1,174,321.0,151.69,309.0,50.2,1.87
shiv,no-feedback,1,175,322.5,167.38,309.0,54.2,2.31
shiv,no-feedback,1,176,324.0,182.79,311.0,57.2,0.66
shiv,no-feedback,1,177,325.5,197.78,312.0,62.2,0.21
shiv,no-feedback,1,178,327.0,212.23,312.0,68.2,0.84
shiv,no-feedback,1,179,328.5,226.01,312.0,77.2,1.78
shiv,no-feedback,1,180,330.0,239.02,312.0,86.2,2.68
shiv,no-feedback,1,181,331.5,251.17,314.0,93.2,1.39
shiv,no-feedback,1,182,333.0,262.37,314.0,99.2,1.97
shiv,no-feedback,1,183,334.5,272.57,315.0,106.2,1.66
shiv,no-feedback,1,184,336.0,281.7,315.0,118.2,2.81
shiv,no-feedback,1,185,337.5,289.76,316.0,125.2,2.47
shiv,no-feedback,1,186,339.0,296.7,318.0,140.2,1.9
shiv,no-feedback,1,187,340.5,302.55,319.0,159.2,2.71
shiv,no-feedback,1,188,342.0,307.31,320.0,174.2,3.15
shiv,no-feedback,1,189,343.5,311.02,321.0,189.2,3.62
shiv,no-feedback,1,190,345.0,313.71,324.0,194.2,1.14
shiv,no-feedback,1,191,346.5,315.46,326.0,204.2,0.17
shiv,no-feedback,1,192,348.0,316.32,328.0,216.2,0.56
shiv,no-feedback,1,193,349.5,316.38,328.0,226.2,0.52
shiv,no-feedback,1,194,351.0,315.72,330.0,238.2,0.09
shiv,no-feedback,1,195,352.5,314.45,331.0,247.2,0.01
shiv,no-feedback,1,196,354.0,312.65,332.0,254.2,0.09
shiv,no-feedback,1,197,355.5,310.43,334.0,265.2,0.58
shiv,no-feedback,1,198,357.0,307.89,338.0,281.2,2.06
shiv,no-feedback,1,199,358.5,305.13,341.0,289.2,3.54
shiv,no-feedback,1,200,360.0,302.25,344.0,298.2,4.47
shiv,no-feedback,1,201,361.5,299.34,344.0,303.2,3.14
shiv,no-feedback,1,202,363.0,296.49,346.0,310.2,2.58
shiv,no-feedback,1,203,364.5,293.77,347.0,313.2,1.85
shiv,no-feedback,1,204,366.0,291.25,348.0,314.2,1.84
shiv,no-feedback,1,205,367.5,288.99,351.0,315.2,0.4
shiv,no-feedback,1,206,369.0,287.03,354.0,313.2,0.35
shiv,no-feedback,1,207,370.5,285.41,357.0,306.2,0.81
shiv,no-feedback,1,208,372.0,284.14,359.0,301.2,1.37
shiv,no-feedback,1,209,373.5,283.24,361.0,294.2,2.86
shiv,no-feedback,1,210,375.0,282.69,364.0,291.2,1.74
shiv,no-feedback,1,211,376.5,282.47,370.0,285.2,0.51
shiv,no-feedback,1,212,378.0,282.55,374.0,283.2,0.14
shiv,no-feedback,1,213,379.5,282.88,379.0,281.2,1.53
shiv,no-feedback,1,214,381.0,283.41,385.0,281.2,3.66
shiv,no-feedback,1,215,382.5,284.07,388.0,283.2,2.97
shiv,no-feedback,1,216,384.0,284.78,391.0,284.2,1.86
shiv,no-feedback,1,217,385.5,285.46,392.0,284.2,1.37
shiv,no-feedback,1,218,387.0,286.02,394.0,278.2,3.41
shiv,no-feedback,1,219,388.5,286.37,397.0,273.2,2.54
shiv,no-feedback,1,220,390.0,286.41,400.0,270.2,0.63
shiv,no-feedback,1,221,391.5,286.06,402.0,266.2,0.23
shiv,no-feedback,1,222,393.0,285.21,404.0,262.2,1.22
shiv,no-feedback,1,223,394.5,283.79,405.0,256.2,0.9
