participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
soham,no-feedback,1,0,60.0,336.46,59.0,336.2,1.03
soham,no-feedback,1,1,61.5,331.7,65.0,326.2,1.86
soham,no-feedback,1,2,63.0,326.48,65.0,322.2,0.82
soham,no-feedback,1,3,64.5,320.91,66.0,317.2,0.52
soham,no-feedback,1,4,66.0,315.1,66.0,313.2,0.47
soham,no-feedback,1,5,67.5,309.16,66.0,309.2,1.45
soham,no-feedback,1,6,69.0,303.19,67.0,305.2,1.45
soham,no-feedback,1,7,70.5,297.29,68.0,302.2,1.21
soham,no-feedback,1,8,72.0,291.54,69.0,299.2,0.98
soham,no-feedback,1,9,73.5,286.02,70.0,295.2,1.01
soham,no-feedback,1,10,75.0,280.79,71.0,292.2,0.8
soham,no-feedback,1,11,76.5,275.91,72.0,290.2,0.35
soham,no-feedback,1,12,78.0,271.41,73.0,286.2,0.43
soham,no-feedback,1,13,79.5,267.32,74.0,282.2,0.57
soham,no-feedback,1,14,81.0,263.66,75.0,279.2,0.47
soham,no-feedback,1,15,82.5,260.42,76.0,274.2,1.01
soham,no-feedback,1,16,84.0,257.59,77.0,270.2,1.36
soham,no-feedback,1,17,85.5,255.15,79.0,267.2,0.51
soham,no-feedback,1,18,87.0,253.04,80.0,264.2,0.72
soham,no-feedback,1,19,88.5,251.22,82.0,260.2,0.55
soham,no-feedback,1,20,90.0,249.64,85.0,256.2,0.12
soham,no-feedback,1,21,91.5,248.21,86.0,253.2,0.72
soham,no-feedback,1,22,93.0,246.86,87.0,252.2,0.53
soham,no-feedback,1,23,94.5,245.52,89.0,251.2,0.35
soham,no-feedback,1,24,96.0,244.09,91.0,248.2,0.35
soham,no-feedback,1,25,97.5,242.49,93.0,246.2,0.5
soham,no-feedback,1,26,99.0,240.63,94.0,245.2,0.57
soham,no-feedback,1,27,100.5,238.42,96.0,242.2,1.29
soham,no-feedback,1,28,102.0,235.79,98.0,240.2,1.05
soham,no-feedback,1,29,103.5,232.64,100.0,236.2,1.53
soham,no-feedback,1,30,105.0,228.93,102.0,234.2,0.68
soham,no-feedback,1,31,106.5,224.58,104.0,228.2,1.18
soham,no-feedback,1,32,108.0,219.54,106.0,225.2,0.27
soham,no-feedback,1,33,109.5,213.79,107.0,221.2,0.49
soham,no-feedback,1,34,111.0,207.29,109.0,212.2,0.84
soham,no-feedback,1,35,112.5,200.02,110.0,207.2,0.99
soham,no-feedback,1,36,114.0,192.01,112.0,198.2,0.83
soham,no-feedback,1,37,115.5,183.26,113.0,193.2,0.76
soham,no-feedback,1,38,117.0,173.8,114.0,190.2,0.31
soham,no-feedback,1,39,118.5,163.68,115.0,183.2,0.5
soham,no-feedback,1,40,120.0,152.97,115.0,178.2,1.29
soham,no-feedback,1,41,121.5,141.74,116.0,174.2,0.92
soham,no-feedback,1,42,123.0,130.09,117.0,169.2,0.67
soham,no-feedback,1,43,124.5,118.1,118.0,162.2,0.7
soham,no-feedback,1,44,126.0,105.89,120.0,158.2,0.73
soham,no-feedback,1,45,127.5,93.59,120.0,155.2,0.31
soham,no-feedback,1,46,129.0,81.32,120.0,151.2,0.23
soham,no-feedback,1,47,130.5,69.22,121.0,144.2,0.17
soham,no-feedback,1,48,132.0,57.42,122.0,140.2,0.3
soham,no-feedback,1,49,133.5,46.06,122.0,134.2,0.47
soham,no-feedback,1,50,135.0,42.0,123.0,126.2,0.48
soham,no-feedback,1,51,136.5,42.0,125.0,115.2,0.14
soham,no-feedback,1,52,138.0,42.0,127.0,108.2,1.27
soham,no-feedback,1,53,139.5,42.0,128.0,102.2,1.54
soham,no-feedback,1,54,141.0,42.0,128.0,88.2,0.16
soham,no-feedback,1,55,142.5,42.0,129.0,81.2,0.02
soham,no-feedback,1,56,144.0,42.0,130.0,72.2,0.13
soham,no-feedback,1,57,145.5,42.0,132.0,59.2,0.22
soham,no-feedback,1,58,147.0,42.0,133.0,52.2,0.31
soham,no-feedback,1,59,148.5,42.0,133.0,46.2,0.48
soham,no-feedback,1,60,150.0,42.0,134.0,41.2,1.28
soham,no-feedback,1,61,151.5,42.0,137.0,41.2,0.8
soham,no-feedback,1,62,153.0,42.0,139.0,41.2,0.8
soham,no-feedback,1,63,154.5,42.0,141.0,41.2,0.8
soham,no-feedback,1,64,156.0,42.0,144.0,41.2,0.8
soham,no-feedback,1,65,157.5,42.0,148.0,41.2,0.8
soham,no-feedback,1,66,159.0,42.0,150.0,41.2,0.8
soham,no-feedback,1,67,160.5,42.0,153.0,41.2,0.8
soham,no-feedback,1,68,162.0,47.02,155.0,41.2,0.8
soham,no-feedback,1,69,163.5,60.3,157.0,41.2,0.8
soham,no-feedback,1,70,165.0,74.47,159.0,41.2,0.8
soham,no-feedback,1,71,166.5,89.39,161.0,44.2,0.15
soham,no-feedback,1,72,168.0,104.91,161.0,47.2,1.01
soham,no-feedback,1,73,169.5,120.89,161.0,52.2,1.58
soham,no-feedback,1,74,171.0,137.17,161.0,55.2,1.91
soham,no-feedback,1,75,172.5,153.58,163.0,62.2,0.7
soham,no-feedback,1,76,174.0,169.97,163.0,69.2,1.43
soham,no-feedback,1,77,175.5,186.19,163.0,78.2,2.36
soham,no-feedback,1,78,177.0,202.09,164.0,83.2,1.87
soham,no-feedback,1,79,178.5,217.52,165.0,89.2,1.47
soham,no-feedback,1,80,180.0,232.35,166.0,95.2,1.06
soham,no-feedback,1,81,181.5,246.45,167.0,101.2,0.64
soham,no-feedback,1,82,183.0,259.72,168.0,108.2,0.31
soham,no-feedback,1,83,184.5,272.05,169.0,114.2,0.13
soham,no-feedback,1,84,186.0,283.37,169.0,122.2,0.62
soham,no-feedback,1,85,187.5,293.6,169.0,132.2,1.54
soham,no-feedback,1,86,189.0,302.7,169.0,137.2,1.99
soham,no-feedback,1,87,190.5,310.62,169.0,144.2,2.63
soham,no-feedback,1,88,192.0,317.35,171.0,151.2,1.28
soham,no-feedback,1,89,193.5,322.89,171.0,161.2,2.19
soham,no-feedback,1,90,195.0,327.24,172.0,165.2,1.56
soham,no-feedback,1,91,196.5,330.45,173.0,175.2,1.48
soham,no-feedback,1,92,198.0,332.55,173.0,179.2,1.85
soham,no-feedback,1,93,199.5,333.6,174.0,183.2,1.22
soham,no-feedback,1,94,201.0,333.68,174.0,187.2,1.59
soham,no-feedback,1,95,202.5,332.85,175.0,191.2,0.97
soham,no-feedback,1,96,204.0,331.22,175.0,196.2,1.44
soham,no-feedback,1,97,205.5,328.88,175.0,203.2,2.1
soham,no-feedback,1,98,207.0,325.93,175.0,213.2,3.07
soham,no-feedback,1,99,208.5,322.47,176.0,218.2,2.56
soham,no-feedback,1,100,210.0,318.62,176.0,221.2,2.86
soham,no-feedback,1,101,211.5,314.48,179.0,231.2,0.88
soham,no-feedback,1,102,213.0,310.15,180.0,235.2,0.3
soham,no-feedback,1,103,214.5,305.73,181.0,246.2,0.47
soham,no-feedback,1,104,216.0,301.33,181.0,252.2,1.14
soham,no-feedback,1,105,217.5,297.02,181.0,256.2,1.59
soham,no-feedback,1,106,219.0,292.88,182.0,260.2,1.05
soham,no-feedback,1,107,220.5,288.98,183.0,265.2,0.66
soham,no-feedback,1,108,222.0,285.37,183.0,274.2,1.77
soham,no-feedback,1,109,223.5,282.1,184.0,278.2,1.3
soham,no-feedback,1,110,225.0,279.19,184.0,283.2,1.96
soham,no-feedback,1,111,226.5,276.66,185.0,286.2,1.4
soham,no-feedback,1,112,228.0,274.52,186.0,290.2,0.99
soham,no-feedback,1,113,229.5,272.75,187.0,295.2,0.75
soham,no-feedback,1,114,231.0,271.33,187.0,299.2,1.4
soham,no-feedback,1,115,232.5,270.23,188.0,303.2,1.08
soham,no-feedback,1,116,234.0,269.38,189.0,307.2,0.84
soham,no-feedback,1,117,235.5,268.75,189.0,310.2,1.4
soham,no-feedback,1,118,237.0,268.25,190.0,315.2,1.48
soham,no-feedback,1,119,238.5,267.81,191.0,317.2,0.94
soham,no-feedback,1,120,240.0,267.35,192.0,320.2,0.75
soham,no-feedback,1,121,241.5,266.78,192.0,321.2,1.01
soham,no-feedback,1,122,243.0,266.01,193.0,324.2,0.9
soham,no-feedback,1,123,244.5,264.96,195.0,327.2,0.01
soham,no-feedback,1,124,246.0,263.52,196.0,328.2,0.5
soham,no-feedback,1,125,247.5,261.62,198.0,330.2,1.37
soham,no-feedback,1,126,249.0,259.18,200.0,331.2,2.25
soham,no-feedback,1,127,250.5,256.1,201.0,331.2,2.17
soham,no-feedback,1,128,252.0,252.34,203.0,330.2,1.39
soham,no-feedback,1,129,253.5,247.83,206.0,322.2,2.4
soham,no-feedback,1,130,255.0,242.52,208.0,319.2,1.65
soham,no-feedback,1,131,256.5,236.39,208.0,317.2,2.36
soham,no-feedback,1,132,258.0,229.4,211.0,310.2,1.87
soham,no-feedback,1,133,259.5,221.57,212.0,306.2,2.22
soham,no-feedback,1,134,261.0,212.88,216.0,291.2,3.4
soham,no-feedback,1,135,262.5,203.38,218.0,286.2,3.37
soham,no-feedback,1,136,264.0,193.09,222.0,282.2,1.32
soham,no-feedback,1,137,265.5,182.08,226.0,278.2,0.35
soham,no-feedback,1,138,267.0,170.41,228.0,276.2,0.96
soham,no-feedback,1,139,268.5,158.17,230.0,274.2,1.32
soham,no-feedback,1,140,270.0,145.45,233.0,272.2,1.88
soham,no-feedback,1,141,271.5,132.35,240.0,267.2,0.14
soham,no-feedback,1,142,273.0,119.01,241.0,265.2,1.64
soham,no-feedback,1,143,274.5,105.55,243.0,263.2,2.3
soham,no-feedback,1,144,276.0,92.09,246.0,253.2,5.26
soham,no-feedback,1,145,277.5,78.79,248.0,247.2,5.42
soham,no-feedback,1,146,279.0,65.78,249.0,244.2,5.32
soham,no-feedback,1,147,280.5,53.21,251.0,245.2,3.12
soham,no-feedback,1,148,282.0,42.0,252.0,244.2,2.43
soham,no-feedback,1,149,283.5,42.0,253.0,242.2,2.01
soham,no-feedback,1,150,285.0,42.0,254.0,239.2,1.76
soham,no-feedback,1,151,286.5,42.0,254.0,236.2,2.47
soham,no-feedback,1,152,288.0,42.0,255.0,234.2,1.93
soham,no-feedback,1,153,289.5,42.0,256.0,229.2,2.0
soham,no-feedback,1,154,291.0,42.0,257.0,226.2,1.58
soham,no-feedback,1,155,292.5,42.0,259.0,218.2,1.07
soham,no-feedback,1,156,294.0,42.0,260.0,214.2,0.76
soham,no-feedback,1,157,295.5,42.0,261.0,208.2,0.73
soham,no-feedback,1,158,297.0,42.0,262.0,203.2,0.52
soham,no-feedback,1,159,298.5,42.0,263.0,193.2,0.97
soham,no-feedback,1,160,300.0,42.0,265.0,181.2,0.61
soham,no-feedback,1,161,301.5,42.0,266.0,174.2,0.51
soham,no-feedback,1,162,303.0,42.0,268.0,169.2,0.85
soham,no-feedback,1,163,304.5,42.0,268.0,165.2,0.36
soham,no-feedback,1,164,306.0,42.0,269.0,159.2,0.62
soham,no-feedback,1,165,307.5,42.0,271.0,155.2,2.14
soham,no-feedback,1,166,309.0,42.0,271.0,147.2,1.2
soham,no-feedback,1,167,310.5,46.82,271.0,143.2,0.74
soham,no-feedback,1,168,312.0,60.21,271.0,130.2,0.74
soham,no-feedback,1,169,313.5,74.37,271.0,126.2,1.18
soham,no-feedback,1,170,315.0,89.18,272.0,113.2,1.64
soham,no-feedback,1,171,316.5,104.47,273.0,105.2,1.53
soham,no-feedback,1,172,318.0,120.09,275.0,96.2,0.54
soham,no-feedback,1,173,319.5,135.88,275.0,80.2,2.33
soham,no-feedback,1,174,321.0,151.69,277.0,70.2,1.48
soham,no-feedback,1,175,322.5,167.38,279.0,59.2,0.78
soham,no-feedback,1,176,324.0,182.79,279.0,51.2,1.75
soham,no-feedback,1,177,325.5,197.78,280.0,49.2,1.03
soham,no-feedback,1,178,327.0,212.23,281.0,47.2,0.3
soham,no-feedback,1,179,328.5,226.01,282.0,44.2,0.29
soham,no-feedback,1,180,330.0,239.02,285.0,42.2,0.2
soham,no-feedback,1,181,331.5,251.17,288.0,42.2,0.2
soham,no-feedback,1,182,333.0,262.37,290.0,41.2,0.8
soham,no-feedback,1,183,334.5,272.57,293.0,41.2,0.8
soham,no-feedback,1,184,336.0,281.7,296.0,41.2,0.8
soham,no-feedback,1,185,337.5,289.76,298.0,41.2,0.8
soham,no-feedback,1,186,339.0,296.7,301.0,40.2,1.8
soham,no-feedback,1,187,340.5,302.55,303.0,40.2,1.8
soham,no-feedback,1,188,342.0,307.31,306.0,40.2,1.8
soham,no-feedback,1,189,343.5,311.02,308.0,40.2,1.8
soham,no-feedback,1,190,345.0,313.71,309.0,43.2,0.36
soham,no-feedback,1,191,346.5,315.46,310.0,45.2,0.0
soham,no-feedback,1,192,348.0,316.32,311.0,48.2,0.34
soham,no-feedback,1,193,349.5,316.38,311.0,53.2,0.21
soham,no-feedback,1,194,351.0,315.72,312.0,59.2,0.11
soham,no-feedback,1,195,352.5,314.45,313.0,63.2,0.68
soham,no-feedback,1,196,354.0,312.65,314.0,67.2,1.25
soham,no-feedback,1,197,355.5,310.43,314.0,69.2,1.04
soham,no-feedback,1,198,357.0,307.89,314.0,72.2,0.73
soham,no-feedback,1,199,358.5,305.13,315.0,78.2,1.11
soham,no-feedback,1,200,360.0,302.25,316.0,92.2,0.7
soham,no-feedback,1,201,361.5,299.34,317.0,99.2,1.01
