participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
srishti,spatial-color,3,0,60.0,336.46,59.2,337.0,0.96
srishti,spatial-color,3,1,61.5,331.7,59.2,335.0,1.2
srishti,spatial-color,3,2,63.0,326.48,60.2,333.0,0.85
srishti,spatial-color,3,3,64.5,320.91,61.2,331.0,0.48
srishti,spatial-color,3,4,66.0,315.1,62.2,328.0,0.35
srishti,spatial-color,3,5,67.5,309.16,63.2,326.0,0.07
srishti,spatial-color,3,6,69.0,303.19,64.2,321.0,0.27
srishti,spatial-color,3,7,70.5,297.29,65.2,316.0,0.55
srishti,spatial-color,3,8,72.0,291.54,66.2,313.0,0.32
srishti,spatial-color,3,9,73.5,286.02,67.2,308.0,0.57
srishti,spatial-color,3,10,75.0,280.79,68.2,303.0,0.82
srishti,spatial-color,3,11,76.5,275.91,69.2,300.0,0.59
srishti,spatial-color,3,12,78.0,271.41,70.2,297.0,0.36
srishti,spatial-color,3,13,79.5,267.32,72.2,289.0,0.47
srishti,spatial-color,3,14,81.0,263.66,73.2,284.0,0.84
srishti,spatial-color,3,15,82.5,260.42,76.2,278.0,0.33
srishti,spatial-color,3,16,84.0,257.59,76.2,276.0,0.26
srishti,spatial-color,3,17,85.5,255.15,79.2,265.0,1.16
srishti,spatial-color,3,18,87.0,253.04,81.2,261.0,0.94
srishti,spatial-color,3,19,88.5,251.22,83.2,257.0,0.99
srishti,spatial-color,3,20,90.0,249.64,85.2,255.0,0.33
srishti,spatial-color,3,21,91.5,248.21,87.2,252.0,0.51
srishti,spatial-color,3,22,93.0,246.86,90.2,249.0,0.32
srishti,spatial-color,3,23,94.5,245.52,93.2,247.0,0.23
srishti,spatial-color,3,24,96.0,244.09,95.2,246.0,0.83
srishti,spatial-color,3,25,97.5,242.49,97.2,241.0,1.17
srishti,spatial-color,3,26,99.0,240.63,99.2,236.0,2.33
srishti,spatial-color,3,27,100.5,238.42,101.2,232.0,2.35
srishti,spatial-color,3,28,102.0,235.79,104.2,228.0,1.06
srishti,spatial-color,3,29,103.5,232.64,105.2,222.0,1.98
srishti,spatial-color,3,30,105.0,228.93,106.2,219.0,1.88
srishti,spatial-color,3,31,106.5,224.58,108.2,217.0,0.45
srishti,spatial-color,3,32,108.0,219.54,109.2,207.0,1.82
srishti,spatial-color,3,33,109.5,213.79,111.2,202.0,0.87
srishti,spatial-color,3,34,111.0,207.29,112.2,197.0,0.85
srishti,spatial-color,3,35,112.5,200.02,114.2,186.0,0.82
srishti,spatial-color,3,36,114.0,192.01,115.2,180.0,0.81
srishti,spatial-color,3,37,115.5,183.26,116.2,174.0,0.76
srishti,spatial-color,3,38,117.0,173.8,116.2,170.0,1.35
srishti,spatial-color,3,39,118.5,163.68,117.2,164.0,1.24
srishti,spatial-color,3,40,120.0,152.97,119.2,149.0,1.32
srishti,spatial-color,3,41,121.5,141.74,121.2,143.0,0.13
srishti,spatial-color,3,42,123.0,130.09,121.2,136.0,1.03
srishti,spatial-color,3,43,124.5,118.1,121.2,132.0,1.54
srishti,spatial-color,3,44,126.0,105.89,122.2,125.0,1.43
srishti,spatial-color,3,45,127.5,93.59,123.2,118.0,1.3
srishti,spatial-color,3,46,129.0,81.32,123.2,111.0,2.16
srishti,spatial-color,3,47,130.5,69.22,124.2,107.0,1.65
srishti,spatial-color,3,48,132.0,57.42,126.2,101.0,0.39
srishti,spatial-color,3,49,133.5,46.06,127.2,86.0,1.22
srishti,spatial-color,3,50,135.0,42.0,127.2,82.0,1.7
srishti,spatial-color,3,51,136.5,42.0,129.2,79.0,0.09
srishti,spatial-color,3,52,138.0,42.0,130.2,73.0,0.17
srishti,spatial-color,3,53,139.5,42.0,132.2,67.0,1.41
srishti,spatial-color,3,54,141.0,42.0,132.2,61.0,0.65
srishti,spatial-color,3,55,142.5,42.0,132.2,59.0,0.4
srishti,spatial-color,3,56,144.0,42.0,133.2,50.0,0.22
srishti,spatial-color,3,57,145.5,42.0,135.2,44.0,0.88
srishti,spatial-color,3,58,147.0,42.0,135.2,43.0,0.53
srishti,spatial-color,3,59,148.5,42.0,137.2,43.0,1.0
srishti,spatial-color,3,60,150.0,42.0,139.2,43.0,1.0
srishti,spatial-color,3,61,151.5,42.0,142.2,42.0,0.0
srishti,spatial-color,3,62,153.0,42.0,146.2,42.0,0.0
srishti,spatial-color,3,63,154.5,42.0,150.2,42.0,0.0
srishti,spatial-color,3,64,156.0,42.0,154.2,41.0,1.0
srishti,spatial-color,3,65,157.5,42.0,157.2,42.0,0.0
srishti,spatial-color,3,66,159.0,42.0,159.2,42.0,0.0
srishti,spatial-color,3,67,160.5,42.0,159.2,46.0,2.39
srishti,spatial-color,3,68,162.0,47.02,159.2,48.0,2.89
srishti,spatial-color,3,69,163.5,60.3,160.2,51.0,2.24
srishti,spatial-color,3,70,165.0,74.47,161.2,52.0,1.35
srishti,spatial-color,3,71,166.5,89.39,161.2,54.0,1.58
srishti,spatial-color,3,72,168.0,104.91,162.2,57.0,0.92
srishti,spatial-color,3,73,169.5,120.89,163.2,63.0,0.58
srishti,spatial-color,3,74,171.0,137.17,163.2,67.0,1.0
srishti,spatial-color,3,75,172.5,153.58,164.2,70.0,0.33
srishti,spatial-color,3,76,174.0,169.97,164.2,74.0,0.75
srishti,spatial-color,3,77,175.5,186.19,165.2,88.0,1.15
srishti,spatial-color,3,78,177.0,202.09,165.2,92.0,1.55
srishti,spatial-color,3,79,178.5,217.52,166.2,94.0,0.74
srishti,spatial-color,3,80,180.0,232.35,166.2,105.0,1.8
srishti,spatial-color,3,81,181.5,246.45,167.2,110.0,1.27
srishti,spatial-color,3,82,183.0,259.72,167.2,113.0,1.55
srishti,spatial-color,3,83,184.5,272.05,168.2,114.0,0.65
srishti,spatial-color,3,84,186.0,283.37,169.2,128.0,0.95
srishti,spatial-color,3,85,187.5,293.6,169.2,133.0,1.41
srishti,spatial-color,3,86,189.0,302.7,170.2,140.0,1.05
srishti,spatial-color,3,87,190.5,310.62,171.2,148.0,0.79
srishti,spatial-color,3,88,192.0,317.35,172.2,155.0,0.43
srishti,spatial-color,3,89,193.5,322.89,172.2,164.0,1.25
srishti,spatial-color,3,90,195.0,327.24,173.2,169.0,0.71
srishti,spatial-color,3,91,196.5,330.45,173.2,179.0,1.63
srishti,spatial-color,3,92,198.0,332.55,174.2,189.0,1.56
srishti,spatial-color,3,93,199.5,333.6,174.2,196.0,2.22
srishti,spatial-color,3,94,201.0,333.68,175.2,198.0,1.41
srishti,spatial-color,3,95,202.5,332.85,176.2,203.0,0.88
srishti,spatial-color,3,96,204.0,331.22,177.2,210.0,0.57
srishti,spatial-color,3,97,205.5,328.88,178.2,218.0,0.35
srishti,spatial-color,3,98,207.0,325.93,179.2,221.0,0.35
srishti,spatial-color,3,99,208.5,322.47,180.2,230.0,0.44
srishti,spatial-color,3,100,210.0,318.62,180.2,236.0,0.19
srishti,spatial-color,3,101,211.5,314.48,181.2,245.0,0.14
