participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
srishti,numerical,2,0,60.0,336.46,58.2,336.0,1.86
srishti,numerical,2,1,61.5,331.7,59.2,332.0,2.1
srishti,numerical,2,2,63.0,326.48,60.2,330.0,1.72
srishti,numerical,2,3,64.5,320.91,61.2,329.0,1.04
srishti,numerical,2,4,66.0,315.1,62.2,327.0,0.63
srishti,numerical,2,5,67.5,309.16,63.2,325.0,0.19
srishti,numerical,2,6,69.0,303.19,64.2,323.0,0.25
srishti,numerical,2,7,70.5,297.29,65.2,320.0,0.45
srishti,numerical,2,8,72.0,291.54,66.2,317.0,0.67
srishti,numerical,2,9,73.5,286.02,66.2,314.0,0.08
srishti,numerical,2,10,75.0,280.79,67.2,311.0,0.16
srishti,numerical,2,11,76.5,275.91,70.2,305.0,1.6
srishti,numerical,2,12,78.0,271.41,71.2,301.0,1.59
srishti,numerical,2,13,79.5,267.32,71.2,299.0,1.1
srishti,numerical,2,14,81.0,263.66,71.2,294.0,0.15
srishti,numerical,2,15,82.5,260.42,72.2,291.0,0.05
srishti,numerical,2,16,84.0,257.59,73.2,287.0,0.03
srishti,numerical,2,17,85.5,255.15,74.2,284.0,0.12
srishti,numerical,2,18,87.0,253.04,75.2,281.0,0.25
srishti,numerical,2,19,88.5,251.22,75.2,279.0,0.33
srishti,numerical,2,20,90.0,249.64,76.2,276.0,0.26
srishti,numerical,2,21,91.5,248.21,77.2,274.0,0.06
srishti,numerical,2,22,93.0,246.86,79.2,267.0,0.4
srishti,numerical,2,23,94.5,245.52,80.2,264.0,0.61
srishti,numerical,2,24,96.0,244.09,81.2,262.0,0.52
srishti,numerical,2,25,97.5,242.49,83.2,260.0,0.42
srishti,numerical,2,26,99.0,240.63,84.2,258.0,0.37
srishti,numerical,2,27,100.5,238.42,85.2,255.0,0.33
srishti,numerical,2,28,102.0,235.79,87.2,252.0,0.51
srishti,numerical,2,29,103.5,232.64,89.2,249.0,1.02
srishti,numerical,2,30,105.0,228.93,91.2,248.0,0.36
srishti,numerical,2,31,106.5,224.58,93.2,245.0,1.26
srishti,numerical,2,32,108.0,219.54,95.2,244.0,0.62
srishti,numerical,2,33,109.5,213.79,96.2,243.0,0.6
srishti,numerical,2,34,111.0,207.29,98.2,241.0,0.39
srishti,numerical,2,35,112.5,200.02,99.2,239.0,0.75
srishti,numerical,2,36,114.0,192.01,100.2,237.0,0.96
srishti,numerical,2,37,115.5,183.26,101.2,236.0,0.59
srishti,numerical,2,38,117.0,173.8,103.2,232.0,0.52
srishti,numerical,2,39,118.5,163.68,105.2,230.0,0.59
srishti,numerical,2,40,120.0,152.97,105.2,228.0,0.11
srishti,numerical,2,41,121.5,141.74,106.2,226.0,0.18
srishti,numerical,2,42,123.0,130.09,106.2,224.0,0.45
srishti,numerical,2,43,124.5,118.1,107.2,223.0,0.22
srishti,numerical,2,44,126.0,105.89,107.2,215.0,1.92
srishti,numerical,2,45,127.5,93.59,109.2,212.0,0.69
srishti,numerical,2,46,129.0,81.32,110.2,211.0,0.06
srishti,numerical,2,47,130.5,69.22,110.2,209.0,0.39
srishti,numerical,2,48,132.0,57.42,111.2,206.0,0.06
srishti,numerical,2,49,133.5,46.06,111.2,204.0,0.47
srishti,numerical,2,50,135.0,42.0,112.2,201.0,0.1
srishti,numerical,2,51,136.5,42.0,113.2,199.0,0.5
srishti,numerical,2,52,138.0,42.0,114.2,192.0,0.2
srishti,numerical,2,53,139.5,42.0,114.2,189.0,0.31
srishti,numerical,2,54,141.0,42.0,115.2,186.0,0.17
srishti,numerical,2,55,142.5,42.0,116.2,180.0,0.18
srishti,numerical,2,56,144.0,42.0,116.2,176.0,0.45
srishti,numerical,2,57,145.5,42.0,116.2,173.0,0.91
srishti,numerical,2,58,147.0,42.0,117.2,169.0,0.51
srishti,numerical,2,59,148.5,42.0,118.2,167.0,0.19
srishti,numerical,2,60,150.0,42.0,118.2,161.0,0.67
srishti,numerical,2,61,151.5,42.0,119.2,155.0,0.51
srishti,numerical,2,62,153.0,42.0,120.2,151.0,0.06
srishti,numerical,2,63,154.5,42.0,121.2,145.0,0.13
srishti,numerical,2,64,156.0,42.0,122.2,141.0,0.6
srishti,numerical,2,65,157.5,42.0,122.2,138.0,0.22
srishti,numerical,2,66,159.0,42.0,122.2,132.0,0.55
srishti,numerical,2,67,160.5,42.0,122.2,129.0,0.93
srishti,numerical,2,68,162.0,47.02,123.2,125.0,0.43
srishti,numerical,2,69,163.5,60.3,124.2,117.0,0.43
srishti,numerical,2,70,165.0,74.47,125.2,110.0,0.29
srishti,numerical,2,71,166.5,89.39,125.2,106.0,0.78
srishti,numerical,2,72,168.0,104.91,126.2,102.0,0.27
srishti,numerical,2,73,169.5,120.89,126.2,97.0,0.88
srishti,numerical,2,74,171.0,137.17,127.2,92.0,0.49
srishti,numerical,2,75,172.5,153.58,128.2,88.0,0.02
srishti,numerical,2,76,174.0,169.97,128.2,83.0,0.59
srishti,numerical,2,77,175.5,186.19,129.2,77.0,0.33
srishti,numerical,2,78,177.0,202.09,130.2,72.0,0.04
srishti,numerical,2,79,178.5,217.52,130.2,69.0,0.33
srishti,numerical,2,80,180.0,232.35,131.2,65.0,0.16
srishti,numerical,2,81,181.5,246.45,131.2,60.0,0.47
srishti,numerical,2,82,183.0,259.72,132.2,54.0,0.25
srishti,numerical,2,83,184.5,272.05,133.2,50.0,0.22
srishti,numerical,2,84,186.0,283.37,133.2,48.0,0.04
srishti,numerical,2,85,187.5,293.6,134.2,45.0,0.29
srishti,numerical,2,86,189.0,302.7,134.2,43.0,0.4
srishti,numerical,2,87,190.5,310.62,135.2,42.0,0.0
srishti,numerical,2,88,192.0,317.35,137.2,42.0,0.0
srishti,numerical,2,89,193.5,322.89,138.2,42.0,0.0
srishti,numerical,2,90,195.0,327.24,140.2,41.0,1.0
srishti,numerical,2,91,196.5,330.45,142.2,41.0,1.0
srishti,numerical,2,92,198.0,332.55,144.2,41.0,1.0
srishti,numerical,2,93,199.5,333.6,145.2,41.0,1.0
srishti,numerical,2,94,201.0,333.68,148.2,41.0,1.0
srishti,numerical,2,95,202.5,332.85,151.2,41.0,1.0
srishti,numerical,2,96,204.0,331.22,153.2,41.0,1.0
srishti,numerical,2,97,205.5,328.88,156.2,41.0,1.0
srishti,numerical,2,98,207.0,325.93,158.2,41.0,1.0
srishti,numerical,2,99,208.5,322.47,160.2,42.0,0.0
srishti,numerical,2,100,210.0,318.62,160.2,46.0,1.43
srishti,numerical,2,101,211.5,314.48,161.2,47.0,0.76
srishti,numerical,2,102,213.0,310.15,161.2,51.0,1.24
srishti,numerical,2,103,214.5,305.73,162.2,54.0,0.59
srishti,numerical,2,104,216.0,301.33,163.2,58.0,0.04
srishti,numerical,2,105,217.5,297.02,164.2,62.0,0.52
srishti,numerical,2,106,219.0,292.88,164.2,68.0,0.11
srishti,numerical,2,107,220.5,288.98,165.2,72.0,0.46
srishti,numerical,2,108,222.0,285.37,165.2,76.0,0.05
srishti,numerical,2,109,223.5,282.1,165.2,81.0,0.45
srishti,numerical,2,110,225.0,279.19,165.2,87.0,1.05
srishti,numerical,2,111,226.5,276.66,165.2,96.0,1.93
srishti,numerical,2,112,228.0,274.52,166.2,101.0,1.42
srishti,numerical,2,113,229.5,272.75,166.2,106.0,1.89
srishti,numerical,2,114,231.0,271.33,167.2,111.0,1.37
srishti,numerical,2,115,232.5,270.23,168.2,115.0,0.74
srishti,numerical,2,116,234.0,269.38,169.2,124.0,0.58
srishti,numerical,2,117,235.5,268.75,170.2,130.0,0.14
srishti,numerical,2,118,237.0,268.25,171.2,133.0,0.58
srishti,numerical,2,119,238.5,267.81,171.2,142.0,0.24
srishti,numerical,2,120,240.0,267.35,172.2,151.0,0.06
srishti,numerical,2,121,241.5,266.78,174.2,160.0,1.11
srishti,numerical,2,122,243.0,266.01,174.2,167.0,0.47
srishti,numerical,2,123,244.5,264.96,174.2,173.0,0.08
srishti,numerical,2,124,246.0,263.52,174.2,182.0,0.91
srishti,numerical,2,125,247.5,261.62,174.2,190.0,1.65
srishti,numerical,2,126,249.0,259.18,175.2,196.0,1.22
srishti,numerical,2,127,250.5,256.1,175.2,205.0,2.07
srishti,numerical,2,128,252.0,252.34,176.2,215.0,2.05
