participant,mode,trial,index,target_x,target_y,user_x,user_y,offset_px
sumedhaa,no-feedback,1,0,60.0,336.46,58.0,333.0,2.95
sumedhaa,no-feedback,1,1,61.5,331.7,62.0,327.0,0.82
sumedhaa,no-feedback,1,2,63.0,326.48,64.0,323.0,0.06
sumedhaa,no-feedback,1,3,64.5,320.91,64.0,316.0,1.71
sumedhaa,no-feedback,1,4,66.0,315.1,66.0,312.0,0.76
sumedhaa,no-feedback,1,5,67.5,309.16,67.0,306.0,1.26
sumedhaa,no-feedback,1,6,69.0,303.19,70.0,301.0,0.43
sumedhaa,no-feedback,1,7,70.5,297.29,71.0,295.0,0.09
sumedhaa,no-feedback,1,8,72.0,291.54,72.0,289.0,0.67
sumedhaa,no-feedback,1,9,73.5,286.02,75.0,285.0,1.16
sumedhaa,no-feedback,1,10,75.0,280.79,76.0,280.0,0.72
sumedhaa,no-feedback,1,11,76.5,275.91,78.0,275.0,1.14
sumedhaa,no-feedback,1,12,78.0,271.41,79.0,270.0,0.45
sumedhaa,no-feedback,1,13,79.5,267.32,82.0,265.0,1.43
sumedhaa,no-feedback,1,14,81.0,263.66,82.0,258.0,1.58
sumedhaa,no-feedback,1,15,82.5,260.42,85.0,255.0,0.5
sumedhaa,no-feedback,1,16,84.0,257.59,88.0,250.0,1.2
sumedhaa,no-feedback,1,17,85.5,255.15,91.0,247.0,1.23
sumedhaa,no-feedback,1,18,87.0,253.04,94.0,243.0,2.17
sumedhaa,no-feedback,1,19,88.5,251.22,98.0,239.0,1.74
sumedhaa,no-feedback,1,20,90.0,249.64,100.0,235.0,2.13
sumedhaa,no-feedback,1,21,91.5,248.21,102.0,230.0,2.38
sumedhaa,no-feedback,1,22,93.0,246.86,105.0,224.0,1.6
sumedhaa,no-feedback,1,23,94.5,245.52,106.0,219.0,2.07
sumedhaa,no-feedback,1,24,96.0,244.09,109.0,212.0,0.89
sumedhaa,no-feedback,1,25,97.5,242.49,111.0,207.0,0.06
sumedhaa,no-feedback,1,26,99.0,240.63,113.0,201.0,0.69
sumedhaa,no-feedback,1,27,100.5,238.42,114.0,195.0,0.55
sumedhaa,no-feedback,1,28,102.0,235.79,116.0,190.0,1.63
sumedhaa,no-feedback,1,29,103.5,232.64,117.0,184.0,1.6
sumedhaa,no-feedback,1,30,105.0,228.93,118.0,178.0,1.65
